GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "10000","Delaware",2,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",328344,332796,344096,346128,361604,354440,352776,350084,373788,391536,414912,435304,459384,474284,478576,485508,512604,515892,526988,554056,570508,579700,578976,572952,577980,575960,575844,589492,631156,648928,662912,678884,736940,751224,760072,779260,767044,769580,774376,768656
 "10000","Delaware",2,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",6840,6700,7420,7900,6740,6580,6756,6984,7508,7392,7500,7372,7700,7860,7952,7788,7668,7684,7604,7104,8616,8632,8600,8160,9244,8952,8604,8556,7364,7272,7432,7444,7288,7452,7416,7340,7272,7144,7324,7408
 "10000","Delaware",2,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",321504,326096,336676,338228,354864,347860,346020,343100,366280,384144,407412,427932,451684,466424,470624,477720,504936,508208,519384,546952,561892,571068,570376,564792,568736,567008,567240,580936,623792,641656,655480,671440,729652,743772,752656,771920,759772,762436,767052,761248
 "10000","Delaware",2,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",296104,300116,309632,310160,327620,320200,317724,314572,334128,351224,373100,391932,408184,420620,422424,427504,452356,454436,464388,491064,502868,511820,511048,504912,500484,498068,497332,510356,541836,558876,571792,586412,636516,649220,656644,674816,656616,657972,661016,653376
 "10000","Delaware",2,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1476,1532,1576,1592,920,912,920,940,1100,1132,1176,1212,1104,1140,1164,1200,1324,1340,1360,1360,1320,1344,1360,1392,1528,1560,1560,1544,1460,1444,1444,1476,1700,1728,1740,1740,1712,1696,1712,1720
 "10000","Delaware",2,SQINC7H,200,"B","   Mining","Thousands of dollars",92,92,100,96,212,200,176,164,160,192,200,208,180,184,196,196,200,180,180,196,284,284,292,284,288,288,284,288,360,376,388,396,372,388,380,388,384,384,388,372
 "10000","Delaware",2,SQINC7H,300,"C","   Construction","Thousands of dollars",16864,17896,18640,18692,23392,22212,21892,22036,26868,28892,31720,33684,32128,33624,34204,34924,35132,35116,36292,37076,37736,37228,37432,38280,39004,39372,38996,39836,47668,49748,50412,49972,80044,84216,85976,86436,57244,57680,57212,57228
 "10000","Delaware",2,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",155140,156132,161372,161468,176780,169444,169016,165084,177064,188960,203088,216592,228240,236364,236260,238000,258212,258792,264304,287084,290456,295664,293032,284768,278400,275152,272664,281584,299980,310140,316256,326744,338796,343380,346492,360444,373296,371464,371752,363640
 "10000","Delaware",2,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",34776,34244,36032,36040,30868,32180,30536,29600,29424,30284,32088,32732,34296,36216,35440,35896,35660,35408,36676,37332,38428,40012,40164,39948,38204,37900,38056,38432,37960,39220,40516,41408,42888,43296,42716,43924,44864,45460,45904,45560
 "10000","Delaware",2,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",44128,45220,46320,46500,48596,48384,47940,48004,50128,51600,53924,54912,57776,58424,58824,59612,62648,63752,64600,65956,69976,71228,72028,72860,74164,73908,74216,74932,78684,80556,82952,84708,87556,88872,89932,90924,90724,91668,93324,93468
 "10000","Delaware",2,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",13244,13660,14016,14048,13920,13972,13984,14336,14752,15296,15808,16420,17168,17376,17616,18132,18336,18652,19100,19528,20032,20504,20856,21196,21236,21720,22360,22780,22916,23320,23880,24244,25512,26044,26396,26940,24252,24592,24960,25372
 "10000","Delaware",2,SQINC7H,800,"I","   Services","Thousands of dollars",30384,31340,31576,31724,32932,32896,33260,34408,34632,34868,35096,36172,37292,37292,38720,39544,40844,41196,41876,42532,44636,45556,45884,46184,47660,48168,49196,50960,52808,54072,55944,57464,59648,61296,63012,64020,64140,65028,65764,66016
 "10000","Delaware",2,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",25400,25980,27044,28068,27244,27660,28296,28528,32152,32920,34312,36000,43500,45804,48200,50216,52580,53772,54996,55888,59024,59248,59328,59880,68252,68940,69908,70580,81956,82780,83688,85028,93136,94552,96012,97104,103156,104464,106036,107872
 "10000","Delaware",2,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",5928,5972,6088,6252,6512,6656,6728,6720,7464,7604,7968,8536,9128,9740,10256,10672,11168,11396,11512,11508,12400,12268,12140,12012,13320,13268,13336,13524,17344,17692,18012,18304,20400,20644,20828,20944,23172,23400,23792,24336
 "10000","Delaware",2,SQINC7H,920,"...","   Military","Thousands of dollars",2796,2828,2880,2956,2084,2144,2188,2220,3748,4028,4544,5296,9868,11112,12128,12952,12856,13292,13552,13628,14900,14764,14648,14524,21136,20964,20824,20684,28236,28176,28192,28300,31952,32084,32116,32032,34240,34132,34116,34200
 "10000","Delaware",2,SQINC7H,930,"...","   State and local","Thousands of dollars",16676,17180,18076,18860,18648,18860,19380,19588,20940,21288,21800,22168,24504,24952,25816,26592,28556,29084,29932,30752,31724,32216,32540,33344,33796,34708,35748,36372,36376,36912,37484,38424,40784,41824,43068,44128,45744,46932,48128,49336
"Note: See the included footnote file."
"SQINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
