GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "12000","Florida",5,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",1822780,1856108,1918096,1939412,1916608,1910872,1902812,1908932,1972584,2043092,2146976,2238436,2386876,2466728,2518044,2573628,2800644,2830728,2888720,2957000,3125856,3165768,3177208,3181204,3301688,3303932,3319648,3375432,3596436,3679880,3762400,3832880,4211024,4296400,4348852,4421128,4749928,4790248,4839796,4848368
 "12000","Florida",5,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",71792,70272,77872,82836,70964,69236,71164,73508,69720,68632,69616,68436,77512,79136,79992,78372,79328,79440,78676,73540,80660,80784,80548,76452,95016,92052,88528,87968,89892,88764,90740,90880,92228,94268,93832,92956,110460,108448,111292,112632
 "12000","Florida",5,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",1750988,1785836,1840224,1856576,1845644,1841636,1831648,1835424,1902864,1974460,2077360,2170000,2309364,2387592,2438052,2495256,2721316,2751288,2810044,2883460,3045196,3084984,3096660,3104752,3206672,3211880,3231120,3287464,3506544,3591116,3671660,3742000,4118796,4202132,4255020,4328172,4639468,4681800,4728504,4735736
 "12000","Florida",5,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",1406148,1434780,1477780,1481804,1459900,1448552,1430504,1430988,1499804,1557652,1634764,1692604,1793144,1836100,1853392,1883068,2030656,2042992,2087396,2152240,2275248,2315488,2328852,2334760,2419868,2420260,2431608,2482096,2649628,2725976,2797520,2854464,3153864,3223448,3262524,3325508,3610484,3640784,3672852,3662552
 "12000","Florida",5,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",17060,17752,18204,18424,18896,18664,18896,19380,19796,20504,21212,21928,22360,23060,23524,24224,24732,24964,25416,25420,24692,25144,25596,26044,27304,27764,27768,27528,28916,28668,28668,29156,29584,30064,30308,30300,28988,28752,28984,29452
 "12000","Florida",5,SQINC7H,200,"B","   Mining","Thousands of dollars",16424,15380,17328,17136,19824,18932,16072,14760,15756,19544,20484,21036,22388,22640,23436,23960,27996,25368,26292,27832,28888,28888,29448,28368,32084,31040,30540,31184,28292,29616,29996,30912,34544,36140,35184,36540,37884,38408,39188,37360
 "12000","Florida",5,SQINC7H,300,"C","   Construction","Thousands of dollars",158100,167776,174700,175276,152920,145188,143080,144004,161416,173624,190568,202316,211364,221200,225044,229788,240524,240432,248436,253800,290456,286572,288108,294644,287548,290264,287444,293688,337848,352552,357304,354136,409720,431060,440040,442404,483516,487220,483244,483376
 "12000","Florida",5,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",236932,238452,246444,246584,240280,230312,229736,224392,234680,250452,269176,287076,303468,314276,314132,316448,347828,348612,356044,386720,398144,405284,401676,390348,441800,436644,432688,446848,464984,480736,490224,506472,549792,557224,562268,584932,659060,655800,656312,641988
 "12000","Florida",5,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",215368,212080,223172,223240,219972,229380,217616,210944,214492,220752,233924,238640,251892,265936,260256,263584,287240,285248,295420,300640,306488,319056,320332,318568,334468,331820,333184,336504,347076,358628,370416,378640,408324,412220,406704,418220,447588,453476,458000,454500
 "12000","Florida",5,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",414952,425164,435588,437232,446060,444156,440060,440640,462384,475984,497392,506556,538112,544108,547796,555180,603760,614428,622612,635756,652484,664188,671636,679408,692960,690584,693472,700196,752404,770280,793176,809980,890248,903648,914444,924468,983164,993392,1011316,1012836
 "12000","Florida",5,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",77516,79940,82036,82224,83744,84060,84124,86256,93440,96884,100128,103984,108220,109540,111068,114328,119920,122000,124944,127736,143660,147052,149568,152004,159320,162968,167752,170916,188020,191332,195876,198840,227304,232044,235140,239976,259408,263020,266944,271376
 "12000","Florida",5,SQINC7H,800,"I","   Services","Thousands of dollars",269796,278236,280308,281688,278204,277860,280920,290612,297840,299908,301880,311068,335340,335340,348136,355556,378656,381940,388232,394336,430436,439304,442488,445376,444384,449176,458760,475232,502088,514164,531860,546328,604348,621048,638436,648668,710876,720716,728864,731664
 "12000","Florida",5,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",344840,351056,362444,374772,385744,393084,401144,404436,403060,416808,442596,477396,516220,551492,584660,612188,690660,708296,722648,731220,769948,769496,767808,769992,786804,791620,799512,805368,856916,865140,874140,887536,964932,978684,992496,1002664,1028984,1041016,1055652,1073184
 "12000","Florida",5,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",101724,102444,104292,107152,110584,113136,114352,114276,102616,104552,109528,117472,128556,137300,144560,150456,160900,164196,165804,165804,171432,169612,167856,166100,167980,167332,168192,170564,191420,195284,198824,202060,230028,232772,234804,236136,233800,236160,240088,245584
 "12000","Florida",5,SQINC7H,920,"...","   Military","Thousands of dollars",100372,101596,103488,106192,109684,112660,114824,116444,116800,125556,141856,165436,180340,203076,221704,236736,292628,302588,308292,310056,329944,327120,324452,321624,318824,316152,313956,311912,327064,326396,326568,327892,359724,361168,361528,360624,377768,376632,376444,377392
