GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "98000","Far West",8,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",14659312,14895312,15404224,15557848,15254920,15133468,15063800,15051788,16208692,16842584,17737892,18542444,19813996,20523064,20902124,21380316,22424280,22701356,23121836,23868752,24414944,24763008,24794932,24691116,24857424,24798220,24855956,25332104,26245536,26901816,27499296,28103440,29175152,29723820,30074520,30708924,31356944,31583960,31881424,31797984
 "98000","Far West",8,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",525224,514120,569672,605968,520024,507372,521520,538604,597864,589856,598332,590396,622992,636212,643448,632016,659280,659784,653472,614268,652064,652216,650244,620424,649424,631616,609868,605904,619496,611388,622840,623184,634376,646840,643864,638120,649900,638632,653240,659656
 "98000","Far West",8,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",14134088,14381192,14834552,14951880,14734896,14626096,14542280,14513184,15610828,16252728,17139560,17952048,19191004,19886852,20258676,20748300,21765000,22041572,22468364,23254484,23762880,24110792,24144688,24070692,24208000,24166604,24246088,24726200,25626040,26290428,26876456,27480256,28540776,29076980,29430656,30070804,30707044,30945328,31228184,31138328
 "98000","Far West",8,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",11662052,11863752,12232968,12260492,11985972,11826804,11685516,11634688,12311540,12846396,13540620,14098148,15032104,15464032,15584624,15864092,16612904,16761612,17081236,17799632,18287884,18626816,18667200,18575080,18763328,18687316,18706688,19134920,19929872,20525696,21040564,21547708,22431160,22876196,23131332,23692568,24289204,24436380,24615956,24410588
 "98000","Far West",8,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",68704,71440,73272,74176,72516,71600,72516,74340,81840,84708,87656,90660,89960,92876,94916,97724,96716,97692,99300,99084,97788,99004,100616,102504,108528,110916,111204,110252,100484,99160,98828,100296,106504,108320,109236,109252,105848,104892,105540,106952
 "98000","Far West",8,SQINC7H,200,"B","   Mining","Thousands of dollars",170264,159480,179640,177604,191796,183172,155480,142772,145336,177400,184984,189624,195364,197348,204160,209260,234572,213596,220776,235544,249136,248156,252600,242276,247908,241576,237860,241976,246716,259004,261424,269060,261400,273252,266608,276536,267024,270736,277128,264104
 "98000","Far West",8,SQINC7H,300,"C","   Construction","Thousands of dollars",1042680,1106504,1152196,1155924,1036312,983892,969632,975904,1092692,1174320,1293352,1376260,1424384,1515708,1545276,1621148,1543248,1603940,1609688,1637152,1751956,1745712,1755196,1790480,1770016,1761164,1742372,1766232,1806420,1885544,1917648,1903176,1995184,2102036,2152408,2169068,2128444,2148648,2122880,2107256
 "98000","Far West",8,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",3506728,3529220,3647444,3649580,3633560,3482804,3474020,3393172,3668228,3910172,4194380,4478244,4982812,5158624,5158680,5199080,5707512,5722492,5843700,6337652,6483440,6599356,6538248,6353872,6622316,6540716,6477096,6707720,7085480,7318064,7464176,7713216,8116336,8229680,8308572,8630212,9005724,8968072,8972116,8773956
 "98000","Far West",8,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",1534028,1510616,1589584,1590036,1559184,1625952,1542500,1495244,1578240,1624760,1720704,1755276,1852744,1954464,1916428,1940932,2041016,2028468,2098960,2145472,2163000,2248204,2256140,2243444,2219616,2204960,2212200,2231360,2287176,2361444,2438504,2491008,2591280,2617208,2582484,2656396,2713348,2748556,2783276,2760956
 "98000","Far West",8,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",3016096,3090308,3166084,3178016,3096480,3083260,3054840,3058896,3165804,3256916,3405132,3467624,3639336,3684368,3709760,3769312,3888604,3957244,4009424,4094136,4200412,4274036,4320668,4368480,4313672,4299616,4317592,4356896,4521652,4630936,4766824,4878328,5049264,5124552,5185780,5244220,5346620,5403940,5502516,5509652
