GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "13000","Georgia",5,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",1884008,1911040,1974428,1992072,1993164,1976908,1969044,1963864,2074244,2159780,2281796,2395048,2549280,2645820,2695572,2752588,2893244,2922504,2981992,3082052,3040656,3082404,3084212,3067928,3110800,3103628,3110204,3167700,3293440,3373604,3446588,3521768,3631268,3694204,3733448,3812228,3812188,3835276,3871004,3863696
 "13000","Georgia",5,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",52852,51724,57324,60980,51980,50720,52136,53840,55436,54584,55364,54424,60512,61780,62456,61192,63648,63740,63128,59008,60888,60968,60796,57708,58160,56348,54184,53844,55880,55180,56408,56496,59368,60680,60396,59836,56648,55632,57080,57764
 "13000","Georgia",5,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",1831156,1859316,1917104,1931092,1941184,1926188,1916908,1910024,2018808,2105196,2226432,2340624,2488768,2584040,2633116,2691396,2829596,2858764,2918864,3023044,2979768,3021436,3023416,3010220,3052640,3047280,3056020,3113856,3237560,3318424,3390180,3465272,3571900,3633524,3673052,3752392,3755540,3779644,3813924,3805932
 "13000","Georgia",5,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",1527184,1550244,1598492,1601892,1572900,1550492,1533916,1524048,1616300,1688460,1782236,1858184,1932956,1985660,1996580,2023480,2133664,2145080,2191924,2289168,2266544,2309936,2314516,2301040,2304920,2297456,2300876,2353804,2476204,2549672,2613472,2677564,2788188,2839352,2868788,2940920,2910924,2925908,2948516,2926088
 "13000","Georgia",5,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",15572,16204,16612,16824,16452,16248,16452,16872,16972,17580,18184,18788,18560,19136,19520,20108,19860,20048,20420,20416,20168,20532,20900,21272,20912,21268,21268,21088,20776,20608,20608,20952,21196,21544,21712,21712,20892,20728,20892,21224
 "13000","Georgia",5,SQINC7H,200,"B","   Mining","Thousands of dollars",10912,10220,11516,11384,11944,11404,9684,8888,8964,11120,11644,11968,12548,12688,13124,13420,14268,12924,13396,14172,13864,13864,14140,13612,14808,14332,14100,14396,15440,16168,16368,16872,19512,20416,19872,20648,20732,21016,21440,20444
 "13000","Georgia",5,SQINC7H,300,"C","   Construction","Thousands of dollars",88760,94192,98084,98404,91272,86652,85404,85956,89540,96308,105716,112236,119880,125464,127652,130332,180300,180228,186224,190252,153160,151104,151912,155368,145952,147336,145904,149060,158524,165424,167652,166168,176608,185808,189684,190700,176068,177404,175968,176016
 "13000","Georgia",5,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",577076,580780,600232,600580,588560,564140,562720,549628,605504,646192,694508,740688,750164,776876,776520,782232,796884,798680,815684,885992,888124,904048,896016,870744,898320,887844,879804,908584,971776,1004688,1024520,1058468,1076080,1090624,1100508,1144848,1129920,1124324,1125192,1100656
 "13000","Georgia",5,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",208412,205224,215960,216008,209276,218224,207040,200696,207060,213104,225828,230372,242260,255768,250300,253500,265776,263928,273340,278172,275864,287184,288312,286744,281400,279180,280324,283116,286612,296152,305892,312676,325140,328236,323844,333024,342672,347188,350640,347972
 "13000","Georgia",5,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",362912,371840,380956,382400,379640,378024,374536,375032,388464,399888,417868,425572,451540,456576,459672,465868,483464,492000,498552,509088,517184,526468,532368,538540,540200,538336,540588,545836,568504,582004,599308,611992,649460,659232,667108,674424,671032,678016,690252,691296
 "13000","Georgia",5,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",67836,69952,71800,71964,73572,73856,73916,75764,79852,82796,85564,88856,94176,95324,96656,99488,105732,107564,110156,112612,116888,119648,121696,123692,122620,125428,129100,131536,137332,139760,143072,145244,158608,161912,164076,167460,166716,169036,171556,174400
 "13000","Georgia",5,SQINC7H,800,"I","   Services","Thousands of dollars",195704,201832,203332,204328,202184,201944,204164,211212,219944,221472,222924,229704,243828,243828,253136,258532,267380,269708,274152,278464,281292,287088,289172,291068,280708,283732,289788,300188,317240,324868,336052,345192,361584,371580,381984,388104,382892,388196,392576,394080
 "13000","Georgia",5,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",303972,309072,318612,329200,368284,375696,382992,385976,402508,416736,444196,482440,555812,598380,636536,667916,695932,713684,726940,733876,713224,711500,708900,709180,747720,749824,755144,760052,761356,768752,776708,787708,783712,794172,804264,811472,844616,853736,865408,879844
 "13000","Georgia",5,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",112140,112928,114976,118128,123060,125908,127252,127168,138808,141424,148160,158904,183464,195948,206300,214712,228460,233136,235424,235432,222532,220168,217880,215604,221224,220368,221500,224624,232340,237024,241332,245256,250860,253844,256072,257512,257572,260168,264492,270552
 "13000","Georgia",5,SQINC7H,920,"...","   Military","Thousands of dollars",80324,81300,82812,84976,116360,119512,121816,123524,123852,133140,150424,175424,216012,243236,265552,283552,285720,295440,301012,302732,290720,288240,285888,283396,319004,316336,314140,312096,305376,304760,304912,306156,283856,284992,285276,284572,299972,299060,298916,299668
 "13000","Georgia",5,SQINC7H,930,"...","   State and local","Thousands of dollars",111508,114844,120824,126096,128864,130276,133924,135284,139848,142172,145612,148112,156336,159196,164684,169652,181752,185108,190504,195712,199972,203092,205132,210180,207492,213120,219504,223332,223640,226968,230464,236296,248996,255336,262916,269388,287072,294508,302000,309624
"Note: See the included footnote file."
"SQINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
