GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "16000","Idaho",7,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",359404,362708,379012,384084,391668,388424,383760,382508,384780,400928,420624,434820,457756,471816,478360,486224,505260,506980,517480,531100,512508,519632,521372,519140,517480,516032,516820,525804,536844,549944,562552,574168,595840,608028,613824,625768,631668,636324,643548,643004
 "16000","Idaho",7,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",36204,35436,39268,41768,35756,34888,35856,37044,33152,32640,33108,32548,34564,35292,35668,34948,36664,36716,36368,33988,33600,33644,33552,31844,36596,35460,34100,33880,35284,34840,35612,35672,35280,36056,35892,35556,37916,37232,38204,38660
 "16000","Idaho",7,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",323200,327272,339744,342316,355912,353536,347904,345464,351628,368288,387516,402272,423192,436524,442692,451276,468596,470264,481112,497112,478908,485988,487820,487296,480884,480572,482720,491924,501560,515104,526940,538496,560560,571972,577932,590212,593752,599092,605344,604344
 "16000","Idaho",7,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",267876,270788,281080,281476,293116,289708,282712,279824,290704,306160,323112,335156,347372,357072,359392,364724,371004,370460,379240,393848,380632,387456,389264,388008,380704,379264,379808,387752,396808,408928,419304,428796,446304,455716,459552,470160,470280,473640,477592,473948
 "16000","Idaho",7,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",624,644,664,680,664,660,664,684,848,880,904,936,1044,1076,1092,1128,1144,1156,1176,1180,1208,1228,1252,1272,1296,1312,1316,1304,1420,1404,1404,1436,1436,1456,1468,1464,1576,1568,1576,1596
 "16000","Idaho",7,SQINC7H,200,"B","   Mining","Thousands of dollars",19116,17904,20160,19932,22260,21264,18048,16576,17676,21928,22980,23600,22076,22328,23096,23616,26720,24204,25092,26552,22948,22948,23408,22540,21380,20688,20352,20780,20180,21120,21392,22040,23448,24520,23876,24800,24404,24748,25232,24068
 "16000","Idaho",7,SQINC7H,300,"C","   Construction","Thousands of dollars",22648,24036,25036,25112,31056,29480,29052,29240,29832,32084,35212,37384,41636,43576,44340,45276,42696,42680,44104,45056,39912,39384,39592,40500,38208,38576,38192,39024,37832,39476,40004,39656,46116,48520,49524,49796,55244,55668,55212,55228
 "16000","Idaho",7,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",60736,61128,63180,63212,65592,62872,62712,61252,65580,69992,75228,80232,84736,87760,87712,88356,91528,91740,93688,101752,94960,96660,95800,93100,97880,96740,95868,99004,104016,107544,109664,113304,118832,120436,121528,126428,124632,124016,124112,121404
 "16000","Idaho",7,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",49676,48912,51476,51492,52300,54536,51736,50156,51496,53000,56168,57296,59060,62352,61016,61804,64400,63948,66236,67404,62732,65316,65568,65216,61056,60576,60828,61436,60256,62260,64308,65732,66872,67512,66608,68496,69448,70364,71068,70524
 "16000","Idaho",7,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",77616,79528,81476,81792,80772,80424,79688,79788,80924,83304,87056,88656,91068,92084,92708,93960,94956,96640,97928,100000,99620,101404,102544,103728,99856,99508,99932,100888,105388,107884,111096,113448,115152,116888,118284,119580,117428,118648,120796,120976
 "16000","Idaho",7,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",8704,8980,9208,9232,9760,9796,9800,10052,10760,11156,11528,11976,11700,11844,12004,12364,12404,12620,12924,13208,14532,14876,15132,15376,15220,15564,16024,16328,16684,16980,17384,17652,17956,18332,18576,18956,19312,19584,19884,20212
 "16000","Idaho",7,SQINC7H,800,"I","   Services","Thousands of dollars",28756,29656,29880,30024,30712,30676,31012,32076,33588,33816,34036,35076,36052,36052,37424,38220,37156,37472,38092,38696,44720,45640,45968,46276,45808,46300,47296,48988,51032,52260,54052,55528,56492,58052,59688,60640,58236,59044,59712,59940
 "16000","Idaho",7,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",55324,56484,58664,60840,62796,63828,65192,65640,60924,62128,64404,67116,75820,79452,83300,86552,97592,99804,101872,103264,98276,98532,98556,99288,100180,101308,102912,104172,104752,106176,107636,109700,114256,116256,118380,120052,123472,125452,127752,130396
 "16000","Idaho",7,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",18932,19072,19420,19948,20844,21332,21556,21544,18836,19192,20104,21564,24104,25744,27112,28208,30944,31576,31888,31884,31936,31596,31272,30944,30344,30228,30388,30816,31400,32032,32612,33152,35156,35572,35888,36084,37128,37504,38128,39004
 "16000","Idaho",7,SQINC7H,920,"...","   Military","Thousands of dollars",3672,3712,3788,3888,5444,5588,5696,5776,2752,2952,3344,3896,9740,10964,11968,12784,22736,23504,23952,24084,17988,17828,17684,17528,18348,18192,18060,17944,17724,17688,17700,17764,20292,20372,20392,20340,21800,21732,21720,21776
 "16000","Idaho",7,SQINC7H,930,"...","   State and local","Thousands of dollars",32720,33700,35456,37004,36508,36908,37940,38320,39336,39984,40956,41656,41976,42744,44220,45560,43912,44724,46032,47296,48352,49108,49600,50816,51488,52888,54464,55412,55628,56456,57324,58784,58808,60312,62100,63628,64544,66216,67904,69616
"Note: See the included footnote file."
"SQINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
