GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "17000","Illinois",3,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",10018784,10150992,10497804,10556424,10223292,10073196,9989924,9917756,10061620,10530476,11125000,11631704,11920784,12286320,12403504,12596228,12768400,12843156,13121820,13720456,13923240,14158624,14166368,14059420,13818436,13781660,13806228,14120732,14397220,14807988,15150808,15520520,15796256,16086980,16261920,16678300,16679184,16770184,16906708,16804724
 "17000","Illinois",3,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",95776,93764,103892,110504,94232,91948,94508,97596,91680,90252,91552,90000,94412,96388,97452,95472,92844,92980,92072,86068,81140,81256,81024,76908,80120,77628,74660,74180,76144,75192,76864,76972,73144,74760,74408,73720,77724,76316,78312,79252
 "17000","Illinois",3,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",9923008,10057228,10393912,10445920,10129060,9981248,9895416,9820160,9969940,10440224,11033448,11541704,11826372,12189932,12306052,12500756,12675556,12750176,13029748,13634388,13842100,14077368,14085344,13982512,13738316,13704032,13731568,14046552,14321076,14732796,15073944,15443548,15723112,16012220,16187512,16604580,16601460,16693868,16828396,16725472
 "17000","Illinois",3,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",8979092,9093656,9394028,9409356,9111456,8946788,8838352,8755048,8922460,9366452,9910868,10357404,10607268,10909100,10961036,11101540,11268080,11311872,11560640,12142908,12393160,12622940,12629348,12513384,12242820,12189516,12190872,12486092,12718852,13108856,13427624,13765064,14047568,14305520,14446960,14836804,14855508,14916576,15015944,14873684
 "17000","Illinois",3,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",8860,9208,9448,9568,9232,9120,9232,9468,9816,10168,10520,10872,11460,11820,12060,12420,14004,14132,14404,14400,13848,14100,14352,14600,14996,15256,15252,15124,17788,17636,17636,17936,17992,18292,18444,18436,20116,19956,20116,20436
 "17000","Illinois",3,SQINC7H,200,"B","   Mining","Thousands of dollars",199920,187248,210924,208520,192752,184084,156256,143480,151876,188392,197416,202728,184676,186760,193240,197632,182176,165044,171072,181044,169668,169668,173048,166640,160832,155632,153124,156348,156948,164296,166396,171460,169284,177064,172424,179048,174896,177320,180880,172468
 "17000","Illinois",3,SQINC7H,300,"C","   Construction","Thousands of dollars",484624,514288,535524,537264,556092,527960,520320,523680,495072,532512,584480,620512,659820,690536,702536,717336,770576,770292,795924,813128,841308,830068,834508,853444,818640,826372,818352,836096,859036,896432,908528,900464,990032,1041580,1063284,1069016,1060948,1069072,1060356,1060660
 "17000","Illinois",3,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",4049776,4075752,4212284,4214756,3985240,3819900,3810280,3721596,3866480,4126268,4434808,4729712,4820444,4992100,4989760,5026504,5131532,5143112,5252656,5705372,5883992,5989548,5936268,5768828,5557652,5492856,5443116,5621148,5793564,5989756,6108000,6310424,6393360,6479768,6538468,6801948,6732236,6698912,6704088,6557872
 "17000","Illinois",3,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",1048260,1032260,1086220,1086532,1059052,1104388,1047728,1015612,1043376,1073840,1137908,1160832,1197864,1264648,1237620,1253460,1279884,1271000,1316308,1339568,1314300,1368208,1373636,1366096,1350140,1339460,1344956,1358380,1356800,1401988,1448064,1480200,1506112,1520476,1500124,1542628,1559828,1580352,1596116,1583920
 "17000","Illinois",3,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",1865384,1911284,1958136,1965520,1924448,1916236,1898568,1901092,1910652,1966840,2055308,2093176,2169324,2193504,2208376,2238132,2229368,2268744,2298968,2347520,2371608,2414164,2441220,2469488,2457192,2448736,2459008,2482844,2521364,2581252,2657992,2714272,2778344,2820180,2853868,2885160,2925536,2955972,3009308,3013820
 "17000","Illinois",3,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",399380,411840,422652,423632,426036,427668,427992,438768,442192,458496,473844,492064,496972,503024,510020,524988,530172,539360,552328,564692,573740,587260,597320,607072,622316,636556,655228,667576,669800,681624,697788,708368,718720,733700,743492,758776,763704,774344,785892,798956
 "17000","Illinois",3,SQINC7H,800,"I","   Services","Thousands of dollars",922888,951776,958840,963564,958604,957432,967976,1001352,1002996,1009936,1016584,1047508,1066708,1066708,1107424,1131068,1130368,1140188,1158980,1177184,1224696,1249924,1258996,1267216,1261052,1274648,1301836,1348576,1343552,1375872,1423220,1461940,1473724,1514460,1556856,1581792,1618244,1640648,1659188,1665552
 "17000","Illinois",3,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",943916,963572,999884,1036564,1017604,1034460,1057064,1065112,1047480,1073772,1122580,1184300,1219104,1280832,1345016,1399216,1407476,1438304,1469108,1491480,1448940,1454428,1455996,1469128,1495496,1514516,1540696,1560460,1602224,1623940,1646320,1678484,1675544,1706700,1740552,1767776,1745952,1777292,1812452,1851788
 "17000","Illinois",3,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",266064,267924,272776,280248,289532,296228,299396,299204,288192,293632,307608,329928,352772,376780,396696,412872,426820,435556,439832,439836,441652,436948,432428,427912,420272,418660,420812,426728,430184,438860,446836,454096,437524,442740,446604,449128,448540,453068,460596,471148
 "17000","Illinois",3,SQINC7H,920,"...","   Military","Thousands of dollars",140464,142164,144824,148604,134724,138380,141032,143020,140556,151100,170720,199084,203096,228688,249676,266596,254996,263672,268648,270180,228752,226796,224936,222972,240392,238380,236728,235188,259052,258524,258656,259708,261648,262700,262956,262304,235016,234308,234192,234780
