GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "18000","Indiana",3,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",3571956,3614580,3742208,3763168,3678712,3610312,3584380,3547904,3775488,3962032,4197704,4399848,4662864,4816028,4857004,4927756,4993356,5020908,5129476,5392360,5638156,5732340,5724700,5660152,5240792,5219340,5219344,5344304,5598628,5763596,5892720,6044536,6089768,6199028,6265592,6438564,6402084,6427388,6473652,6421108
 "18000","Indiana",3,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",50560,49492,54832,58328,49740,48532,49884,51524,49292,48524,49224,48388,52212,53296,53884,52788,50772,50836,50348,47072,47464,47532,47396,44984,46236,44792,43080,42800,41832,41308,42228,42292,42380,43320,43116,42716,43092,42316,43416,43940
 "18000","Indiana",3,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",3521396,3565088,3687376,3704840,3628972,3561780,3534496,3496380,3726196,3913508,4148480,4351460,4610652,4762732,4803120,4874968,4942584,4970072,5079128,5345288,5590692,5684808,5677304,5615168,5194556,5174548,5176264,5301504,5556796,5722288,5850492,6002244,6047388,6155708,6222476,6395848,6358992,6385072,6430236,6377168
 "18000","Indiana",3,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",3208152,3244812,3354056,3358788,3271908,3199300,3163688,3122716,3337088,3515788,3735008,3918988,4116648,4242652,4256148,4305308,4381228,4396336,4493024,4750176,4980912,5072924,5064900,4997548,4630688,4602552,4593444,4710696,4987204,5144444,5264220,5403676,5433232,5529312,5582516,5744800,5693084,5706220,5737168,5668528
 "18000","Indiana",3,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",2784,2896,2972,3004,3388,3340,3388,3460,3528,3652,3780,3892,4000,4128,4216,4332,4884,4932,5020,5024,5044,5136,5232,5316,5688,5792,5792,5736,6036,5984,5984,6084,6276,6376,6428,6436,6784,6736,6784,6900
 "18000","Indiana",3,SQINC7H,200,"B","   Mining","Thousands of dollars",57004,53388,60144,59460,56352,53812,45680,41952,45208,56080,58764,60348,58444,59104,61160,62556,54684,49548,51352,54352,50920,50920,51932,50016,45276,43796,43096,44000,45232,47352,47964,49420,50580,52904,51520,53504,51208,51924,52964,50496
 "18000","Indiana",3,SQINC7H,300,"C","   Construction","Thousands of dollars",169876,180276,187720,188332,167176,158708,156412,157424,161260,173456,190384,202128,234492,245404,249676,254928,268340,268236,277168,283160,273160,269508,270952,277108,250864,253236,250780,256228,309128,322584,326936,324032,370608,389908,398032,400180,362324,365096,362116,362224
 "18000","Indiana",3,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",1764008,1775328,1834804,1835868,1781988,1708060,1703760,1664104,1820672,1943004,2088292,2227160,2318200,2400760,2399632,2417300,2453236,2458776,2511144,2727576,2923404,2975840,2949376,2866184,2589012,2558824,2535652,2618584,2820448,2915952,2973516,3072060,2974964,3015168,3042484,3165096,3178148,3162412,3164856,3095828
 "18000","Indiana",3,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",341328,336116,353688,353788,345052,359820,341364,330900,350696,360936,382468,390176,405700,428316,419164,424524,433148,430140,445468,453348,450604,469088,470952,468364,435164,431716,433484,437820,441692,456404,471400,481860,495760,500488,493784,507780,515972,522760,527968,523936
 "18000","Indiana",3,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",546740,560192,573924,576092,575596,573148,567860,568612,593580,611028,638512,650284,691880,699584,704332,713820,727576,740432,750296,766140,782036,796068,804988,814312,804652,801880,805244,813072,823748,843316,868380,886780,929652,943644,954924,965392,937072,946816,963904,965352
