GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "20000","Kansas",4,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",1191448,1203452,1251880,1264332,1310256,1302848,1286340,1278908,1284232,1342240,1415156,1474648,1640628,1696876,1719816,1751312,1886768,1894464,1936568,2006636,2036804,2067020,2070144,2057432,2069360,2062760,2065688,2104808,2075028,2129388,2175748,2223016,2207568,2249332,2269052,2318956,2332520,2348816,2371588,2363152
 "20000","Kansas",4,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",49352,48300,53524,56936,48524,47344,48656,50268,46264,45548,46200,45420,43572,44480,44968,44060,48492,48556,48096,44952,41212,41272,41152,39060,39808,38572,37092,36856,34596,34160,34920,34976,30820,31500,31356,31060,33344,32744,33592,33992
 "20000","Kansas",4,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",1142096,1155152,1198356,1207396,1261732,1255504,1237684,1228640,1237968,1296692,1368956,1429228,1597056,1652396,1674848,1707252,1838276,1845908,1888472,1961684,1995592,2025748,2028992,2018372,2029552,2024188,2028596,2067952,2040432,2095228,2140828,2188040,2176748,2217832,2237696,2287896,2299176,2316072,2337996,2329160
 "20000","Kansas",4,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",935676,944680,980460,981776,1018148,1007428,984352,973120,1002764,1054404,1113468,1156392,1320416,1359440,1365748,1384648,1487836,1487048,1522116,1590420,1585868,1615828,1619648,1607224,1612600,1604180,1603824,1639600,1601560,1651880,1692632,1732632,1710888,1744908,1757492,1802200,1803796,1814184,1828416,1810548
 "20000","Kansas",4,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1644,1708,1752,1768,1948,1928,1948,1992,2064,2140,2208,2288,2532,2612,2672,2744,3348,3380,3440,3436,2980,3040,3088,3136,3176,3228,3228,3204,3140,3112,3112,3168,3144,3192,3216,3216,3280,3252,3280,3332
 "20000","Kansas",4,SQINC7H,200,"B","   Mining","Thousands of dollars",55444,51928,58492,57836,63652,60788,51592,47372,48788,60528,63424,65136,69880,70664,73120,74772,80660,73080,75744,80156,77860,77860,79416,76476,80184,77600,76352,77960,80060,83804,84876,87464,86480,90460,88092,91472,87672,88892,90676,86456
 "20000","Kansas",4,SQINC7H,300,"C","   Construction","Thousands of dollars",70316,74620,77704,77960,81252,77148,76028,76520,78160,84072,92272,97960,117804,123292,125432,128076,127860,127812,132064,134920,130404,128652,129344,132280,134908,136180,134860,137784,140000,146100,148072,146756,149720,157516,160800,161668,137404,138452,137332,137368
 "20000","Kansas",4,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",245352,246924,255200,255348,279484,267880,267208,260988,276344,294920,316968,338044,434444,449916,449708,453012,524680,525872,537064,583360,584212,594700,589408,572776,586020,579188,573944,592720,551692,570376,581636,600908,578588,586400,591712,615552,648256,645056,645556,631472
 "20000","Kansas",4,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",205244,202112,212676,212732,207264,216144,205048,198764,202376,208284,220716,225160,241392,254840,249400,252588,262424,260604,269892,274660,271792,282944,284064,282508,273012,270848,271960,274664,267356,276252,285336,291672,289084,291840,287936,296088,293220,297072,300032,297744
 "20000","Kansas",4,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",222060,227524,233108,233988,240948,239932,237716,238032,243824,250996,262284,267120,284708,287880,289836,293744,304636,310020,314160,320792,317656,323356,326980,330768,328968,327836,329208,332412,338416,346448,356748,364300,363220,368688,373092,377176,373508,377396,384208,384788
 "20000","Kansas",4,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",32056,33056,33928,34004,36388,36524,36552,37468,40260,41744,43144,44808,47368,47948,48620,50040,51960,52860,54132,55344,56940,58288,59284,60244,61468,62876,64728,65944,65220,66368,67948,68980,72080,73576,74564,76088,77236,78308,79476,80800
 "20000","Kansas",4,SQINC7H,800,"I","   Services","Thousands of dollars",103560,106808,107600,108140,107212,107084,108260,111984,110948,111720,112452,115876,122288,122288,126960,129672,132268,133420,135620,137752,144024,146988,148064,149036,144864,146424,149544,154912,155676,159420,164904,169384,168572,173236,178080,180940,183220,185756,187856,188588
 "20000","Kansas",4,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",206420,210472,217896,225620,243584,248076,253332,255520,235204,242288,255488,272836,276640,292956,309100,322604,350440,358860,366356,371264,409724,409920,409344,411148,416952,420008,424772,428352,438872,443348,448196,455408,465860,472924,480204,485696,495380,501888,509580,518612
 "20000","Kansas",4,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",55364,55756,56764,58324,60604,62000,62656,62624,59800,60928,63832,68464,70164,74932,78900,82112,89376,91200,92100,92100,93556,92556,91596,90644,95640,95276,95768,97112,98440,100424,102252,103916,108284,109568,110528,111152,111896,113028,114912,117548
 "20000","Kansas",4,SQINC7H,920,"...","   Military","Thousands of dollars",48276,48860,49768,51072,66608,68424,69736,70720,52084,55988,63256,73764,72168,81260,88720,94736,114168,118048,120284,120972,154660,153336,152076,150756,148916,147664,146640,145688,151732,151424,151496,152116,155104,155728,155880,155492,157704,157232,157152,157548
 "20000","Kansas",4,SQINC7H,930,"...","   State and local","Thousands of dollars",102780,105856,111364,116224,116372,117652,120940,122176,123320,125372,128400,130608,134308,136764,141480,145756,146896,149612,153972,158192,161508,164028,165672,169748,172396,177068,182364,185552,188700,191500,194448,199376,202472,207628,213796,219052,225780,231628,237516,243516
"Note: See the included footnote file."
"SQINC7H: Wages and Salaries by Industry (Historical) 1/"
