GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "21000","Kentucky",5,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",1501112,1506572,1574720,1586392,1528444,1512868,1482448,1467520,1542936,1633988,1726640,1808960,1932792,2006488,2048068,2093512,2165708,2168460,2217732,2292664,2310144,2336932,2341712,2327672,2210860,2202648,2204380,2245756,2287824,2348228,2397700,2450588,2437376,2485396,2505532,2563580,2606968,2624744,2650412,2636012
 "21000","Kentucky",5,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",42732,41828,46352,49308,42124,41092,42240,43628,39628,39012,39572,38900,39128,39956,40388,39568,40316,40368,39980,37376,34888,34932,34840,33072,34972,33888,32584,32380,31284,30892,31576,31628,32108,32808,32664,32360,34664,34032,34920,35336
 "21000","Kentucky",5,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",1458380,1464744,1528368,1537084,1486320,1471776,1440208,1423892,1503308,1594976,1687068,1770060,1893664,1966532,2007680,2053944,2125392,2128092,2177752,2255288,2275256,2302000,2306872,2294600,2175888,2168760,2171796,2213376,2256540,2317336,2366124,2418960,2405268,2452588,2472868,2531220,2572304,2590712,2615492,2600676
 "21000","Kentucky",5,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",1201760,1203736,1259384,1259248,1220376,1200620,1163552,1144884,1203328,1283772,1354604,1408244,1486300,1527100,1539420,1561976,1643884,1634048,1674164,1746524,1772516,1800244,1806740,1793976,1701368,1692120,1691104,1729328,1766404,1822576,1866324,1911808,1948660,1989148,2002472,2055600,2082936,2094968,2112064,2088168
 "21000","Kentucky",5,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",2676,2784,2852,2880,2924,2888,2924,2984,3108,3220,3328,3440,3456,3564,3632,3752,4236,4280,4356,4364,4576,4660,4740,4828,4712,4792,4796,4756,5132,5088,5088,5176,5252,5336,5380,5376,5892,5844,5892,5984
 "21000","Kentucky",5,SQINC7H,200,"B","   Mining","Thousands of dollars",194880,182528,205608,203276,168676,161092,136740,125564,145328,180268,188896,193984,184252,186332,192804,197192,180780,163792,169764,179664,169412,169412,172792,166388,146228,141512,139228,142156,142936,149636,151548,156168,167656,175368,170772,177328,174976,177404,180960,172552
 "21000","Kentucky",5,SQINC7H,300,"C","   Construction","Thousands of dollars",68748,72960,75972,76228,75524,71708,70672,71128,71464,76864,84368,89568,133356,139564,141992,144980,229124,229040,236664,241776,227588,224548,225752,230876,174176,175824,174116,177892,143116,149352,151360,150016,145424,152992,156180,157024,147172,148296,147088,147132
 "21000","Kentucky",5,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",354704,356976,368936,369156,368472,353184,352292,344092,370416,395300,424864,453116,471320,488104,487876,491472,484852,485944,496292,539076,575600,585924,580716,564336,566456,559852,554784,572920,636704,658268,671256,693504,702360,711852,718292,747244,755992,752260,752840,736416
 "21000","Kentucky",5,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",191244,188328,198168,198228,187584,195608,185572,179884,183700,189068,200348,204384,213904,225824,221000,223832,226576,225008,233024,237140,229388,238796,239748,238436,230712,228892,229832,232128,224028,231492,239096,244400,259428,261904,258400,265724,274104,277716,280484,278344
 "21000","Kentucky",5,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",229376,235024,240788,241700,246480,245432,243168,243488,246012,253248,264632,269512,280840,283972,285896,289748,302868,308220,312324,318920,329400,335308,339060,342996,339468,338304,339724,343020,352944,361328,372072,379952,383708,389484,394144,398460,405720,409940,417344,417968
