GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "24000","Maryland",2,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",2106364,2136592,2205780,2225036,2182704,2163756,2154600,2146056,2219020,2311360,2443836,2568104,2712332,2818116,2868864,2929352,3062716,3093236,3157148,3269136,3329448,3371816,3370216,3349660,3314072,3307092,3314132,3379848,3485408,3575040,3651792,3730816,3852988,3921832,3963968,4049420,4113232,4138104,4173708,4165872
 "24000","Maryland",2,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",32036,31356,34752,36964,31540,30772,31632,32672,34544,34012,34496,33916,34424,35144,35524,34808,32420,32468,32156,30056,30712,30760,30676,29116,31220,30252,29096,28908,30160,29784,30444,30492,29068,29712,29568,29296,30040,29492,30268,30620
 "24000","Maryland",2,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",2074328,2105236,2171028,2188072,2151164,2132984,2122968,2113384,2184476,2277348,2409340,2534188,2677908,2782972,2833340,2894544,3030296,3060768,3124992,3239080,3298736,3341056,3339540,3320544,3282852,3276840,3285036,3350940,3455248,3545256,3621348,3700324,3823920,3892120,3934400,4020124,4083192,4108612,4143440,4135252
 "24000","Maryland",2,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",1665220,1690152,1744276,1747668,1699192,1671888,1653792,1641624,1708448,1786948,1889944,1973592,2057796,2118236,2128756,2157188,2221916,2232536,2282576,2389896,2459372,2504852,2507276,2489376,2445172,2437028,2438620,2497064,2574224,2653168,2718048,2783140,2893684,2949192,2979552,3056664,3112320,3126344,3146148,3119112
 "24000","Maryland",2,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",6756,7032,7212,7300,8056,7956,8056,8256,8152,8444,8732,9032,8456,8716,8896,9164,8912,9000,9160,9164,9320,9492,9664,9840,9304,9460,9456,9380,9472,9392,9392,9556,9608,9768,9844,9844,9800,9720,9800,9936
 "24000","Maryland",2,SQINC7H,200,"B","   Mining","Thousands of dollars",9732,9116,10268,10152,9236,8816,7480,6868,6492,8064,8448,8668,8380,8480,8772,8968,8912,8080,8372,8860,8492,8492,8672,8348,9388,9084,8940,9128,9912,10380,10508,10836,11000,11508,11204,11628,11996,12160,12400,11828
 "24000","Maryland",2,SQINC7H,300,"C","   Construction","Thousands of dollars",134788,143044,148944,149436,140616,133508,131572,132420,150836,162240,178072,189048,193328,202328,205848,210188,212524,212448,219516,224256,224856,221848,223036,228100,218276,220336,218200,222932,240048,250496,253876,251624,280240,294832,300976,302592,291728,293960,291564,291648
 "24000","Maryland",2,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",688016,692428,715628,716036,685452,657012,655356,640104,649304,692932,744744,794268,848704,878928,878520,884996,918900,920976,940592,1021664,1062568,1081628,1072016,1041772,1027140,1015168,1005972,1038876,1078308,1114820,1136828,1174500,1215976,1232412,1243572,1293696,1321164,1314620,1315644,1286948
 "24000","Maryland",2,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",239548,235888,248220,248300,236472,246596,233944,226776,236296,243200,257708,262900,275660,291032,284812,288456,294520,292472,302896,308252,310408,323136,324408,322636,302044,299652,300888,303888,307312,317544,327980,335268,359576,363008,358148,368292,380044,385052,388896,385920
 "24000","Maryland",2,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",311556,319224,327056,328284,328348,326940,323932,324360,337952,347892,363540,370240,388584,392916,395584,400916,417396,424768,430424,439520,449712,457780,462912,468276,467796,466188,468136,472684,487260,498840,513664,524540,537640,545732,552252,558308,573476,579448,589904,590796
 "24000","Maryland",2,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",73204,75488,77472,77652,78908,79212,79272,81280,85440,88588,91556,95072,95236,96388,97740,100604,105312,107140,109716,112168,115424,118140,120172,122132,121936,124728,128380,130804,132264,134596,137788,139880,143932,146932,148900,151964,153644,155784,158104,160744
 "24000","Maryland",2,SQINC7H,800,"I","   Services","Thousands of dollars",201620,207932,209476,210508,212104,211848,214180,221560,233976,235588,237144,244364,239448,239448,248584,253896,255440,257652,261900,266012,278592,284336,286396,288272,289288,292412,298648,309372,309648,317100,328012,336936,335712,345000,354656,360340,370468,375600,379836,381292
 "24000","Maryland",2,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",409108,415084,426752,440404,451972,461096,469176,471760,476028,490400,519396,560596,620112,664736,704584,737356,808380,828232,842416,849184,839364,836204,832264,831168,837680,839812,846416,853876,881024,892088,903300,917184,930236,942928,954848,963460,970872,982268,997292,1016140
 "24000","Maryland",2,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",211192,212672,216520,222448,228272,233556,236052,235904,235764,240212,251648,269908,295028,315104,331760,345300,359092,366440,370036,370044,365888,361988,358244,354496,369312,367896,369788,374996,400376,408452,415872,422628,425152,430224,433976,436424,444208,448692,456156,466608
 "24000","Maryland",2,SQINC7H,920,"...","   Military","Thousands of dollars",80304,81280,82796,84956,85684,88008,89696,90964,101380,108984,123128,143596,172616,194372,212208,226588,270520,279720,284996,286624,274928,272576,270352,268000,257536,255376,253596,251956,245952,245452,245580,246576,244508,245488,245724,245116,232708,232008,231892,232484
 "24000","Maryland",2,SQINC7H,930,"...","   State and local","Thousands of dollars",117612,121132,127436,133000,138016,139532,143428,144892,138884,141204,144620,147092,152468,155260,160616,165468,178768,182072,187384,192516,198548,201640,203668,208672,210832,216540,223032,226924,234696,238184,241848,247980,260576,267216,275148,281920,293956,301568,309244,317048
"Note: See the included footnote file."
"SQINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
