GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "26000","Michigan",3,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",6692104,6781124,7009016,7047776,6953824,6805496,6774328,6706324,7162380,7521336,7973984,8371460,8582764,8847728,8915904,9036936,9264476,9316332,9517520,10039228,10856772,11040548,11022576,10891368,10413528,10374000,10372740,10633440,11204272,11537232,11793084,12104812,11666136,11876796,12014440,12355628,12114300,12161944,12249492,12147624
 "26000","Michigan",3,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",61120,59828,66292,70516,60028,58564,60192,62176,58808,57892,58724,57728,59824,61084,61752,60492,62108,62196,61588,57568,56196,56276,56116,53268,52024,50408,48484,48172,48720,48112,49180,49252,48768,49844,49612,49152,53784,52816,54196,54844
 "26000","Michigan",3,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",6630984,6721296,6942724,6977260,6893796,6746932,6714136,6644148,7103572,7463444,7915260,8313732,8522940,8786644,8854152,8976444,9202368,9254136,9455932,9981660,10800576,10984272,10966460,10838100,10361504,10323592,10324256,10585268,11155552,11489120,11743904,12055560,11617368,11826952,11964828,12306476,12060516,12109128,12195296,12092780
 "26000","Michigan",3,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",6045084,6121156,6316604,6326428,6232788,6076444,6027448,5951620,6415260,6760344,7186280,7555520,7725376,7957244,7987336,8077460,8278820,8311192,8490032,8996780,9815404,9990944,9968640,9825300,9326624,9269448,9246436,9491680,10054180,10372248,10610908,10897680,10395816,10579164,10687112,11003924,10759488,10780544,10837380,10703520
 "26000","Michigan",3,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",8040,8364,8580,8688,7812,7716,7812,8008,8252,8548,8852,9140,9760,10060,10268,10568,11608,11720,11936,11932,11936,12152,12364,12592,13028,13248,13248,13136,13180,13072,13072,13288,14204,14432,14552,14552,14936,14820,14936,15176
 "26000","Michigan",3,SQINC7H,200,"B","   Mining","Thousands of dollars",43856,41076,46264,45740,53360,50968,43264,39724,47268,58628,61440,63092,66556,67316,69652,71236,73960,67012,69456,73508,87768,87768,89528,86200,81992,79336,78060,79704,79560,83284,84360,86924,90268,94420,91944,95484,97160,98508,100484,95808
 "26000","Michigan",3,SQINC7H,300,"C","   Construction","Thousands of dollars",274208,291000,303016,304000,282408,268112,264232,265940,290772,312752,343276,364440,398868,417436,424692,433636,468004,467832,483404,493836,542176,534932,537792,550004,571360,576756,571160,583548,600084,626208,634652,629024,641264,674656,688720,692428,610000,614672,609652,609828
 "26000","Michigan",3,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",3608236,3631380,3753028,3755212,3734196,3579276,3570264,3487160,3810396,4066416,4370480,4661108,4656404,4822236,4819972,4855468,4961872,4973072,5078992,5516744,6139464,6249604,6194016,6019300,5520452,5456096,5406680,5583524,6031108,6235340,6358436,6569160,5998372,6079440,6134516,6381720,6252040,6221088,6225892,6090104
 "26000","Michigan",3,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",443296,436524,459340,459472,460504,480220,455580,441612,475380,489256,518452,528904,541196,571364,559160,566320,583828,579784,600448,611060,633708,659700,662312,658684,642096,637012,639624,646008,679688,702308,725396,741500,751004,758168,748012,769212,770416,780548,788332,782308
 "26000","Michigan",3,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",1017104,1042124,1067676,1071700,1030868,1026484,1017012,1018368,1066108,1097456,1146824,1167952,1237256,1251044,1259528,1276496,1271380,1293840,1311072,1338768,1403468,1428652,1444660,1461392,1461212,1456180,1462288,1476468,1520948,1557080,1603368,1637312,1644072,1668820,1688760,1707276,1685816,1703352,1734092,1736700
 "26000","Michigan",3,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",156000,160872,165092,165488,164556,165188,165316,169472,175164,181624,187700,194916,201296,203748,206584,212644,216760,220516,225824,230876,241272,246956,251192,255284,261120,267100,274932,280112,284632,289652,296532,301024,314520,321076,325352,332048,331424,336036,341052,346724
 "26000","Michigan",3,SQINC7H,800,"I","   Services","Thousands of dollars",494344,509816,513608,516128,499084,498480,503968,521336,541920,545664,549256,565968,614040,614040,637480,651092,691408,697416,708900,720056,755612,771180,776776,781844,775364,783720,800444,829180,844980,865304,895092,919448,942112,968152,995256,1011204,997696,1011520,1022940,1026872
 "26000","Michigan",3,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",585900,600140,626120,650832,661008,670488,686688,692528,688312,703100,728980,758212,797564,829400,866816,898984,923548,942944,965900,984880,985172,993328,997820,1012800,1034880,1054144,1077820,1093588,1101372,1116872,1132996,1157880,1221552,1247788,1277716,1302552,1301028,1328584,1357916,1389260
 "26000","Michigan",3,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",109280,110048,112040,115108,119432,122200,123504,123424,122944,125268,131224,140748,148700,158816,167212,174032,160772,164068,165676,165676,167976,166180,164464,162744,164352,163716,164560,166876,169728,173152,176300,179164,185624,187832,189476,190544,193044,194996,198236,202768
 "26000","Michigan",3,SQINC7H,920,"...","   Military","Thousands of dollars",44808,45356,46200,47408,47676,48972,49908,50624,52348,56268,63576,74144,91420,102944,112388,119996,128520,132896,135404,136172,115752,114764,113820,112832,104612,103740,103020,102344,104872,104660,104716,105136,110312,110748,110856,110588,107144,106828,106776,107036
 "26000","Michigan",3,SQINC7H,930,"...","   State and local","Thousands of dollars",431812,444736,467880,488316,493900,499316,513276,518480,513020,521564,534180,543320,557444,567640,587216,604956,634256,645980,664820,683032,701444,712384,719536,737224,765916,786688,810240,824368,826772,839060,851980,873580,925616,949208,977384,1001420,1000840,1026760,1052904,1079456
"Note: See the included footnote file."
"SQINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
