GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "28000","Mississippi",5,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",684332,693232,719584,729220,727852,722888,720708,721116,749464,777828,818956,856384,895028,927356,946556,966400,981524,990664,1010168,1038904,1043984,1057788,1059396,1054160,1073472,1071444,1074020,1093048,1123852,1149624,1174452,1199332,1233232,1255848,1269348,1294760,1292684,1301264,1315096,1313912
 "28000","Mississippi",5,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",49992,48936,54224,57676,49364,48164,49504,51136,49200,48436,49128,48300,49136,50164,50708,49680,54712,54780,54256,50716,57956,58052,57872,54936,53156,51512,49540,49228,50996,50360,51476,51560,52568,53728,53480,52984,52476,51516,52868,53500
 "28000","Mississippi",5,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",634340,644296,665360,671544,678488,674724,671204,669980,700264,729392,769828,808084,845892,877192,895848,916720,926812,935884,955912,988188,986028,999736,1001524,999224,1020316,1019932,1024480,1043820,1072856,1099264,1122976,1147772,1180664,1202120,1215868,1241776,1240208,1249748,1262228,1260412
 "28000","Mississippi",5,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",494756,502104,518308,519340,517072,510336,503440,500928,527480,550696,580044,603328,631396,647928,652676,661996,678780,681716,696496,725444,726352,739940,742088,738640,746408,744068,745512,762456,788596,812036,832576,852716,883036,899952,909048,931440,937920,943248,950728,943044
 "28000","Mississippi",5,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",3580,3724,3816,3864,4352,4300,4352,4468,4652,4820,4984,5156,5244,5412,5516,5676,6096,6156,6268,6268,6748,6872,6988,7112,7108,7232,7232,7168,7504,7440,7440,7568,7708,7828,7888,7892,7616,7556,7616,7724
 "28000","Mississippi",5,SQINC7H,200,"B","   Mining","Thousands of dollars",13520,12660,14264,14100,12952,12364,10496,9632,8252,10232,10720,11008,11532,11660,12068,12344,14056,12736,13200,13972,14620,14620,14912,14364,16312,15780,15528,15856,17096,17892,18124,18680,20136,21060,20508,21304,26024,26380,26908,25660
 "28000","Mississippi",5,SQINC7H,300,"C","   Construction","Thousands of dollars",35068,37212,38752,38876,45060,42776,42160,42428,38140,41020,45020,47804,55548,58128,59144,60396,52864,52844,54612,55792,55292,54552,54840,56084,50736,51212,50720,51816,54744,57132,57892,57388,56764,59716,60960,61284,62792,63268,62756,62772
 "28000","Mississippi",5,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",157708,158716,164036,164128,149928,143712,143348,140016,159604,170324,183060,195240,199756,206876,206780,208296,220716,221212,225924,245392,247932,252384,250144,243084,255280,252308,250024,258204,272716,281956,287520,297044,309096,313276,316116,328864,336880,335208,335468,328152
 "28000","Mississippi",5,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",67968,66924,70428,70448,70208,73208,69452,67316,69144,71156,75408,76932,80832,85336,83508,84584,86348,85752,88808,90380,90264,93964,94340,93820,94500,93748,94132,95080,93664,96784,99960,102184,107728,108760,107300,110344,112972,114452,115596,114712
 "28000","Mississippi",5,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",124544,127616,130740,131224,135560,134984,133740,133916,137880,141936,148320,151052,156768,158512,159588,161740,167028,169976,172244,175876,173608,176724,178708,180780,180224,179604,180356,182096,184228,188608,194220,198328,203964,207032,209512,211800,200780,202876,206536,206852
