GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "38000","North Dakota",4,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",291352,295092,308056,313684,321404,320940,319584,320708,316408,325100,339292,348680,348272,358092,363420,369484,374204,376900,384364,390660,392632,398304,400548,401072,417812,417904,419612,425984,403124,412436,422368,430296,432220,441372,446128,453228,460308,465068,471468,473316
 "38000","North Dakota",4,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",40100,39256,43496,46260,39432,38472,39544,40848,36936,36356,36880,36256,36068,36828,37224,36476,32344,32384,32080,29984,30576,30620,30536,28984,31164,30192,29036,28856,26360,26028,26612,26652,26904,27504,27376,27124,26920,26432,27124,27452
 "38000","North Dakota",4,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",251252,255836,264560,267424,281972,282468,280040,279860,279472,288744,302412,312424,312204,321264,326196,333008,341860,344516,352284,360676,362056,367684,370012,372088,386648,387712,390576,397128,376764,386408,395756,403644,405316,413868,418752,426104,433388,438636,444344,445864
 "38000","North Dakota",4,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",191912,195240,201620,202120,214580,214016,210092,209440,210848,218764,229924,236932,238328,244404,245924,249812,259524,260508,266412,273328,274532,279684,281812,282892,296520,296276,297372,302596,283596,291840,299776,305664,306704,313324,316092,321700,330508,333836,337368,336472
 "38000","North Dakota",4,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",456,476,484,492,912,904,912,936,916,948,988,1008,1380,1424,1448,1492,960,964,976,984,1436,1456,1488,1504,1472,1496,1492,1480,1864,1852,1852,1880,1740,1764,1776,1780,1756,1740,1756,1780
 "38000","North Dakota",4,SQINC7H,200,"B","   Mining","Thousands of dollars",2960,2776,3128,3092,3928,3748,3180,2920,2928,3632,3804,3912,4252,4300,4456,4556,9276,8400,8704,9208,11596,11596,11824,11388,11920,11552,11364,11604,10112,10588,10724,11056,10536,11024,10736,11140,11368,11524,11756,11208
 "38000","North Dakota",4,SQINC7H,300,"C","   Construction","Thousands of dollars",19440,20632,21488,21560,25280,23996,23648,23804,23736,25528,28020,29748,28660,29996,30516,31160,32084,32068,33136,33856,32764,32324,32496,33236,44592,45008,44576,45532,33356,34812,35276,34972,38688,40704,41556,41776,45232,45572,45204,45220
 "38000","North Dakota",4,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",16612,16712,17272,17288,17868,17120,17084,16680,15808,16868,18132,19344,18500,19152,19148,19292,20092,20136,20564,22344,20964,21344,21144,20552,22200,21944,21740,22452,21540,22272,22708,23460,21604,21888,22092,22988,24724,24612,24628,24088
 "38000","North Dakota",4,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",44416,43744,46036,46040,46716,48720,46216,44796,45084,46404,49172,50164,50604,53432,52288,52960,54680,54304,56240,57232,56280,58592,58820,58496,57104,56656,56884,57456,55128,56960,58836,60144,61380,61968,61136,62868,63152,63988,64628,64132
 "38000","North Dakota",4,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",76868,78764,80696,81004,84544,84196,83416,83528,84368,86844,90752,92428,93564,94608,95248,96528,96720,98432,99744,101836,99628,101412,102552,103748,106196,105832,106276,107304,107724,110284,113568,115976,114608,116328,117720,119016,120440,121688,123884,124064
