GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "91000","New England",1,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",9280608,9416272,9721384,9783848,9379736,9223156,9194528,9141628,9385976,9809980,10371760,10873764,11257736,11613368,11741948,11928124,11897248,11990884,12242020,12827272,12959124,13167476,13160500,13046620,12937656,12906940,12928984,13226332,13236312,13600720,13904640,14244872,14486664,14745812,14919356,15299772,15381208,15454652,15575996,15492000
 "91000","New England",1,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",123012,120408,133412,141904,120788,117848,121144,125092,124868,122944,124700,122596,127356,130028,131448,128776,116188,116328,115216,107696,106048,106200,105876,100504,97836,94800,91180,90596,98016,96792,98944,99112,104340,106636,106152,105172,116844,114748,117728,119148
 "91000","New England",1,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",9157596,9295864,9587972,9641944,9258948,9105308,9073384,9016536,9261108,9687036,10247060,10751168,11130380,11483340,11610500,11799348,11781060,11874556,12126804,12719576,12853076,13061276,13054624,12946116,12839820,12812140,12837804,13135736,13138296,13503928,13805696,14145760,14382324,14639176,14813204,15194600,15264364,15339904,15458268,15372852
 "91000","New England",1,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",8173488,8291336,8545880,8561756,8137692,7965220,7908244,7842156,8104532,8500080,9004100,9437208,9717872,9993792,10042896,10166104,10115832,10171320,10387552,10955284,11058784,11262584,11255776,11134432,11010836,10964088,10962528,11240048,11255332,11597720,11875196,12179980,12397068,12620096,12758168,13111364,13146748,13189688,13270436,13141892
 "91000","New England",1,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",38980,40532,41572,42092,39280,38784,39280,40252,42092,43596,45108,46616,49036,50560,51580,53108,51352,51816,52784,52780,47332,48188,49060,49928,48252,49068,49080,48672,48608,48188,48188,49008,51484,52324,52740,52740,52336,51916,52336,53168
 "91000","New England",1,SQINC7H,200,"B","   Mining","Thousands of dollars",9608,9000,10140,10028,11588,11072,9392,8628,8404,10440,10928,11216,12108,12252,12672,12960,12352,11200,11584,12276,13568,13568,13844,13328,15056,14564,14328,14628,15820,16556,16764,17284,18528,19376,18872,19624,20040,20296,20708,19756
 "91000","New England",1,SQINC7H,300,"C","   Construction","Thousands of dollars",390456,414376,431476,432872,436104,414020,408024,410664,426836,459116,503912,535004,543260,568552,578456,590636,578324,578100,597364,610252,606984,598884,602076,615752,649856,655976,649620,663684,722456,753920,764084,757300,794344,835720,853124,857720,859944,866524,859452,859692
 "91000","New England",1,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",4337372,4365196,4511412,4514064,4125052,3953908,3943944,3852164,4049612,4321704,4644872,4953736,5157032,5340700,5338204,5377504,5353824,5365904,5480184,5952516,5991248,6098748,6044496,5874012,5603588,5538240,5488100,5667592,5650852,5842232,5957560,6154980,6247192,6331620,6388976,6646460,6585664,6553064,6558136,6415096
 "91000","New England",1,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",664492,654352,688576,688776,655772,683844,648744,628876,638208,656856,696036,710056,708352,747824,731848,741216,769680,764352,791584,805576,805644,838704,842016,837412,864232,857400,860904,869504,863048,891780,921080,941528,962820,972004,958996,986172,991692,1004728,1014748,1007000
 "91000","New England",1,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",1523692,1561168,1599440,1605480,1593404,1586612,1571984,1574080,1603360,1650516,1724748,1756532,1799572,1819628,1831972,1856652,1812860,1844872,1869476,1908940,1937004,1971772,1993856,2016932,2063712,2056608,2065236,2085288,2079764,2129156,2192472,2238912,2271944,2306148,2333720,2359304,2375612,2400336,2443644,2447308
 "91000","New England",1,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",374504,386212,396360,397280,402996,404544,404844,415040,419820,435316,449884,467192,473592,479356,486020,500288,498416,507040,519264,530876,536500,549136,558544,567664,582992,596320,613824,625396,622812,633808,648840,658680,671220,685228,694368,708644,726308,736412,747396,759824
 "91000","New England",1,SQINC7H,800,"I","   Services","Thousands of dollars",834384,860500,866904,871164,873496,872436,882032,912452,916200,922536,928612,956856,974920,974920,1012144,1033740,1039024,1048036,1065312,1082068,1120504,1143584,1151884,1159404,1183148,1195912,1221436,1265284,1251972,1282080,1326208,1362288,1379536,1417676,1457372,1480700,1535152,1556412,1574016,1580048
 "91000","New England",1,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",984108,1004528,1042092,1080188,1121256,1140088,1165140,1174380,1156576,1186956,1242960,1313960,1412508,1489548,1567604,1633244,1665228,1703236,1739252,1764292,1794292,1798692,1798848,1811684,1828984,1848052,1875276,1895688,1882964,1906208,1930500,1965780,1985256,2019080,2055036,2083236,2117616,2150216,2187832,2230960
 "91000","New England",1,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",269788,271704,276628,284208,294332,301144,304360,304148,291052,296552,310660,333196,386332,412632,434428,452156,473804,483504,488264,488256,498004,492708,487612,482508,468528,466740,469144,475688,478356,488016,496860,504956,512732,518832,523364,526308,531876,537240,546184,558708
 "91000","New England",1,SQINC7H,920,"...","   Military","Thousands of dollars",162100,164080,167132,171504,182912,187872,191492,194168,179396,192852,217888,254104,296584,333976,364620,389320,403624,417368,425240,427672,436192,432468,428944,425208,451996,448224,445092,442200,430460,429584,429800,431528,456160,457980,458460,457308,478608,477172,476932,478132
 "91000","New England",1,SQINC7H,930,"...","   State and local","Thousands of dollars",552220,568744,598332,624476,644012,651072,669288,676064,686128,697552,714412,726660,729592,742940,768556,791768,787800,802364,825748,848364,860096,873516,882292,903968,908460,933088,961040,977800,974148,988608,1003840,1029296,1016364,1042268,1073212,1099620,1107132,1135804,1164716,1194120
"Note: See the included footnote file."
"SQINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
