GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "31000","Nebraska",4,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",796648,808616,838292,848220,858492,855336,850756,850744,873292,902448,946476,981056,1021412,1052808,1066872,1085976,1106428,1115976,1139144,1170976,1174684,1193588,1197372,1195552,1217096,1216872,1222408,1244384,1253868,1284912,1314936,1342236,1322056,1346880,1361212,1388300,1362916,1374440,1390012,1391088
 "31000","Nebraska",4,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",45516,44552,49372,52512,44724,43636,44852,46324,44608,43916,44540,43788,44260,45184,45676,44752,44456,44516,44096,41212,42396,42456,42332,40184,40996,39728,38204,37956,35860,35412,36196,36264,33692,34440,34280,33960,37292,36624,37572,38024
 "31000","Nebraska",4,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",751132,764064,788920,795708,813768,811700,805904,804420,828684,858532,901936,937268,977152,1007624,1021196,1041224,1061972,1071460,1095048,1129764,1132288,1151132,1155040,1155368,1176100,1177144,1184204,1206428,1218008,1249500,1278740,1305972,1288364,1312440,1326932,1354340,1325624,1337816,1352440,1353064
 "31000","Nebraska",4,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",615596,625752,645416,646936,662836,658280,649192,646608,664048,690160,726432,752656,787300,808568,812544,824456,840228,844968,863888,895300,898916,917092,920916,919420,929832,928168,931248,950240,949736,977692,1003284,1025420,1004756,1023980,1033332,1056700,1037276,1044940,1054320,1048944
 "31000","Nebraska",4,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1536,1600,1644,1656,2024,1996,2024,2072,2176,2252,2328,2404,2632,2712,2772,2864,3196,3228,3284,3284,3184,3244,3308,3356,3580,3640,3640,3612,3708,3684,3684,3740,3176,3224,3256,3256,3916,3884,3916,3980
 "31000","Nebraska",4,SQINC7H,200,"B","   Mining","Thousands of dollars",1884,1760,1980,1964,2284,2188,1852,1700,2660,3300,3460,3548,4660,4712,4884,4992,6636,6012,6228,6596,6616,6616,6748,6500,8316,8048,7920,8084,10644,11140,11288,11632,10956,11456,11160,11584,10784,10940,11160,10640
 "31000","Nebraska",4,SQINC7H,300,"C","   Construction","Thousands of dollars",48416,51376,53500,53672,57656,54740,53944,54296,51620,55524,60948,64708,63792,66768,67928,69356,66320,66292,68500,69984,75356,74344,74748,76436,83244,84028,83212,85012,84176,87840,89024,88240,84680,89088,90948,91436,81808,82424,81760,81788
 "31000","Nebraska",4,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",138252,139136,143800,143884,148448,142292,141936,138628,141768,151292,162608,173424,186720,193372,193280,194700,210464,210936,215428,233992,234620,238836,236704,230032,235380,232632,230524,238060,236320,244328,249148,257408,256592,260056,262416,272992,268428,267096,267304,261472
 "31000","Nebraska",4,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",122492,120624,126928,126972,126572,131996,125216,121384,126096,129784,137524,140296,148872,157168,153812,155784,161640,160524,166244,169184,168444,175360,176052,175088,169400,168060,168744,170428,167916,173504,179212,183184,182068,183804,181340,186484,184312,186744,188612,187160
 "31000","Nebraska",4,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",185824,190404,195068,195800,197880,197032,195216,195472,202392,208344,217712,221728,231292,233872,235456,238620,235512,239680,242864,247996,241364,245692,248448,251324,253208,252336,253400,255856,256708,262804,270620,276348,266504,270520,273744,276756,271740,274560,279516,279936
 "31000","Nebraska",4,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",37980,39164,40196,40288,42660,42820,42852,43936,45880,47576,49160,51044,51992,52624,53356,54924,55476,56440,57800,59096,62980,64460,65572,66644,67568,69112,71144,72480,70904,72160,73872,74988,74768,76336,77348,78940,80084,81200,82404,83784
 "31000","Nebraska",4,SQINC7H,800,"I","   Services","Thousands of dollars",79212,81688,82300,82700,85312,85216,86152,89120,91456,92088,92692,95504,97340,97340,101056,103216,100984,101856,103540,105168,106352,108540,109336,110040,109136,110312,112664,116708,119360,122232,126436,129880,126012,129496,133120,135252,136204,138092,139648,140184
 "31000","Nebraska",4,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",135536,138312,143504,148772,150932,153420,156712,157812,164636,168372,175504,184612,189852,199056,208652,216768,221744,226492,231160,234464,233372,234040,234124,235948,246268,248976,252956,256188,268272,271808,275456,280552,283608,288460,293600,297640,288348,292876,298120,304120
 "31000","Nebraska",4,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",45184,45500,46328,47600,49304,50444,50992,50956,57528,58620,61404,65868,68084,72716,76560,79676,81856,83532,84360,84352,84180,83288,82428,81568,83672,83352,83784,84968,82112,83768,85288,86668,83936,84936,85684,86168,77192,77964,79268,81080
 "31000","Nebraska",4,SQINC7H,920,"...","   Military","Thousands of dollars",13772,13940,14196,14572,14520,14912,15200,15416,14860,15968,18048,21044,21740,24484,26724,28540,30600,31648,32244,32420,31780,31508,31256,30984,38640,38312,38044,37800,52088,51984,52008,52220,57372,57596,57660,57516,59192,59016,58984,59144
 "31000","Nebraska",4,SQINC7H,930,"...","   State and local","Thousands of dollars",76580,78872,82980,86600,87108,88064,90520,91440,92248,93784,96052,97700,100028,101856,105368,108552,109288,111312,114556,117692,117412,119244,120440,123396,123956,127312,131128,133420,134072,136056,138160,141664,142300,145928,150256,153956,151964,155896,159868,163896
"Note: See the included footnote file."
"SQINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
