GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "33000","New Hampshire",1,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",421612,427312,441704,444820,422492,414964,413740,411052,411808,430628,455416,477476,488372,503704,508684,516084,521496,525216,536212,562300,556548,565864,565432,560040,576988,575396,576040,589520,602256,619164,632944,648456,656024,667644,675280,692756,706092,709032,714352,710040
 "33000","New Hampshire",1,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",9496,9296,10300,10944,9352,9120,9380,9676,10240,10072,10216,10044,11232,11468,11588,11356,10728,10748,10636,9944,8008,8028,7992,7596,6764,6556,6304,6268,7216,7124,7284,7300,6760,6908,6884,6820,9356,9184,9420,9536
 "33000","New Hampshire",1,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",412116,418016,431404,433876,413140,405844,404360,401376,401568,420556,445200,467432,477140,492236,497096,504728,510768,514468,525576,552356,548540,557836,557440,552444,570224,568840,569736,583252,595040,612040,625660,641156,649264,660736,668396,685936,696736,699848,704932,700504
 "33000","New Hampshire",1,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",365940,370844,382428,383100,361548,353384,350720,347264,354076,371860,394340,413884,421040,433340,435244,440368,443040,445208,454756,480376,474416,483376,482860,477132,493356,491024,490636,503272,516728,532772,545376,559360,556140,566084,572108,588392,594304,595980,599388,593036
 "33000","New Hampshire",1,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1292,1340,1380,1396,1072,1056,1072,1096,1264,1308,1348,1388,1488,1536,1568,1612,1704,1716,1752,1748,1624,1656,1688,1720,1668,1692,1696,1684,1768,1756,1756,1788,1856,1880,1900,1896,1876,1860,1876,1900
 "33000","New Hampshire",1,SQINC7H,200,"B","   Mining","Thousands of dollars",836,788,880,872,960,920,780,720,696,860,900,928,1172,1188,1232,1256,764,684,712,756,856,856,868,840,1136,1092,1076,1096,1156,1212,1228,1268,1296,1356,1324,1376,1212,1228,1252,1196
 "33000","New Hampshire",1,SQINC7H,300,"C","   Construction","Thousands of dollars",17932,19036,19820,19884,20836,19776,19492,19616,16588,17852,19588,20796,19300,20200,20556,20980,21388,21384,22100,22580,21620,21332,21444,21928,32540,32848,32528,33236,39484,41200,41760,41384,36184,38064,38856,39060,38504,38796,38484,38488
 "33000","New Hampshire",1,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",206080,207408,214348,214476,196264,188132,187656,183296,192044,204948,220272,234912,239192,247708,247596,249416,246016,246572,251820,273528,265240,269992,267596,260048,259780,256748,254432,262748,269636,278768,284268,293692,294824,298812,301516,313672,313340,311780,312024,305216
 "33000","New Hampshire",1,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",32828,32328,34024,34036,31284,32624,30948,30008,30240,31128,32984,33640,33984,35880,35112,35564,38612,38348,39716,40420,39712,41344,41504,41280,42456,42124,42296,42712,42448,43860,45296,46304,47508,47956,47316,48648,48280,48912,49400,49016
 "33000","New Hampshire",1,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",56784,58180,59604,59832,59660,59404,58860,58940,59764,61524,64284,65464,67472,68220,68684,69620,72032,73304,74280,75844,77540,78928,79812,80732,82304,82020,82368,83156,83552,85536,88080,89948,90076,91432,92524,93544,96380,97380,99140,99292
 "33000","New Hampshire",1,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",11324,11684,11988,12020,12388,12436,12448,12760,12976,13456,13908,14444,14736,14912,15124,15580,16032,16312,16708,17084,17660,18072,18380,18684,19296,19736,20312,20700,21056,21428,21944,22268,23080,23568,23888,24376,25676,26036,26420,26864
 "33000","New Hampshire",1,SQINC7H,800,"I","   Services","Thousands of dollars",38864,40080,40384,40584,39084,39036,39464,40828,40504,40784,41056,42312,43696,43696,45372,46340,46492,46888,47668,48416,50164,51196,51568,51900,54176,54764,55928,57940,57628,59012,61044,62708,61316,63016,64784,65820,69036,69988,70792,71064
 "33000","New Hampshire",1,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",46176,47172,48976,50776,51592,52460,53640,54112,47492,48696,50860,53548,56100,58896,61852,64360,67728,69260,70820,71980,74124,74460,74580,75312,76868,77816,79100,79980,78312,79268,80284,81796,93124,94652,96288,97544,102432,103868,105544,107468
