GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "35000","New Mexico",6,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",387592,390400,409004,414792,438924,436456,428856,427348,458900,482752,508236,530928,560568,581268,596100,610424,677492,677436,692172,707652,742224,749160,752000,748596,750240,748200,749996,761436,803940,822652,839012,854984,897320,917140,924356,940304,999640,1009708,1022392,1022340
 "35000","New Mexico",6,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",25876,25324,28064,29856,25568,24940,25636,26488,24836,24444,24788,24368,27268,27836,28148,27572,35408,35452,35116,32824,33516,33564,33468,31764,30444,29492,28364,28180,32760,32356,33072,33128,30264,30932,30792,30512,28772,28248,28992,29332
 "35000","New Mexico",6,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",361716,365076,380940,384936,413356,411516,403220,400860,434064,458308,483448,506560,533300,553432,567952,582852,642084,641984,657056,674828,708708,715596,718532,716832,719796,718708,721632,733256,771180,790296,805940,821856,867056,886208,893564,909792,970868,981460,993400,993008
 "35000","New Mexico",6,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",255132,256492,268628,268692,288292,284140,273228,269852,295424,315164,331808,343436,367300,376664,380960,387372,420100,414492,425080,440232,461524,468664,472236,469968,465128,462640,463024,472476,498564,514720,527220,538784,572180,587024,590092,603136,653936,660664,667752,661460
 "35000","New Mexico",6,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1400,1452,1488,1508,1176,1160,1176,1196,1072,1116,1148,1180,1356,1400,1432,1468,1704,1716,1748,1748,1792,1824,1852,1884,1924,1964,1960,1940,1924,1904,1904,1948,1964,1996,2016,2012,2068,2052,2068,2104
 "35000","New Mexico",6,SQINC7H,200,"B","   Mining","Thousands of dollars",48556,45472,51228,50648,53156,50772,43092,39568,41168,51068,53508,54940,57588,58240,60264,61632,80324,72764,75424,79824,82308,82308,83944,80844,73696,71312,70164,71636,80552,84324,85400,88004,96988,101448,98792,102592,111092,112628,114880,109548
 "35000","New Mexico",6,SQINC7H,300,"C","   Construction","Thousands of dollars",31628,33568,34948,35064,44944,42656,42040,42320,45324,48748,53504,56804,52544,54984,55944,57120,49140,49124,50760,51860,54700,53968,54252,55484,54200,54708,54176,55356,56264,58708,59504,58976,61588,64804,66152,66504,78372,78972,78328,78348
 "35000","New Mexico",6,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",22792,22936,23708,23724,26844,25728,25664,25068,33140,35364,38008,40540,48656,50384,50364,50744,58492,58620,59872,65040,66344,67540,66936,65048,71492,70656,70020,72312,79588,82280,83908,86684,61692,62528,63088,65636,67360,67028,67076,65612
 "35000","New Mexico",6,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",43552,42892,45128,45140,45496,47452,45004,43628,45372,46696,49488,50484,61296,64720,63328,64136,70512,70024,72524,73812,77388,80564,80888,80436,75300,74708,75012,75764,76472,79016,81616,83420,91408,92276,91048,93632,96728,98000,98968,98216
 "35000","New Mexico",6,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",57288,58692,60132,60364,64844,64560,63968,64056,70272,72344,75596,76988,81684,82600,83160,84276,89032,90604,91816,93756,101260,103080,104232,105444,105200,104836,105280,106292,111784,114436,117844,120332,123660,125524,127028,128412,137260,138696,141196,141408
