GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "94000","Plains",4,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",9311452,9436640,9783272,9874852,9960568,9877640,9799584,9763292,9947948,10343840,10879632,11306544,11812400,12174300,12318492,12525512,12910348,12994716,13271264,13747352,13930132,14157124,14187856,14122720,14133800,14109648,14150728,14431192,14495248,14879564,15224720,15563880,15532096,15827092,15994180,16351508,16465280,16583892,16750996,16705224
 "94000","Plains",4,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",391548,383260,424676,451732,384652,375308,385752,398420,374480,368696,373976,367632,359068,366584,370588,363084,353080,353576,350180,327316,331760,332248,331284,314448,314460,304684,293004,291132,281376,277844,284028,284472,265528,271404,270140,267632,284036,278916,286192,289608
 "94000","Plains",4,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",8919904,9053380,9358596,9423120,9575916,9502332,9413832,9364872,9573468,9975144,10505656,10938912,11453332,11807716,11947904,12162428,12557268,12641140,12921084,13420036,13598372,13824876,13856572,13808272,13819340,13804964,13857724,14140060,14213872,14601720,14940692,15279408,15266568,15555688,15724040,16083876,16181244,16304976,16464804,16415616
 "94000","Plains",4,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",7667316,7774684,8031284,8046780,8166620,8069932,7950360,7890712,8117612,8485744,8953704,9308924,9729484,9997956,10048100,10186500,10536640,10576000,10811196,11277500,11395136,11614200,11644140,11577140,11531028,11490268,11506024,11760432,11805236,12161948,12468616,12760588,12739476,12983300,13102840,13423804,13509732,13588648,13697600,13590900
 "94000","Plains",4,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",15800,16440,16868,17060,18376,18152,18376,18820,19416,20104,20792,21464,23752,24492,24996,25732,27900,28152,28688,28676,28972,29504,30040,30532,31920,32452,32456,32188,33172,32904,32904,33472,31168,31652,31912,31920,35024,34740,35024,35580
 "94000","Plains",4,SQINC7H,200,"B","   Mining","Thousands of dollars",158716,148656,167448,165572,182608,174400,148024,135928,140288,174044,182356,187280,200656,202924,209988,214732,242248,219456,227460,240724,262508,262508,267736,257836,243676,235828,232032,236920,242700,254056,257304,265148,271928,284436,276996,287616,295572,299680,305712,291476
 "94000","Plains",4,SQINC7H,300,"C","   Construction","Thousands of dollars",509304,540484,562808,564656,563892,535364,527600,531012,552180,593928,651888,692104,723368,757056,770212,786440,776432,776124,801960,819308,813576,802672,806976,825284,902720,911228,902404,921956,975052,1017500,1031204,1022076,1022016,1075228,1097644,1103552,1012928,1020656,1012352,1012640
 "94000","Plains",4,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",2416464,2431960,2513436,2514900,2569832,2463232,2457032,2399840,2479100,2645672,2843492,3032592,3230532,3345584,3344024,3368636,3618204,3626384,3703600,4022828,4102608,4176236,4139068,4022312,3973964,3927632,3892052,4019364,3979128,4113900,4195108,4334136,4327700,4386172,4425916,4604280,4723476,4700112,4703744,4601140
 "94000","Plains",4,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",1265644,1246324,1311476,1311848,1304388,1360260,1290428,1250876,1283712,1321208,1400028,1428236,1483564,1566272,1532808,1552424,1599380,1588292,1644900,1673976,1663220,1731444,1738296,1728780,1673120,1659884,1666672,1683316,1654148,1709216,1765428,1804608,1825420,1842856,1818172,1869672,1880136,1904900,1923892,1909196
 "94000","Plains",4,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",2074392,2125428,2177544,2185752,2201168,2191812,2171600,2174484,2230748,2296336,2399620,2443868,2538764,2567052,2584460,2619292,2625800,2672212,2707808,2764984,2731412,2780404,2811576,2844136,2842020,2832236,2844112,2871716,2912712,2981884,3070544,3135556,3097740,3144376,3181940,3216844,3225204,3258756,3317576,3322568
