GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "45000","South Carolina",5,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",1088652,1103532,1140056,1151116,1110604,1094460,1093284,1088248,1128124,1179292,1249916,1317684,1468412,1530508,1563404,1598164,1699816,1716416,1752780,1818524,1806780,1825884,1824732,1813904,1730812,1725980,1726220,1760308,1749352,1792244,1828640,1869680,1879436,1911268,1932060,1975692,1980212,1988680,2004384,1997108
 "45000","South Carolina",5,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",33044,32352,35844,38132,32560,31760,32652,33716,34660,34124,34612,34028,37108,37884,38292,37520,38880,38928,38556,36044,37712,37760,37660,35740,34692,33608,32320,32116,37640,37172,37992,38048,38796,39656,39468,39100,39268,38560,39560,40040
 "45000","South Carolina",5,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",1055608,1071180,1104212,1112984,1078044,1062700,1060632,1054532,1093464,1145168,1215304,1283656,1431304,1492624,1525112,1560644,1660936,1677488,1714224,1782480,1769068,1788124,1787072,1778164,1696120,1692372,1693900,1728192,1711712,1755072,1790648,1831632,1840640,1871612,1892592,1936592,1940944,1950120,1964824,1957068
 "45000","South Carolina",5,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",844080,856080,882688,884260,867240,847680,841252,833200,875972,919740,974848,1022504,1075952,1107400,1113440,1127284,1246628,1252092,1280556,1344440,1349976,1369836,1370132,1360820,1264652,1259508,1258020,1289928,1287288,1326980,1358476,1393436,1393780,1418996,1434432,1474528,1468176,1472764,1481568,1466492
 "45000","South Carolina",5,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",2016,2096,2148,2184,2248,2220,2248,2304,2284,2364,2444,2520,3020,3124,3180,3272,3372,3404,3472,3468,3608,3672,3736,3796,3804,3864,3868,3836,4004,3964,3964,4032,4276,4344,4380,4376,4244,4212,4244,4320
 "45000","South Carolina",5,SQINC7H,200,"B","   Mining","Thousands of dollars",3836,3600,4052,4008,4264,4076,3464,3180,3612,4476,4692,4824,5032,5092,5268,5384,5824,5276,5468,5792,5488,5488,5592,5388,5248,5072,4992,5100,5456,5712,5780,5960,6192,6480,6316,6560,5448,5528,5632,5372
 "45000","South Carolina",5,SQINC7H,300,"C","   Construction","Thousands of dollars",49364,52384,54552,54728,48756,46276,45608,45896,46452,49972,54840,58228,97752,102308,104080,106272,213584,213504,220616,225376,224720,221708,222896,227956,136744,138036,136696,139652,90428,94360,95636,94788,90864,95592,97592,98120,94720,95436,94668,94692
 "45000","South Carolina",5,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",457576,460512,475932,476200,461896,442736,441620,431336,456328,486992,523400,558204,550404,570008,569748,573936,563828,565100,577136,626876,630328,641628,635928,617992,627760,620436,614816,634932,665824,688372,701964,725236,714992,724656,731220,760692,750680,746964,747544,731236
 "45000","South Carolina",5,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",68852,67804,71344,71364,69936,72916,69184,67064,70864,72932,77280,78840,82852,87468,85604,86700,90980,90352,93576,95228,94528,98408,98796,98260,95236,94484,94876,95816,95456,98628,101880,104132,106556,107576,106132,109144,113476,114968,116124,115236
 "45000","South Carolina",5,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",144144,147692,151312,151888,155440,154776,153352,153548,160896,165624,173076,176272,186980,189060,190348,192900,205960,209604,212396,216880,215832,219704,222172,224748,218748,217988,218908,221020,229824,235284,242284,247404,248412,252144,255156,257956,254516,257168,261804,262196
