GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "95000","Southeast",5,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",18514768,18705256,19421272,19591904,19292300,19101336,18908708,18806364,19548868,20480108,21619472,22648996,23921136,24801024,25279696,25813448,26671248,26837176,27406608,28341160,28667548,29033872,29069564,28906204,28624932,28551624,28605672,29143928,29859536,30611724,31269352,31951504,33163764,33786224,34119076,34850052,35659076,35895184,36238636,36134040
 "95000","Southeast",5,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",559272,547436,606624,645260,551372,537960,552948,571128,568288,559460,567476,557852,589868,602224,608780,596436,608532,609368,603504,564116,589316,590188,588472,558572,595912,577364,555232,551704,571488,564328,576868,577760,587324,600304,597516,591940,604816,593856,609380,616688
 "95000","Southeast",5,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",17955496,18157820,18814648,18946644,18740928,18563376,18355760,18235236,18980580,19920648,21051996,22091144,23331268,24198800,24670916,25217012,26062716,26227808,26803104,27777044,28078232,28443684,28481092,28347632,28029020,27974260,28050440,28592224,29288048,30047396,30692484,31373744,32576440,33185920,33521560,34258112,35054260,35301328,35629256,35517352
 "95000","Southeast",5,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",14725292,14871856,15425144,15443448,15127884,14880624,14599836,14450488,15106172,15918128,16804544,17508340,18167948,18662264,18792524,19056264,19798252,19805492,20256728,21160580,21366380,21742212,21799412,21655244,21327200,21239524,21253844,21743500,22442224,23130088,23698976,24272576,25335392,25841272,26073816,26734348,27376216,27531216,27745340,27496112
 "95000","Southeast",5,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",76240,79316,81324,82356,79604,78612,79604,81584,81872,84808,87732,90652,92636,95556,97464,100372,102952,103940,105852,105852,106976,108932,110872,112836,112680,114560,114592,113628,116812,115828,115828,117796,120188,122124,123092,123084,120040,119096,120040,121952
 "95000","Southeast",5,SQINC7H,200,"B","   Mining","Thousands of dollars",1049524,982992,1107284,1094724,967716,924196,784492,720356,768924,953824,999468,1026396,1028596,1040232,1076356,1100816,1056768,957436,992380,1050260,997192,997192,1017084,979408,898800,869768,855756,873764,931052,974652,987100,1017244,1111456,1162608,1132128,1175656,1205224,1221956,1246488,1188512
 "95000","Southeast",5,SQINC7H,300,"C","   Construction","Thousands of dollars",951360,1009596,1051292,1054736,1049368,996252,981816,988160,1012884,1089480,1195796,1269524,1464708,1532872,1559528,1592376,1861972,1861272,1923252,1964768,1959872,1933648,1944004,1988140,1749972,1766488,1749344,1787272,1733644,1809128,1833496,1817256,1967592,2070044,2113204,2124580,2221572,2238528,2220312,2220944
 "95000","Southeast",5,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",5272424,5306220,5483992,5487156,5307824,5087632,5074816,4956700,5270488,5624628,6045196,6447180,6503460,6735080,6731972,6781504,6928068,6943704,7091596,7702820,7837168,7977764,7906824,7683804,7770792,7680188,7610628,7859552,8231984,8510772,8678772,8966408,9128904,9252280,9336084,9712348,9887804,9838876,9846488,9631716
 "95000","Southeast",5,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",1980840,1950612,2052584,2053188,1977376,2061956,1956208,1896236,1949696,2006624,2126352,2169216,2298848,2426976,2375120,2405540,2508524,2491128,2579932,2625512,2589024,2695228,2705924,2691088,2647156,2626232,2637008,2663336,2655552,2743984,2834184,2897068,3060960,3090164,3048804,3135192,3241248,3283904,3316660,3291336
 "95000","Southeast",5,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",3078196,3153940,3231268,3243464,3281832,3267824,3237680,3241980,3360820,3459652,3615252,3681884,3849620,3892520,3918924,3971716,4145756,4218996,4275196,4365472,4405524,4484588,4534848,4587376,4590896,4575088,4594272,4638844,4815576,4929980,5076544,5184032,5449352,5531348,5597452,5658812,5738356,5798080,5902720,5911584
