GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "96000","Southwest",6,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",7399224,7465012,7787860,7868548,8097016,8031680,7901064,7860644,8178168,8584264,9037968,9424008,10005364,10350312,10559788,10782088,11515680,11537200,11785132,12124412,12174580,12324384,12365152,12301468,12421956,12376748,12396072,12611484,13035056,13363364,13647972,13931292,14389704,14684140,14800076,15101044,15424536,15545068,15714044,15660888
 "96000","Southwest",6,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",436384,427152,473324,503504,431788,421276,433016,447208,455676,448604,455032,447316,437064,446204,451104,441956,432192,432800,428624,400652,399776,400336,399200,378912,378656,366840,352796,350544,373052,368372,376560,377160,341336,348872,347272,344040,356896,350424,359576,363904
 "96000","Southwest",6,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",6962840,7037860,7314536,7365044,7665228,7610404,7468048,7413436,7722492,8135660,8582936,8976692,9568300,9904108,10108684,10340132,11083488,11104400,11356508,11723760,11774804,11924048,11965952,11922556,12043300,12009908,12043276,12260940,12662004,12994992,13271412,13554132,14048368,14335268,14452804,14757004,15067640,15194644,15354468,15296984
 "96000","Southwest",6,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",5721984,5774472,6009240,6014852,6177660,6094356,5921396,5854460,6085316,6442464,6783568,7032436,7497732,7688336,7758480,7878680,8470388,8425508,8625564,8963200,9029204,9181612,9230796,9181556,9218640,9170644,9177476,9373372,9646408,9949260,10193188,10429372,10871088,11112836,11185484,11456752,11731784,11818844,11929448,11812580
 "96000","Southwest",6,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",15472,16068,16484,16692,17504,17280,17504,17944,16424,17012,17588,18176,20252,20892,21312,21948,23184,23396,23832,23832,24668,25128,25560,26016,25740,26184,26180,25956,25812,25584,25584,26024,26172,26600,26808,26804,27332,27116,27332,27776
 "96000","Southwest",6,SQINC7H,200,"B","   Mining","Thousands of dollars",634848,594592,669792,662184,738744,705532,598868,549900,574136,712204,746296,766372,795596,804612,832524,851460,980512,888336,920760,974424,983724,983724,1003312,966160,1041880,1008248,992000,1012896,1042088,1090884,1104824,1138504,1173420,1227356,1195216,1241140,1234040,1251152,1276260,1216912
 "96000","Southwest",6,SQINC7H,300,"C","   Construction","Thousands of dollars",523880,555952,578904,580792,563132,534620,526868,530284,542612,583644,640600,680096,743584,778196,791728,808404,855276,854944,883420,902508,841596,830356,834780,853732,800088,807636,799796,817132,832976,869228,880940,873132,901612,948564,968332,973536,1028128,1035980,1027544,1027828
 "96000","Southwest",6,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",1229020,1236904,1278336,1279092,1322604,1267712,1264512,1235088,1292544,1379388,1482536,1581116,1727988,1789528,1788688,1801872,1963464,1967888,2009796,2183052,2264516,2305160,2284644,2220208,2323596,2296492,2275696,2350132,2443748,2526512,2576392,2661764,2778044,2815572,2841076,2955584,3092744,3077444,3079824,3012648
 "96000","Southwest",6,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",900732,886988,933348,933620,936860,976964,926824,898416,916888,943668,999972,1020120,1075872,1135844,1111572,1125784,1206188,1197832,1240540,1262468,1254692,1306144,1311336,1304128,1271528,1261484,1266640,1279280,1275680,1318140,1361472,1391680,1449292,1463124,1443524,1484444,1509024,1528872,1544128,1532324
 "96000","Southwest",6,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",1450988,1486684,1523128,1528872,1551996,1545388,1531144,1533192,1601764,1648880,1723052,1754800,1852240,1872896,1885596,1911000,2013812,2049388,2076696,2120548,2121756,2159836,2184040,2209324,2206868,2199268,2208488,2229940,2308272,2363088,2433360,2484876,2586112,2625024,2656416,2685520,2708780,2736980,2786364,2790544
 "96000","Southwest",6,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",234256,241556,247908,248496,262236,263244,263432,270080,295064,305944,316188,328344,341928,346096,350916,361220,389368,396124,405660,414748,441312,451700,459448,466940,468420,479156,493208,502512,517772,526896,539392,547568,579252,591336,599232,611548,621172,629820,639208,649824
 "96000","Southwest",6,SQINC7H,800,"I","   Services","Thousands of dollars",732788,755728,761340,765104,784584,783616,792244,819556,845884,851724,857336,883412,940272,940272,976144,996992,1038584,1047600,1064860,1081620,1096940,1119564,1127676,1135048,1080520,1092176,1115468,1155524,1200060,1228928,1271224,1305824,1377184,1415260,1454880,1478176,1510564,1531480,1548788,1554724
 "96000","Southwest",6,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",1240856,1263388,1305296,1350192,1487568,1516048,1546652,1558976,1637176,1693196,1799368,1944256,2070568,2215772,2350204,2461452,2613100,2678892,2730944,2760560,2745600,2742436,2735156,2741000,2824660,2839264,2865800,2887568,3015596,3045732,3078224,3124760,3177280,3222432,3267320,3300252,3335856,3375800,3425020,3484404
 "96000","Southwest",6,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",417392,420324,427936,439648,457568,468160,473152,472868,475104,484072,507112,543916,610412,651960,686424,714424,767008,782704,790396,790388,765396,757272,749428,741596,752256,749368,753216,763832,807908,824192,839176,852812,903900,914676,922672,927884,931224,940604,956256,978176
 "96000","Southwest",6,SQINC7H,920,"...","   Military","Thousands of dollars",283748,287192,292552,300200,408568,419648,427696,433752,474696,510296,576536,672348,714184,804200,877972,937476,1028940,1063944,1084016,1090200,1073512,1064320,1055632,1046432,1090252,1081116,1073600,1066636,1122980,1120708,1121280,1125824,1098504,1102920,1104032,1101260,1097084,1093788,1093220,1095980
 "96000","Southwest",6,SQINC7H,930,"...","   State and local","Thousands of dollars",539716,555872,584808,610344,621432,628240,645804,652356,687376,698828,715720,727992,745972,759612,785808,809552,817152,832244,856532,879972,906692,920844,930096,952972,982152,1008780,1038984,1057100,1084708,1100832,1117768,1146124,1174876,1204836,1240616,1271108,1307548,1341408,1375544,1410248
"Note: See the included footnote file."
"SQINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
