GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "51000","Virginia",5,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",2309252,2336212,2414808,2442084,2427668,2418240,2406240,2399032,2458488,2566244,2718708,2873784,3069564,3211788,3298440,3386404,3479892,3517944,3588284,3689092,3710932,3745352,3742756,3721444,3675948,3665992,3672668,3730968,3757096,3842268,3918852,3995956,4119468,4189344,4228300,4305228,4376564,4404964,4446004,4446492
 "51000","Virginia",5,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",51992,50892,56400,59992,51180,49936,51332,53016,54064,53228,53988,53072,54652,55796,56400,55256,58200,58284,57716,53952,52184,52252,52104,49456,53236,51576,49604,49280,49392,48772,49852,49928,49564,50668,50424,49956,50804,49884,51184,51800
 "51000","Virginia",5,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",2257260,2285320,2358408,2382092,2376488,2368304,2354908,2346016,2404424,2513016,2664720,2820712,3014912,3155992,3242040,3331148,3421692,3459660,3530568,3635140,3658748,3693100,3690652,3671988,3622712,3614416,3623064,3681688,3707704,3793496,3869000,3946028,4069904,4138676,4177876,4255272,4325760,4355080,4394820,4394692
 "51000","Virginia",5,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",1584784,1604092,1660268,1662900,1646240,1622056,1596084,1582412,1630704,1711376,1807248,1882644,1971732,2027228,2039236,2067812,2144368,2149076,2198036,2293628,2273812,2315852,2321748,2308448,2268748,2261032,2263936,2314880,2382592,2454896,2516232,2575308,2689168,2741908,2767012,2835188,2890448,2907472,2929624,2906280
 "51000","Virginia",5,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",11584,12052,12360,12512,8468,8356,8468,8668,8716,9036,9344,9656,9656,9964,10164,10472,10712,10816,11020,11016,11060,11260,11468,11668,11316,11504,11508,11412,11496,11396,11396,11600,11868,12060,12160,12156,12008,11912,12008,12196
 "51000","Virginia",5,SQINC7H,200,"B","   Mining","Thousands of dollars",66480,62264,70140,69336,60944,58196,49404,45364,49684,61640,64592,66328,69016,69796,72224,73868,72648,65816,68216,72200,62672,62672,63932,61560,48940,47360,46600,47580,53992,56520,57240,58988,68700,71860,69976,72668,75780,76832,78380,74732
 "51000","Virginia",5,SQINC7H,300,"C","   Construction","Thousands of dollars",110932,117724,122584,122984,135060,128224,126364,127180,124624,134052,147136,156196,173104,181156,184308,188196,198600,198524,205128,209552,201032,198344,199404,203928,188964,190752,188900,193000,204556,213464,216336,214428,235104,247344,252500,253860,255120,257068,254976,255052
 "51000","Virginia",5,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",543296,546772,565096,565420,565884,542408,541048,528448,548648,585512,629292,671140,682664,706976,706652,711852,737764,739424,755180,820264,818760,833456,826040,802736,802708,793352,786168,811872,825752,853712,870568,899424,915024,927392,935788,973508,1000068,995112,995876,974156
 "51000","Virginia",5,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",248912,245120,257932,258000,244936,255424,242316,234884,240760,247788,262568,267872,292012,308280,301704,305564,314432,312252,323380,329100,316728,329720,331032,329216,325884,323312,324636,327876,332436,343508,354804,362672,391736,395468,390180,401236,416240,421724,425924,422672
 "51000","Virginia",5,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",344724,353204,361864,363220,355296,353768,350504,350968,362288,372940,389716,396896,419676,424352,427228,432972,455656,463712,469884,479808,485428,494144,499680,505468,509492,507740,509872,514820,527824,540364,556428,568212,589648,598528,605680,612312,605612,611916,622964,623888
 "51000","Virginia",5,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",69316,71476,73360,73532,71640,71920,71972,73788,79332,82256,85016,88284,90072,91172,92432,95148,102824,104608,107120,109520,111972,114612,116576,118480,120044,122788,126396,128780,135476,137872,141140,143280,149148,152252,154288,157456,153952,156096,158428,161056
 "51000","Virginia",5,SQINC7H,800,"I","   Services","Thousands of dollars",189540,195480,196932,197896,204012,203760,206008,213112,216652,218152,219584,226272,235532,235532,244524,249740,251732,253924,258108,262168,266160,271644,273616,275392,261400,264224,269856,279540,291060,298060,308320,316704,327940,337004,346440,351992,371668,376812,381068,382528
 "51000","Virginia",5,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",672476,681228,698140,719192,730248,746248,758824,763604,773720,801640,857472,938068,1043180,1128764,1202804,1263336,1277324,1310584,1332532,1341512,1384936,1377248,1368904,1363540,1353964,1353384,1359128,1366808,1325112,1338600,1352768,1370720,1380736,1396768,1410864,1420084,1435312,1447608,1465196,1488412
 "51000","Virginia",5,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",321420,323664,329532,338552,350528,358640,362468,362244,367964,374916,392756,421264,459064,490304,516220,537276,525596,536352,541624,541624,545056,539248,533680,528096,508756,506800,509408,516576,530052,540744,550564,559512,559560,566224,571176,574408,571356,577116,586716,600160
