GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "50000","Vermont",1,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",258672,261600,271656,274576,261008,257292,256268,255280,257464,267840,281852,293660,308288,317668,321096,325572,326668,328756,335296,348968,353892,359612,359580,355932,345536,344384,344804,352248,346580,355624,363676,372412,388824,395940,400196,409872,399728,401808,405500,403844
 "50000","Vermont",1,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",19304,18896,20936,22272,18764,18308,18816,19432,18696,18408,18672,18360,19684,20088,20312,19896,19244,19264,19084,17832,17700,17724,17672,16776,15060,14596,14040,13948,13120,12956,13244,13268,15332,15672,15604,15456,15348,15076,15468,15652
 "50000","Vermont",1,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",239368,242704,250720,252304,242244,238984,237452,235848,238768,249432,263180,275300,288604,297580,300784,305676,307424,309492,316212,331136,336192,341888,341908,339156,330476,329788,330764,338300,333460,342668,350432,359144,373492,380268,384592,394416,384380,386732,390032,388192
 "50000","Vermont",1,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",208572,211252,218060,218428,208624,204820,202536,200688,206452,216420,228872,239396,250112,257248,258480,261700,261616,262680,268376,282564,286420,291948,291924,288744,277640,276348,276468,283376,278504,286996,294008,301652,314800,320544,323780,332744,321496,322824,324952,321784
 "50000","Vermont",1,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",776,804,824,840,1020,1004,1020,1040,1044,1080,1120,1156,1308,1344,1376,1412,1332,1348,1368,1368,1428,1448,1480,1504,1436,1468,1464,1452,1384,1372,1372,1400,1520,1540,1552,1552,1520,1504,1520,1536
 "50000","Vermont",1,SQINC7H,200,"B","   Mining","Thousands of dollars",2912,2728,3076,3040,3580,3420,2900,2668,2096,2608,2728,2800,3432,3476,3588,3672,2876,2604,2696,2856,3760,3760,3840,3692,4500,4356,4280,4372,4520,4736,4796,4940,4988,5224,5080,5280,5520,5588,5696,5444
 "50000","Vermont",1,SQINC7H,300,"C","   Construction","Thousands of dollars",10580,11228,11692,11724,11412,10836,10680,10744,10912,11736,12880,13680,10776,11276,11472,11720,11088,11076,11452,11692,12124,11960,12024,12304,12256,12368,12248,12512,14384,15012,15216,15076,17544,18460,18840,18952,20408,20568,20392,20396
 "50000","Vermont",1,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",100292,100936,104316,104388,94768,90824,90596,88492,92968,99208,106632,113728,125784,130264,130200,131164,130836,131128,133928,145468,145932,148552,147232,143080,130580,129060,127888,132072,129236,133616,136252,140768,148696,150708,152076,158212,146600,145876,145988,142808
 "50000","Vermont",1,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",25120,24744,26040,26040,24816,25876,24540,23792,23700,24400,25848,26376,26640,28132,27520,27872,28756,28556,29572,30096,29416,30628,30748,30580,30260,30020,30148,30452,28260,29204,30156,30828,31944,32252,31816,32724,32932,33368,33696,33444
 "50000","Vermont",1,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",36308,37204,38116,38260,38932,38764,38412,38460,38908,40052,41852,42620,42716,43192,43484,44076,44932,45720,46336,47312,48076,48940,49488,50052,50456,50280,50496,50988,50484,51684,53220,54360,54812,55632,56308,56920,55764,56348,57360,57444
 "50000","Vermont",1,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",7280,7512,7704,7720,8016,8048,8052,8252,8460,8780,9068,9420,9308,9416,9544,9820,9904,10076,10328,10556,10640,10888,11080,11260,11408,11660,12008,12232,12532,12756,13056,13252,13872,14160,14352,14648,14536,14740,14960,15200
 "50000","Vermont",1,SQINC7H,800,"I","   Services","Thousands of dollars",25304,26096,26292,26416,26080,26048,26336,27240,28364,28556,28744,29616,30148,30148,31296,31964,31892,32172,32696,33216,35044,35772,36032,36272,36744,37136,37936,39296,37704,38616,39940,41028,41424,42568,43756,44456,44216,44832,45340,45512
 "50000","Vermont",1,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",30796,31452,32660,33876,33620,34164,34916,35160,32316,33012,34308,35904,38492,40332,42304,43976,45808,46812,47836,48572,49772,49940,49984,50412,52836,53440,54296,54924,54956,55672,56424,57492,58692,59724,60812,61672,62884,63908,65080,66408
 "50000","Vermont",1,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",9736,9808,9984,10260,10664,10916,11032,11024,9624,9804,10268,11020,10788,11516,12128,12620,12860,13128,13264,13256,13972,13824,13680,13536,14152,14096,14172,14356,14988,15288,15564,15816,16136,16328,16468,16564,16784,16956,17244,17640
 "50000","Vermont",1,SQINC7H,920,"...","   Military","Thousands of dollars",2640,2672,2720,2788,2744,2816,2872,2912,2384,2556,2892,3372,5648,6360,6948,7420,8748,9040,9212,9260,9656,9564,9492,9404,10876,10784,10708,10640,10376,10352,10360,10400,11748,11796,11812,11776,12088,12056,12056,12080
 "50000","Vermont",1,SQINC7H,930,"...","   State and local","Thousands of dollars",18420,18972,19956,20828,20212,20432,21012,21224,20308,20652,21148,21512,22056,22456,23228,23936,24200,24644,25360,26056,26144,26552,26812,27472,27808,28560,29416,29928,29592,30032,30500,31276,30808,31600,32532,33332,34012,34896,35780,36688
"Note: See the included footnote file."
"SQINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
