GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "22000","Louisiana",5,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",52303320,53175800,53416920,53524176,53636248,53814192,53889348,54883472,55963908,56115824,56106928,56217412,57856280,58454980,59214492,59470184,59756580,60396676,60839600,61357436,61219604,62271472,63143480,64067164,64305348,65028312,65959072,66629248,67629964,68150396,67769876,68173468,70088112,71768260,73079444,75150316,76576904,77532372,78829316,80376988,81910484,83151164,84010608,85501376,82796428,82333208,82229488,81762728,81771048,83121404,84952900,84503424,85663356,85957408,86591544,86065660,88263308,89167472,88070252,90502584,90982980,91425284,91473900,91763560,93231672,94537920,96112036,98004068,97307836,96765828,97303220,97463456,95372732,95189756,95077648,96747092,96609296,96983356,97421044,99092884,99921880,101310804,101563364,103120632,104696219,105793408
 "22000","Louisiana",5,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",162668,165256,166824,167556,169244,170060,170120,169788,168440,167900,169224,172648,181908,184176,185612,186268,184160,183384,182084,180128,132072,131768,132948,135672,169368,173220,175680,176748,154020,153184,151776,149728,152536,152736,155720,161628,166080,171804,174716,174816,156832,155360,154916,155504,156820,157520,157316,156228,166776,163720,159784,154948,134076,133592,137764,146620,197572,208960,214948,215692,164700,162748,162496,163900,129280,129996,129124,126612,192428,189112,188948,191928,152600,156000,157928,158500,155280,154576,153920,153332,165424,165836,167272,169804,173042,175290
 "22000","Louisiana",5,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",52140652,53010544,53250096,53356620,53467004,53644132,53719228,54713684,55795468,55947924,55937704,56044764,57674372,58270804,59028880,59283916,59572420,60213292,60657516,61177308,61087532,62139704,63010532,63931492,64135980,64855092,65783392,66452500,67475944,67997212,67618100,68023740,69935576,71615524,72923724,74988688,76410824,77360568,78654600,80202172,81753652,82995804,83855692,85345872,82639608,82175688,82072172,81606500,81604272,82957684,84793116,84348476,85529280,85823816,86453780,85919040,88065736,88958512,87855304,90286892,90818280,91262536,91311404,91599660,93102392,94407924,95982912,97877456,97115408,96576716,97114272,97271528,95220132,95033756,94919720,96588592,96454016,96828780,97267124,98939552,99756456,101144968,101396092,102950828,104523177,105618118
 "22000","Louisiana",5,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",42015400,42941064,42898096,43031848,43012068,43226772,43022636,43964700,44966880,44607508,45090816,44938732,46512148,46918360,47352948,47308860,47430284,47840604,48035304,48361144,48056200,48852188,49723808,50461988,50495996,51024532,51958492,52348668,53092424,53556132,53231844,54214552,56357096,57900396,58946600,60731872,61889852,62679720,63506696,64603284,65642596,66728536,66971624,68618332,65749136,65267020,65055316,64465448,64368248,65595296,67270524,67160344,68328768,68778296,69487872,68905856,71289592,71983588,71195400,73598308,74229864,74769476,75100840,75445852,77065816,78489032,79979576,81675168,80936700,80414180,80996856,81117064,78969196,78774588,78665412,80451588,80008760,80551760,80647572,82185004,82911860,84215328,84209676,85717272,87177101,88214054
 "22000","Louisiana",5,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",202344,214752,206512,183992,201212,186080,183156,185568,169144,153028,176472,220820,178508,181984,181404,190804,186944,189248,189540,185724,189820,194820,200836,214552,201988,196072,204916,192924,206900,213196,212140,207112,217284,211028,211136,222920,217024,221784,229240,242980,246140,249392,227124,229548,219564,215884,217544,215852,231468,238000,247244,236220,237008,232336,234580,222324,240080,243244,246044,248344,248556,260676,254512,251832,266164,256160,258296,277860,255256,255644,285320,263520,283788,278020,278224,287160,279196,273980,279996,291008,284124,312820,309060,313208,306244,316406
 "22000","Louisiana",5,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",2762256,2638920,2531632,2404060,2302212,2206548,2216312,2194016,2241368,2291420,2337612,2417080,2769004,2746604,2735324,2676012,2616708,2502740,2521524,2502848,2482480,2606280,2580620,2590048,2474348,2533580,2495456,2604048,2612436,2665164,2801956,2840120,3094484,3224360,3302616,3543412,3445212,3634732,3651148,3732748,4025968,4233452,4474908,4360332,4023180,3871808,3765240,3687732,3750640,3996428,4042556,4196448,4131936,4162908,4438932,4401444,4775004,4633844,4331568,4571352,4529004,4707272,4640848,4713188,4709620,4947460,5006036,4824972,4716864,4285060,4164808,4057964,3660636,3422400,3277192,3129092,3005704,2993136,3097800,3058128,3315920,3296928,3366268,3320356,3633290,3814505
 "22000","Louisiana",5,SQINC7N,300,"22","   Utilities","Thousands of dollars",432240,438456,451656,467660,461716,463340,468556,468888,517252,492308,490568,509176,512916,543224,551968,560504,528224,573512,580984,589620,543772,579272,583164,616664,687492,624232,574140,601344,607272,608740,666980,652872,555260,618308,601680,598280,597476,611424,637868,627180,680944,666080,720448,676872,706684,679556,690576,724896,654480,685500,687976,718488,727892,714060,717756,704976,685836,713808,730596,738728,725444,726064,760740,730048,760996,755384,716188,756896,766924,762968,727208,765200,702464,746856,765572,759600,765180,771044,792728,787884,826676,798676,826472,829796,826618,827407
 "22000","Louisiana",5,SQINC7N,400,"23","   Construction","Thousands of dollars",3826712,4072792,4010180,4072332,4088860,4028188,3917264,4127336,4214128,4182000,4157260,4016396,4120896,4209360,4292528,4213024,4168256,4179860,4130824,4081988,4001400,4121820,4231660,4258740,4222912,4104560,4301688,4269428,4341600,4490228,4422664,4866384,5528672,5856776,5752664,6017996,6258208,6305592,6577768,6647180,6575124,6979772,6914396,7524048,7214816,7006112,7010488,6704404,6357060,6234324,6576196,6391752,6563080,6736128,6530520,6161072,6694056,6849848,6601676,7091720,7025408,7240332,7231968,7349024,7671508,8026620,8305292,8333360,8447128,8284168,8452924,8700356,8584336,8533744,8635672,9031988,9559960,9446816,9544344,9367060,9957368,10213936,10205468,10084000,10167560,10193083
 "22000","Louisiana",5,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",7002200,6997836,7008544,7081992,6991656,7041904,7142740,7081200,7130916,7110944,7041988,7030384,7376476,7390512,7356952,7226484,7187328,7253256,7207568,7301092,7135312,7235300,7273868,7549624,7401756,7522096,7624176,7571856,7766712,7765732,7624100,7647872,7968340,8000800,8305996,8424368,8617764,8748776,8737532,8844896,8891900,8886536,8996672,9065088,8487676,8436140,8307704,8371380,8318556,8433084,8572176,8573264,8917096,8807788,8883364,9075608,9179476,9442280,9238944,9378920,9353940,9604844,9628564,9738456,10091900,10139376,10211164,10435596,10443668,10257020,10246036,10150964,10055672,9854632,9792084,9867604,9981364,10037644,10123552,10134848,10613628,10430496,10592452,10684576,10950428,11091938
 "22000","Louisiana",5,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",3102696,3154084,3134024,3180216,3078320,3102892,3212844,3102208,3152652,3099320,3084348,3060228,3259200,3279636,3257324,3169276,3159036,3180784,3142120,3225044,3176336,3146684,3205880,3417080,3310552,3409968,3452536,3384544,3428988,3475548,3405092,3442128,3709544,3783456,4001292,4055000,4200984,4270860,4243696,4303452,4237972,4275732,4291212,4354176,3948328,3880520,3807424,3725692,3723856,3764240,3817440,3834980,3975632,3987580,4045268,4144544,4129088,4298232,4167740,4292232,4267472,4335376,4429008,4436180,4657508,4711748,4679012,4764824,4674076,4481816,4389416,4279572,4082604,3921160,3833180,3890296,3940824,3967688,3984456,3994872,4086508,4106020,4151412,4131380,4262054,4310040
