GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "33000","New Hampshire",1,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",17574212,18014824,18623292,19182912,18981360,19312572,19669216,20276900,21576140,21355976,21619852,22141948,22533764,22279756,22113388,22317080,22249712,22641724,22612704,22749512,22860948,23160724,23444368,24033664,24093896,24614532,25364620,25364004,25487168,25915652,26179504,26269416,26921376,26876552,27234088,28738532,28183940,28862284,28337336,28626152,29306332,29082920,29012036,29032292,27814760,27863852,28223248,28187196,27633220,28716080,28836564,28676192,29137948,29494204,29723376,29479000,30014276,30143412,30309988,31415468,31039748,31252568,31164256,31438912,32263800,33080328,32804864,33985720,33441996,34356664,34479296,35649216,35068596,35755836,36113892,35863208,36493952,36582592,37764916,37443252,38485780,38246336,38601268,38483724,40228607,40752617
 "33000","New Hampshire",1,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",31364,31392,31096,30628,27944,27436,27452,27900,30096,31068,31888,32412,31076,31460,31704,31820,38900,38728,38448,38036,34088,34008,34312,35008,32304,33036,33508,33712,26796,26652,26412,26052,28804,28840,29408,30516,32744,33868,34444,34464,31360,31060,30976,31088,30072,30212,30168,29960,29708,29172,28468,27608,24272,24188,24944,26552,41896,44308,45580,45736,45584,45044,44980,45360,48124,48400,48072,47140,39532,38848,38816,39428,43880,44860,45420,45588,34052,33900,33760,33624,33488,33576,33864,34380,35036,35491
 "33000","New Hampshire",1,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",17542848,17983432,18592196,19152284,18953416,19285136,19641764,20249000,21546044,21324908,21587964,22109536,22502688,22248296,22081684,22285260,22210812,22602996,22574256,22711476,22826860,23126716,23410056,23998656,24061592,24581496,25331112,25330292,25460372,25889000,26153092,26243364,26892572,26847712,27204680,28708016,28151196,28828416,28302892,28591688,29274972,29051860,28981060,29001204,27784688,27833640,28193080,28157236,27603512,28686908,28808096,28648584,29113676,29470016,29698432,29452448,29972380,30099104,30264408,31369732,30994164,31207524,31119276,31393552,32215676,33031928,32756792,33938580,33402464,34317816,34440480,35609788,35024716,35710976,36068472,35817620,36459900,36548692,37731156,37409628,38452292,38212760,38567404,38449344,40193571,40717126
 "33000","New Hampshire",1,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",15361292,15759592,16366396,16866920,16687328,16980432,17298768,17850208,19072360,18829388,19114820,19603420,19858692,19649500,19424776,19626012,19456800,19801804,19729800,19759804,19870156,20078680,20322188,20815836,20977996,21355000,22087472,22020620,22207096,22573208,22795540,22866164,23462828,23417544,23721260,25197776,24532500,25207220,24573312,24905500,25444572,25194936,25121872,25051340,23889488,23840148,24179652,24024976,23703968,24644960,24694740,24581636,25083828,25337660,25719568,25456596,25950736,26087472,26229008,27352888,26914844,27128324,27066908,27328908,28134024,28898068,28572288,29643300,29207360,29966360,30204500,31235616,30732624,31419128,31653440,31503232,32091892,32157840,33263564,32952812,33965032,33668756,33947660,33879212,35553887,36052714
 "33000","New Hampshire",1,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",22028,22992,24152,26812,26520,27776,29112,26580,24240,27396,28472,38144,29104,30276,27652,26556,25772,27192,27188,27924,31108,26380,26016,25752,27228,27204,28892,32208,28580,30252,29852,28140,30124,29928,28712,28868,28660,29292,28496,36504,27740,28212,28428,29148,27536,27800,26256,25432,27428,29108,28820,24928,27840,26720,28956,25484,29932,30144,30108,41576,31048,31548,32260,33136,34960,34544,35300,43740,37132,36512,39048,43144,37100,37656,36400,32496,36300,36908,37704,36644,37628,37312,35928,33692,37425,36795
 "33000","New Hampshire",1,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",8492,8176,8160,8604,9596,9668,9360,9520,9028,9072,8960,8820,22096,21124,20052,19820,22500,22204,21356,22884,21064,20288,21528,21696,21876,23584,26200,27264,26828,28208,27432,28908,27784,32304,28580,27848,34880,34360,34576,33692,35280,28432,30080,29856,25244,27204,27636,26456,26228,28844,27064,27404,27208,24632,29488,27988,29116,31104,26728,26644,29032,28528,28932,26800,28884,27736,28976,29628,28556,29736,31188,32040,32800,32476,33644,31080,35308,33484,33052,36496,36296,36012,35692,34772,36522,38846
 "33000","New Hampshire",1,SQINC7N,300,"22","   Utilities","Thousands of dollars",183232,176972,183944,177104,168276,178092,178456,168092,176372,179852,159696,202976,166512,176692,183808,191376,164492,212900,185516,172432,171284,170296,180424,209444,270404,183924,199828,174648,190976,196668,192192,194644,182080,177696,192500,202044,196532,195700,208220,180444,218324,226412,214812,236364,222320,210528,222856,233028,232156,218912,229608,202068,241992,255884,223176,232568,215548,223564,244460,244132,243252,231368,241268,223432,247128,241900,229112,231692,221068,223336,223556,233044,230044,211648,223040,215204,234792,247160,225140,224384,250680,229532,234248,234532,223004,222532
 "33000","New Hampshire",1,SQINC7N,400,"23","   Construction","Thousands of dollars",762656,783004,881112,910776,897352,899420,893492,930328,958852,970536,995984,1046292,1118772,1153780,1205116,1279192,1324948,1286608,1221464,1247448,1224212,1260772,1280476,1275672,1283688,1321300,1357456,1341048,1343828,1367984,1376724,1426104,1451204,1430684,1392656,1433268,1400852,1378840,1356436,1350892,1390036,1380108,1312464,1288480,1195396,1132304,1138908,1117240,1070796,1094588,1106484,1089432,1131900,1161860,1149360,1117168,1174356,1158624,1180556,1182352,1208164,1229796,1230468,1234732,1263396,1284728,1295656,1313972,1346876,1382368,1436652,1532136,1498580,1520596,1528408,1606676,1602928,1662364,1701160,1725060,1747872,1736356,1736296,1703588,1862068,1882440
 "33000","New Hampshire",1,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",3910464,4027648,4102836,4166612,4014580,4031336,4199044,4214188,4762356,4558508,4577732,4554792,4667056,4464572,4216292,4122864,3991300,3992228,3913044,3799104,3824904,3866744,3871288,3953060,3897832,4031872,4232900,4090592,4196068,4107220,4158768,4180316,4302004,4273576,4306736,4535668,4409804,4564028,4497244,4561824,4729864,4461528,4320784,4357340,4006052,4003528,3969356,3897236,3832760,4265772,4118220,4074112,4159044,4259640,4251080,4186600,4215264,4168232,4136636,4259292,4247448,4243684,4281076,4309512,4373208,4397672,4416060,4462396,4335140,4481872,4595348,4593864,4648964,4651740,4600548,4737864,4808972,4928072,4842392,4907768,5047300,4987440,5223404,5039824,5302674,5363544
 "33000","New Hampshire",1,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",3022116,3145360,3186284,3254544,3130752,3139460,3249444,3290464,3781204,3579540,3623460,3604372,3689060,3511232,3303380,3225616,3091276,3101800,3039880,2934496,2957828,2993720,2999128,3096532,3064856,3172964,3351556,3224760,3330072,3274520,3324660,3330004,3411652,3406880,3460400,3682852,3560276,3693060,3635464,3682924,3853260,3601364,3479744,3484908,3234976,3234800,3193840,3125060,3094004,3471808,3308680,3297320,3361012,3451892,3454020,3381340,3392028,3330212,3300592,3388056,3362088,3380408,3408496,3415192,3478688,3466564,3494524,3511696,3377436,3536036,3565768,3587332,3609476,3617940,3596204,3710400,3745524,3838544,3764424,3823800,3913028,3910852,4132396,3936872,4181331,4240268
