GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "36000","New York",2,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",329872628,340495672,342328556,343569476,358757448,355847452,363801672,362303792,385452988,388924936,395480500,409463096,417707616,406366644,398679088,396332396,393941920,399110680,395048164,391650084,388435404,400973952,403213704,412423052,413739440,422123740,435154452,434237972,436897552,440797268,449836452,459534872,475679116,477249796,478050892,495892116,533143048,515665084,520097224,524152332,546947068,530568952,533907388,527147384,482192312,500793236,499474304,505394244,507811300,525982284,520596576,517708392,545576780,535862380,539079704,529854432,541899268,548687168,551013508,572993540,555561920,565204192,565290760,573736552,595853004,593115464,601850396,613391328,616151800,626256108,634529408,632545108,639579320,640749484,638159280,644377928,661215540,664920108,673344092,700416956,699575000,707758312,715341608,711232192,735682802,742760720
 "36000","New York",2,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",394268,395100,390840,384048,360980,352268,353252,362328,392744,410640,425344,434720,423560,428832,432184,433716,545380,543076,539216,533428,491320,490192,494588,504728,478728,489604,496552,499552,408332,406124,402400,396968,441044,441620,450248,467324,527712,545900,555144,555456,505360,500624,499192,501092,466452,468552,467940,464708,478876,470112,458796,444916,391260,389844,402012,427852,569136,601940,619200,621336,611796,604544,603620,608832,653832,657500,653080,640368,537020,527780,527316,535624,596164,609456,617008,619228,550916,548396,546044,543972,558296,559688,564512,573052,583979,591566
 "36000","New York",2,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",329478360,340100572,341937716,343185428,358396468,355495184,363448420,361941464,385060244,388514296,395055156,409028376,417284056,405937812,398246904,395898680,393396540,398567604,394508948,391116656,387944084,400483760,402719116,411918324,413260712,421634136,434657900,433738420,436489220,440391144,449434052,459137904,475238072,476808176,477600644,495424792,532615336,515119184,519542080,523596876,546441708,530068328,533408196,526646292,481725860,500324684,499006364,504929536,507332424,525512172,520137780,517263476,545185520,535472536,538677692,529426580,541330132,548085228,550394308,572372204,554950124,564599648,564687140,573127720,595199172,592457964,601197316,612750960,615614780,625728328,634002092,632009484,638983156,640140028,637542272,643758700,660664624,664371712,672798048,699872984,699016704,707198624,714777096,710659140,735098823,742169154
 "36000","New York",2,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",276514692,286401968,287844124,288247164,303035392,298622252,306374380,304591428,326823704,329968704,335835304,348789612,357084512,344957312,337747156,333885876,331007776,335707744,331094920,326950204,322644528,335693260,337209864,347128868,346671260,354667812,366519712,365466812,368227576,371567956,379456148,387938444,405664924,404938596,405783848,421964676,458426560,440647500,445270232,448821400,469881372,452497548,455242308,447522192,402825244,420281208,419409344,424463856,425699012,443668208,438351724,436185604,463941408,453661716,458306548,449649284,460371540,467635344,469503768,491068200,472936720,483271100,483276684,491401104,512776020,509352084,516420496,527587760,530469152,539866108,547266760,544906336,551372140,552812572,549953092,554968796,570141088,573113980,580631432,606732012,598992552,605588040,610962736,606135552,630827844,636825261
 "36000","New York",2,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",97324,102416,103156,107164,109744,105008,103168,100520,95008,94524,111316,148576,106400,105348,107732,114088,105588,108388,109108,110560,107268,107292,105888,107436,109068,110284,113184,117292,113916,117340,121984,119804,120600,122744,126764,128956,125444,129524,128012,136044,141808,143388,142452,145356,142060,146604,142940,150392,149084,150812,153004,153888,149832,151344,156516,154528,151420,149848,150528,153920,149400,152756,158012,166608,164192,168384,169888,170708,176408,179040,193920,195316,189792,187376,190132,195364,198912,200240,200408,201024,206848,208112,211564,211888,209547,214393
 "36000","New York",2,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",185388,188784,188416,188404,180512,188468,181956,195104,199860,194076,190448,186968,190984,193736,188436,188324,186988,184920,183388,187276,200280,207492,205280,219972,207648,220976,237344,232812,226348,235676,245632,255376,263172,262944,265536,271904,288644,301116,292636,305740,327124,347264,354716,324840,267860,263492,269648,258600,259588,281492,273496,264800,301396,287740,295472,376060,367176,283448,273260,263132,257812,277012,267748,261028,301968,295348,308312,299136,287784,309864,305092,306404,295128,274396,285604,272936,274688,282988,291284,302812,323348,330600,322412,311952,331658,350681
 "36000","New York",2,SQINC7N,300,"22","   Utilities","Thousands of dollars",3007808,3132572,2848220,2831316,2758444,2817200,2889596,2861700,2983472,2944196,2924900,3003504,2916792,3024968,3028316,3062232,3160644,3314432,3370124,3342532,3329424,3230908,3194004,3282632,3380176,3317660,3178316,3167972,3283624,3270288,3247132,3306376,3413164,3323016,3396592,3543132,3531256,3516392,3758460,3508216,3637776,3670756,3548612,3749428,3438380,3828844,3700472,3604820,3863068,3843928,3632004,3667568,3833500,3911780,3813484,3791444,3767624,3919380,3853724,4146348,3786308,3874876,3922644,3768880,4054616,4039304,4018608,4145056,4291380,4120068,4325312,4202696,4356760,4192020,4195388,4460504,4480700,4762636,4380092,4657088,4734708,4661488,4620352,4653640,4574293,4534562
 "36000","New York",2,SQINC7N,400,"23","   Construction","Thousands of dollars",11766892,11620420,12086996,12364288,12697660,13005580,13403856,13865544,14458856,14763276,14978952,15590560,16123684,16081456,15547044,15897680,16032080,15734320,15896276,15877480,15806876,16078752,16283608,16438076,16091312,16586036,16815988,16327792,16863840,16729376,17036628,16990996,18143780,18279896,18229760,18896656,19781240,20173876,20252924,21018892,21953956,21751216,21829424,21963628,20301664,19969572,19956272,19754960,19054404,19076516,19260604,18838136,19267608,19339712,19567556,19640944,20345388,19986916,19895664,20398400,21392356,21047828,21167244,21631852,21801728,22792932,23390132,23739164,23697608,24992368,25399892,25983268,26838056,26910836,26886816,27727764,27930108,27844104,28548164,29257700,29886136,29909112,30292792,30190060,31874766,32204484
 "36000","New York",2,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",30511408,31780540,30541260,31544012,30304496,30650688,30609192,30956148,32089520,31520352,32464316,32060112,33016984,32244176,31312488,30913464,30408096,30479112,30157708,29801168,29487128,29853372,29365192,29968160,29623840,29886476,30466700,29924572,30561296,30367232,30161772,29873540,30612604,30264964,30211688,30710404,31033596,30861996,30694952,30821308,30895152,30924352,30324376,29730484,27413472,27475124,26996880,27062064,26420108,27240288,27464184,27620036,27673696,27780924,27277784,27401252,28224672,27929940,27953052,27828924,28079972,28008752,27923584,27726192,28248460,28122976,27754028,28451532,28998400,29073060,31528316,29670996,29017628,29208492,28592384,28967064,29305932,29283284,29278916,29563648,30075948,29895204,29803016,30051504,30480817,30582848
 "36000","New York",2,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",17896628,18780120,17573928,18435100,17736460,17917320,18001100,18188104,18916712,18727108,19427112,19280832,20276188,19802488,19223160,19025260,18532196,18618560,18147924,17901996,17804728,17725880,17620172,17931476,17649432,17917588,18463176,17958344,18740928,18168024,18214304,17899408,18780028,18659900,18718528,19190008,19222464,19136584,19152896,19339052,19455100,19497792,19058456,18602284,17281348,17110592,16803884,16916900,16347352,16959016,16936684,17103900,17378700,17593272,17414700,17437204,17941884,17744292,17795960,17670876,17899756,17725684,17744652,17408424,17691176,17731356,17499004,18031600,18306564,18407836,19478620,18667964,18307820,18388684,17946496,18152664,18232828,18305336,18210572,18472812,18848996,18797116,18849936,18935548,19279804,19336307
