GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "97000","Rocky Mountain",7,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",123626912,125725812,130040640,131147136,133972400,136624120,137881864,143702976,147989760,151787904,154934432,156336188,158795824,158530640,157660204,157470216,157704572,158521640,159220444,160157840,159078856,160981332,164399216,164932060,166737060,170786532,173173656,175580960,178241372,180449812,184744764,186952128,193953724,195537964,199571500,203501844,208204788,211994760,212655440,217947528,218998108,220205692,221184400,218783552,212685404,210998200,210878392,210827264,210760720,212358376,215084440,218183120,220429436,221879528,225058044,224336808,230566208,232998072,233942028,241839356,240157168,242818476,243993408,246934508,253804036,256072428,259083696,265628668,269489340,271870848,273592820,275371320,277450824,279566328,283456828,287310380,292036252,296339048,301360432,306064048,312007384,315263196,319711904,323140948,332810878,336298507
 "97000","Rocky Mountain",7,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",910432,897960,884168,874540,864444,861812,875920,902272,955136,994316,1023816,1040756,1009492,1022052,1030056,1033720,1187132,1182144,1173736,1161128,1023568,1021216,1030380,1051528,1081300,1105880,1121556,1128340,1287872,1280924,1269156,1252032,1200232,1201796,1225300,1271760,1376240,1423664,1447800,1448596,1318260,1305868,1302160,1307108,1477936,1484592,1482656,1472388,1343264,1318680,1286924,1247992,1267224,1262652,1302072,1385760,1467908,1552500,1597032,1602552,1747832,1727108,1724492,1739380,1718440,1728068,1716452,1683044,1430628,1406000,1404756,1426900,1602120,1637844,1658140,1664088,1710284,1702464,1695196,1688768,1787280,1791740,1807184,1834516,1869498,1893785
 "97000","Rocky Mountain",7,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",122716480,124827852,129156472,130272596,133107956,135762308,137005944,142800704,147034624,150793588,153910616,155295432,157786332,157508588,156630148,156436496,156517440,157339496,158046708,158996712,158055288,159960116,163368836,163880532,165655760,169680652,172052100,174452620,176953500,179168888,183475608,185700096,192753492,194336168,198346200,202230084,206828548,210571096,211207640,216498932,217679848,218899824,219882240,217476444,211207468,209513608,209395736,209354876,209417456,211039696,213797516,216935128,219162212,220616876,223755972,222951048,229098300,231445572,232344996,240236804,238409336,241091368,242268916,245195128,252085596,254344360,257367244,263945624,268058712,270464848,272188064,273944420,275848704,277928484,281798688,285646292,290325968,294636584,299665236,304375280,310220104,313471456,317904720,321306432,330941380,334404722
 "97000","Rocky Mountain",7,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",100168356,101961204,106076284,106986480,109456484,111729104,112972012,117951816,121668976,125023540,127856524,128882936,131077156,130251488,128626588,128002976,127479652,127756412,128106452,128805340,127487488,128891448,132058528,132470048,133735664,137403068,139381484,141502816,143163872,145216296,149478624,151128920,157948960,159117952,162428832,165984260,170190384,173389892,173657860,178104584,178652232,179523660,179590268,176693128,170250124,167894632,167514812,167640856,166987336,168321056,171360300,174678608,176285508,177432260,180858044,179830564,185757632,187992168,188596592,196438120,194163856,196648128,197733284,200402724,206852628,208628984,211388848,217597776,220869752,223109760,224171720,226002352,226877856,228921388,232207012,235438876,239817884,243677584,248084156,251935408,257591884,259978404,263791688,266711916,275579018,278416636
 "97000","Rocky Mountain",7,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",338968,338888,347128,343264,362648,359012,356712,349848,320456,297564,352664,458028,364332,352180,352344,359856,363788,366392,366928,390156,374924,374412,382936,388972,389924,405424,392816,397516,411664,414376,408136,411816,430396,433128,428652,429912,422564,457188,471880,452728,453204,453924,473604,484132,436380,441996,459012,467372,481784,498036,469828,496752,510880,480632,509572,539812,513720,524940,558836,551036,578928,586632,570076,587828,611316,617856,625532,644016,645096,658316,703408,696768,694352,717280,706720,719228,(D),(D),(D),(D),766164,784908,800168,812872,825581,821654
 "97000","Rocky Mountain",7,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",2262664,2226976,2200420,2102816,2127288,2188036,2114832,2436480,2270124,2264100,2276568,2568040,2503084,2636904,2991000,2585288,2568568,2475028,2477644,2483296,2420164,2515800,2623624,2804536,2814904,3225532,3382440,3407776,3490076,3600900,4036624,4034252,4336156,4716144,4886260,5146028,5198184,5546456,5614376,5940340,6226060,6750444,6657904,6871860,5862236,5283092,5190264,5107520,5523560,5613832,5799696,6066120,6600972,6502656,6932564,7011944,7241596,7403296,7291920,7336840,7329092,7386012,7492948,7680212,8114024,8037460,8161740,8266768,8165540,7439036,6975836,6557868,6040780,5658952,5594772,5698396,5775028,6187896,6325848,6396656,6807724,6828520,6919100,6830424,7379666,7750772
 "97000","Rocky Mountain",7,SQINC7N,300,"22","   Utilities","Thousands of dollars",1057524,1053752,1059496,1068724,1066032,1069636,1053596,1097916,1133676,1091416,1091244,1096536,(D),(D),(D),(D),(D),(D),(D),(D),1117176,1214620,1213072,1209328,1335636,1299460,1205600,1247092,1264680,1308552,1364600,1338464,1420032,1485072,1943524,1439320,1439348,1476344,1518768,1469588,1598460,1505052,1544140,1557992,1601708,1573748,1601632,1570812,1733996,1661520,1679364,1715788,1813992,1730124,1768780,1738232,1746204,2005196,1730820,1835012,1741168,1736696,1733220,1768948,1840128,1813744,1788224,1870220,1887820,1904560,1908228,1952620,1888348,1941096,1962048,1925372,2049624,1951456,1930856,1996836,1990300,2050264,2093076,2103008,2139582,2142373
 "97000","Rocky Mountain",7,SQINC7N,400,"23","   Construction","Thousands of dollars",8144548,8411136,8815756,9049332,9356668,9494356,9676616,10180556,10744808,10846988,10900652,11147928,11819356,11713088,11588768,11506880,(D),(D),(D),(D),11071108,10919100,11053332,11171044,11289208,11663700,11890040,11856132,12393420,12668980,13367780,13650424,14835776,15010368,14990564,15428776,16323080,16670316,16445784,16991220,16831484,16292440,16033508,15580392,14285428,13159808,12708712,12162332,12153592,11836716,11957964,12070096,11762228,11767324,12197760,11933844,12423916,12600172,12533556,13026260,13169496,13549056,13867088,14252644,14935468,15330156,15637612,16032920,16619668,16540908,16764540,17042924,17502876,17692140,18217916,18479728,18953068,19239784,19768436,20166832,21331112,21451180,21783144,22205892,23066213,23487311
 "97000","Rocky Mountain",7,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",14945812,14980116,15272200,15539320,15548068,15871416,16123076,16456744,17328896,17440152,17132724,17729172,17569004,17078640,16702692,16468260,(D),(D),(D),(D),15717860,15767516,15756212,15887088,15872484,16299876,16397732,16886108,16572244,16863184,17495520,17252736,17810928,17836628,18047472,18182204,18723784,18546508,18564004,18743816,18879936,19070912,18892268,18541888,17420848,16941956,16954664,17037784,16692648,16934200,17424884,17930240,17856532,17924604,18344340,18243284,18369908,18875620,18749004,19271404,18993172,19408880,19487436,19801876,20320948,20562100,20797112,21439504,21665860,21553144,21612552,21681644,21768908,21926644,22233328,22100340,(D),(D),(D),(D),24456404,24384964,24908376,25437496,25924370,25950359
 "97000","Rocky Mountain",7,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",10638676,10717492,10981116,11163324,11176120,11459756,11696796,11992288,12717924,12785308,12527516,13061088,12718800,12303820,12045628,11759652,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),11670676,11927324,12482832,12169484,12673436,12714320,12908964,12975032,13311332,13307388,13320404,13311812,13216720,13211004,13174636,13037036,11977564,11531840,11521308,11533164,11256228,11546988,11898264,12326280,12249968,12307876,12593192,12554464,12691784,13102916,13006308,13183108,12995200,13321940,13410184,13641740,13956620,14125900,14100900,14825912,14915360,14724380,14759360,14633144,14628264,14860820,15070504,14974200,(D),(D),(D),(D),16695128,16679844,16999280,17409964,17909528,17830661
