GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "47000","Tennessee",5,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",74126908,76314936,76705648,78246040,78864256,80073700,80606452,82704344,84080620,84020120,86036280,84790224,85725684,86174184,86135480,86565644,87169764,88592780,88605816,89119172,89623244,90636024,91712628,93458552,94123888,96014584,98465084,98306552,99064528,99784872,101512376,102539748,104772472,106701752,107200700,109340724,110440420,111542324,111973032,113981360,114448176,113632384,113950020,112686108,107917580,107893104,107306348,108704156,109115016,110907332,111715988,112890044,113996124,114848680,116759540,115798532,120116596,121515980,121381504,124316316,123715716,123594872,123657532,125158172,128219600,129105984,129838868,132276496,134099188,137391356,138484228,139873100,140507172,141039396,143416272,145794644,146914724,148036112,149313496,151745072,154522092,155380212,158268308,158393260,161994043,163919762
 "47000","Tennessee",5,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",135304,137664,139064,139524,140248,140408,139280,137464,124576,121880,122448,125868,142332,144100,145232,145748,172384,171660,170440,168612,187760,187332,189008,192884,181184,185300,187924,189068,153068,152240,150840,148808,167596,167816,171096,177580,194132,200820,204220,204336,185916,184160,183636,184336,178304,179100,178876,177636,176172,172940,168772,163668,143936,143412,147888,157388,196784,208128,214096,214832,214120,211576,211256,213076,226068,227332,225808,221416,185688,182480,182320,185200,206124,210724,213340,214104,211512,210548,209648,208852,211764,212296,214120,217360,221505,224382
 "47000","Tennessee",5,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",73991604,76177272,76566584,78106516,78724008,79933292,80467172,82566880,83956044,83898240,85913832,84664356,85583352,86030084,85990248,86419896,86997380,88421120,88435376,88950560,89435484,90448692,91523620,93265668,93942704,95829284,98277160,98117484,98911460,99632632,101361536,102390940,104604876,106533936,107029604,109163144,110246288,111341504,111768812,113777024,114262260,113448224,113766384,112501772,107739276,107714004,107127472,108526520,108938844,110734392,111547216,112726376,113852188,114705268,116611652,115641144,119919812,121307852,121167408,124101484,123501596,123383296,123446276,124945096,127993532,128878652,129613060,132055080,133913500,137208876,138301908,139687900,140301048,140828672,143202932,145580540,146703212,147825564,149103848,151536220,154310328,155167916,158054188,158175900,161772538,163695380
 "47000","Tennessee",5,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",63335960,65177920,65513676,66951392,67436380,68593996,69046076,70874772,72078688,71890400,73740884,72316396,73227200,73360552,73326136,73392808,73734864,74977944,74942672,75357508,75501112,76317804,77306912,79026960,79384584,81133936,83342660,83128232,83788640,84653796,86188904,86967020,89200660,90760760,91063496,92912696,93904060,94784708,95114824,96783828,96995168,96152072,96215948,94980556,90214784,90078268,89594368,90896356,91052764,92659396,93612988,94747648,95727468,96442864,98446820,97493200,101716572,103241948,102794292,105797592,105025956,104950044,105215624,106429320,109155712,110011616,110651780,113236976,114864132,118201624,119062876,120586008,121006028,121576884,123653508,125669992,126876720,127562540,128791128,130875932,133577912,134113676,136754352,136825028,140251190,141998131
 "47000","Tennessee",5,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",78644,81820,82220,84644,85116,81392,84652,87672,81572,76864,90420,117544,90796,91604,91672,90252,84360,91896,88212,84744,85592,88276,88940,90348,90688,90088,91360,91608,92368,91180,92292,98852,100336,93108,89644,104172,95372,101156,99432,97032,90368,96812,97260,99448,102996,95940,92308,95392,100072,105924,109480,102572,106428,106340,109792,114528,115976,114736,109136,125672,120204,117168,123884,124200,126864,130744,129860,132852,126892,134488,146000,137524,147844,141484,138596,144272,147184,141908,142172,150984,155280,155676,159612,157948,155371,160227
 "47000","Tennessee",5,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",206792,181236,181568,196704,184544,175940,178604,172240,163968,180168,171368,167572,169864,168856,170760,186328,149252,168404,161504,152304,143836,145792,144844,144820,139116,149028,155080,149736,162492,163916,166772,165884,195116,174276,177088,206728,207492,215128,211436,206088,229608,232820,233688,224608,192152,183276,183796,176164,220232,208600,223244,250336,209416,219184,223224,232032,222828,227764,202068,230452,219764,221516,217168,211028,226580,234824,242456,226936,235780,257264,221112,228852,236216,196276,192512,201596,205676,219008,230612,230396,249216,257548,258540,251204,254694,268008
 "47000","Tennessee",5,SQINC7N,300,"22","   Utilities","Thousands of dollars",158840,149472,141912,142344,143360,145048,149916,149980,143964,158136,153112,153704,157024,158084,160668,164780,160144,165104,167872,169924,170236,169072,166224,171448,172972,180316,171824,174940,176632,176700,185376,182588,183004,188240,190456,199736,192576,197492,209216,197728,206248,199996,201316,210056,231596,206660,215232,212072,202356,203908,206028,214380,204452,213516,211856,206144,203520,216120,219452,217232,216756,218648,216816,223580,228744,227712,225368,237468,235192,237040,238320,242500,231184,241324,248472,253900,255880,259468,260996,261148,262816,266004,274016,278240,281252,281635
 "47000","Tennessee",5,SQINC7N,400,"23","   Construction","Thousands of dollars",3655600,3786804,3923300,3999380,4025532,4082236,4069388,4212624,4443648,4338116,4239648,4242716,4349512,4282244,4217736,4157648,4166692,4070296,4068536,4035084,4073276,4241208,4232216,4349544,4294228,4384928,4501904,4308640,4506068,4653184,4818392,4910424,5282124,5380944,5359520,5660924,5714352,5797740,5807396,6122972,5969412,5790600,5685984,5577680,5061196,4700020,4623752,4429356,4518704,4701784,4703032,4520300,4737976,4969508,5031744,4842424,5230756,5018444,5020752,5034276,5028800,5020076,5074644,5149620,5317616,5473748,5466520,5533688,5788004,6097652,6229144,6339380,6266552,6243012,6378484,6796232,6847640,6844896,6947380,7251768,7137244,7296340,7385032,7307596,7885990,8037399
 "47000","Tennessee",5,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",16351860,16809152,16712988,17024276,16923288,17047260,17442188,17714160,17863796,17686828,17706024,17266968,17120472,16834376,16688072,16386968,16472088,16733204,16628000,16577980,16463708,16365680,16492024,17058504,16677764,17287948,17689880,17643736,17467544,17444180,17657728,17731712,17955696,17935584,17847492,17938296,17889964,17744904,17491952,17707008,17861744,17377496,17513164,16817572,14853312,15230304,14858264,15497076,15189240,15521628,15656464,15868760,16116316,15883784,16341152,15993100,16726884,17721024,16847624,17435712,17480696,17231220,17433456,17583680,18230940,18111600,18234284,18619552,18593192,19063124,19155224,19418512,19565380,19773344,20105464,20407780,20584436,20609424,20665232,21084576,20711184,20829940,21171080,20912392,21389385,21638761
 "47000","Tennessee",5,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",9759404,9983228,9993912,10316236,10277500,10475752,10763600,11030892,11115824,10993612,10939240,10580024,10348540,10200664,10079112,9854724,9907624,10071676,10010608,9941324,9829360,9816488,9915844,10239188,10160568,10376784,10750704,10712040,10705160,10704364,10782712,10811456,11097788,11163500,11035528,11139616,11185432,10850656,10590884,10714972,10733720,10483608,10705892,9946804,8848608,8725364,8519764,8950092,8746140,9065016,9164556,9106204,9438612,9270148,9680684,9613928,10175216,11043776,10300832,10671236,10558580,10462492,10581628,10739636,11054760,11246316,11300640,11641764,11400068,11878020,11914488,12140788,12323216,12416108,12637724,12802488,12925248,12940200,12973476,13228308,13371416,13283260,13659296,13517168,13948287,14110917
