GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "53000","Washington",8,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",91316168,92840488,94747740,95984828,100730972,99613720,103702572,108275668,112196376,108692560,107564160,108663052,109794484,112121220,108111552,108730560,110294844,110024484,109980772,111328076,110934696,112832948,114463516,114007460,114410304,118190564,118510116,120982040,122016340,123322460,124501268,128357668,132364988,133762296,135006544,138309044,141421056,144440744,146552728,148764432,149539912,149775548,151596636,149923412,145886556,147062752,145701876,146440784,145136712,147361192,148713796,150176908,152808188,153533640,155832660,156924972,161441904,162805884,164924796,167159496,168654144,169634648,171363408,172525576,178193272,178954136,183057648,186166712,187387880,191167256,193779168,194329056,199568136,201157076,203649872,209040464,211730916,215774620,220123596,224714920,232966820,235010920,239958944,240689228,249607736,253565480
 "53000","Washington",8,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",872364,883352,901832,924668,966984,996456,1016384,1025028,1022704,1021404,1015748,1012644,994508,1006888,1014764,1018372,944732,940756,934072,924036,983452,981196,990000,1010296,936536,957832,971416,977284,1160096,1153828,1143208,1127788,1040468,1041836,1062204,1102488,1023636,1058920,1076852,1077444,1312644,1300312,1296624,1301544,1290388,1296200,1294504,1285548,1224244,1201832,1172892,1137400,1086188,1082248,1116040,1187780,1416712,1498364,1541340,1546656,1545388,1527064,1524744,1537904,1503600,1512012,1501852,1472628,1539312,1512816,1511472,1535296,1660084,1697112,1718144,1724312,1490872,1484036,1477692,1472092,1475028,1478704,1491452,1514000,1542870,1562914
 "53000","Washington",8,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",90443804,91957136,93845908,95060160,99763988,98617264,102686188,107250640,111173672,107671156,106548412,107650408,108799976,111114332,107096788,107712188,109350112,109083728,109046700,110404040,109951244,111851752,113473516,112997164,113473768,117232732,117538700,120004756,120856244,122168632,123358060,127229880,131324520,132720460,133944340,137206556,140397420,143381824,145475876,147686988,148227268,148475236,150300012,148621868,144596168,145766552,144407372,145155236,143912468,146159360,147540904,149039508,151722000,152451392,154716620,155737192,160025192,161307520,163383456,165612840,167108756,168107584,169838664,170987672,176689672,177442124,181555796,184694084,185848568,189654440,192267696,192793760,197908052,199459964,201931728,207316152,210240044,214290584,218645904,223242828,231491792,233532216,238467492,239175228,248064866,252002566
 "53000","Washington",8,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",73455456,74856136,76693428,77594176,82165516,80913712,84569044,88836576,92495168,88472940,87428232,88144176,89163460,91041168,86478660,86677380,88018984,87382036,86941436,88092412,87398832,88952236,90465272,89697316,89866376,93371296,93538848,96021404,95840628,97220208,98634888,101819956,105546280,106657528,107618784,110582724,113510084,115977696,117413052,119201068,119300352,119213056,120373940,118274944,113845288,114680372,113346968,114116680,112269112,114493948,115845604,117757464,119795780,120822572,123372984,124003328,128314376,129343216,131374848,133559796,134858624,135706536,137507028,138263016,143592556,144188264,147953408,150732544,151523852,154858496,157056440,157582112,161786580,163170348,165675924,170155444,172585016,176197332,180036192,183954088,192130232,193436392,197626784,197992128,205899652,209419762
 "53000","Washington",8,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",635036,642828,649056,694512,769296,738608,710804,709880,597308,640256,716080,899940,687188,691028,718780,706836,703596,736136,737316,762168,772096,756572,750536,750988,764568,784232,786888,819888,839408,824512,807972,802608,855228,882020,894080,859924,876088,907764,903312,888724,906952,915496,917772,970124,868676,857896,935660,835528,902892,894548,907424,923820,944036,939948,967368,978724,982696,1015184,1079396,1151264,1116724,1105296,1032184,1041168,1078096,1079928,1133260,1136792,1122700,1164084,1183996,1112192,1302752,1194204,1128460,1147168,1176932,1203272,1274784,1307004,1323848,1366536,1346172,1320876,1308232,1361588
 "53000","Washington",8,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",154312,162804,162936,159696,154036,152504,152564,155168,153480,155092,151692,149980,163704,163104,159044,156180,151576,152196,144216,143192,148788,145960,150884,153312,154576,166224,178416,179928,174936,179940,179916,182776,193432,199396,187752,190876,221496,168880,173128,169812,165772,166056,168224,159604,140848,124548,123400,115928,119920,122156,130288,122916,128840,132688,132764,132220,131804,136576,128416,129444,134080,134348,136528,141164,140712,142040,142864,149084,154624,166096,155444,177268,170848,163000,170092,157776,182000,186628,182200,183372,191896,186672,192548,184600,185009,192188
 "53000","Washington",8,SQINC7N,300,"22","   Utilities","Thousands of dollars",238700,247336,254180,273232,242352,252328,262108,280920,290932,271344,266176,264280,276884,299060,274016,276760,245872,319856,243672,244508,245520,239408,271664,285412,270376,283944,280260,280484,268780,297608,294552,294672,321376,309320,310796,332052,319036,316744,342036,330992,341508,356132,365952,369260,457116,384760,378060,371176,336616,385432,383340,396280,376076,393500,419992,404200,395304,421132,414692,415128,415344,420512,414372,404640,388256,424160,428632,457580,453944,439448,475432,476596,392596,458636,418348,424268,442756,444608,453020,474932,493628,501024,540352,534144,559078,559166
 "53000","Washington",8,SQINC7N,400,"23","   Construction","Thousands of dollars",4973368,5142744,5369988,5509684,5638708,5873556,6013972,6251212,6487320,6410568,6446232,6639596,6647488,6532516,6468232,6290124,6367528,6444152,6521584,6479344,6459020,6488072,6588820,6672092,6697264,7066228,7167932,7375276,7533892,7698744,8022740,8339460,8780844,8995228,9274564,9620592,10144820,10494800,10402488,10665948,10811744,10591600,10445240,10091632,9334148,8689904,8218576,7949260,7694304,7350844,7530156,7352828,7286156,7349068,7464724,7397644,7452896,7580624,7688108,7895480,8098284,8216864,8419380,8567004,8811580,8947572,9330276,9636140,10145788,10408264,10297532,10549024,10943620,11322144,11768812,11888564,12257052,12573580,13011756,13268900,13882620,14167176,14421116,14717252,15012614,15384821
 "53000","Washington",8,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",14914544,15337392,15493908,15509720,15128864,15375896,15513740,15369388,16202856,15347452,15639012,15777440,15587948,15465192,15096796,14648592,15140196,14383756,14593556,14357780,13799524,13466264,13440772,13522896,13138984,13713092,14629968,13918308,14593804,15102936,15035188,15642092,16790560,16800212,16430616,17097172,17234316,17757824,17760636,17759292,18210288,17825180,17858596,17780000,16429856,16974684,16618064,16970236,15798276,16988752,17475208,17110584,17809784,18153136,18464440,19209228,19329388,19468332,19667212,19836124,20412684,20596228,20857640,20353124,22583672,21675216,21188104,21645128,21830264,21696552,22192328,21482376,21551968,21994684,21452504,21917444,21319652,21719860,21741832,21938028,23267248,22352888,22587472,23122408,24445240,24395223
 "53000","Washington",8,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",11528688,11971840,12019188,11905656,11686704,11761324,11866384,11587664,11843048,11644264,11775904,12008392,11875572,11809120,11567268,11086700,11111692,10779312,10516788,10571412,10236688,9963448,10031712,10079492,9727824,10228564,11172740,10366888,11032748,11554272,11349236,12093940,13027836,13121896,12701468,13357368,13404292,13874796,13916544,13877388,14295160,13992532,14053200,13962672,12885400,13326800,13003980,13346564,12277804,13404256,13822244,13473408,14082176,14367816,14716236,15319704,15488452,15579556,15823504,15968008,16514232,16683200,16788528,16393928,18510192,17575800,17106828,17477916,17645448,17519420,17954100,17243976,17186396,17608788,17050568,17418824,16790180,17150456,17085600,17280632,18430176,17562876,17725104,18184404,19398234,19265462
