GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "56000","Wyoming",7,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",5916980,6013652,6106384,6124772,6262648,6312608,6406528,6567512,6728268,6736888,6765156,7110480,7084636,7272204,7396808,7568120,7590904,7654952,7722840,7789508,7806024,7929592,8105532,8294468,8385480,8546748,8706544,8672580,9115716,9185624,9422316,9635328,10128736,10546404,11036752,11191944,11539096,11827108,11894592,12323144,12774560,12849320,13069500,13109216,12627632,12253788,12077624,11826424,12210124,12297144,12540652,12430700,12791076,12846932,13012028,13104872,13424220,13631616,13424796,13689568,13761932,13677484,13636040,13857576,14144932,14344900,14488448,14659744,14606580,14313808,14242828,13947632,13816624,13427628,13215060,13192460,13466332,13681888,13747068,13868320,14109216,14233848,14465588,14578536,15014347,15223051
 "56000","Wyoming",7,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",67424,66768,65984,65440,64728,64536,65632,67640,71936,74864,77160,78556,76532,77484,78084,78368,90524,90144,89504,88536,77852,77676,78372,79980,82040,83904,85092,85600,97464,96932,96048,94748,90596,90716,92484,96000,103616,107184,109004,109060,99248,98316,98040,98408,111272,111776,111628,110848,101132,99280,96888,93956,95404,95064,98032,104328,121164,128144,131820,132276,144268,142560,142340,143568,138768,139544,138608,135904,118084,116056,115948,117776,132236,135188,136868,137356,137984,137356,136768,136252,144196,144552,145808,148012,150834,152794
 "56000","Wyoming",7,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",5849556,5946884,6040400,6059332,6197920,6248072,6340896,6499872,6656332,6662024,6687996,7031924,7008104,7194720,7318724,7489752,7500380,7564808,7633336,7700972,7728172,7851916,8027160,8214488,8303440,8462844,8621452,8586980,9018252,9088692,9326268,9540580,10038140,10455688,10944268,11095944,11435480,11719924,11785588,12214084,12675312,12751004,12971460,13010808,12516360,12142012,11965996,11715576,12108992,12197864,12443764,12336744,12695672,12751868,12913996,13000544,13303056,13503472,13292976,13557292,13617664,13534924,13493700,13714008,14006164,14205356,14349840,14523840,14488496,14197752,14126880,13829856,13684388,13292440,13078192,13055104,13328348,13544532,13610300,13732068,13965020,14089296,14319780,14430524,14863513,15070257
 "56000","Wyoming",7,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",4291664,4374184,4440756,4464736,4557168,4617308,4708124,4801016,4938824,4920272,4943692,5260204,5223144,5358640,5402540,5553412,5523120,5541072,5596172,5625028,5613172,5702648,5869408,6024700,6084796,6218624,6327404,6308944,6634696,6725864,6938368,7087828,7575072,7950148,8372780,8448512,8721936,8945444,8987448,9353832,9755576,9786308,9955440,9941084,9399672,8966100,8776512,8541508,8837080,8938448,9193128,9135680,9407816,9471284,9657120,9685820,9946116,10124340,9918492,10174004,10208288,10109840,10109268,10294860,10573148,10765380,10885644,11026904,10960680,10666968,10520724,10261536,10012440,9672052,9481424,9475872,9702432,9908448,9980244,10089520,10354972,10439192,10614248,10744072,11134270,11308978
 "56000","Wyoming",7,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",13980,14216,14972,15100,16136,15640,15532,15700,14144,14052,16608,22788,22584,20952,24760,26508,22576,24596,24156,21892,20408,20464,21768,24424,24692,23472,20444,17512,17028,18400,19296,20336,19536,16776,17516,18444,17848,20540,17728,18384,20488,16612,21412,19916,20124,19132,21588,22152,22980,23156,21820,22672,25040,23032,25136,26440,25716,27012,25100,26952,27812,27768,27472,28508,28388,30272,31452,31012,29884,30356,32480,32364,32260,33684,32672,34000,(D),(D),(D),(D),33852,36296,36456,37120,37771,37633
 "56000","Wyoming",7,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",785636,773980,779012,746544,741236,773432,760780,792932,816308,810596,813396,1109484,915272,994544,990816,1014296,1005560,960048,971316,972644,967480,1009992,1047972,1095836,1122668,1165932,1225120,1254240,1306980,1366940,1440396,1487324,1627548,1773644,1871180,1920824,1936464,1969448,1962340,2045064,2101976,2270640,2282104,2353728,2088844,1879876,1797844,1764972,1868604,1903768,1965948,2025716,2105596,2165752,2262564,2260676,2328244,2346388,2261456,2248344,2244668,2265956,2274788,2272340,2353576,2406016,2431288,2451400,2310408,2123152,2024140,1971224,1732572,1583000,1542468,1560036,1635464,1739984,1796400,1819184,1877640,1878848,1929248,1889596,2027368,2136126
 "56000","Wyoming",7,SQINC7N,300,"22","   Utilities","Thousands of dollars",122504,121640,119968,123904,120268,128976,118672,127724,131876,120460,127324,112692,(D),(D),(D),(D),(D),(D),(D),(D),133004,139912,140008,150400,146756,147872,149708,147212,152668,154972,171748,152984,173816,178512,149112,178852,169912,182792,188780,195752,186492,184188,191452,209332,196296,197384,196148,195820,198460,203660,200564,205752,210460,210988,218964,198988,204108,208276,212792,210328,206736,209348,213848,220532,219096,218028,221220,226500,231176,227664,237640,239616,232244,228044,240944,235044,242060,244432,207412,245388,235204,249240,251636,258416,251361,252180
 "56000","Wyoming",7,SQINC7N,400,"23","   Construction","Thousands of dollars",436408,461536,472804,472564,509604,525824,531396,578532,590496,578816,570488,579608,622268,643448,663768,680532,(D),(D),(D),(D),656500,660260,701516,708904,686480,691132,673688,661240,723592,748648,791752,812480,924736,982012,1003288,1080004,1164348,1196720,1253136,1346392,1559580,1369876,1395556,1353436,1243176,1152904,1119848,1039800,1117132,1112868,1128468,1104552,1044912,1004796,1066392,1069872,1080872,1163360,1103060,1087660,1142816,1114020,1112136,1216256,1254320,1292936,1301676,1252452,1307236,1234316,1234208,1180680,1160520,1137352,1094100,1045896,1049880,1054548,1039780,1021088,1066408,1102392,1147068,1219664,1330138,1334646
 "56000","Wyoming",7,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",320444,321948,324288,339172,330368,331160,333292,335732,343620,355760,345668,348052,388604,380252,366840,371452,(D),(D),(D),(D),353124,349720,362692,368056,363920,373532,388580,378668,401084,399680,398948,413468,424348,441800,441540,459088,473824,477216,476880,481356,493692,492676,497588,509452,470336,466072,465616,461532,458660,458004,461516,472220,493908,506984,537736,524608,525216,536012,529120,551844,542044,556716,560904,572436,603904,608808,612736,624896,633736,623444,645320,625288,626516,608148,605160,595824,(D),(D),(D),(D),660980,658428,675512,690848,711666,717421
 "56000","Wyoming",7,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",139088,144196,145176,145320,147264,150140,152616,153688,156428,149484,148368,152580,157488,155096,154340,153624,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),182968,186040,184424,190572,199892,208412,211100,215232,222360,227700,224500,228332,227480,230068,234176,243936,224796,209744,204176,196368,194692,196448,205080,208244,218220,220400,225736,232508,238644,240168,233796,236940,238052,240028,239048,240768,255592,263092,262232,266588,263904,258676,258508,238224,232276,219496,213332,216184,(D),(D),(D),(D),260688,265896,275448,290124,304610,306223
