GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "05000","Arkansas",5,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",1270308,1267388,1292532,1338736,1372344,1389288,1372268,1391304,1397664,1440424,1445684,1447716,1468304,1481240,1519304,1572692,1626460,1673624,1673320,1678748,1723936,1752288,1801288,1834980,1873628,1890892,1917344,1933112,1978240,2028800,2090440,2141564,2169224,2228088,2281124,2305204,2384436,2409624,2463880,2520076,2588672,2660024,2737236,2800716,2878832,2934908,2994488,3036416,3089028,3144808,3203080,3244288,3339936,3440052,3506904,3648936,3741032,3839912,3948420,4034600,4188584,4321356,4482528,4640652,4765788,4907504,5032588,5038036,5027960,5086892,5261588,5494808,5773564,5864984,5973460,6209384,6391220,6631716,6861288,7076740,7279372,7631464,7844112,8057240,8277892,8464336,8708732,8954476,9139372,9163840,9318336,9607232,9956308,10034332,10192104,10316960,10342980,10392460,10507996,10662044,10828688,11112224,11359196,11652876,12024532,12265792,12417552,12620456,12766284,13000492,13117592,13307980,13624268,13684736,13845052,14200224,14180752,14410356,14629808,15090964,15045416,15581460,15732676,15999560,16098612,16286852,16525972,16911224,17216300,17609056,17984068,18063840,18263292,18458680,18792392,19200124,19755908,20145428,20209240,20676816,20812312,20921208,21275476,21675400,21760760,22537968,22963720,23334916,23600944,23974680,24163900,24525264,24641184,25126552,25563468,25706040,26050384,26540736,26856216,27690868,27999276,28323068,28792688,29161952,29650956,29901172,30312988,30786940,31712216,31573364,32019016,32017452,32885036,32983600,33016700,32997260
 "05000","Arkansas",5,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",73148,74048,74820,80036,80096,78776,78292,83496,79504,79960,77684,78232,76692,74160,74536,74832,76456,77700,78488,80128,81028,80232,83684,76200,71324,73048,70056,69700,72564,79840,76012,72556,62372,55632,51920,52760,54832,56592,62704,65444,67980,67448,71304,72424,77232,82208,84404,87388,82324,83604,83824,80836,80292,78928,80068,78800,78036,75608,77128,79644,80512,84640,88908,94460,87496,89664,88832,88016,82396,79540,76276,77220,79328,83312,84128,84852,90128,89036,95136,105600,137692,154700,167964,175992,170220,168556,167024,167288,170024,171564,169840,164904,161836,157560,157904,162700,173848,181472,185180,184472,178912,173576,170160,168816,168056,169744,171280,172800,172708,172256,170400,166928,161500,158064,155400,153584,151100,152428,156284,162808,171776,178704,183576,185948,185344,189408,197100,208644,222972,232100,238204,240600,235076,234128,230768,225728,210288,210112,212344,216800,231592,237120,238684,236448,209692,208668,208536,209936,177352,179472,181404,183220,196616,199824,204128,208992,214632,220768,226612,231604,234312,237704,239576,240228,242136,242808,242400,241524,238944,237876,239472,243960,255648,258836,260856,261784
 "05000","Arkansas",5,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",1197160,1193340,1217712,1258700,1292248,1310512,1293976,1307808,1318160,1360464,1368000,1369484,1391612,1407080,1444768,1497860,1550004,1595924,1594832,1598620,1642908,1672056,1717604,1758780,1802304,1817844,1847288,1863412,1905676,1948960,2014428,2069008,2106852,2172456,2229204,2252444,2329604,2353032,2401176,2454632,2520692,2592576,2665932,2728292,2801600,2852700,2910084,2949028,3006704,3061204,3119256,3163452,3259644,3361124,3426836,3570136,3662996,3764304,3871292,3954956,4108072,4236716,4393620,4546192,4678292,4817840,4943756,4950020,4945564,5007352,5185312,5417588,5694236,5781672,5889332,6124532,6301092,6542680,6766152,6971140,7141680,7476764,7676148,7881248,8107672,8295780,8541708,8787188,8969348,8992276,9148496,9442328,9794472,9876772,10034200,10154260,10169132,10210988,10322816,10477572,10649776,10938648,11189036,11484060,11856476,12096048,12246272,12447656,12593576,12828236,12947192,13141052,13462768,13526672,13689652,14046640,14029652,14257928,14473524,14928156,14873640,15402756,15549100,15813612,15913268,16097444,16328872,16702580,16993328,17376956,17745864,17823240,18028216,18224552,18561624,18974396,19545620,19935316,19996896,20460016,20580720,20684088,21036792,21438952,21551068,22329300,22755184,23124980,23423592,23795208,23982496,24342044,24444568,24926728,25359340,25497048,25835752,26319968,26629604,27459264,27764964,28085364,28553112,28921724,29408820,29658364,30070588,30545416,31473272,31335488,31779544,31773492,32629388,32724764,32755844,32735476
 "05000","Arkansas",5,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",920704,909412,929004,961348,999540,1022732,1023888,1035100,1042980,1078512,1086748,1081228,1100436,1112456,1138988,1159772,1186220,1235288,1249688,1272320,1303428,1323352,1358756,1390064,1424396,1436280,1463584,1482248,1530920,1563984,1604680,1659812,1689280,1742176,1791372,1801136,1859100,1872352,1908584,1938940,1993928,2059308,2125948,2195296,2251764,2292936,2333448,2355648,2387412,2423768,2472064,2499688,2568540,2651492,2695188,2824412,2913132,2996572,3071876,3168992,3304436,3407572,3520072,3652104,3765748,3881848,3972400,3957476,3892100,3926352,4101100,4260736,4501184,4574756,4711188,4904056,5045844,5256804,5455496,5630576,5762652,6062132,6216588,6370804,6576492,6731480,6938804,7112288,7295928,7220564,7351608,7619532,7953672,8025148,8099032,8148936,8169824,8197528,8268200,8399632,8550580,8830372,9016948,9268156,9573620,9762652,9863632,10031884,10118200,10283740,10362984,10526340,10789576,10855240,10987344,11259648,11288304,11478024,11678080,12067132,11978200,12452284,12609856,12818856,12879700,13027276,13209852,13532808,13758816,14025284,14346956,14394648,14506044,14681140,14911156,15183084,15751444,16062052,16187072,16528340,16666392,16697396,17058504,17473300,17470644,18203136,18579092,18945592,19149304,19489832,19600176,19945856,19976900,20434168,20761668,20907092,21158704,21635468,21884968,22577348,22921968,23199328,23535228,23852060,24304084,24574988,24843196,25244352,26089880,25828916,26381852,26236924,27035884,27027392,26956980,26865820
 "05000","Arkansas",5,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",4172,4156,4164,4540,4524,4520,4572,4612,5024,5084,5124,5196,5164,5184,5168,5136,5560,5528,5504,5876,6320,6264,6720,6740,6812,7232,7244,7232,7644,8032,8012,8400,8844,8776,9556,10368,10756,11624,12880,13744,14208,15088,15980,16920,17024,16648,17180,17300,18008,18784,19000,19692,20424,21360,21968,22016,21816,22248,22612,23268,24464,24888,25612,26388,27832,29212,28552,27040,20040,20720,21648,22196,22384,22312,22596,22972,24096,24440,26564,30508,37232,41216,43592,45848,47344,46848,46840,51464,50360,50624,50996,49000,53460,48304,48464,50100,51944,51528,51744,52664,53788,51156,52596,54196,57520,62040,62288,66932,64004,65932,67324,67600,69636,74588,74084,76036,79136,83516,86488,83244,95040,92812,91164,89804,93112,93792,94756,94136,95504,97600,99856,100444,103016,107328,108256,114044,108408,111984,114408,134036,119736,119392,128528,122176,127472,131880,134816,139572,135688,140856,144112,144428,147632,151876,149400,153756,154680,156720,163436,176056,173832,176840,176200,175484,186028,197260,196488,192300,215624,211632,217612,208076,314784,240248,218920,204412
 "05000","Arkansas",5,SQINC7S,200,"B","   Mining","Thousands of dollars",28684,26664,27264,28588,29468,29072,27008,27120,26324,26044,24472,25120,25512,25808,26504,25544,25060,25312,25000,24536,24492,24628,25112,24912,25760,24948,25496,25360,25884,25636,25432,27064,27388,28836,29436,29944,29792,30152,30204,29816,30096,30488,32204,31860,32796,31944,31996,31940,31420,32692,33232,34532,34700,35108,34112,35356,37176,36192,37408,36348,35360,35664,38272,39676,41400,43728,43900,41224,48360,48136,49208,54568,55224,54296,59388,59156,62612,67676,69312,64796,58824,75556,72088,73792,71340,73688,78744,87240,89056,92504,94456,103444,110376,115392,126260,130804,134428,136460,126632,116088,116804,112056,115352,120068,118612,122188,125488,131480,128728,128608,130372,126328,121060,98552,94520,91616,93252,95492,94788,98600,100924,106452,105540,100464,101828,103104,103488,111132,108588,106232,109784,114020,112200,106356,107232,101556,101224,101376,97088,102796,97152,101068,101784,98320,100740,102968,99816,101968,104660,102512,105400,107340,102280,106084,106568,106748,108224,115940,112672,114852,117804,113420,113572,110040,108836,108160,115448,115032,119456,123672,127144,136128,150084,155460,158448,156684
 "05000","Arkansas",5,SQINC7S,300,"C","   Construction","Thousands of dollars",71440,63960,59616,62368,64976,72344,68160,67880,66448,78100,80936,85116,94172,89936,94320,96096,97412,111776,119272,121684,124804,118424,123256,124144,128036,125908,122960,127984,135576,148476,155032,165432,165516,179444,187228,175076,187380,183056,182296,180868,173900,176544,179648,190564,195916,185936,183412,176828,163968,171456,180324,180492,183508,193188,192300,206724,219972,229008,232188,233312,243228,251112,268164,281252,295428,303140,308144,315844,330292,325432,319352,328220,350632,332204,362456,377344,396112,402624,420020,432500,417344,472476,486748,489248,501784,535808,563084,577140,571372,529096,522568,541392,569516,557044,534408,542032,514372,483912,485920,482952,492756,459848,474992,487240,510264,540868,551196,556480,573416,590844,580464,591708,623836,603452,653596,655544,596608,604648,593712,589968,598848,655340,642144,609792,577320,592544,645028,688140,724208,770380,782236,795976,790600,721216,724592,716736,789264,814972,783160,792496,796860,798084,850432,863048,881440,916420,921008,923160,1006224,1015272,1047820,1066700,1098184,1137864,1179496,1189924,1149972,1197460,1211592,1243108,1241600,1278236,1272440,1297348,1386048,1361488,1378464,1440376,1567004,1519516,1559580,1558516,1566104,1634548,1651340,1628560
 "05000","Arkansas",5,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",290144,284324,301628,319588,335976,346164,349876,352704,358536,365144,367120,356092,360968,371176,385992,399316,410960,429980,431012,436268,453364,462068,478204,493528,501412,509660,524224,527956,551008,553408,570328,595392,619564,642828,664532,668032,691528,691408,709828,733692,756552,789056,814660,843016,870040,899408,920340,922452,947076,949396,958444,966496,988864,1023360,1039276,1095152,1134856,1166600,1190672,1227552,1307652,1342148,1378244,1431928,1481788,1522272,1536780,1491400,1386312,1388140,1487508,1558660,1676076,1708100,1756228,1829652,1892944,2009632,2097760,2144756,2214584,2310056,2340564,2391108,2469892,2516388,2578304,2623584,2723592,2620188,2665200,2797576,2926936,2981052,3020748,2971124,2950364,2934592,2910456,2957232,3013184,3164920,3283432,3339120,3532928,3555620,3594296,3560252,3608856,3600516,3638828,3653760,3756120,3773728,3826124,3918264,3923844,4001316,4084456,4240856,4178444,4278652,4375304,4468336,4476264,4472640,4510620,4588240,4670188,4714372,4792652,4785600,4804744,4864728,4956864,5068212,5149824,5230216,5260656,5343368,5260128,5466696,5531368,5811216,5623352,5939784,6137664,6179988,6173280,6219312,6264140,6285724,6272080,6352712,6429324,6425364,6531368,6614168,6618296,6890244,6903264,6941704,7052972,7040272,7073472,7190124,7352252,7384596,7505580,7462288,7503932,7452008,7488288,7466036,7396176,7264128
 "05000","Arkansas",5,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",141056,137324,146380,157712,166416,173260,173800,172956,175884,177644,173536,169776,168972,173748,184564,190312,199668,211188,210452,216384,227508,234436,242412,252968,252368,251816,260676,260284,275248,276304,285064,295412,315032,326512,330648,335660,349200,345496,358040,369432,382736,398656,411660,428916,447288,464056,477216,473792,487356,485524,490484,494200,512032,535248,542768,580532,606128,627544,645536,676284,730700,757340,781848,817020,849156,870784,865028,825840,744448,733396,790716,825784,882284,908100,940700,978056,1026404,1101836,1148936,1187484,1227252,1278748,1283456,1313264,1358680,1385440,1422092,1450980,1506008,1394636,1414020,1504876,1580120,1605948,1621692,1567824,1554076,1533672,1502344,1528400,1562840,1666224,1749072,1803068,1932112,1939512,1977268,1958260,1988540,1968600,1998280,1996284,2043832,2037800,2059416,2103308,2129028,2141708,2176060,2253996,2255728,2329888,2358012,2422156,2404864,2378160,2375512,2425828,2434440,2473328,2503072,2460824,2462296,2475992,2556504,2583468,2657800,2696088,2690136,2711688,2720840,2809208,2834256,3037288,2937328,3122816,3241440,3259848,3268704,3269512,3327376,3340848,3334768,3419816,3488228,3472296,3505920,3562200,3547776,3740524,3740964,3782908,3823688,3818536,3825224,3883276,3992744,4075136,4123200,4081436,4091632,4045888,3991408,3990388,3923588,3823576
 "05000","Arkansas",5,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",149088,147000,155248,161876,169560,172904,176076,179748,182652,187500,193584,186316,191996,197428,201428,209004,211292,218792,220560,219884,225856,227632,235792,240560,249044,257844,263548,267672,275760,277104,285264,299980,304532,316316,333884,332372,342328,345912,351788,364260,373816,390400,403000,414100,422752,435352,443124,448660,459720,463872,467960,472296,476832,488112,496508,514620,528728,539056,545136,551268,576952,584808,596396,614908,632632,651488,671752,665560,641864,654744,696792,732876,793792,800000,815528,851596,866540,907796,948824,957272,987332,1031308,1057108,1077844,1111212,1130948,1156212,1172604,1217584,1225552,1251180,1292700,1346816,1375104,1399056,1403300,1396288,1400920,1408112,1428832,1450344,1498696,1534360,1536052,1600816,1616108,1617028,1601992,1620316,1631916,1640548,1657476,1712288,1735928,1766708,1814956,1794816,1859608,1908396,1986860,1922716,1948764,2017292,2046180,2071400,2094480,2135108,2162412,2235748,2241044,2289580,2324776,2342448,2388736,2400360,2484744,2492024,2534128,2570520,2631680,2539288,2657488,2697112,2773928,2686024,2816968,2896224,2920140,2904576,2949800,2936764,2944876,2937312,2932896,2941096,2953068,3025448,3051968,3070520,3149720,3162300,3158796,3229284,3221736,3248248,3306848,3359508,3309460,3382380,3380852,3412300,3406120,3496880,3475648,3472588,3440552
