GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "04000","Arizona",6,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",1400708,1440108,1482424,1560284,1595904,1632788,1606740,1669128,1751276,1797612,1820652,1825412,1866984,1901240,1960488,1971300,2008556,2094760,2097524,2128148,2164324,2176340,2210532,2254348,2284768,2334324,2356836,2400408,2414756,2442472,2475144,2565860,2658620,2732592,2812940,2876764,2895932,2957444,2966572,3007252,3109232,3279344,3421388,3510180,3632032,3778116,3936596,4105864,4247952,4324560,4345228,4487464,4652240,4848500,5003876,5234812,5481148,5564488,5764076,5966924,6186616,6530608,6788560,7008672,7120060,7284088,7366476,7327860,7298168,7313036,7570476,7748140,7951268,8154380,8328732,8608228,8897596,9286192,9534812,9949788,10353540,10920772,11502664,12017512,12691640,13041984,13610224,14110288,14525540,14898816,15005908,15860632,16198936,16666684,17177692,17654612,17425164,17644816,17527748,17767940,18174684,18855324,19528504,20162824,20826212,21466888,22221024,22658664,23521260,23994008,24679784,25266856,26072156,26375000,26785848,27719376,27978796,28559444,28830304,29988792,29874968,30747124,31346352,31825612,32014424,32184648,32469192,33101104,33247616,33950412,34537784,34735240,34959264,35352484,35356680,35991280,36744672,37513616,37650212,38460252,39111780,39934596,40351528,41308072,42464200,43696748,45076428,45918620,46953488,47778960,49321824,50292872,51806228,52652688,53745452,54507584,56284288,57199468,58495476,60243104,61796416,63203728,65117520,67039288,66878596,68997040,69933864,71680316,75150164,75733540,77307520,78141824,79147008,79185492,80050380,79554104
 "04000","Arizona",6,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",63856,67020,67028,68936,65104,60044,56872,60244,60712,64060,63192,63024,60732,56928,54292,51520,51372,50988,49888,49352,49824,49244,52528,49824,51272,56948,57068,56900,56480,59244,57760,59224,59748,62112,64068,66380,66836,66816,69648,69516,71208,69340,73224,75144,78288,81488,82532,83804,77876,78500,78648,76700,76432,75616,77448,77580,80712,80560,81380,82012,78856,78976,80056,82504,85712,88980,89328,88516,90740,88584,85400,85856,85940,88328,88028,88252,94220,94180,98192,104388,122992,132184,139824,145412,144676,145876,147004,148692,152012,153184,151872,148000,147068,144412,144708,148184,157052,162036,164336,163668,160364,157476,155880,155488,156712,157652,159072,160872,163128,164172,163372,160840,157212,154096,152240,151680,153152,154896,157552,160800,160808,164552,166816,167476,156976,158784,163236,170548,169552,175908,178320,176940,165340,159028,154168,151240,141144,142460,146884,153976,158180,166116,177016,188396,208732,223220,234968,243368,250908,250956,248048,244880,242824,240920,244640,253452,280248,295856,305408,308324,301264,295500,289384,285156,282252,281348,285740,294100,310088,322844,331908,336580,325228,329276,331856,333028
 "04000","Arizona",6,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",1336852,1373088,1415396,1491348,1530800,1572744,1549868,1608884,1690564,1733552,1757460,1762388,1806252,1844312,1906196,1919780,1957184,2043772,2047636,2078796,2114500,2127096,2158004,2204524,2233496,2277376,2299768,2343508,2358276,2383228,2417384,2506636,2598872,2670480,2748872,2810384,2829096,2890628,2896924,2937736,3038024,3210004,3348164,3435036,3553744,3696628,3854064,4022060,4170076,4246060,4266580,4410764,4575808,4772884,4926428,5157232,5400436,5483928,5682696,5884912,6107760,6451632,6708504,6926168,7034348,7195108,7277148,7239344,7207428,7224452,7485076,7662284,7865328,8066052,8240704,8519976,8803376,9192012,9436620,9845400,10230548,10788588,11362840,11872100,12546964,12896108,13463220,13961596,14373528,14745632,14854036,15712632,16051868,16522272,17032984,17506428,17268112,17482780,17363412,17604272,18014320,18697848,19372624,20007336,20669500,21309236,22061952,22497792,23358132,23829836,24516412,25106016,25914944,26220904,26633608,27567696,27825644,28404548,28672752,29827992,29714160,30582572,31179536,31658136,31857448,32025864,32305956,32930556,33078064,33774504,34359464,34558300,34793924,35193456,35202512,35840040,36603528,37371156,37503328,38306276,38953600,39768480,40174512,41119676,42255468,43473528,44841460,45675252,46702580,47528004,49073776,50047992,51563404,52411768,53500812,54254132,56004040,56903612,58190068,59934780,61495152,62908228,64828136,66754132,66596344,68715692,69648124,71386216,74840076,75410696,76975612,77805244,78821780,78856216,79718524,79221076
 "04000","Arizona",6,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",997776,1024316,1060280,1120196,1162808,1189688,1167828,1212364,1291532,1330860,1349404,1350972,1378972,1403724,1458416,1466944,1495464,1572760,1561176,1581576,1604296,1606884,1628664,1659400,1674764,1705168,1729756,1758400,1761608,1771208,1783884,1875412,1941168,2007632,2071276,2119148,2119644,2159736,2150492,2167772,2239652,2389920,2491332,2564512,2662920,2801944,2922920,3067064,3165944,3198440,3201028,3313916,3433316,3572696,3679976,3882804,4086644,4145940,4281912,4448192,4616896,4909156,5109120,5271216,5340724,5463540,5489388,5432836,5349556,5333128,5515440,5618964,5780484,5926664,6084024,6311888,6525632,6870848,7086480,7408568,7756340,8246556,8707852,9171692,9729184,10094584,10570776,11023796,11360192,11590588,11662608,12353336,12709352,13036892,13458992,13647816,13515536,13507092,13470036,13602948,13952872,14569084,15104676,15780276,16321652,16935016,17519392,17923548,18602744,19024452,19566540,20063296,20680644,20950952,21233764,21969152,22179772,22612548,22888500,23664452,23536624,24372356,24838156,25164932,25250320,25420536,25603244,26089960,26182336,26660816,27129648,27274136,27397492,27630396,27667832,28203604,28832244,29460944,29713976,30281508,30884792,31509324,32016568,32741528,33785260,34814372,35909064,36697348,37653972,38529736,39564656,40678368,41855252,42694640,43627376,44273228,45777712,46625696,47790364,49450080,50689904,52023104,53708968,55454100,55400824,57191508,57707844,59436072,62792820,62935592,64594296,65024620,65908516,65698524,66181628,65254912
 "04000","Arizona",6,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",4592,4560,5048,5144,5276,5448,6164,6388,6892,7536,8268,8604,8780,9036,9240,9936,10552,10560,11248,11976,12200,12928,13140,13884,13972,14580,14632,15376,16116,16836,17060,17892,17544,17644,17652,18236,19192,19616,20912,21844,22360,23552,24016,25120,27584,28632,29336,29972,30208,31064,31564,32188,33184,34408,35080,35776,36800,38144,39340,40284,41536,42240,43876,44956,46400,47528,49112,50284,49744,52952,55408,57204,60456,61688,62344,63732,67704,68404,73348,81856,73768,85656,97880,100844,103980,107020,106396,110664,112912,117256,123040,123108,121984,116640,117472,125252,115384,120432,116000,122240,124856,128632,128944,130028,137084,146840,160312,165800,165136,173688,172276,172676,190752,189632,206168,211940,211064,211448,211408,214400,209560,220800,231944,226296,218000,226636,230700,240884,238188,238892,246828,254332,267880,271608,269792,278300,292112,281192,282536,294908,306924,313756,310612,320260,331128,333904,347612,337440,376500,355240,387100,406324,411768,410544,421728,434600,438792,446532,452728,471968,485624,515836,526544,533924,558940,579384,582488,583124,583868,610696,624316,627500,777508,692964,635748,582384
 "04000","Arizona",6,SQINC7S,200,"B","   Mining","Thousands of dollars",89724,80740,79520,94516,99292,98896,78344,54648,88716,99584,110472,109676,105008,98024,115228,111884,110748,113652,108144,108944,110804,111452,111956,118712,117496,120896,116508,134176,127504,126608,131196,138296,135292,135532,139812,149320,141656,145668,90448,73464,74840,149180,163480,163108,171100,166428,177316,187972,194988,201640,210804,220916,218012,220356,193140,243880,258436,240876,265980,269980,269184,291188,313028,323236,344240,365484,333760,362084,360768,342804,337316,359276,363780,365068,397532,419428,398112,427360,356592,336984,325612,370876,392080,407576,416300,443756,483296,517464,543260,557820,355860,539176,622904,624664,677784,713420,601840,529044,446832,408320,386464,405464,417088,420812,405456,391656,404536,390600,393140,376416,358288,359688,361484,356900,329844,336008,323676,326688,349228,373516,416192,447832,427188,462016,402408,415464,433468,440360,438704,444160,459448,466824,468940,482960,479832,484424,529292,498192,500996,551176,497312,517156,501216,493328,480088,482488,498468,492144,516664,530596,615808,576224,905468,659124,609896,583944,609200,664848,633444,629648,590812,604564,587452,559084,586348,573632,590636,574184,466636,455892,455132,458216,483996,465452,458704,441060
 "04000","Arizona",6,SQINC7S,300,"C","   Construction","Thousands of dollars",139108,151716,164428,176108,180720,176728,159812,197812,219540,215780,212028,198352,209548,226132,231416,225144,233844,269916,238856,225912,217616,203732,205516,212708,209608,211528,214588,207716,188456,177812,150928,177492,191528,210100,211764,216152,203696,207840,213212,209128,226208,233984,253844,269012,292140,326228,353036,374540,396224,393144,369728,432560,474752,503400,548620,580340,633152,637432,653316,677116,720588,787856,799548,826404,808600,777544,748344,668552,624540,589556,599280,593544,577576,569680,569544,601252,647168,716480,811864,890252,968032,1098376,1168028,1218492,1371376,1445928,1494644,1479752,1466032,1389488,1405976,1443704,1411764,1464064,1442196,1432488,1354964,1331140,1278764,1318204,1405796,1528444,1649596,1720688,1825580,1907204,1969412,2014720,2197880,2235272,2322032,2381360,2439980,2440908,2362200,2369048,2215744,2219052,2152416,2123552,2092376,2081512,2113628,2006856,1972068,1950380,1921304,1877488,1883832,1918324,1903944,1881224,1856736,1827416,1830768,1878236,1916976,1944312,1975768,2005660,1965464,2173304,2264320,2430932,2572000,2718812,2837136,2990272,3130912,3248176,3350048,3382648,3516800,3482392,3539712,3625684,3698704,3789512,3898020,4016636,4170380,4347216,4491752,4619648,4920752,4959740,4989020,5124736,5194912,5488452,5587204,5825968,5895044,5933528,5936240,5713336
 "04000","Arizona",6,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",204124,208340,215416,229312,241128,251684,253292,262072,270216,275668,273312,276792,287796,291860,305056,306916,311532,328332,336900,347548,359496,360376,366132,367436,371616,377772,383328,391428,400092,412468,424964,461960,495972,517412,541384,557364,551008,555032,569872,577788,603368,626072,649772,670412,689912,727444,754220,780456,786784,770284,749240,749184,755260,775708,785304,822272,858836,881596,909716,953052,977412,1027228,1075724,1116896,1139732,1161496,1178668,1145136,1153360,1127484,1160048,1165272,1218556,1275284,1277612,1353628,1416544,1485880,1538556,1594904,1660088,1726552,1843076,1913768,2071012,2163300,2298260,2446188,2571420,2663268,2720036,2912076,2955368,3062496,3164624,3177884,3217044,3190608,3140352,3137720,3212344,3319380,3459616,3575420,3737760,3853664,4007812,4100472,4198248,4217568,4324176,4383392,4504600,4576760,4623324,4800900,4834420,4949048,4918912,5029760,5094824,5211184,5282368,5524476,5272640,5383148,5370812,5443384,5322784,5475044,5532152,5475020,5548552,5446664,5467512,5441496,5506096,5561752,5520712,5816728,5594164,5807844,5931600,6127472,6258696,6403064,6558064,6768144,6707584,6904604,7066872,7262020,7265892,7444476,7609488,7677044,7961016,8141804,8377604,8836120,8967148,9158052,9221016,9781880,9036616,9508640,9586776,9749552,10113772,10597088,11040452,10561284,10636048,10241048,10150184,10001372
 "04000","Arizona",6,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",150472,154064,159512,172012,181736,190776,191864,200240,206352,209532,206856,209164,220352,223880,233360,235196,235408,249760,258540,268892,280552,281608,284908,284356,286536,290032,295092,301892,309904,321480,333368,367660,398360,417576,441136,454028,446108,448148,460836,469224,492288,512112,530248,548744,567324,598700,622316,645144,647020,627176,604232,600752,603264,619984,628348,659460,681872,703248,723288,761620,782508,824188,867504,900012,914472,932508,942808,909944,923800,895844,909936,904404,944180,999172,1001852,1072896,1123552,1185488,1220896,1277172,1335040,1383968,1485648,1543132,1683292,1759820,1882636,1998704,2124108,2178612,2227220,2399280,2448456,2533000,2624592,2645164,2672028,2642384,2590872,2589696,2648944,2735648,2877824,2976256,3109856,3218032,3350996,3427660,3525856,3534984,3624724,3669612,3749576,3805720,3827304,3984376,4001356,4110856,4061300,4156596,4199328,4273472,4335856,4564656,4307240,4406428,4384784,4462780,4322872,4470580,4514444,4466408,4524768,4439016,4435056,4379440,4436720,4469616,4424600,4692484,4456400,4641812,4759824,4863140,5047464,5144144,5257888,5456452,5355852,5589172,5735640,5920472,5884700,6029408,6141424,6202620,6484404,6613504,6855028,7248064,7346072,7559544,7599044,8150216,7431196,7914412,8015488,8140400,8447460,8885936,8965428,8897064,8951560,8575668,8521800,8379596
 "04000","Arizona",6,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",53652,54276,55904,57300,59392,60908,61428,61832,63864,66136,66456,67628,67444,67980,71696,71720,76124,78572,78360,78656,78944,78768,81224,83080,85080,87740,88236,89536,90188,90988,91596,94300,97612,99836,100248,103336,104900,106884,109036,108564,111080,113960,119524,121668,122588,128744,131904,135312,139764,143108,145008,148432,151996,155724,156956,162812,176964,178348,186428,191432,194904,203040,208220,216884,225260,228988,235860,235192,229560,231640,250112,260868,274376,276112,275760,280732,292992,300392,317660,317732,325048,342584,357428,370636,387720,403480,415624,447484,447312,484656,492816,512796,506912,529496,540032,532720,545016,548224,549480,548024,563400,583732,581792,599164,627904,635632,656816,672812,672392,682584,699452,713780,755024,771040,796020,816524,833064,838192,857612,873164,895496,937712,946512,959820,965400,976720,986028,980604,999912,1004464,1017708,1008612,1023784,1007648,1032456,1062056,1069376,1092136,1096112,1124244,1137764,1166032,1171776,1264332,1211232,1258920,1300176,1311692,1351732,1315432,1331232,1341548,1381192,1415068,1468064,1474424,1476612,1528300,1522576,1588056,1621076,1598508,1621972,1631664,1605420,1594228,1571288,1609152,1666312,1711152,2075024,1664220,1684488,1665380,1628384,1621776
