GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "12000","Florida",5,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",5063848,5105504,5237860,5352628,5517052,5686880,5809192,5885220,5949784,6047120,6026216,6225908,6140724,6205728,6305744,6413020,6551020,6732120,6813632,6945992,7081996,7193544,7380952,7542832,7784848,8006404,8164952,8391428,8578872,8769808,8986548,9357120,9522424,9800524,10129228,10208412,10511688,10738372,10976452,11239896,11718828,12155616,12661744,13093140,13616104,14036324,14660924,15205612,15616072,16033236,16299172,16488136,16892040,17331252,17912968,18504892,19164932,19829484,20359700,21662012,22285016,23381404,24482504,25299752,25907508,26343156,26756156,26553716,26487016,26926488,27398012,27646596,28382308,28950132,29048244,30071676,30733096,31627180,32791284,33834216,35276224,36370492,38010668,39362516,40784100,41761824,43483648,44945508,46931648,48538464,50128788,52164992,54432448,55958140,56789152,57510032,59045352,60050648,61207356,62506504,63313564,65657788,67334704,69477024,71587388,73762848,75738892,77377584,79057180,81162960,82833512,84769396,86540080,87793604,89694056,92334736,94867476,96988404,99398628,102776048,103436140,106258140,109169564,111223612,112616296,113603076,115335640,118133968,120547816,123038248,124313616,124506288,125079264,126314116,127143480,128851508,130865232,133063180,135418696,138908812,140351436,142315392,143178732,144592008,147021548,150710760,152062768,154339988,157004800,159062236,161503028,164263424,166966900,169653080,172155356,174444676,178282200,180932000,184533592,188311468,193207996,197537564,201298092,204356288,206762780,210637568,214157624,216748668,228205380,227943804,232737448,235834384,240750384,242029596,243247128,243246840
 "12000","Florida",5,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",109600,114116,114912,119764,116160,110400,105416,109976,106200,107908,106064,108056,109624,108880,109584,108032,109440,109504,107324,106312,104872,101260,108400,104688,109764,124456,128892,131924,134412,145192,142832,147740,148720,154248,156704,160192,157084,153328,161168,165404,176560,180116,197108,207132,220380,228896,231052,233120,201516,199380,196076,187564,180348,177252,183456,183876,191740,189408,195788,204732,212944,227536,239448,250240,252136,255300,249232,243960,256032,248648,239420,243088,260836,273504,274604,274296,286828,281960,290144,306156,357672,385004,407052,422556,425776,428548,430696,434980,449916,453156,449164,437072,433008,429080,435584,453428,496788,517552,528184,527596,524300,517104,513536,512864,529688,532200,535564,540208,564824,565616,562268,553900,555100,544536,538008,535120,549756,557652,569580,585964,612276,623740,629380,629736,627228,632696,647844,673572,717824,743592,752724,746084,723000,706100,689868,677100,662556,657440,665400,684468,731356,747740,755936,755448,734116,722588,716640,718276,738064,750440,754436,751408,721140,717256,721148,732416,744632,766544,782080,790144,817060,821416,815548,804392,760404,747848,746632,756268,780680,798328,834336,881848,1063044,1076284,1084712,1088552
 "12000","Florida",5,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",4954248,4991388,5122948,5232864,5400892,5576480,5703776,5775244,5843584,5939212,5920152,6117852,6031100,6096848,6196160,6304988,6441580,6622616,6706308,6839680,6977124,7092284,7272552,7438144,7675084,7881948,8036060,8259504,8444460,8624616,8843716,9209380,9373704,9646276,9972524,10048220,10354604,10585044,10815284,11074492,11542268,11975500,12464636,12886008,13395724,13807428,14429872,14972492,15414556,15833856,16103096,16300572,16711692,17154000,17729512,18321016,18973192,19640076,20163912,21457280,22072072,23153868,24243056,25049512,25655372,26087856,26506924,26309756,26230984,26677840,27158592,27403508,28121472,28676628,28773640,29797380,30446268,31345220,32501140,33528060,34918552,35985488,37603616,38939960,40358324,41333276,43052952,44510528,46481732,48085308,49679624,51727920,53999440,55529060,56353568,57056604,58548564,59533096,60679172,61978908,62789264,65140684,66821168,68964160,71057700,73230648,75203328,76837376,78492356,80597344,82271244,84215496,85984980,87249068,89156048,91799616,94317720,96430752,98829048,102190084,102823864,105634400,108540184,110593876,111989068,112970380,114687796,117460396,119829992,122294656,123560892,123760204,124356264,125608016,126453612,128174408,130202676,132405740,134753296,138224344,139620080,141567652,142422796,143836560,146287432,149988172,151346128,153621712,156266736,158311796,160748592,163512016,166245760,168935824,171434208,173712260,177537568,180165456,183751512,187521324,192390936,196716148,200482544,203551896,206002376,209889720,213410992,215992400,227424700,227145476,231903112,234952536,239687340,240953312,242162416,242158288
 "12000","Florida",5,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",3832060,3865212,3974436,4068308,4215996,4370884,4469340,4539080,4599824,4674916,4642488,4814620,4692072,4731180,4797516,4866656,4992204,5137576,5176652,5274448,5368228,5482384,5588700,5715128,5889772,6057488,6187140,6370536,6524748,6661204,6822788,7114124,7207752,7427596,7676348,7757960,8003724,8174512,8327472,8514624,8862796,9205364,9611608,9936068,10407220,10742276,11271436,11677128,12026808,12275796,12482644,12583440,12899084,13259044,13661804,14123004,14627088,15222244,15660020,16766284,17314176,18290444,19214636,19996836,20430220,20656164,20874192,20437904,20205096,20364880,20748292,20978748,21508320,21981884,21965416,22881700,23461412,24216484,25061136,25899268,27148424,28148548,29521560,30732680,31984412,33049964,34410536,35751356,37606836,38638228,40029684,41917916,43409820,44710360,45690688,46437412,47180108,47907096,48888500,49818048,50507580,52558508,54071084,56099880,57818812,59739800,61432064,62908296,64181464,65819988,67243416,68913816,70264172,71457248,72785016,75122724,77087996,79093980,80797116,83712260,83882720,86927868,88686248,90624520,91762924,92271936,93343060,95540216,97314148,98920088,100056788,99846240,99729952,100760588,101799360,103040028,105185428,107058296,108768096,111914080,113266472,114965544,115662988,116797928,119231072,121966612,123610220,125897192,127797908,129863592,131592080,134570124,136499536,139184392,141299104,143565572,146370136,149140940,152294788,155518304,159874708,164054168,167062940,170122688,172519768,176162840,178726840,180894472,191559508,190153412,195303200,197294848,202235592,202413020,203001832,202630812
 "12000","Florida",5,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",25392,26568,27908,28600,29552,30544,31780,32760,33204,34116,35392,37148,38420,40532,42468,44668,47124,48768,51172,52556,54320,55584,57376,59384,62108,63808,65660,67584,69884,71580,73460,74724,76540,77608,79700,81704,84164,86656,89628,92824,95868,99240,102276,105492,111532,115744,119100,122584,126872,130432,133944,137260,140380,143204,145556,148384,151916,157748,164076,169580,177452,183040,187808,192352,194728,196808,204916,217112,255444,258616,264016,273996,287664,298640,305872,310496,322504,331752,335992,341516,362696,388608,410244,428820,440688,448668,453828,465008,504484,526448,496860,506328,505404,490772,526520,517280,513200,519532,542016,576928,505160,622160,595312,620692,618608,639060,680960,693016,706596,719196,753844,762892,759048,792116,800684,837292,828520,866684,869076,862928,930412,942024,932292,912296,962912,974716,984272,987696,1011108,967716,1055484,1106504,1104240,1092096,1126412,1143580,1122112,1143104,1180436,1233108,1262868,1278668,1247152,1242556,1309076,1343820,1356108,1425836,1405488,1374232,1372328,1459240,1495224,1529932,1531484,1565736,1619412,1600136,1677024,1635020,1668636,1737156,1765156,1788256,1830836,1865360,1898600,1914540,1960484,2007476,2039468,2025884,2479276,2223888,2088576,1884568
 "12000","Florida",5,SQINC7S,200,"B","   Mining","Thousands of dollars",38376,38164,37968,38668,38572,39132,39560,44112,42508,45240,45228,44000,37520,39376,40296,41356,40964,40444,41032,42104,43936,44872,44912,45992,48936,51264,50336,57764,52336,56696,58704,59612,60464,61844,62232,62020,59644,57052,53768,53032,57632,56784,60684,59236,58824,59228,58104,57512,58080,62624,66096,79516,81976,82608,86148,87092,90396,91480,88476,89268,89832,87936,109456,112952,119844,126772,130444,108636,118864,119544,112904,128796,116796,112452,117064,123876,107776,116248,122124,119464,126124,138392,147200,154128,163812,170992,174544,183456,178708,196560,201384,229660,214448,228472,230972,221616,229948,217352,217132,221044,216568,228884,239560,247148,250020,258876,266672,265388,270936,274088,258764,259892,254112,252920,246268,234628,233708,243100,250984,256156,274356,266056,267432,271860,277788,281784,278984,276772,275812,279484,265016,259204,268752,258836,254760,249520,234168,235328,228268,330452,213860,249232,255104,240504,246736,243260,214680,218940,255692,270872,259500,255348,271484,266156,269796,372132,247820,252836,268144,246420,254348,270996,289260,280844,265268,246120,275356,262292,763188,305012,339936,297556,293404,300700,319064,290580
 "12000","Florida",5,SQINC7S,300,"C","   Construction","Thousands of dollars",493740,522040,530876,538136,548972,571224,588236,566272,567064,548924,497864,655480,489552,487140,488708,485040,490212,512416,516888,523632,540880,565576,570840,593420,612384,655456,669144,717788,767220,766452,759908,854204,771192,786208,808196,807208,797224,814840,804256,821308,874176,916792,964424,1048104,1160168,1193816,1345644,1420072,1488148,1523280,1517184,1473692,1492364,1580876,1692160,1730832,1839896,1970252,2051296,2304784,2460652,2677636,2814252,2945844,3136576,2947040,2816644,2545232,2290524,2148032,2039208,2014072,1949952,1911560,1890028,1907716,1925180,2048396,2182096,2254640,2368724,2496492,2631384,2747584,3028976,3127988,3278608,3433480,3719736,3808592,3926944,4157004,4380548,4634700,4631828,4620556,4572116,4450024,4508664,4350312,4381932,4520308,4734068,4961564,5258020,5570816,5684612,5789028,5984848,6082500,6082248,6229480,6268848,6411792,6502808,6750588,6508268,6807908,6831540,6987976,7104536,7274264,7442464,7495724,7437524,7366388,7358092,7473668,7612272,7471312,7365108,7027880,6741732,6527508,6456780,6332908,6233400,6350136,6414464,6853748,6995504,7071096,7039572,7150928,7268568,7493080,7791768,7806808,8006908,8064676,8103236,8247620,8825900,8940624,9067940,9114548,9250012,9397476,9738944,9938384,10220628,10575596,10720332,10953444,11158584,11469216,11705436,11905328,12863480,12785884,13090960,13377328,13855556,13898420,14172844,14233108
 "12000","Florida",5,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",682920,689208,734052,762696,816160,858760,880044,891568,919580,940280,946072,954976,1002908,1013452,1034180,1058320,1086928,1125968,1138336,1132768,1153456,1171168,1200164,1248504,1260060,1298352,1316268,1322492,1371044,1399328,1414308,1475752,1547080,1607544,1680136,1681144,1743824,1777152,1848684,1895168,1959764,2009644,2098772,2154240,2239752,2296192,2352096,2357848,2400108,2385588,2375448,2323716,2382928,2414664,2446352,2542052,2593656,2685264,2770584,2981432,3033388,3164540,3266044,3373744,3411120,3475276,3519644,3357296,3385680,3418076,3478032,3514976,3662336,3746992,3745056,3900844,4069740,4212940,4363536,4539460,4788588,5005648,5287880,5492504,5626584,5834168,6121380,6339832,6575512,6690816,6910684,7157432,7463896,7690016,7774596,7884912,8094276,8112456,8157744,8376556,8334680,8735832,9005780,9369580,9756508,10037940,10375984,10645300,10866300,11035108,11217748,11405632,11622472,11615128,11717100,11999668,12165240,12272792,12399916,12717120,12831652,13265380,13272664,13617476,13520232,13575848,13587256,13756876,13915216,14004408,14070900,13821424,13940580,13909044,14037620,14100648,14298480,14393280,14543456,14927512,14074852,14755560,14676084,15055228,14769116,15065604,15271208,15304092,15115540,15477660,15498712,15598304,15834408,16000256,16134564,16247056,16402324,16701252,16851440,17254616,17614232,17809472,17796224,17667612,18048636,18030216,17970220,18319408,18938928,18569296,19338520,19162380,19044524,18886348,18926552,18684632
 "12000","Florida",5,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",315120,325784,353080,375284,416352,445680,459252,470372,479836,487596,491500,498256,534984,537648,553772,568292,588500,606868,618480,609292,627944,646488,658380,690524,704356,723696,726968,731944,756740,781688,796084,836352,884100,929060,986408,967028,1013976,1029848,1083636,1108748,1163236,1186068,1251388,1290160,1353912,1379752,1413076,1385020,1406500,1382244,1349672,1284592,1330128,1354808,1371344,1442032,1458000,1513040,1560856,1720124,1745028,1839140,1903116,1984188,2004788,2015384,2003964,1900160,1852832,1852468,1868752,1846172,1935728,1994848,1985224,2098168,2185164,2296284,2417288,2539316,2718556,2859360,3053488,3201232,3303848,3467592,3681196,3800428,3948000,4019832,4194876,4374636,4558672,4722096,4761856,4860516,4981360,5063968,5088032,5222064,5154080,5429616,5690120,5945984,6132800,6417456,6612004,6855580,6989676,7136420,7286308,7436440,7566792,7549928,7589560,7776408,7908684,7931548,7984784,8282948,8260164,8548820,8493972,8756504,8625288,8647528,8618536,8716112,8808028,8846788,8885008,8620600,8743012,8684492,8745160,8749620,8868336,8889496,9065624,9232604,8697564,9093632,9075652,9322576,9171360,9308384,9448980,9428724,9278448,9622008,9588384,9698268,10003120,10001952,10141420,10175996,10248768,10533880,10620704,10959524,11273696,11193636,11185244,11101744,11356628,11314644,11349552,11720232,12198408,11838296,12432900,12195636,12068780,12013856,12127744,11980140
 "12000","Florida",5,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",367800,363424,380972,387412,399808,413080,420792,421196,439744,452684,454572,456720,467924,475804,480408,490028,498428,519100,519856,523476,525512,524680,541784,557980,555704,574656,589300,590548,614304,617640,618224,639400,662980,678484,693728,714116,729848,747304,765048,786420,796528,823576,847384,864080,885840,916440,939020,972828,993608,1003344,1025776,1039124,1052800,1059856,1075008,1100020,1135656,1172224,1209728,1261308,1288360,1325400,1362928,1389556,1406332,1459892,1515680,1457136,1532848,1565608,1609280,1668804,1726608,1752144,1759832,1802676,1884576,1916656,1946248,2000144,2070032,2146288,2234392,2291272,2322736,2366576,2440184,2539404,2627512,2670984,2715808,2782796,2905224,2967920,3012740,3024396,3112916,3048488,3069712,3154492,3180600,3306216,3315660,3423596,3623708,3620484,3763980,3789720,3876624,3898688,3931440,3969192,4055680,4065200,4127540,4223260,4256556,4341244,4415132,4434172,4571488,4716560,4778692,4860972,4894944,4928320,4968720,5040764,5107188,5157620,5185892,5200824,5197568,5224552,5292460,5351028,5430144,5503784,5477832,5694908,5377288,5661928,5600432,5732652,5597756,5757220,5822228,5875368,5837092,5855652,5910328,5900036,5831288,5998304,5993144,6071060,6153556,6167372,6230736,6295092,6340536,6615836,6610980,6565868,6692008,6715572,6620668,6599176,6740520,6731000,6905620,6966744,6975744,6872492,6798808,6704492
