GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "98000","Far West",8,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",31962548,32168816,33162272,34327060,35083716,36009764,36612948,37393800,37773272,38410432,38636116,38870936,39402740,40025496,40707612,41619544,42412912,43426552,44253788,45011064,45796060,46194036,47017240,47992876,48910212,49853168,50514572,51101288,52083188,52871356,53951636,55294188,57040288,58851936,60042184,60827000,61807056,62617216,64182732,65624324,67520264,69084356,70978412,72539660,73957816,76288016,77839176,79706820,80803800,81176732,81664744,81964256,83038012,84113824,85763564,88126680,89445488,91692648,94069840,96977208,99214548,102006960,103997312,106449276,109033068,112227004,115497748,117668400,119543676,122056124,125487404,129119312,132603900,136590756,140439936,143562180,147310112,151795780,155405440,161612900,168030076,174050436,178563300,185277196,192034292,197394052,204562244,210107252,215930060,220094256,225439344,233490600,240623100,245729108,250648324,252432024,257136684,259404636,261617780,263963692,268250452,273968448,278517692,287683264,295920136,300799532,307553960,313225392,321012252,325004324,331939620,339423616,344324176,348653356,355713780,364973756,371930112,381498928,385897408,395984164,402302868,414994072,421634712,429984636,437827420,444805028,452271072,463791552,475612212,484123612,487916144,494132384,491512196,495132920,499783616,503097288,512115992,515874228,518352640,520739836,520786820,523787860,524961020,529717348,534366920,542799972,546262900,553047964,562581464,569280348,578214188,581323552,594613576,604369764,614527116,626310176,639102660,653532536,665668480,679759472,700781896,706858008,721796336,738115968,757404368,767207172,783618572,815053712,852702428,856487248,884884924,878953688,893583588,886492152,875029216,872436200
 "98000","Far West",8,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",642116,654216,663132,708336,710740,701520,699432,750256,724812,738184,730888,752304,758588,753292,762644,754312,752420,747308,737668,738640,742568,731240,776836,729052,727032,784100,775620,771596,768672,816444,796492,817200,818580,841776,847988,855992,825364,789704,813944,819156,856208,856332,918384,948840,904096,950728,977076,1016184,997108,1033384,1054544,1021112,1013344,987768,1035232,1025528,1063212,1025444,1048936,1079936,1120720,1171360,1236552,1341900,1385980,1467480,1512840,1582144,1669772,1696488,1695780,1764024,1866080,1936012,1929788,1906200,1975364,1947800,1908296,1863816,1890872,1846944,1834540,1858648,1962864,2035220,2098768,2143308,2181676,2184136,2175600,2149712,2082032,2087576,2143308,2250180,2440980,2539248,2582292,2567936,2512064,2472692,2450640,2442728,2478188,2486872,2500228,2521196,2585364,2587640,2574696,2540748,2496156,2445340,2409324,2387212,2408464,2437792,2498272,2592964,2746932,2834332,2886728,2903500,2902400,2950776,3056832,3224948,3429664,3573544,3643968,3639672,3593416,3531772,3465652,3403148,3354488,3335660,3349464,3402636,3489092,3573256,3624620,3642176,3684044,3708792,3777888,3893456,4077696,4209772,4345300,4472044,4676344,4824588,4941576,5028792,5074824,5114592,5172060,5268284,5319016,5398260,5523552,5672500,5931116,6111928,6239092,6299724,6292452,6292092,6268344,6259316,6160844,6237560,6286360,6308668
 "98000","Far West",8,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",31320432,31514600,32499140,33618724,34372976,35308244,35913516,36643544,37048460,37672248,37905228,38118632,38644152,39272204,39944968,40865232,41660492,42679244,43516120,44272424,45053492,45462796,46240404,47263824,48183180,49069068,49738952,50329692,51314516,52054912,53155144,54476988,56221708,58010160,59194196,59971008,60981692,61827512,63368788,64805168,66664056,68228024,70060028,71590820,73053720,75337288,76862100,78690636,79806692,80143348,80610200,80943144,82024668,83126056,84728332,87101152,88382276,90667204,93020904,95897272,98093828,100835600,102760760,105107376,107647088,110759524,113984908,116086256,117873904,120359636,123791624,127355288,130737820,134654744,138510148,141655980,145334748,149847980,153497144,159749084,166139204,172203492,176728760,183418548,190071428,195358832,202463476,207963944,213748384,217910120,223263744,231340888,238541068,243641532,248505016,250181844,254695704,256865388,259035488,261395756,265738388,271495756,276067052,285240536,293441948,298312660,305053732,310704196,318426888,322416684,329364924,336882868,341828020,346208016,353304456,362586544,369521648,379061136,383399136,393391200,399555936,412159740,418747984,427081136,434925020,441854252,449214240,460566604,472182548,480550068,484272176,490492712,487918780,491601148,496317964,499694140,508761504,512538568,515003176,517337200,517297728,520214604,521336400,526075172,530682876,539091180,542485012,549154508,558503768,565070576,573868888,576851508,589937232,599545176,609585540,621281384,634027836,648417944,660496420,674491188,695462880,701459748,716272784,732443468,751473252,761095244,777379480,808753988,846409976,850195156,878616580,872694372,887422744,880254592,868742856,866127532
 "98000","Far West",8,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",24365052,24454192,25276180,26275584,26974296,27807716,28242344,28850228,29075748,29499332,29538120,29615452,30064220,30604636,31086152,31839124,32408260,33274236,33894956,34426344,35007588,35202796,35828056,36619720,37322928,37984420,38471176,38856340,39660408,40148700,40885648,41886056,43187652,44626700,45422952,45886072,46581672,47066012,48166404,49228180,50587652,51756544,53180512,54338044,55461384,57271456,58263700,59598160,59983736,59894472,59937308,59933136,60679808,61439204,62593708,64626116,65306636,67329060,69053440,71507456,73268972,75677608,77267648,79145596,80998732,83462636,85938740,87359348,88221152,89836732,92581792,95544764,98434524,101678480,104979636,107599028,110836404,114867176,117596756,122851444,128216432,133866324,138652316,144009928,149781940,154264772,161011604,165466076,170318112,172855240,177326912,184277124,189966624,194235560,197369184,199604016,202024748,203612452,205721552,207367392,210567696,215697664,219637956,228495516,234818808,239007200,244646660,248928912,255340680,258062544,263678612,270329848,274438056,278004536,283246424,291012820,297056156,305528588,308897892,317692444,322889520,333091856,339383212,346069824,352296684,357788812,363883344,373257516,382329680,388439280,391714640,394806448,390490620,393185808,396680140,398433768,405855424,408682668,409451636,412552784,411922100,415556104,415708360,420832196,424297112,430568108,433679040,439980756,447755184,453557480,462040300,464938084,478337180,486119512,494137100,504772772,516664176,530526896,541329060,553233228,572413440,577466820,590348280,605055244,622649036,630876496,645225384,674099020,707895528,708575676,735022224,728895148,738944668,729290812,715007356,709221580
 "98000","Far West",8,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",121628,123512,124948,125196,126848,127696,129252,130424,128012,127696,130300,136156,141940,150444,157308,163060,168320,171548,175928,178420,181424,183160,187032,192788,198316,203776,209708,217616,224552,231424,239764,247204,257116,263744,268272,268996,267292,266932,269564,276396,287948,298964,311032,321460,338288,354056,367184,379812,393240,405660,417460,427108,439556,448812,457060,466512,477928,494712,514056,535976,561220,582856,605476,626828,652400,673404,689236,700164,707524,722216,746984,785084,836124,877008,902080,915084,912156,952208,986212,1025120,1214472,1236208,1292928,1350320,1386752,1485260,1561216,1601528,1712312,1750832,1787300,1833436,1786876,1786828,1779608,1758248,1787164,1768272,1861520,1873244,1919512,1881548,1988508,2025320,2213800,2118472,2175812,2223656,2366020,2364400,2446296,2518184,2554760,2589660,2692484,2820024,2904148,3000112,2964432,2908596,3208192,3173812,3236020,3297304,3378240,3492428,3534528,3701148,3812080,3950024,3956324,4009520,3908076,3862844,4047020,3935252,4046640,4096120,4073200,3993708,4038992,4115920,4135084,4277980,4371316,4343956,4405656,4423704,4514300,4540084,4772708,4807736,4927480,5032548,5016396,5116428,5261172,5533556,5446016,5513280,5774644,5707112,6001360,6205048,6306764,6475388,6708124,6876480,6860748,7114472,7129164,7160900,8764808,7906096,7038780,6524648
 "98000","Far West",8,SQINC7S,200,"B","   Mining","Thousands of dollars",261236,244960,244036,252048,253116,261412,253104,259596,252048,256880,252428,251868,265932,260284,266460,269244,268432,271688,273340,271640,275932,278296,277500,284280,287196,296860,296924,309588,315016,317144,324112,326220,342028,348044,345944,347916,354452,363452,376236,370376,374820,386328,402528,414472,416852,443224,443268,455740,458912,455112,442220,444692,443204,444808,451128,460164,468636,458944,472564,476088,483140,509968,540680,556004,595364,640656,659932,645824,721832,754524,748464,804740,826864,800788,879724,898956,919276,987240,1025948,999660,1011400,1186788,1192076,1243036,1242144,1321160,1363696,1453432,1469924,1591368,1684880,1885076,1954880,2069832,2198796,2381272,2330968,2319892,2285736,2183952,2244856,2244632,2336812,2383088,2511672,2442816,2551772,2579880,2521012,2582096,2628432,2673232,2688844,2362760,2372292,2380248,2330292,2364972,2449876,2576428,2662908,2742924,2780812,2774092,2812060,2842064,2909448,2996952,2971216,3130308,3221500,3284776,3313440,3243396,3214212,3187532,3231928,3234760,3172012,3285352,3100012,3273480,3266812,3296320,3231732,3061680,3120028,3117936,3081236,3108856,3190892,3194536,3337256,3281672,3259968,3285932,3393008,3489340,3540276,3450648,3427168,3344812,3409904,3469108,3384408,3189688,3057412,3123456,3236348,3375420,3325960,3397864,3540916,3735776,3611656,3637464
 "98000","Far West",8,SQINC7S,300,"C","   Construction","Thousands of dollars",2128224,2163172,2297916,2416348,2483248,2553496,2592576,2655584,2606092,2677556,2686740,2626216,2698736,2787704,2786248,2832964,2825468,2894768,3076580,3232844,3317236,3240020,3354052,3451564,3577464,3654028,3598712,3612488,3714916,3694408,3689120,3726480,3876948,4059328,3886472,3712512,3627752,3569516,3791228,3865504,3980440,4075780,4184756,4318952,4204844,4759408,4608432,4937544,4978908,4877624,4881092,4715012,4929508,4974640,5142288,5277068,5453184,5448884,5515680,5525036,5736828,6133108,6252540,6345960,6413392,6522232,6577492,7053512,7105096,7441956,7865096,8116280,8361612,8781604,9000384,9264900,9401164,9583448,9517576,9925656,10141036,10960136,11439284,11800056,12334876,13031740,13590200,13830176,13850424,13738696,13808016,14611528,14999492,15403308,15223084,14793572,14597748,14216900,13842428,13565004,13356328,13662088,14062692,14741364,15809408,15730208,15894848,15637136,17267192,16910424,17404392,17669364,17912320,18426888,18829788,19911396,20091376,20741516,20678592,20596276,21751984,22580452,23480844,23909456,24585228,25416204,25763952,27521868,27905520,27855508,27034320,26381792,25605940,24953640,24804868,24374384,23597256,23756036,23427088,23095816,22471476,23100916,23147212,23535216,24477816,24565044,24893804,25205412,25266772,26101928,26803328,27279212,27764692,28106908,28756372,29452652,30959628,31878412,32504496,33225240,34668456,35022840,36822076,38250956,40021252,40249344,40736696,42371548,43942156,45229744,46311504,47480064,48712132,48460736,48261048,46948484
 "98000","Far West",8,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",8658856,8677364,9061540,9589428,9852588,10152932,10210492,10422120,10473684,10562048,10433304,10377312,10495916,10704704,10926644,11213380,11483004,11777536,11954224,12062444,12278812,12244676,12376708,12572968,12695552,12830068,12952404,12932216,13143160,13307404,13539068,13919384,14577260,15193952,15637120,15736600,16060984,16236528,16499848,16974904,17432800,17653620,18039076,18349088,18624316,19004552,19371572,19452068,19267400,18886296,18411100,18002060,18111816,18304456,18305064,18687788,19387404,19842620,20180548,20886496,21427848,22253056,22869956,23562816,24058736,24650904,25421172,25285612,25201992,25376796,25951412,26634280,27612908,28317996,28967980,29718888,30738632,31779384,32685636,33572252,35295468,36601652,37741648,39272936,41211444,42535076,44404448,45397728,46687140,46973108,48554952,50350128,51313812,52712168,53267688,53728160,54540316,54706400,54731496,55129880,56109904,56918276,57714704,59420252,61608120,62505040,63747528,64895808,66839944,66602716,67483464,68787788,69079116,69856824,70758952,72619320,73008080,74094124,75318620,76428184,78593660,80017744,80752880,82438504,83404212,83810556,85194320,86373204,87249720,88411248,88536656,88225688,87865272,87887892,88138392,88088644,88216536,87664412,87764772,90229668,83942296,86906932,86741012,88816564,85580256,88512468,88469012,89426648,89490984,91177588,93455024,92997132,95338584,97441572,98548784,101447008,104164240,106740848,110192120,112880564,115792136,115952988,115989616,117053824,121531752,121924948,126333616,131042192,144907784,139115116,148188664,140715876,134769676,131292440,126287244,125728472
 "98000","Far West",8,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",5932996,5953840,6257312,6740732,6892712,7154316,7147988,7328844,7332912,7384064,7256160,7177224,7282124,7438496,7638340,7860484,8116532,8335264,8487552,8575884,8755556,8691472,8790228,8915932,9005096,9070984,9123372,9085124,9219688,9372224,9616332,9891596,10452232,10944832,11344312,11417736,11668060,11835104,12053612,12405928,12786052,12871008,13106044,13364708,13580660,13813484,14024976,14068124,13803612,13432856,12958028,12529520,12515696,12644300,12651248,12917148,13412576,13737532,14026136,14748696,15072416,15702660,16180392,16655440,16984680,17415196,17920648,17695356,17769968,17839756,18015780,18347812,19134372,19764804,20204616,20622960,21454964,22083020,22810192,23380868,24752028,25792264,26783212,28052984,29616896,30511180,31988012,32631816,33790308,33852856,34981848,36366336,37016724,38060892,38412864,38783032,39239580,39404628,39488820,39644392,40358556,40958596,41597020,42901096,44493740,45399880,46412768,47354800,49036164,48838196,49372852,50450420,50487180,51116984,51771944,53179760,52990840,53764384,54679272,55564792,57076748,57951468,58188696,59698956,60252260,60399868,61651260,62376760,62729204,63277260,63090012,62379064,62412612,62272672,62185344,61816808,61975660,61236608,61051500,63153880,57894940,59968552,59861600,60888076,58835072,60819072,60156736,61119216,61321632,62953080,64935724,64387508,66613088,67942436,68870588,71349612,73602720,75375436,78675664,81193468,83104992,83267516,83222744,83833080,87472084,87623748,91016348,95529120,106363608,102241364,110454268,104151692,98342824,94816664,90141248,89429972
 "98000","Far West",8,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",2725860,2723524,2804228,2848696,2959876,2998616,3062504,3093276,3140772,3177984,3177144,3200088,3213792,3266208,3288304,3352896,3366472,3442272,3466672,3486560,3523256,3553204,3586480,3657036,3690456,3759084,3829032,3847092,3923472,3935180,3922736,4027788,4125028,4249120,4292808,4318864,4392924,4401424,4446236,4568976,4646748,4782612,4933032,4984380,5043656,5191068,5346596,5383944,5463788,5453440,5453072,5472540,5596120,5660156,5653816,5770640,5974828,6105088,6154412,6137800,6355432,6550396,6689564,6907376,7074056,7235708,7500524,7590256,7432024,7537040,7935632,8286468,8478536,8553192,8763364,9095928,9283668,9696364,9875444,10191384,10543440,10809388,10958436,11219952,11594548,12023896,12416436,12765912,12896832,13120252,13573104,13983792,14297088,14651276,14854824,14945128,15300736,15301772,15242676,15485488,15751348,15959680,16117684,16519156,17114380,17105160,17334760,17541008,17803780,17764520,18110612,18337368,18591936,18739840,18987008,19439560,20017240,20329740,20639348,20863392,21516912,22066276,22564184,22739548,23151952,23410688,23543060,23996444,24520516,25133988,25446644,25846624,25452660,25615220,25953048,26271836,26240876,26427804,26713272,27075788,26047356,26938380,26879412,27928488,26745184,27693396,28312276,28307432,28169352,28224508,28519300,28609624,28725496,29499136,29678196,30097396,30561520,31365412,31516456,31687096,32687144,32685472,32766872,33220744,34059668,34301200,35317268,35513072,38544176,36873752,37734396,36564184,36426852,36475776,36145996,36298500
