GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "13000","Georgia",5,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",3855552,3854868,3998024,4065352,4171988,4247412,4306700,4366088,4431300,4523156,4504688,4499988,4508580,4561176,4626148,4759676,4883408,5010880,5089412,5165112,5271080,5391868,5533192,5662396,5784124,5922256,6067184,6186588,6369732,6497608,6666268,6880072,7077432,7327160,7506224,7724400,7899068,7991160,8144832,8307212,8580720,8918300,9218036,9487208,9685668,10014504,10368080,10650536,10731652,10843476,10887880,11115544,11413604,11723884,11971852,12217272,12722552,13015060,13420580,13904100,14341560,14727628,15148280,15608832,15942268,16240540,16460200,16435440,16170580,16529668,16990128,17642348,18270136,18681916,19133036,19556900,20028904,20855932,21513552,22136008,22834096,23548728,24233108,25019404,25765472,26290056,27063904,27833356,28599044,29214940,29885920,31152868,31930840,32655056,33428128,33928640,34417636,35089404,35601648,36163448,36955320,38149040,39041176,40476044,41953140,43140752,44456048,45730164,46683860,47682708,48952368,50371244,51659420,52207836,53318096,54796088,55841104,56798076,58186676,59913772,60105008,61950824,62919404,64151852,64494672,65013468,65657244,66976972,68340916,69545740,70618408,70254764,70267132,71414724,72262772,73287260,75241528,76448100,77534684,78978220,80021536,81736268,82464480,84068676,84920428,87668948,88694552,90912652,92667296,93854752,95759556,98164516,98900620,101980112,104107652,105438184,107966976,109401796,111264068,113974576,116811788,119315608,123045904,125491716,127842964,129426512,131165356,135256696,140078976,141032932,142778296,143409400,144984836,145794244,146339460,146162632
 "13000","Georgia",5,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",53160,55400,56572,61232,61660,61004,60508,64972,62136,62784,61964,64172,65072,65080,66532,66452,65644,65312,66156,68532,71420,73152,80308,77676,78468,85608,84812,83456,83076,87212,81160,77348,68568,63092,61824,64884,70876,75416,81724,81864,79748,74132,74652,73780,76184,78432,79640,81448,83200,85484,86484,83712,81216,78648,82020,79816,79456,74264,76624,81600,89064,97952,107208,118380,120288,126072,128832,134260,141976,144592,143736,147812,151240,153436,152116,151176,157432,157716,156644,154476,146760,146024,146904,149544,149824,153728,157072,159452,156068,156128,155016,152672,145644,143664,144392,147828,154940,160156,162736,162332,160920,157908,156300,155980,159360,160396,161624,163060,168236,168540,167576,165160,163420,160360,158560,157936,160668,162828,166028,170256,175916,178932,180540,180792,178292,179404,182852,188868,200544,207444,209208,206260,200100,193668,187968,183912,177296,175912,179432,187020,199496,209772,216000,217236,214888,211620,210896,213344,223904,229504,232564,233316,230032,228584,230864,236328,247496,255664,261312,264132,266076,265960,262568,257816,239008,234468,232980,234652,238080,242404,251620,263892,310552,314412,316880,318004
 "13000","Georgia",5,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",3802392,3799468,3941452,4004120,4110328,4186408,4246192,4301116,4369164,4460372,4442724,4435816,4443508,4496096,4559616,4693224,4817764,4945568,5023256,5096580,5199660,5318716,5452884,5584720,5705656,5836648,5982372,6103132,6286656,6410396,6585108,6802724,7008864,7264068,7444400,7659516,7828192,7915744,8063108,8225348,8500972,8844168,9143384,9413428,9609484,9936072,10288440,10569088,10648452,10757992,10801396,11031832,11332388,11645236,11889832,12137456,12643096,12940796,13343956,13822500,14252496,14629676,15041072,15490452,15821980,16114468,16331368,16301180,16028604,16385076,16846392,17494536,18118896,18528480,18980920,19405724,19871472,20698216,21356908,21981532,22687336,23402704,24086204,24869860,25615648,26136328,26906832,27673904,28442976,29058812,29730904,31000196,31785196,32511392,33283736,33780812,34262696,34929248,35438912,36001116,36794400,37991132,38884876,40320064,41793780,42980356,44294424,45567104,46515624,47514168,48784792,50206084,51496000,52047476,53159536,54638152,55680436,56635248,58020648,59743516,59929092,61771892,62738864,63971060,64316380,64834064,65474392,66788104,68140372,69338296,70409200,70048504,70067032,71221056,72074804,73103348,75064232,76272188,77355252,78791200,79822040,81526496,82248480,83851440,84705540,87457328,88483656,90699308,92443392,93625248,95526992,97931200,98670588,101751528,103876788,105201856,107719480,109146132,111002756,113710444,116545712,119049648,122783336,125233900,127603956,129192044,130932376,135022044,139840896,140790528,142526676,143145508,144674284,145479832,146022580,145844628
 "13000","Georgia",5,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",2922488,2908856,3032792,3107332,3206688,3276932,3327188,3358500,3407232,3474864,3446088,3427772,3423440,3462048,3512732,3613372,3697732,3797124,3852792,3900264,3980244,4061796,4161824,4269420,4369944,4484192,4600180,4702648,4862956,4945372,5092600,5273272,5407216,5599392,5702392,5854404,5972864,6018096,6106688,6222660,6418924,6693732,6945780,7177384,7367168,7618732,7857332,8054048,8115484,8195192,8221964,8380848,8605080,8861812,9094148,9316800,9787848,10020912,10304796,10697060,11063988,11400140,11738160,12144684,12389040,12610308,12752496,12600864,12244980,12490144,12916404,13424268,13933448,14244108,14635668,14960540,15322292,16017628,16541924,17050820,17672896,18285232,18784516,19454944,20100588,20560436,21158568,21796072,22428224,22766208,23356188,24355032,25210192,25656684,26092440,26279004,26878120,27378916,27847584,28276504,29002132,30029164,30850480,32137136,33459604,34437128,35583768,36663356,37497920,38308408,39292652,40577552,41736324,42168984,43069772,44322096,45190116,46002912,47166780,48672772,48665776,50246268,51048940,51990024,52188056,52516524,52915868,53977408,55032420,55902536,56780624,56496200,56281584,56995488,57604064,58552596,60439672,61555348,62513388,63711564,64479820,66133016,66791848,68210412,68773108,71227404,72129132,74111072,75694300,76681488,78415236,80682440,81350972,84143932,86053944,87220388,89498480,90755252,92429096,94738612,97261532,99572664,103017348,105258504,107555952,109066860,110330144,114292076,118588236,119163164,120780544,121019656,122423336,122736036,122689644,121986440
 "13000","Georgia",5,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",22188,22536,22504,21408,19744,18468,18072,19132,21184,23436,24676,25388,24648,24152,23880,23204,23632,23824,23988,24020,24256,24240,24460,24308,24816,24712,24588,24460,24348,23812,23752,23344,23572,23852,23712,23496,23252,23424,23484,23936,24832,25376,25972,26372,27632,28296,28996,29636,30276,30740,31620,32648,33532,34268,35316,36696,37620,39620,41220,43692,45368,47328,49276,51140,53540,55444,55864,55372,51960,52472,54152,56448,59936,62624,63996,64548,64392,65988,68640,72532,80192,84328,90692,92716,99528,100784,103016,106244,109056,115104,117584,116672,119740,118824,118600,120116,117648,122344,126356,128756,132312,139200,142832,150460,159484,166192,173316,182656,187248,196272,203788,207356,218528,227136,226440,241336,246420,244412,249148,251484,260348,261500,262120,258332,260400,263680,282852,286080,285456,290620,285588,286556,295372,300908,297704,308672,299112,303264,312072,320380,335436,339716,350940,363192,380688,389088,402056,414988,442560,439416,459624,482020,480036,499156,514348,517820,534296,539792,552940,576208,584160,606736,622648,639812,648864,671860,697380,696172,744676,756060,756180,746020,971748,854932,790928,754536
 "13000","Georgia",5,SQINC7S,200,"B","   Mining","Thousands of dollars",20364,20036,20312,20832,21756,23420,23480,25044,22244,23452,23424,23584,23896,23328,23616,24740,24412,25208,25396,24960,24892,26196,24208,24336,26316,26636,26344,28252,26436,27468,29300,28932,30880,30680,31620,31716,35924,35580,36500,37584,38972,40228,41532,42252,43584,45788,45444,48748,48912,50196,51196,51188,52052,52716,54924,55480,58156,58164,57852,60164,59920,62872,66204,70684,74720,75784,76620,66952,67760,67672,68240,77632,78148,76988,83276,81904,89832,95752,98580,93264,92272,107540,112032,116400,113948,117816,119760,125144,126616,130336,132176,139928,142444,140168,144960,150840,147536,147164,152680,147344,150848,156848,163672,169524,177880,182816,189424,192188,192084,195556,193516,199236,206000,210392,215136,223548,223804,232124,239564,255732,243176,261392,261784,259436,263420,255888,261180,267908,270024,278136,274288,268860,244932,240440,237604,239748,253900,247448,254600,268424,254936,261484,269232,267044,272472,276900,278612,286004,304828,290016,294576,298104,299292,305600,304032,304164,304716,329132,321856,330332,346960,337524,342528,353332,358316,367960,370560,360260,391668,365308,356208,350520,349024,350988,353276,345652
 "13000","Georgia",5,SQINC7S,300,"C","   Construction","Thousands of dollars",177048,185836,194576,202288,207728,207440,210588,213344,211668,218500,214444,208740,212960,196388,197716,207988,218900,233592,244912,251712,258452,257004,269352,261308,264408,290612,304412,323432,339048,344816,366264,371964,372732,391636,363348,404608,425832,420540,429436,443508,463588,491344,507792,516016,540348,555556,564712,567728,566940,561716,540956,594424,593984,651720,697528,741684,791368,820780,859324,882408,899700,922232,975360,1016820,1040968,1032404,987096,939376,889368,880116,856512,881212,895484,888012,904928,928752,904652,1031180,1089092,1109276,1155024,1225052,1229668,1234816,1269452,1312908,1332936,1406972,1434072,1476928,1558152,1565804,1613336,1615392,1647524,1635232,1746968,1790704,1787432,1818276,1826136,1894904,1945336,2056068,2257264,2429880,2519176,2596852,2669316,2754612,2790188,2939848,3110160,3135608,3202712,3320768,3111496,3165704,3243200,3283904,3248404,3303844,3311232,3286412,3256476,3172976,3213888,3226756,3404840,3488872,3489244,3334816,3106008,3001208,2945024,2968632,2959216,2962472,2931448,2991844,3011368,3167392,3247800,3389024,3543344,3622724,3715400,3817112,3876592,4066784,4357660,4475052,4668736,4837708,4739720,4813936,4950260,5052816,5134932,5272356,5424272,5631820,5925924,6195532,6438060,6595164,6756328,7045644,7210536,7267288,7279824,7355580,7671188,7555948,7577416,7450904
 "13000","Georgia",5,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",1083156,1044788,1124280,1156132,1213500,1248128,1260428,1251124,1283000,1295180,1258732,1227572,1221200,1263208,1295140,1352176,1382092,1416852,1445608,1451940,1486408,1517992,1563244,1628644,1661344,1698640,1744400,1777340,1863140,1888620,1950772,2020248,2089196,2160556,2189204,2229948,2262660,2279460,2316456,2354672,2428984,2531104,2605788,2716260,2781980,2846192,2954832,3016280,2955896,2961824,2921932,2912432,2998416,3048656,3104928,3118696,3330224,3395880,3452312,3550464,3662872,3743488,3792084,3904068,3928024,3955632,3982356,3849148,3607888,3726716,3943660,4236376,4466988,4574196,4720948,4793904,4899244,5156852,5263812,5412536,5582996,5733756,5850196,6057664,6286396,6411772,6608728,6740856,6895676,6875484,7027788,7477736,7612972,7833004,7880896,7895020,7866484,7946292,8037800,8086512,8293388,8647420,8882756,9197692,9502760,9802328,9971752,10201552,10354896,10439260,10648504,10930924,11334652,11279708,11411952,11635084,11753212,11965852,12224852,12600648,12504964,12541104,12744648,12891436,12769956,12860548,12879400,13076472,13180512,13168412,13204352,13111916,13098560,13235216,13482632,13764392,13972016,14193368,14329928,15060640,14118892,15034872,15148852,15458896,15299752,16060016,16430160,16810536,17044584,17087824,17259356,17520972,17350040,18038884,18345368,18796992,19100524,19105520,19132300,19586196,19720652,20391796,21009344,20983952,21122128,21273696,21660932,21888452,22932388,22260492,22431616,21891516,21761992,21812680,21396780,21263472
 "13000","Georgia",5,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",378240,357304,398264,405108,428544,438636,434848,423576,433060,435992,415660,401532,398208,410912,419956,447996,468464,484096,504252,508380,532720,550312,574648,609592,615964,620412,648268,646952,697180,716668,741776,782084,815896,839568,839384,879048,877616,888952,910748,901828,927616,977080,1006868,1075772,1114648,1127752,1190360,1239320,1152696,1161080,1125000,1075624,1131284,1158412,1154052,1161908,1261476,1283236,1308228,1351944,1396224,1424944,1443728,1457424,1455932,1442764,1458984,1438648,1329112,1335436,1425588,1518040,1597784,1680664,1732904,1751556,1828120,1937352,1974192,2031592,2110792,2177160,2217096,2348372,2422416,2473816,2575688,2622240,2689864,2663936,2782656,3024760,3032776,3171376,3156764,3153844,3195072,3215824,3245060,3228292,3335480,3498288,3610648,3778660,3942132,4126508,4291924,4438784,4565264,4545600,4658100,4860204,5019488,4966208,4998576,5074876,5137696,5202728,5348816,5541072,5500056,5536432,5543100,5523152,5468296,5441856,5518956,5544612,5595716,5554984,5532872,5476016,5408332,5469652,5524452,5669256,5693872,5854648,5888008,6284872,5805288,6193108,6210624,6278688,6390896,6731536,6873040,7218452,7415868,7343460,7497256,7625908,7732752,8041008,8159224,8335960,8473548,8583748,8657540,8982720,9131964,9373792,9533764,9675204,9614320,9751988,10138180,10186788,10498772,10333116,10661476,10200508,10090544,10219616,9760424,9790572
 "13000","Georgia",5,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",704916,687484,726016,751024,784956,809492,825580,827548,849940,859188,843072,826040,822992,852296,875184,904180,913628,932756,941356,943560,953688,967680,988596,1019052,1045380,1078228,1096132,1130388,1165960,1171952,1208996,1238164,1273300,1320988,1349820,1350900,1385044,1390508,1405708,1452844,1501368,1554024,1598920,1640488,1667332,1718440,1764472,1776960,1803200,1800744,1796932,1836808,1867132,1890244,1950876,1956788,2068748,2112644,2144084,2198520,2266648,2318544,2348356,2446644,2472092,2512868,2523372,2410500,2278776,2391280,2518072,2718336,2869204,2893532,2988044,3042348,3071124,3219500,3289620,3380944,3472204,3556596,3633100,3709292,3863980,3937956,4033040,4118616,4205812,4211548,4245132,4452976,4580196,4661628,4724132,4741176,4671412,4730468,4792740,4858220,4957908,5149132,5272108,5419032,5560628,5675820,5679828,5762768,5789632,5893660,5990404,6070720,6315164,6313500,6413376,6560208,6615516,6763124,6876036,7059576,7004908,7004672,7201548,7368284,7301660,7418692,7360444,7531860,7584796,7613428,7671480,7635900,7690228,7765564,7958180,8095136,8278144,8338720,8441920,8775768,8313604,8841764,8938228,9180208,8908856,9328480,9557120,9592084,9628716,9744364,9762100,9895064,9617288,9997876,10186144,10461032,10626976,10521772,10474760,10603476,10588688,11018004,11475580,11308748,11507808,11521708,11522752,11701664,12433616,11927376,11770140,11691008,11671448,11593064,11636356,11472900
