GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "93000","Great Lakes",3,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",53278240,52211384,53558160,54615292,56630168,58797024,58384332,58506252,60684708,60658564,60378708,59501872,58679196,59622428,60557376,61860928,62752028,64211076,64569812,65220536,65855016,66965604,67983336,69110020,70494856,72084148,73636772,74702072,76732056,78471936,79443528,82508232,84162552,86153164,88351492,89855160,89857344,90295968,92487668,93614400,96984268,99306864,101134652,104031812,106607084,108913176,111687300,113407924,113704912,114038892,115552624,114365316,117551624,120787536,121777480,123978532,128478132,130886260,132435812,136380472,142146048,145922532,149186360,152917404,154296220,156737412,161153968,161778104,159117968,159374636,163921720,169049176,175131376,179783088,182946844,188483964,191730632,199707688,206462708,210964436,215729124,223544000,230044320,237489628,244044028,246801496,250492088,253458864,257109360,255174732,256200308,266015936,271163272,275729052,279029736,279985756,277951120,279827496,280644248,278254368,280182152,286041792,295285812,303158248,310744500,318056624,323860684,328564088,334468288,338615460,343864952,351816936,355498060,359371016,363019280,369172460,375958420,379023564,385680532,394635824,401785516,410713756,418962196,426632396,433528084,433669720,437182832,443313740,450055884,460124828,465365936,466405988,463383312,467946408,474888640,482104800,487888128,499595408,501578908,512302220,508857080,521372348,526237860,537829436,542872668,553309620,562519080,573077168,582062792,585348824,591416028,599964680,602435960,615108892,626100040,632812056,643025496,652536800,662354876,675600012,687357500,697658580,705597512,721730772,728768908,737340412,741762676,760626096,780598264,779641340,787350104,783162884,796841612,790850368,788799264,788932960
 "93000","Great Lakes",3,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",284508,295904,300256,318320,310944,299484,292968,316136,309124,319980,321564,336112,341248,341228,350744,353936,358632,362452,367292,378244,389616,391104,418968,390060,381544,401712,388460,378064,373356,391788,375620,378796,369396,371352,373384,380168,376840,369508,383136,380560,384596,371236,385652,388224,374792,388552,397992,412768,415140,433220,445904,435584,429796,420944,444960,442588,460120,444552,455496,469716,492152,515416,541892,582912,603856,633548,645396,667272,704336,706436,701348,731736,788048,824048,831040,833512,870068,870784,868572,861552,822756,821204,829744,849168,886188,914432,940212,961736,979600,984888,984120,973092,950208,956936,984244,1031380,1097040,1132008,1143852,1132976,1098448,1075744,1060600,1053192,1047448,1051448,1056452,1064276,1063480,1062688,1053376,1033616,997288,975208,958020,946148,929344,938272,963300,1005540,1067472,1113184,1139952,1147020,1165240,1185840,1229296,1299044,1410776,1467760,1500784,1508764,1481744,1462144,1462956,1475868,1556256,1580312,1606820,1634136,1640640,1652468,1654184,1647904,1599684,1599880,1599772,1604128,1570412,1572492,1576916,1585960,1542916,1557276,1584652,1621240,1659088,1706208,1764872,1826880,1924464,1988316,2004792,1979280,1879196,1815260,1791120,1807516,1882388,1952144,2004612,2034348,1975000,1999596,2015272,2022424
 "93000","Great Lakes",3,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",52993732,51915480,53257904,54296972,56319224,58497540,58091364,58190116,60375584,60338584,60057144,59165760,58337948,59281200,60206632,61506992,62393396,63848624,64202520,64842292,65465400,66574500,67564368,68719960,70113312,71682436,73248312,74324008,76358700,78080148,79067908,82129436,83793156,85781812,87978108,89474992,89480504,89926460,92104532,93233840,96599672,98935628,100749000,103643588,106232292,108524624,111289308,112995156,113289772,113605672,115106720,113929732,117121828,120366592,121332520,123535944,128018012,130441708,131980316,135910756,141653896,145407116,148644468,152334492,153692364,156103864,160508572,161110832,158413632,158668200,163220372,168317440,174343328,178959040,182115804,187650452,190860564,198836904,205594136,210102884,214906368,222722796,229214576,236640460,243157840,245887064,249551876,252497128,256129760,254189844,255216188,265042844,270213064,274772116,278045492,278954376,276854080,278695488,279500396,277121392,279083704,284966048,294225212,302105056,309697052,317005176,322804232,327499812,333404808,337552772,342811576,350783320,354500772,358395808,362061260,368226312,375029076,378085292,384717232,393630284,400718044,409600572,417822244,425485376,432362844,432483880,435953536,442014696,448645108,458657068,463865152,464897224,461901568,466484264,473425684,480628932,486331872,498015096,499972088,510668084,507216440,519719880,524583676,536181532,541272984,551709740,560919308,571473040,580492380,583776332,589839112,598378720,600893044,613551616,624515388,631190816,641366408,650830592,660590004,673773132,685433036,695670264,703592720,719751492,726889712,735525152,739971556,758818580,778715876,777689196,785345492,781128536,794866612,788850772,786783992,786910536
 "93000","Great Lakes",3,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",46670252,45500704,46716984,47757760,49635216,51821336,51296800,51322340,53387580,53168452,52691780,51692736,50738140,51502196,52340468,53492912,54249348,55548688,55837860,56355428,56850548,57863032,58725128,59676032,60859296,62230356,63630864,64574896,66475084,67931196,68725128,71427040,72820008,74471036,76476792,77673812,77497876,77857064,79713384,80561072,83431848,85368516,86843188,89481048,91825728,93790908,96038824,97323048,97131276,96778620,97989564,96357820,99212796,101985128,102461380,104361304,108428696,110412536,111514808,115085808,120223988,123590772,126526840,129807276,130740180,132866396,136824252,137068156,133550240,133022672,136965552,141517712,147168464,151412268,154423448,159322008,162106952,169592692,175863732,179683708,183646708,191017028,196431236,203220996,208989744,211642644,214302360,216747840,219748652,216117068,216999104,225968192,230652404,234642920,237550916,237342596,234400012,235849940,235954108,232777556,234681752,239885076,248954788,255923172,262930364,269308716,274313892,278357264,283735716,287267812,291599264,298670200,302010748,304437264,307534724,312477012,318899648,321226164,327278528,335363560,341085988,348995080,356405404,363020912,369384216,368802976,370380192,376532180,381710284,389597196,394213148,393990480,389810336,393880752,399971040,405767872,410297324,420317956,422461368,431898340,427617904,439494716,443935236,454341260,459209300,468678584,476969816,486847980,495370632,497811144,503122324,510921912,512461740,524378296,534241252,539935668,549283192,558697988,567326256,579345188,590374236,599448524,606897544,622300492,627987380,635464436,639533824,655868068,673648956,671562188,677864792,673597864,686262288,679028296,674547824,673299940
 "93000","Great Lakes",3,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",70092,70784,71112,70168,70072,69252,69696,71984,73408,76160,77520,78588,77240,77160,76496,77096,80352,82536,84408,85728,86660,87568,89188,89604,91676,93224,94872,96632,99564,102040,103688,105140,106436,106196,108232,110468,113008,116840,120480,123908,126764,129248,132984,136060,136044,140140,144132,147156,151200,153936,158152,163512,168584,173176,177184,181324,182060,185292,192140,200120,211432,220416,229356,236812,243652,249736,254084,255128,249728,256696,266772,280332,298632,312696,325384,333168,339136,347584,366640,396784,445676,483908,518160,536356,547920,573584,597184,618676,647832,668980,673568,665724,654888,618324,610464,618132,639860,673316,672460,679552,734640,720504,735404,774364,787556,841996,871572,895436,915772,955636,964692,979324,995924,1050948,1072604,1126060,1149576,1171868,1194764,1210296,1300456,1313280,1273480,1312260,1349408,1382456,1455160,1467468,1503828,1546340,1575456,1598116,1609964,1646836,1601768,1632608,1656648,1716576,1728740,1746812,1741572,1762200,1839772,1877920,1938976,1952884,1975724,2011692,2022256,2084360,2095188,2129936,2168776,2207588,2313056,2317872,2383036,2408692,2490648,2552060,2584732,2685976,2722260,2887788,2901768,2983236,3084236,3198460,3273412,3304332,3294668,3332948,4182112,3767480,3340972,3095736
 "93000","Great Lakes",3,SQINC7S,200,"B","   Mining","Thousands of dollars",443348,409332,412984,425904,441904,459388,425076,440908,447400,461840,454272,449184,434720,427540,439600,439224,440220,446228,442988,434776,429712,447208,442240,449128,448280,457700,460764,473260,476412,480828,478100,493204,495136,500156,506484,506028,514724,524880,540472,522460,528516,538536,547612,539280,582132,569148,590168,613564,610500,615720,646136,667840,656864,675736,695016,613484,731972,740632,746000,773368,760332,793224,837356,909804,934360,967960,978312,891412,1103960,1125840,1085576,1226988,1286672,1227380,1223576,1326492,1383128,1437528,1485240,1378648,918820,1724720,1809880,1832900,1856304,1900972,1876360,1963652,2041584,2030812,1970580,2097988,2186308,1668752,2370816,2421500,2432604,2273836,2145596,2101112,2046376,2028080,2109316,2218116,2249264,2305844,2370716,2324548,2256208,2306976,2233668,2234676,2213936,2112728,2063516,2028872,2113124,2052960,2035376,2053288,1979944,2020420,2030380,1993260,1967208,1996416,1985060,2039420,2053380,2069772,2064068,1999932,2011672,1947500,1925144,1874884,1847996,1841748,1878136,1967932,1751888,1808444,1703176,1782116,1850472,1846612,1878072,1831444,1807772,1775484,1774512,1747560,1738712,1787716,1789380,1787992,1803208,1860336,1758148,1803584,1862100,1804260,1861060,1862988,1885928,1844312,1808136,1791768,1832528,1796148,1827092,1817272,1881032,1886480,1928496,1948268
 "93000","Great Lakes",3,SQINC7S,300,"C","   Construction","Thousands of dollars",3211716,3131524,3036464,3077184,3051788,3269436,3284104,3239316,3242432,3253048,3373688,3243340,3262760,3201932,3207688,3232024,3111752,3316744,3338088,3337220,3199976,3474240,3593320,3611572,3722180,3784088,3943752,4144348,4248492,4417768,4419240,4745208,4990436,5017548,5139880,5066108,5241368,5278624,5597728,5666040,5931812,5957560,6165416,6527912,6894688,7140600,7214800,7095744,7134572,6851064,6818136,6936596,6748132,7326296,7431932,7626456,7436792,7651260,7608696,7741200,8130632,8105072,8462920,8567716,8735320,8530496,8622808,8677696,8586492,8106348,8278188,8515376,8803720,8998080,9153852,9375380,9448148,10239872,10696216,10861884,11256492,11927736,12400144,12707524,12959732,13456972,13816192,13952472,14016688,13144352,12657836,12895660,12938512,12846280,12662488,12698136,12560056,12189120,11839636,11669012,11603584,11417288,12041004,12261720,12472456,13166468,13318428,13478268,13811312,14387216,14701196,15031920,14964976,15590320,15921904,16424908,17146616,17171248,17431388,17841120,18416200,19443160,19883268,20170752,20414092,20629500,21084100,21640452,22397940,22139528,22270728,22163856,21640576,21326848,21681656,21155440,21554088,21817420,21655120,21931508,22312876,22430480,22896908,23632212,23866824,25287832,25710796,26099516,26362556,26634572,26973916,27375548,28065632,28755832,29963564,30332288,30980808,31863232,32111172,33150428,33640024,34622716,35470016,36562780,37498732,38019012,38381884,40344816,41715644,41866000,41651756,41244220,42486512,42328168,42381408,42414660
 "93000","Great Lakes",3,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",23211412,22356244,23433564,24036220,25459488,26861268,26228660,25991432,27776060,27118628,26390768,25583484,24713252,25502724,25996388,26869184,27419724,28086624,28205020,28537288,28789292,29202828,29641616,30189768,30810440,31595564,32285176,32433612,33879016,34471432,34720224,36184036,36839172,37888012,38952592,39637480,38825400,38448632,39303132,39574716,41251216,42249800,42571348,43914828,44903332,45584668,46597920,46941900,46058848,45784140,45773880,43365996,45780008,46495520,46141876,47249440,48940160,50625432,51471700,53724504,56763152,58057884,58845080,60118740,59840724,60732096,62748668,62378928,58114140,57801176,60044508,62330152,65554896,67707772,68877316,71300280,72857008,76717812,79588980,81006208,82535848,85385616,87770104,91409968,93866584,94363300,94136592,93348056,94095896,90805896,90488884,96595108,97378552,100087904,100700768,98993612,95732896,95483456,94030136,90204956,91174096,93995624,98911132,102684780,106196840,108725724,110828148,112281072,114700184,114485736,115315500,118002624,118377240,117628264,117560952,118200092,119445756,118526168,119700824,121364576,125606616,126625716,128675880,131356568,134556296,131662188,130650536,131057640,131638200,135013308,135514036,134216884,130254024,131571192,134851848,136261260,134764144,139527768,139979940,146122376,136676684,145392692,147292140,152951996,152942976,155553828,159158568,163112816,165996028,165028060,165739888,167500408,165100680,170809656,173482492,173911688,176514320,178512160,180975432,185008032,188039840,187376064,186580476,190747044,193188160,193335076,193805904,196917796,204233568,199144120,199569176,195297276,194040440,190783332,188275180,185943192
 "93000","Great Lakes",3,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",16551132,15792272,16723960,17224276,18443116,19719972,18990020,18697212,20437000,19744776,19009688,18271720,17454860,18133828,18515864,19265016,19768616,20273272,20376096,20698460,20874488,21238536,21569092,22020608,22538140,23158236,23776324,23787044,25080796,25549508,25756216,26970476,27473732,28274672,29160796,29729228,28861656,28452048,29124780,29174620,30643996,31373052,31446504,32545344,33354404,33805968,34610960,34768376,33844836,33615492,33483164,31115996,33400084,33840448,33472316,34413248,35816268,37233524,37956012,39865680,42523408,43576428,44173464,45118224,44632376,45301932,46923868,46561108,42791372,42370336,44028268,45816580,48426908,50215560,51103788,52764144,54146740,57237176,59704264,60710216,61711448,64064832,66000700,69183432,71095212,71335948,70867872,69755464,70155168,66990088,66301792,71623176,72067416,74400140,74679980,72789008,69296120,68795980,67151052,63332192,64093188,66219384,70505516,73680860,76434328,78357940,80014912,81002808,82990496,82566592,83048588,85215488,85366796,84206616,83889400,84063648,84801216,83645540,84391728,85399944,88434560,88964492,90628328,92676540,95507140,92522792,91320900,91379236,91310752,93818132,93955268,92418088,88449624,89605300,92067424,93246968,91146192,94934024,95059920,99390352,92745012,99134220,100695172,104574788,106097708,107276188,110590416,113899800,116778312,115276888,115794900,117146508,114556580,119370392,121503128,121589152,123305236,124503724,126314928,129473588,131210752,130572500,129167916,133129924,134176128,135157124,135667340,138072344,144554824,139178144,138973472,135065568,133717608,131631092,128798684,126925688
 "93000","Great Lakes",3,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",6660280,6563972,6709604,6811944,7016372,7141296,7238640,7294220,7339060,7373852,7381080,7311764,7258392,7368896,7480524,7604168,7651108,7813352,7828924,7838828,7914804,7964292,8072524,8169160,8272300,8437328,8508852,8646568,8798220,8921924,8964008,9213560,9365440,9613340,9791796,9908252,9963744,9996584,10178352,10400096,10607220,10876748,11124844,11369484,11548928,11778700,11986960,12173524,12214012,12168648,12290716,12250000,12379924,12655072,12669560,12836192,13123892,13391908,13515688,13858824,14239744,14481456,14671616,15000516,15208348,15430164,15824800,15817820,15322768,15430840,16016240,16513572,17127988,17492212,17773528,18536136,18710268,19480636,19884716,20295992,20824400,21320784,21769404,22226536,22771372,23027352,23268720,23592592,23940728,23815808,24187092,24971932,25311136,25687764,26020788,26204604,26436776,26687476,26879084,26872764,27080908,27776240,28405616,29003920,29762512,30367784,30813236,31278264,31709688,31919144,32266912,32787136,33010444,33421648,33671552,34136444,34644540,34880628,35309096,35964632,37172056,37661224,38047552,38680028,39049156,39139396,39329636,39678404,40327448,41195176,41558768,41798796,41804400,41965892,42784424,43014292,43617952,44593744,44920020,46732024,43931672,46258472,46596968,48377208,46845268,48277640,48568152,49213016,49217716,49751172,49944988,50353900,50544100,51439264,51979364,52322536,53209084,54008436,54660504,55534444,56829088,56803564,57412560,57617120,59012032,58177952,58138564,58845452,59678744,59965976,60595704,60231708,60322832,59152240,59476496,59017504
