GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "15000","Hawaii",8,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",822096,824260,863660,876924,922516,939828,956132,985940,1030972,1073916,1088580,1111328,1136940,1150932,1160084,1184012,1179412,1212432,1250820,1281140,1285952,1313140,1322232,1360300,1394976,1430208,1462432,1475288,1518072,1547160,1599872,1634268,1722060,1730124,1727252,1742160,1795056,1834280,1902212,1941292,1982964,2070536,2194100,2227072,2294568,2365824,2469400,2581644,2694152,2751500,2825448,2843420,2875928,2906488,2959372,2999396,3010032,3128176,3244360,3371272,3475884,3508980,3562340,3657004,3725572,3837792,3952184,4047812,4116584,4203736,4259112,4383012,4417564,4498120,4573708,4643032,4766188,4822956,4906160,5002064,5161952,5316736,5538260,5672064,5810244,5952196,6099640,6178088,6499952,6614952,6751568,6867656,7261724,7326352,7223280,6917820,7390532,7536624,7697388,7798476,7963136,8024164,8036048,8314832,8362084,8610816,8659696,8743292,8918572,9073544,9251028,9396264,9502636,9618768,9828236,10105052,10274900,10524864,10782512,11083548,11287304,11640504,11894180,12247440,12471900,12817668,13160156,13541768,13783456,14252692,14591348,14991544,15012300,15140180,15379604,15651964,16080268,16281772,16289356,16377456,16687672,16687976,16415652,16272392,16645160,16573708,16670592,16776052,16655312,16784084,16631696,16649440,16648548,16678548,16752192,16793280,17042872,17133772,17371680,17315148,17580240,17529348,17623988,17750568,17817392,17951288,18459076,18513988,18786964,19173688,19226908,19504560,19727744,19694288,20030616,19871720
 "15000","Hawaii",8,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",50012,50492,51516,52916,54532,56196,57736,58944,57720,58624,57828,59148,58908,58288,59288,59312,59652,60128,61008,62572,64280,64604,69600,66124,66620,72084,71112,70748,70188,74532,72112,73752,73216,74516,76080,78564,79620,79276,82468,81400,81612,78252,80900,81716,77768,79584,81084,83508,88136,92104,93732,90800,86168,81888,82560,80944,82192,80336,82824,86476,91696,96832,102208,108768,109952,113792,115204,117852,121600,122248,121184,123468,126392,128220,127736,127352,132028,132384,131320,129176,125584,123220,122620,123996,127752,131444,134440,136160,136232,135816,134480,132376,127468,126036,127332,131384,140828,146548,149424,149060,146180,143284,141696,141304,143608,144592,145536,146556,151340,151068,149944,147608,145768,143460,141164,139044,143288,142592,145496,151572,165540,173148,177652,178512,172244,171652,172832,176588,166600,171684,173744,172900,167292,166572,165992,165832,168728,168988,168824,168168,164408,162500,161448,161216,164268,164688,162176,157640,144700,143680,143384,143944,145488,146808,148924,151724,143168,144864,147200,150052,151172,154848,158840,162424,169460,172404,174324,175044,172584,172232,171796,171864,166108,168176,169492,170096
 "15000","Hawaii",8,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",772084,773768,812144,824008,867984,883632,898396,926996,973252,1015292,1030752,1052180,1078032,1092644,1100796,1124700,1119760,1152304,1189812,1218568,1221672,1248536,1252632,1294176,1328356,1358124,1391320,1404540,1447884,1472628,1527760,1560516,1648844,1655608,1651172,1663596,1715436,1755004,1819744,1859892,1901352,1992284,2113200,2145356,2216800,2286240,2388316,2498136,2606016,2659396,2731716,2752620,2789760,2824600,2876812,2918452,2927840,3047840,3161536,3284796,3384188,3412148,3460132,3548236,3615620,3724000,3836980,3929960,3994984,4081488,4137928,4259544,4291172,4369900,4445972,4515680,4634160,4690572,4774840,4872888,5036368,5193516,5415640,5548068,5682492,5820752,5965200,6041928,6363720,6479136,6617088,6735280,7134256,7200316,7095948,6786436,7249704,7390076,7547964,7649416,7816956,7880880,7894352,8173528,8218476,8466224,8514160,8596736,8767232,8922476,9101084,9248656,9356868,9475308,9687072,9966008,10131612,10382272,10637016,10931976,11121764,11467356,11716528,12068928,12299656,12646016,12987324,13365180,13616856,14081008,14417604,14818644,14845008,14973608,15213612,15486132,15911540,16112784,16120532,16209288,16523264,16525476,16254204,16111176,16480892,16409020,16508416,16618412,16510612,16640404,16488312,16505496,16503060,16531740,16603268,16641556,16899704,16988908,17224480,17165096,17429068,17374500,17465148,17588144,17647932,17778884,18284752,18338944,18614380,19001456,19055112,19332696,19561636,19526112,19861124,19701624
 "15000","Hawaii",8,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",415560,420060,454132,466728,483324,503628,516264,535140,563180,588136,601436,616316,630356,635084,631960,646484,640220,655580,670640,674920,678848,689280,695324,712660,736412,758172,767592,787368,816448,830556,859260,877088,917184,942424,950528,954936,971748,991628,1016284,1049036,1077196,1139952,1193088,1232568,1291964,1356288,1426340,1496408,1554420,1588220,1631704,1636708,1655088,1667368,1687656,1723668,1708256,1807748,1870216,1946108,2027084,2055944,2089776,2152280,2183232,2241484,2325980,2410588,2423532,2466884,2518280,2582308,2585296,2647308,2709204,2750988,2830620,2873340,2929312,2995708,3133736,3251280,3394376,3511132,3630312,3759480,3888404,4009668,4123708,4214900,4293228,4385964,4501960,4600708,4600456,4614096,4622544,4695324,4764484,4843172,4944532,4989296,5042908,5259856,5255300,5405304,5422388,5435552,5606732,5714732,5832120,5975376,6071272,6168980,6332364,6563140,6705096,6916264,7148936,7379768,7475920,7765408,7994872,8262020,8452688,8714384,8983992,9324040,9509340,9877128,10151476,10473320,10385868,10528648,10699208,10873156,11166592,11279912,11229200,11293052,11568508,11594364,11380340,11232948,11546808,11405564,11489832,11566100,11446676,11564860,11524648,11578236,11617600,11651452,11724944,11712084,11889804,11915344,11967708,11928312,12133412,12106740,12240772,12302944,12312748,12418608,12455108,12790984,13030676,13337248,13405916,13588504,13848448,13854336,13888876,13506732
 "15000","Hawaii",8,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1888,1988,2036,2056,2056,2040,2040,2064,2032,2040,2432,2460,2440,2852,3276,3292,3336,3360,3380,3376,3416,3396,3380,3332,3300,3660,3596,3988,3996,4400,4832,4856,4512,4516,4520,4496,4456,4444,4816,4796,4800,5204,5216,5240,5632,5496,6012,5932,6632,7200,7296,7676,8212,8100,8424,8276,8968,9136,9548,9644,10200,10464,10608,10996,11124,11188,10912,11240,12624,10480,9712,10360,11608,13536,14908,15532,15280,14976,15448,16984,19840,20632,20216,22832,23244,26252,27208,26268,27768,29112,31148,30516,29304,31208,31108,30860,25984,29000,28724,28676,28376,27432,33424,38544,35544,37536,38264,37240,35672,37796,39000,38708,40400,42904,44280,44468,47392,47472,49752,53036,61968,57588,54732,55772,55888,58180,63824,66004,67868,69260,71512,74204,81236,86976,87204,87952,86392,88640,90836,92028,92676,94180,91988,91272,89492,86964,88172,94248,92716,91156,90956,87524,89216,89396,89100,87088,87604,85028,84904,90124,90084,90664,86500,90132,87916,95384,99604,100224,103052,106624,105412,107988,131252,114508,104980,93868
 "15000","Hawaii",8,SQINC7S,200,"B","   Mining","Thousands of dollars",640,680,656,580,476,356,240,172,296,408,484,416,420,408,416,416,328,240,208,200,200,232,248,252,304,312,280,280,276,240,224,216,224,216,216,200,188,212,236,272,316,328,316,244,216,336,368,504,396,272,248,272,228,224,176,184,176,248,296,224,248,280,208,224,184,244,176,160,24,24,24,24,4,0,0,0,8,0,0,0,0,0,0,0,616,952,1196,1364,1276,1200,1112,1192,1272,1328,1420,1396,1192,1488,1840,1720,1932,1728,1672,1592,1192,1128,1128,1040,1044,1148,1188,1232,1240,1304,1360,1360,5060,4764,5116,5448,5512,4564,4452,3484,3656,4160,4468,5148,5112,5536,6624,5232,9132,10300,12004,13352,13808,13840,14488,15972,14040,15028,14352,14784,13460,12480,13024,14500,18280,18024,18896,18208,17204,16064,15616,15048,14272,14660,13464,13888,14624,14360,14000,13436,14012,14100,13864,13736,13900,15060,15892,15712,16048,14572,14036,14120
 "15000","Hawaii",8,SQINC7S,300,"C","   Construction","Thousands of dollars",52600,55808,60636,65480,68724,75192,79648,82884,91116,99420,108420,106100,109816,108212,100680,96116,92084,92240,96000,98492,96668,94700,99572,102800,110000,113692,115256,121500,127344,127956,136488,140528,151392,160756,155684,150496,139096,145604,144044,152892,159724,174104,187620,194208,216816,236072,256572,280892,297836,296904,294296,286696,274764,269088,274444,262552,277360,286392,291904,299808,342720,340264,348176,357228,355976,366720,383056,398296,405604,401448,395176,381880,352840,345492,341160,350592,349504,349084,339804,310884,353836,368684,395996,406160,430908,445020,474024,487548,494748,502348,499380,505008,518516,513356,498696,485528,445776,440492,425552,439724,481972,458708,462292,495240,472300,464140,412208,351528,444248,471944,495396,495084,509132,506204,552508,636812,634872,658216,655120,675948,693252,731812,777940,830912,899888,977312,1065116,1120444,1139328,1181176,1243100,1285292,1312152,1334780,1318428,1291376,1318232,1308392,1257504,1329036,1379508,1375884,1332672,1311216,1261308,1211720,1242392,1194200,1153828,1139888,1118312,1095200,1061892,1031196,1035300,990108,999104,970136,950464,953016,971188,970624,960472,945928,956672,959720,950368,987028,1053804,1088092,1124736,1135804,1171628,1140256,1141604,1125252
 "15000","Hawaii",8,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",76872,74476,94592,93136,96848,99740,98676,102516,103312,100952,104360,108392,110888,111800,108528,107984,109380,111252,115128,111436,113836,121448,115312,117224,118644,120884,117324,123552,125372,125836,125796,128472,132572,131780,137404,136564,138704,138680,142380,145260,140572,152444,154760,157436,156260,165184,175480,176056,184612,184748,178960,181332,193376,189932,194676,195124,195696,204564,201200,198444,197260,200096,200600,204340,211116,204068,223560,249080,229464,231640,241048,257140,243168,248072,252196,258228,261664,258012,271080,255584,279628,285388,283128,288376,298404,315996,321168,324640,335612,340444,347104,355692,361112,371496,366404,366712,359004,362996,374444,378000,389040,369296,393092,383512,394840,386688,387572,394960,398312,413856,416840,427096,427120,437608,441060,445932,443296,445520,454096,458256,467752,481224,496016,490760,506312,516092,507452,522892,523048,528792,541420,539516,537064,542168,550556,562816,554780,553472,549296,551176,527660,532600,515248,530000,521504,527056,525496,511992,497832,501872,510020,506248,501372,501268,499712,508928,504764,508724,525920,509076,512760,513972,519204,502992,510268,527984,525852,547012,546696,559704,568588,584552,614456,606804,608540,589156
 "15000","Hawaii",8,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",10900,10496,11708,12520,12932,13748,14156,15376,16384,15816,16876,18084,18404,18104,17664,17208,17056,18416,18520,19204,20948,21124,21272,19868,19464,20776,21320,22352,21704,20944,22320,22588,24728,24968,24768,25504,24632,24696,25040,28316,27272,31776,34172,35516,38680,39784,41848,43492,45036,44096,42800,41448,42748,41104,41304,42504,43328,44256,43200,47260,46360,50512,51888,52344,51384,52480,56536,57108,57600,57480,59144,56288,57264,55664,57216,61048,62336,62368,64956,63600,67576,71392,68216,68720,69880,76256,81580,83580,85212,82220,79240,78176,82264,80964,81236,79224,79000,78072,78672,80376,82296,79864,82780,78712,77348,77096,70776,76288,78964,82380,94160,91172,92568,94184,93704,96712,94896,96912,103472,104236,109700,112588,114196,118008,118784,123080,128148,133084,136832,136864,139192,140964,145200,143744,143640,145660,138488,139784,138888,140072,139984,141016,134000,135104,136768,141592,138536,128992,117216,119312,125384,121704,123228,113752,117872,116832,116320,109512,108320,107576,115004,113648,113364,111068,112772,114780,119516,127484,125616,140140,140808,149644,169468,163748,162312,157328
 "15000","Hawaii",8,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",65972,63980,82884,80616,83916,85992,84520,87140,86928,85136,87484,90308,92484,93696,90864,90776,92324,92836,96608,92232,92888,100324,94040,97356,99180,100108,96004,101200,103668,104892,103476,105884,107844,106812,112636,111060,114072,113984,117340,116944,113300,120668,120588,121920,117580,125400,133632,132564,139576,140652,136160,139884,150628,148828,153372,152620,152368,160308,158000,151184,150900,149584,148712,151996,159732,151588,167024,191972,171864,174160,181904,200852,185904,192408,194980,197180,199328,195644,206124,191984,212052,213996,214912,219656,228524,239740,239588,241060,250400,258224,267864,277516,278848,290532,285168,287488,280004,284924,295772,297624,306744,289432,310312,304800,317492,309592,316796,318672,319348,331476,322680,335924,334552,343424,347356,349220,348400,348608,350624,354020,358052,368636,381820,372752,387528,393012,379304,389808,386216,391928,402228,398552,391864,398424,406916,417156,416292,413688,410408,411104,387676,391584,381248,394896,384736,385464,386960,383000,380616,382560,384636,384544,378144,387516,381840,392096,388444,399212,417600,401500,397756,400324,405840,391924,397496,413204,406336,419528,421080,419564,427780,434908,444988,443056,446228,431828
