GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "19000","Iowa",4,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",2532748,2583344,2638764,2723500,2797108,2870884,2900032,2952576,2931608,2950228,3015684,3022448,3022144,3049996,3063612,3082148,3131804,3185808,3211356,3250732,3309336,3351640,3405308,3438948,3515716,3560344,3617344,3677080,3721120,3803260,3858768,4014532,4102152,4257116,4383664,4480784,4544180,4568648,4658180,4697100,4892872,4973836,5044872,5139488,5241296,5361536,5498488,5603188,5689300,5753116,5851964,5946872,5991708,6187672,6258980,6325448,6580336,6642848,6642072,6795188,7083800,7334764,7711876,7895756,8133744,8368668,8622504,8844192,8963876,8984992,9285744,9586716,9956764,10211532,10406892,10696140,11021480,11395548,11691852,11891680,12231864,12522936,12905824,13315388,13653176,14040804,14543016,14666672,15129656,15059312,15024080,15397084,15896764,16067544,16120516,16133504,15948316,16034788,16054692,16090840,15905580,16313772,16687216,16913328,17183676,17471560,17708804,17714276,17879476,17978384,18072068,18164828,18403488,18427388,18580468,18725480,19263988,19640872,19912520,20624132,20512968,21218980,21884480,22279744,22499080,22707316,22869720,23461908,23751088,24189128,24741944,24887352,25013396,25277124,25552436,25823720,26534432,26988168,27207380,27240140,27718216,28047016,28263528,28830392,29073404,29901132,30374888,30835176,31267700,31467440,31813656,32354148,32685140,33158688,33719700,33960624,34551508,35239748,35514248,36686248,37435148,37549436,38800688,39004456,39411120,39821180,40300592,41195340,41667004,41958320,42282128,41924660,42666316,42909000,43252160,43123824
 "19000","Iowa",4,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",63352,65728,66896,71676,71508,70092,68648,73192,69612,70324,68984,70960,70696,69868,73008,76452,81612,86020,88720,90024,88948,86068,89460,82368,81232,86528,84884,83900,82720,87252,85512,89336,91688,96452,98164,99028,94240,88432,88680,86716,88148,86064,90208,91508,87848,90920,92992,96232,96484,101364,106424,105648,108188,109384,117448,115072,114916,106436,106996,110964,123152,135032,144664,154772,156252,158328,155948,158720,165732,166604,168748,183608,207164,226856,234624,237084,249504,246756,241408,234468,239208,231604,228972,232420,244860,252828,260312,265816,266728,267464,267616,266616,262404,262580,267112,275680,276464,285448,289104,287224,272352,266780,263268,261836,254128,255468,257136,259352,251712,252096,249848,244864,230752,225980,222628,220748,212308,214036,218524,225480,227816,234592,238988,240500,235304,235624,238980,245684,260268,269420,272000,268500,256612,248600,244080,243136,249968,251464,255424,261272,271028,275776,278148,278064,262476,261948,262664,265208,254072,255764,256056,255708,242912,241760,244136,249608,255448,264816,276856,289560,311248,325080,331164,329560,319932,311780,305852,303700,303744,306660,312648,321208,339284,343508,346192,347424
 "19000","Iowa",4,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",2469396,2517616,2571868,2651824,2725600,2800792,2831384,2879384,2861996,2879904,2946700,2951488,2951448,2980128,2990604,3005696,3050192,3099788,3122636,3160708,3220388,3265572,3315848,3356580,3434484,3473816,3532460,3593180,3638400,3716008,3773256,3925196,4010464,4160664,4285500,4381756,4449940,4480216,4569500,4610384,4804724,4887772,4954664,5047980,5153448,5270616,5405496,5506956,5592816,5651752,5745540,5841224,5883520,6078288,6141532,6210376,6465420,6536412,6535076,6684224,6960648,7199732,7567212,7740984,7977492,8210340,8466556,8685472,8798144,8818388,9116996,9403108,9749600,9984676,10172268,10459056,10771976,11148792,11450444,11657212,11992656,12291332,12676852,13082968,13408316,13787976,14282704,14400856,14862928,14791848,14756464,15130468,15634360,15804964,15853404,15857824,15671852,15749340,15765588,15803616,15633228,16046992,16423948,16651492,16929548,17216092,17451668,17454924,17627764,17726288,17822220,17919964,18172736,18201408,18357840,18504732,19051680,19426836,19693996,20398652,20285152,20984388,21645492,22039244,22263776,22471692,22630740,23216224,23490820,23919708,24469944,24618852,24756784,25028524,25308356,25580584,26284464,26736704,26951956,26978868,27447188,27771240,27985380,28552328,28810928,29639184,30112224,30569968,31013628,31211676,31557600,32098440,32442228,32916928,33475564,33711016,34296060,34974932,35237392,36396688,37123900,37224356,38469524,38674896,39091188,39509400,39994740,40891640,41363260,41651660,41969480,41603452,42327032,42565492,42905968,42776400
 "19000","Iowa",4,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",2061992,2100080,2154152,2223336,2292036,2363956,2390944,2424668,2401756,2415748,2481264,2469628,2461288,2476728,2476540,2479220,2514820,2553260,2567308,2599468,2649468,2687376,2728188,2767604,2821200,2861308,2898728,2954976,2990300,3040096,3100120,3220452,3301820,3423532,3539416,3619396,3677348,3701504,3773368,3793424,3957876,4016212,4053644,4158304,4229160,4320340,4415776,4489988,4542492,4569388,4645836,4716556,4720208,4889252,4933732,4972992,5213820,5260576,5236572,5369508,5613968,5834296,6187996,6343200,6548900,6755144,6971092,7161012,7175200,7154748,7400876,7619640,7913392,8110016,8285040,8499940,8765520,9111152,9371264,9543180,9862428,10123304,10449940,10801960,11118652,11453172,11891252,12000220,12392776,12197260,12134088,12470256,12912336,13038704,13048460,13033680,12774956,12822236,12796188,12777036,12573236,12903492,13279024,13551148,13729444,14005408,14157924,14174416,14243912,14308836,14356396,14456124,14646028,14663912,14784488,14856840,15316956,15720880,15916940,16454784,16291212,17010940,17518740,17857784,18059252,18171188,18327696,18836828,19063692,19366660,19835164,19936236,19979184,20219340,20459620,20694356,21346172,21713884,21841028,21835624,22225092,22548912,22746636,23226348,23449196,24149296,24640004,25059692,25384152,25581240,25815220,26312132,26561788,26992744,27466108,27690364,28181296,28828840,29043932,30164888,30710672,30843052,32005692,32139348,32498400,32954036,33132416,33982440,34410788,34492556,34839956,34372636,35128324,35248412,35353284,35187660
 "19000","Iowa",4,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",8156,8132,8132,8048,8036,8020,8068,8488,8784,8792,9200,9724,9712,10228,10256,10268,10756,10748,11192,11148,11200,11132,11592,11568,12068,12008,12384,12776,13172,13524,13956,14352,14860,15224,15604,15568,15936,15952,15912,16280,16676,17044,17456,17524,17428,17248,17296,17408,18024,18400,18616,19688,20000,20908,21108,21160,19752,18944,19104,20016,21656,23104,24792,26692,28496,29924,29716,28608,23516,23508,23532,24464,25620,26772,26716,26960,25952,26608,27860,30004,31576,35672,38672,40940,44688,47240,48108,49044,50536,52184,53620,53740,52244,50240,48736,49048,51120,51120,52604,54300,58056,59136,60768,64340,62752,66160,68624,71156,66496,69676,69852,67032,68496,73472,75948,76740,79984,82216,81336,80776,93352,91564,79632,89540,88232,91056,82008,92876,97828,97620,108312,102100,105632,108216,117088,107840,107872,111416,117124,112244,113784,114736,114272,121364,120448,123744,131192,123232,124440,126872,123168,129700,134496,135528,144028,143844,142328,144252,148888,151960,159856,162780,165864,165696,176304,179352,185536,189412,198736,181256,184740,191396,241516,226868,206664,190312
 "19000","Iowa",4,SQINC7S,200,"B","   Mining","Thousands of dollars",17112,16852,16332,16836,16488,18168,15208,13664,13496,13792,16828,16916,15152,15388,15516,15024,16696,17496,17984,17472,16480,17236,16040,17396,17256,16792,18340,17764,17488,18592,18816,20508,21292,21028,20948,21824,22640,22216,23412,23068,25284,24676,23864,23952,25248,23296,24136,24392,25080,25132,24824,24224,25092,26476,26728,26700,25684,24404,24372,23892,25208,28120,29812,30988,34200,34108,33884,31520,33496,33928,34744,36892,35604,32196,32752,33424,33428,34136,33580,32384,32332,38148,38720,39500,39656,41608,43224,43852,44364,37224,38272,38120,37440,35236,36160,36320,34728,33032,33816,34200,35360,37440,38512,38956,42616,43416,45688,45788,46560,47228,46208,46692,44468,43852,45684,43800,51744,53472,54444,55716,53312,54584,52404,51552,50804,51772,53784,54512,53880,53200,54788,54624,54764,54728,55928,60564,60680,60412,58192,58868,60672,57644,59640,60588,61792,62236,61576,60788,60900,62284,61832,61596,61340,64212,64560,64828,65564,68556,72080,72316,75232,74576,75616,77808,72904,74160,73656,78636,77472,78172,76372,72128,78936,73432,76636,79800
 "19000","Iowa",4,SQINC7S,300,"C","   Construction","Thousands of dollars",152524,150980,158076,169396,170276,185432,189664,188952,187024,175592,199172,190160,187268,183092,182020,173220,165932,175800,182432,183412,186976,200688,198720,202148,210732,205588,205784,217200,218752,225844,230248,251904,268472,285064,298836,294204,301136,310056,326760,323208,352944,343648,324240,333472,341040,348120,356696,366468,371952,371816,384844,384616,372384,413928,405932,398108,399592,394804,388968,377408,407344,437500,462192,492480,519388,522040,547512,570624,577704,556664,617016,631840,649604,671532,680064,697076,716976,743232,768124,789716,827164,864332,888004,904168,920124,952336,973476,971272,954476,880808,861568,897656,920180,877892,816048,774816,744208,715456,713760,700032,666212,627936,661968,663952,657404,714516,753360,719388,721740,725148,702264,676728,678832,688192,706632,729412,737540,718172,717628,761584,769436,814916,848276,892544,870212,903580,904372,944256,1014656,1011696,1100996,1078600,1066544,1085704,1125768,1092504,1170456,1221536,1163096,1191064,1171876,1183280,1251312,1328188,1310840,1440564,1427864,1485176,1522272,1490976,1569812,1628324,1728356,1704232,1724480,1693208,1749780,1811924,1801456,1833208,1889008,1935020,2075064,2110064,2147564,2119908,2134692,2149824,2185660,2122964,2112004,2063380,2190792,2238980,2238072,2252896
 "19000","Iowa",4,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",764520,786584,815316,849632,897512,926924,942996,959752,925004,924252,948928,936508,935012,945388,931960,943132,962124,982652,991572,1005120,1031784,1041416,1061592,1075688,1098604,1126692,1138792,1161568,1178464,1193600,1224192,1285820,1308396,1373708,1430384,1467100,1491320,1480236,1506616,1495420,1572048,1601952,1610172,1673592,1689056,1720184,1758144,1772252,1783228,1783904,1776724,1807900,1792896,1827920,1854016,1904968,1954460,2045244,2091560,2185476,2264744,2312944,2409372,2453876,2573060,2697612,2765732,2826372,2733884,2694312,2738344,2802644,2925928,2981928,3077468,3125728,3259556,3426644,3559736,3575380,3653832,3746752,3884460,4054768,4176460,4359772,4553668,4466880,4713184,4630236,4497628,4612408,4799276,4934352,4937984,4925488,4612588,4626084,4481104,4444712,4239384,4467368,4722440,4781480,4873696,4956800,4981228,4928764,4965188,4918884,4905548,4964556,5028020,5002000,4997232,4836316,5185060,5411088,5440896,5648732,5565756,5696192,5934376,6012824,6050128,6058976,6085800,6255336,6302432,6347560,6404124,6449276,6346352,6386392,6395812,6399228,6541744,6665992,6724284,6789320,6590904,6910280,6980944,7234400,7126672,7434552,7605400,7661316,7724392,7686144,7757292,7859964,7763176,7886624,8028648,8048280,8271216,8396832,8458160,8910332,8965140,8881184,9145708,9036896,9108908,9089100,9141836,9276700,9431732,9531568,9549300,9464788,9416792,9408940,9409020,9201632
 "19000","Iowa",4,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",398416,411192,429108,459820,487288,522844,521148,525416,502468,494084,516772,510372,509092,506108,493136,489400,508244,525492,537924,546004,563768,566888,584096,597180,611564,626796,631140,641396,658748,671836,702588,749268,767204,811180,858484,881784,888176,882436,882444,867488,933544,946800,945264,982804,994408,1013808,1030192,1040148,1038388,1021224,1003912,997184,991096,1003224,1033076,1085388,1130708,1200924,1246580,1319272,1395648,1443840,1521824,1569596,1623936,1716992,1763256,1813844,1735760,1691516,1698216,1762760,1835624,1890136,1962708,1920804,2077620,2184580,2292880,2306024,2352096,2407624,2507244,2634316,2729968,2857168,3001216,2892888,3123124,2994024,2831744,2916456,3041132,3154636,3174440,3140084,2882260,2861956,2748760,2685840,2523736,2671416,2908320,2931796,3033704,3093060,3114060,3068312,3107916,3064108,3025452,3099844,3132184,3099540,3069300,2895484,3159668,3293308,3414456,3533448,3464808,3531576,3684188,3720820,3739080,3745176,3721176,3829828,3852344,3857080,3874544,3892504,3793232,3807400,3833700,3765168,3866968,3976800,3990620,3968528,3900592,4087904,4110176,4329424,4262736,4444776,4581656,4627780,4702432,4644704,4677792,4742680,4711024,4812592,4946648,4935120,5110368,5201304,5230688,5543924,5598336,5499116,5665848,5546716,5624328,5565956,5631880,5722824,5820700,5906968,5897576,5921532,5807224,5815300,5769860,5581316
 "19000","Iowa",4,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",366104,375392,386208,389812,410224,404080,421848,434336,422536,430168,432156,426136,425920,439280,438824,453732,453880,457160,453648,459116,468016,474528,477496,478508,487040,499896,507652,520172,519716,521764,521604,536552,541192,562528,571900,585316,603144,597800,624172,627932,638504,655152,664908,690788,694648,706376,727952,732104,744840,762680,772812,810716,801800,824696,820940,819580,823752,844320,844980,866204,869096,869104,887548,884280,949124,980620,1002476,1012528,998124,1002796,1040128,1039884,1090304,1091792,1114760,1204924,1181936,1242064,1266856,1269356,1301736,1339128,1377216,1420452,1446492,1502604,1552452,1573992,1590060,1636212,1665884,1695952,1758144,1779716,1763544,1785404,1730328,1764128,1732344,1758872,1715648,1795952,1814120,1849684,1839992,1863740,1867168,1860452,1857272,1854776,1880096,1864712,1895836,1902460,1927932,1940832,2025392,2117780,2026440,2115284,2100948,2164616,2250188,2292004,2311048,2313800,2364624,2425508,2450088,2490480,2529580,2556772,2553120,2578992,2562112,2634060,2674776,2689192,2733664,2820792,2690312,2822376,2870768,2904976,2863936,2989776,3023744,3033536,3021960,3041440,3079500,3117284,3052152,3074032,3082000,3113160,3160848,3195528,3227472,3366408,3366804,3382068,3479860,3490180,3484580,3523144,3509956,3553876,3611032,3624600,3651724,3543256,3609568,3593640,3639160,3620316
 "19000","Iowa",4,SQINC7S,500,"E","   Transportation and public utilities","Thousands of dollars",255064,253452,259312,267392,268240,273328,267732,272912,272220,278884,280316,277016,268508,269896,276572,277392,284196,282268,275900,283300,281188,284928,286560,288884,287980,292824,293280,300104,301632,309992,311272,312396,317472,318380,321956,330736,334372,337260,343048,343016,351384,355912,361020,363164,372948,385736,389848,399564,398852,403292,424628,428828,435076,451804,466612,464860,484412,490320,484240,513280,535832,554468,571604,587464,608556,614004,630540,642580,634788,639828,657720,688164,691996,717276,727236,736620,763672,794804,817148,828904,869664,895532,901612,943036,968856,945540,1009640,1048352,1057544,1037396,1059960,1088376,1135224,1138964,1127868,1133064,1162560,1151636,1141800,1116376,1123776,1156380,1165164,1196912,1190212,1201696,1206860,1221972,1224552,1237848,1229196,1262464,1269300,1254004,1255708,1285812,1282252,1317716,1323376,1338876,1353976,1399592,1417992,1436268,1472004,1445140,1428816,1461688,1438248,1494568,1538796,1508104,1498620,1510220,1510676,1514724,1544816,1572816,1594588,1582624,1617388,1613448,1657064,1667164,1681568,1748092,1794196,1811676,1838072,1847920,1866844,1926076,1901276,1945464,1998632,2018984,2038576,2081540,2142972,2187092,2282036,2331932,2383016,2374748,2501844,2573324,2509004,2640360,2660260,2654248,2756944,2687864,2695596,2650072,2672040,2687188
 "19000","Iowa",4,SQINC7S,610,"F","   Wholesale trade","Thousands of dollars",183204,187268,192916,196472,195768,201264,203212,202160,204712,207000,208864,210676,211552,214408,216884,217412,217644,218824,218668,217684,221728,224040,229168,231796,230108,233836,236228,240024,243112,247032,251472,257012,271848,280224,286340,294428,287120,288216,289808,294408,290584,297428,303508,304540,313880,316200,320684,326644,335204,338372,345652,347296,355380,361136,362472,367112,374420,383844,377336,391624,400660,408692,477752,480724,480596,491396,525788,546700,720828,710932,744004,773184,812056,820472,821156,841496,861952,883256,891472,906964,918304,946296,991464,1023476,1055936,1091584,1135644,1179036,1207132,1170848,1164056,1209116,1232808,1237944,1227576,1247272,1251880,1259744,1276760,1273784,1257396,1252060,1254716,1285064,1345804,1355468,1364340,1371480,1378496,1377064,1392468,1382640,1372976,1377160,1389104,1428368,1453408,1469512,1481528,1513152,1532676,1604740,1637592,1651820,1697424,1719288,1780924,1764720,1746632,1780680,1800940,1843972,1834864,1866248,1887712,1908340,1983248,2013200,2034648,2109496,1987320,2053408,2060028,2132684,2090268,2169564,2185576,2251956,2334356,2341172,2347012,2327984,2363704,2415432,2439508,2494692,2561284,2657828,2602208,2771088,2799796,2765880,2930252,2803744,2959348,2939560,3096840,3257996,3032348,3091556,3067332,2965812,2970792,3009528,2924796,2877920
 "19000","Iowa",4,SQINC7S,620,"G","   Retail trade","Thousands of dollars",335396,339556,345268,352616,364508,371164,372428,375776,379468,388744,390572,392268,394188,396636,396692,393440,397112,398812,397064,401500,409744,412664,422392,428204,438236,442248,451616,459496,468072,478048,489408,503620,509572,524220,534812,546456,566304,574736,585940,600300,623444,631860,645344,650596,657264,678884,693524,710328,723068,734388,748836,762688,770036,799156,800428,795676,800396,811972,815772,841800,871392,905552,958500,987388,1004336,1035168,1065120,1111292,984928,993112,1025480,1058052,1100496,1134992,1157824,1194460,1224152,1259616,1285940,1317268,1350696,1381808,1421832,1450108,1473472,1501152,1523092,1571836,1593472,1541488,1567160,1598668,1652232,1653096,1655220,1627712,1624792,1642404,1668656,1678784,1672540,1712460,1748472,1785740,1800100,1826524,1837304,1854012,1844496,1864364,1868544,1862420,1886444,1895300,1926284,1967452,1956520,1978824,2045840,2061700,2091668,2157948,2193764,2244624,2281280,2301424,2336312,2369468,2414564,2451172,2504212,2510240,2543532,2587116,2625480,2673732,2741652,2765460,2807332,2653864,2817352,2882068,2864248,2927156,2975368,3073752,3116200,3162204,3181408,3197500,3235776,3243648,3294488,3325724,3355532,3392920,3421516,3442308,3487428,3556020,3653812,3682480,3829548,3825348,3926244,3924028,3973244,4001052,4115732,4152796,4167704,4129116,4214432,4230828,4250244,4287756
 "19000","Iowa",4,SQINC7S,700,"H","   Finance, insurance, and real estate","Thousands of dollars",114668,115456,117708,120088,121844,125440,128204,131816,135932,138152,138476,140876,141380,143192,144840,146924,147636,151332,153876,156588,158860,160708,163440,167140,169312,171932,175448,178020,179036,178908,182012,184624,190332,192628,197636,203172,204916,211524,216428,221692,226884,233848,238432,240868,249056,256232,261712,268176,276732,278196,284172,289320,297568,302528,305140,312460,316892,325628,332540,340076,347500,358292,374380,379144,388104,396888,416540,429340,441464,447424,456604,473580,487468,502524,517308,539224,546860,570756,580908,611044,628568,650296,676244,698388,717108,740140,768820,791944,822252,847948,856464,872860,921916,921316,938812,954532,954136,975360,1001172,1005780,1044648,1060224,1082992,1111308,1124644,1158684,1177528,1192808,1209496,1235408,1256804,1262652,1298748,1296988,1328124,1365688,1361528,1399320,1416680,1453612,1355752,1505600,1583292,1595692,1598720,1580296,1577184,1653860,1633784,1678848,1714568,1772576,1832392,1823736,1821184,1895104,1905152,1920248,1952344,2117080,1938584,2106008,2146544,2228860,2108664,2204032,2260968,2311812,2287264,2337532,2324384,2382620,2423080,2474240,2517808,2581256,2603792,2711984,2733560,2878240,2890100,2988176,3106252,3388424,3018724,3248864,3222028,3421468,3416312,3407560,3463084,3381116,3578308,3645316,3714656,3709488
