GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "18000","Indiana",3,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",6116568,6014352,6168148,6375288,6680144,6895724,6677684,6706796,7115192,7119484,7057544,6937840,6851932,6981668,7156408,7354236,7473608,7655076,7707604,7828216,7872168,8060788,8150916,8279588,8464996,8659608,8889916,8989744,9240232,9452904,9569364,9942156,10148012,10446472,10744156,10839484,10909888,10855220,10996928,11255676,11590852,11855628,12055016,12380352,12758044,13054988,13376292,13483912,13452272,13489836,13668900,13468512,13827020,14286420,14340136,14613656,15348572,15601120,15780016,16260028,17061560,17405208,17773784,18293404,18388736,18753808,19279568,19298844,18817164,18722928,19416780,20045320,20887972,21522716,21977800,22703320,23035064,24307340,24982496,25456516,25931300,27156780,27936548,28934076,29841484,30084916,30417352,30779960,30982092,30667548,30802808,32272972,33224112,33511484,34035452,33702928,33499380,33680872,33589120,33433160,33690680,34256908,35710492,36379636,37342488,38116804,38599720,39091056,39707820,40214672,40761112,41506904,42092524,42380976,42918544,43802956,44584776,45293724,46351116,47828024,47581388,49312788,50667240,51734136,52608300,52696440,52665516,53372036,54626368,55346408,56516908,56551004,56636408,57332244,58106244,59304984,59726936,61356552,62107676,62950536,62907592,64650680,65177732,66909804,67843820,68602816,70270824,71225560,72371088,72846336,73373576,74042096,74340004,76082284,77406460,78240264,79444172,80498004,81158964,83124844,85019604,86491632,87529880,89135404,90017884,90830736,91437868,94064836,95893340,95813372,96612804,94783572,97245848,96592064,96195412,95951420
 "18000","Indiana",3,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",39864,42720,43904,46236,44516,42144,40900,44860,45528,48676,50004,52364,52576,51672,52588,53004,54076,54888,56556,59256,62520,64032,69016,64472,62016,64356,61944,60908,61544,65784,64056,65596,64892,65752,65324,64396,61184,57356,57060,55512,56332,54260,55968,56116,56772,58652,59812,61568,61560,64728,67556,66208,65768,64992,71788,71468,75092,70912,73184,76388,81736,86832,92792,102196,108592,116104,119052,124020,127420,127884,127276,133764,143032,149560,152016,153976,169460,171312,169220,163832,143024,136868,134276,135580,144860,151088,156356,159792,162516,162168,161840,161040,156692,159516,165348,173884,183672,189044,190640,188580,182444,178508,175792,174368,172072,172616,173528,175052,172032,172300,170704,167168,159244,155852,153416,152064,147656,148704,151868,156988,162128,167752,171268,172308,171348,172620,176296,182880,196256,203436,206328,205124,198004,193304,191696,192584,200680,202828,206512,211240,217372,221012,222744,222600,208540,208280,209112,211444,199984,201776,202648,203028,190216,189888,191928,196020,200368,207112,215528,224212,241112,250688,254544,252864,243896,237528,232772,230828,229272,231092,235104,240872,252404,255544,257552,258468
 "18000","Indiana",3,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",6076704,5971632,6124244,6329052,6635628,6853580,6636784,6661936,7069664,7070808,7007540,6885476,6799356,6929996,7103820,7301232,7419532,7600188,7651048,7768960,7809648,7996756,8081900,8215116,8402980,8595252,8827972,8928836,9178688,9387120,9505308,9876560,10083120,10380720,10678832,10775088,10848704,10797864,10939868,11200164,11534520,11801368,11999048,12324236,12701272,12996336,13316480,13422344,13390712,13425108,13601344,13402304,13761252,14221428,14268348,14542188,15273480,15530208,15706832,16183640,16979824,17318376,17680992,18191208,18280144,18637704,19160516,19174824,18689744,18595044,19289504,19911556,20744940,21373156,21825784,22549344,22865604,24136028,24813276,25292684,25788276,27019912,27802272,28798496,29696624,29933828,30260996,30620168,30819576,30505380,30640968,32111932,33067420,33351968,33870104,33529044,33315708,33491828,33398480,33244580,33508236,34078400,35534700,36205268,37170416,37944188,38426192,38916004,39535788,40042372,40590408,41339736,41933280,42225124,42765128,43650892,44437120,45145020,46199248,47671036,47419260,49145036,50495972,51561828,52436952,52523820,52489220,53189156,54430112,55142972,56310580,56345880,56438404,57138940,57914548,59112400,59526256,61153724,61901164,62739296,62690220,64429668,64954988,66687204,67635280,68394536,70061712,71014116,72171104,72644560,73170928,73839068,74149788,75892396,77214532,78044244,79243804,80290892,80943436,82900632,84778492,86240944,87275336,88882540,89773988,90593208,91205096,93834008,95664068,95582280,96377700,94542700,96993444,96336520,95937860,95692952
 "18000","Indiana",3,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",5366792,5247788,5384396,5589216,5881420,6096836,5862700,5871188,6265756,6240668,6154276,6028356,5922936,6035976,6199952,6371572,6472680,6628012,6671068,6777484,6804144,6975468,7055044,7158760,7322320,7487932,7686608,7770640,8000336,8166936,8261952,8583252,8741820,9002920,9274444,9352396,9383768,9328176,9479944,9693520,9965644,10185432,10351416,10678600,11006492,11269988,11566016,11649808,11595608,11555636,11708080,11460368,11757608,12167424,12159552,12408484,13080380,13291036,13431492,13880908,14601868,14958208,15303380,15726880,15780064,16108504,16623912,16576436,16043380,15863356,16426404,17008468,17806708,18353212,18753112,19437840,19682896,20830500,21526300,21913092,22295944,23506420,24135224,25079876,25891144,26091108,26316264,26567064,26672568,26194424,26232536,27622208,28528252,28752240,29171628,28784824,28534368,28663304,28564176,28211220,28541932,28953092,30304684,30980136,31823780,32536224,32903428,33283960,33810824,34191908,34659460,35302672,35864276,35989820,36487464,37122540,37964504,38490828,39429032,40791984,40385432,42052452,43202076,44181260,44878740,44848164,44768704,45427052,46363236,46909944,47933860,47819112,47782648,48350032,49076024,50018700,50482880,51821184,52395904,53265912,53189328,54726764,55364100,56835800,57695472,58489908,59898740,61131948,61900472,62422108,62809236,63617588,63676428,65318872,66562228,67280132,68674072,69597028,70208172,71884200,73772716,74985296,75890332,77592340,78270156,78832660,79553644,81684396,83176256,83042944,83689552,82293036,84134632,83594564,83017508,82685244
 "18000","Indiana",3,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",6644,6624,6640,6596,6588,6608,6684,7160,7124,7608,7616,7672,7588,7592,7576,7568,8064,8080,8552,8968,9016,8976,9424,9396,9420,9768,9736,9736,9348,9336,9364,9756,10196,10516,11288,11640,12032,12472,12864,13252,13272,13268,13276,13772,14220,14884,15300,15472,15568,15928,16140,16444,16788,17332,17156,18056,18176,18608,19168,20076,21380,22372,23260,23936,24672,25280,25808,26324,25772,26588,27476,29072,31052,32476,34068,33996,33944,34632,36768,39820,44868,47964,50460,54432,57084,59076,60420,61136,65256,67120,68244,68348,66676,65120,65732,65296,67912,71420,71780,73224,78972,75628,76964,80984,80936,86624,88768,94544,93508,98028,103232,102844,101976,105648,110092,115092,118120,121720,124560,125700,132536,133580,131008,133428,138560,143840,152056,154604,161992,159624,163736,168668,172796,177576,172992,173416,179160,182336,187336,191156,187020,193408,202092,206892,212368,215776,218212,224708,229260,234748,232084,236692,241692,246520,258096,260416,259648,267516,276848,287884,286716,294188,301204,311588,321128,335096,335772,346492,361320,371076,366156,379680,476616,431552,394744,358132
 "18000","Indiana",3,SQINC7S,200,"B","   Mining","Thousands of dollars",51180,49152,47648,50384,53500,55640,51568,54516,53652,54652,53344,53824,53372,53108,54560,54268,54964,55128,53720,53184,52260,55368,55112,54664,53860,54196,54024,54560,51528,51448,52288,52860,53456,53604,51360,51560,52560,54032,56012,54356,57664,57864,59600,60100,62396,60760,62840,65104,61552,63256,65488,68100,67540,70392,69588,60804,75412,73092,72332,75196,76116,77828,82212,89536,90404,90788,94360,83712,104960,111960,108000,120104,138516,131640,124464,134824,144672,149904,161208,143936,83460,184788,215896,214336,218088,220120,220284,232056,237348,236992,237600,253676,260392,184248,281760,282004,294964,299144,274312,264792,273748,270224,271896,286884,294608,313396,327892,318324,310592,328792,306896,305792,292468,283640,280628,278352,283200,282988,284168,283444,276212,281004,276412,273884,279972,275948,291396,305004,308196,327140,336692,307664,304220,291560,282528,275220,281848,276264,272056,272240,254392,268612,247844,268592,272632,278784,283076,273272,272348,263060,258680,246300,245596,264124,276096,285840,296020,310580,303688,316352,325392,307848,318724,317288,320828,306960,315716,313648,298776,285820,280820,287556,295592,318104,320300,325636
 "18000","Indiana",3,SQINC7S,300,"C","   Construction","Thousands of dollars",370484,357520,346092,343072,324496,353436,343756,345204,376408,384524,378212,372224,364000,356052,352040,349092,327336,357032,376600,373948,352468,398364,421172,434416,461456,493992,520160,562844,577516,575264,548632,592364,617184,635628,644288,640092,665984,686768,707096,703000,710056,714988,740108,791320,828988,890352,896348,874824,880796,839124,823348,836548,790600,855072,850544,871252,879292,908016,922808,909632,980180,979804,1027132,1052208,1056980,1085936,1104476,1093024,1115316,1005412,1038936,1071560,1112420,1129452,1167724,1230860,1268396,1374156,1408664,1407468,1449348,1575892,1690180,1737344,1822900,1832552,1843456,1886404,1863000,1763720,1684248,1746872,1768044,1741812,1773744,1743856,1699068,1709868,1683132,1658580,1652980,1568500,1674256,1668956,1627712,1667320,1742140,1781172,1846004,1885884,1942748,1991568,2032680,2076192,2102928,2145732,2226816,2263832,2274288,2372424,2366092,2538716,2657036,2757844,2771464,2773440,2804044,2848652,2935160,2832720,3010752,3035796,3125468,3107256,3084112,3031016,3039704,3095808,3130656,3172764,3251604,3220976,3241160,3398732,3471192,3649276,3833736,3910664,3948640,3944896,3970072,3916736,3987768,4169448,4298132,4374820,4491512,4558496,4621488,4812084,4961756,5086128,5091964,5135224,5151216,5241556,5276660,5543684,5645920,5584636,5539048,5417584,5582184,5602244,5663508,5688036
 "18000","Indiana",3,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",2843864,2768328,2881204,3031592,3287520,3422208,3197984,3170596,3503108,3416268,3321812,3208560,3129480,3238620,3362812,3505232,3583376,3659180,3661040,3740276,3745924,3832892,3867432,3912748,3995724,4075660,4189384,4173372,4377644,4482720,4543012,4708252,4816064,4968556,5125184,5163360,5103360,4986964,5080692,5226104,5369996,5491932,5542804,5713456,5897856,5994124,6176868,6170404,6087404,6042144,6081428,5742564,6067352,6243708,6159832,6344484,6647928,6856440,6997908,7326900,7740484,7877860,7969372,8170060,8117516,8244120,8543520,8438696,7815164,7709432,8062040,8356720,8858656,9188136,9355116,9669488,9799988,10455104,10822228,11015972,11149868,11723336,11972700,12498668,12894436,12899836,12843568,12786428,12688248,12246140,12258900,13245928,13672316,13807932,13894900,13467020,13213164,13063068,12820824,12436292,12657440,12893880,13667492,14079032,14703276,15006912,15081276,15121468,15286548,15345044,15464016,15671792,15751940,15629068,15629688,15806800,16092864,16196244,16576228,17093840,17065352,17518960,17789272,18375816,18753372,18486568,18239176,18284920,18363628,18772444,19032508,18704732,18372548,18542384,19161316,19462948,19385032,19991992,20236592,20725916,19911052,21038784,21331652,22531740,21760992,22557132,23163840,23672188,23955620,23974668,24046436,24401500,24018316,24801776,25181604,25110100,25637488,25910144,26021956,26623836,27577668,27680700,27644284,28093856,29379656,28558256,28789276,29177616,29960988,29405048,29724556,28792440,27998712,28004460,27709280,27363032
 "18000","Indiana",3,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",2109268,2045300,2145848,2291260,2521924,2648332,2411668,2358180,2701192,2598312,2502980,2402692,2322412,2418588,2529880,2652672,2722128,2777928,2765528,2845860,2846124,2924500,2948144,2982664,3055740,3116876,3222368,3193760,3392500,3476384,3535148,3660080,3760164,3881164,4025680,4061296,3998280,3890724,3967244,4070336,4214588,4299860,4329492,4476180,4630204,4702660,4853260,4837316,4745048,4705860,4728540,4380812,4691688,4846316,4743704,4905872,5176284,5355764,5498416,5785832,6156548,6272260,6344244,6518936,6423432,6527716,6796604,6690388,6118884,6006920,6289884,6546700,6980392,7279904,7422204,7631452,7751232,8301516,8628568,8782632,8860752,9358924,9566796,10042712,10309712,10340392,10232012,10133540,9990608,9562196,9526148,10417544,10785460,10891604,10947440,10530460,10218860,10014188,9733876,9353876,9559168,9710184,10340008,10737628,11247364,11461272,11490524,11476232,11607188,11616156,11689484,11886528,11981508,11777940,11734004,11834900,11993472,12046572,12392892,12684744,12705148,13033692,13278844,13698804,14042576,13730108,13479572,13484784,13485684,13750332,13899968,13667804,13111692,13397072,13865164,14147816,13970984,14379248,14587012,15183068,14427012,15391344,15573884,16181712,16350168,16544640,17223116,17622276,17958544,17793776,17839484,18210736,17667556,18326604,18674276,18481652,18892364,19081492,19056412,19616560,20239836,20293040,20120232,20393452,20691912,20983240,21324280,21614204,22325232,21656488,21619552,20883028,20220852,20327672,20025600,19654524
 "18000","Indiana",3,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",734596,723028,735356,740332,765596,773876,786316,812416,801916,817956,818832,805868,807068,820032,832932,852560,861248,881252,895512,894416,899800,908392,919288,930084,939984,958784,967016,979612,985144,1006336,1007864,1048172,1055900,1087392,1099504,1102064,1105080,1096240,1113448,1155768,1155408,1192072,1213312,1237276,1267652,1291464,1323608,1333088,1342356,1336284,1352888,1361752,1375664,1397392,1416128,1438612,1471644,1500676,1499492,1541068,1583936,1605600,1625128,1651124,1694084,1716404,1746916,1748308,1696280,1702512,1772156,1810020,1878264,1908232,1932912,2038036,2048756,2153588,2193660,2233340,2289116,2364412,2405904,2455956,2584724,2559444,2611556,2652888,2697640,2683944,2732752,2828384,2886856,2916328,2947460,2936560,2994304,3048880,3086948,3082416,3098272,3183696,3327484,3341404,3455912,3545640,3590752,3645236,3679360,3728888,3774532,3785264,3770432,3851128,3895684,3971900,4099392,4149672,4183336,4409096,4360204,4485268,4510428,4677012,4710796,4756460,4759604,4800136,4877944,5022112,5132540,5036928,5260856,5145312,5296152,5315132,5414048,5612744,5649580,5542848,5484040,5647440,5757768,6350028,5410824,6012492,5940724,6049912,5997076,6180892,6206952,6190764,6350760,6475172,6507328,6628448,6745124,6828652,6965544,7007276,7337832,7387660,7524052,7700404,8687744,7575016,7464996,7563412,7635756,7748560,8105004,7909412,7777860,7676788,7683680,7708508
