GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "21000","Kentucky",5,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",2642428,2609676,2647624,2739236,2770912,2847304,2831592,2836756,2862116,2944716,2944508,2912800,2903512,2924108,3011092,3096160,3162608,3248676,3280448,3322844,3368960,3472996,3512932,3548856,3593384,3660856,3706284,3774168,3863004,3930212,4013712,4122468,4224104,4371068,4555396,4680788,4743060,4766332,4867460,4961532,5139364,5322912,5433764,5599240,5730080,5866352,5997744,6024500,6170244,6283472,6453124,6538568,6733024,6862488,6922016,6991172,7330372,7421624,7545024,7830964,8154568,8319504,8602528,8848596,9072688,9347056,9587484,9646920,9763000,9843216,10079432,10447192,10957472,11084456,11339084,11631484,11897684,12473648,12809024,13203812,13019132,14272704,14653204,15139336,15601876,15856408,16130816,16449376,16653180,16861116,16899052,17436064,17949968,17777528,18756612,19076980,19009456,19072740,19057280,18970772,19155468,19303032,19882724,20446968,20858292,21458268,21804932,21993772,22118068,22660016,22850188,23125296,23330392,23435168,23780448,24133412,24666836,25001972,25580996,26368996,26121564,27024388,27509740,27878040,28312476,28418176,28793144,29499392,30121116,30667812,31098040,31412920,30952272,31587512,32436880,33057048,33963008,34416092,34696856,35094120,35427492,35706564,36242844,36720452,36912576,37987236,38420004,39137616,39595172,40089376,40275904,40882380,41104768,42049988,42787884,43392820,44386964,44930028,45249148,46159760,46872408,47746328,48504272,49256800,50067736,50831436,51199964,52495660,53429948,53546528,54323236,54484076,55268260,55521208,55806788,55624704
 "21000","Kentucky",5,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",34004,35612,36404,38348,37616,36280,35548,38328,38048,39848,40500,41828,42468,42120,43352,43452,43672,44504,45452,48144,51848,54008,59252,55316,53644,55740,53456,51776,50656,53604,53544,57748,61800,67732,71264,73672,72816,69888,70000,66752,64904,60644,61028,60840,56056,57128,57864,58984,61568,63296,64460,63280,62696,61536,65092,64568,65284,63064,64464,66580,69144,71440,75636,82436,92404,100276,102176,101548,99252,93364,87088,86112,88968,91184,92380,94748,107560,111008,113304,113732,117464,115912,116104,118652,124664,130432,135648,139924,142676,143288,143516,142368,138304,139744,145356,154908,167072,174044,176480,174372,165908,161328,158064,156288,152344,152852,153768,155404,150416,150692,149288,146128,136112,133188,131100,129908,123336,124032,126748,131284,135160,140448,144340,146260,143624,145260,149568,156608,165504,172432,176028,176012,170204,167700,164776,161968,157952,157132,158088,160712,162860,165772,167296,167360,157404,157200,157824,159584,162160,165300,166696,166516,160824,158888,158408,159728,157568,160776,165376,170720,182884,188668,193356,196384,201720,203820,203352,201040,189688,184836,186776,194708,228468,231312,233120,233944
 "21000","Kentucky",5,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",2608424,2574064,2611220,2700888,2733296,2811024,2796044,2798428,2824068,2904868,2904008,2870972,2861044,2881988,2967740,3052708,3118936,3204172,3234996,3274700,3317112,3418988,3453680,3493540,3539740,3605116,3652828,3722392,3812348,3876608,3960168,4064720,4162304,4303336,4484132,4607116,4670244,4696444,4797460,4894780,5074460,5262268,5372736,5538400,5674024,5809224,5939880,5965516,6108676,6220176,6388664,6475288,6670328,6800952,6856924,6926604,7265088,7358560,7480560,7764384,8085424,8248064,8526892,8766160,8980284,9246780,9485308,9545372,9663748,9749852,9992344,10361080,10868504,10993272,11246704,11536736,11790124,12362640,12695720,13090080,12901668,14156792,14537100,15020684,15477212,15725976,15995168,16309452,16510504,16717828,16755536,17293696,17811664,17637784,18611256,18922072,18842384,18898696,18880800,18796400,18989560,19141704,19724660,20290680,20705948,21305416,21651164,21838368,21967652,22509324,22700900,22979168,23194280,23301980,23649348,24003504,24543500,24877940,25454248,26237712,25986404,26883940,27365400,27731780,28168852,28272916,28643576,29342784,29955612,30495380,30922012,31236908,30782068,31419812,32272104,32895080,33805056,34258960,34538768,34933408,35264632,35540792,36075548,36553092,36755172,37830036,38262180,38978032,39433012,39924076,40109208,40715864,40943944,41891100,42629476,43233092,44229396,44769252,45083772,45989040,46689524,47557660,48310916,49060416,49866016,50627616,50996612,52294620,53240260,53361692,54136460,54289368,55039792,55289896,55573668,55390760
 "21000","Kentucky",5,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",2080600,2027636,2063796,2159068,2185092,2256532,2234796,2239584,2260212,2320192,2296988,2258540,2242524,2255808,2317520,2381920,2431544,2502872,2531640,2551272,2586204,2665884,2701336,2729688,2766372,2826796,2872588,2942388,3023672,3063024,3115692,3220176,3284368,3401036,3519836,3568472,3611020,3629616,3696000,3753932,3898888,4037900,4125700,4298572,4405764,4515916,4644388,4643440,4747012,4837052,4979392,5054400,5161912,5283992,5348148,5408584,5741296,5786508,5820260,6051032,6333996,6483272,6734328,6946344,7097220,7318564,7510556,7542920,7610244,7636440,7827636,8156860,8604472,8705972,8890996,9128836,9312204,9868768,10192412,10541596,10282416,11484868,11758836,12172788,12547092,12741576,12929872,13135424,13301332,13416860,13442772,13937852,14485596,14225772,15016968,15035068,15090068,15080608,15002848,14902640,14997884,15107872,15626460,16139552,16514268,17023352,17343024,17453964,17527968,17984480,18096792,18324952,18493484,18610136,18834008,19092748,19574560,19830692,20351720,21016932,20709884,21424880,21958848,22240236,22591072,22712420,22934688,23546384,23969872,24468504,24785740,25227044,24734904,25094736,25467536,25910520,26679884,27109908,27432504,27730912,28027800,28356984,28880632,29311520,29407024,30397264,30825824,31436640,31812392,32134796,32298032,32859800,33077556,33858404,34590024,35055256,35891060,36528340,36857780,37613408,38290776,39042780,39764396,40346804,41005712,41619128,41871016,43030648,43951764,43836508,44422936,44540844,45165088,45215576,45141528,44985084
 "21000","Kentucky",5,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",6012,6416,5980,5900,5868,5828,5848,5420,5760,5760,5768,5836,5844,5912,5944,5968,6024,6472,6488,6896,6912,7264,7288,7704,7792,7788,7780,7764,7756,7724,7688,7624,7608,7524,7480,7476,7920,8408,8840,9244,9208,9168,9144,9176,9724,10004,10516,10652,10896,11152,11688,12004,12172,12372,13036,13216,13352,13408,14248,14412,15408,16264,16712,17500,18296,19088,19692,20660,22024,22024,22440,23308,24872,26384,27112,27724,26944,27616,30504,34196,34808,40984,43808,45468,47340,48164,50268,52576,55328,59032,59000,65464,60996,60188,62476,65136,69888,74240,74224,79312,83148,85972,91084,92264,91680,100416,104192,108988,112752,117568,119804,122316,126940,129204,135260,136492,141020,140052,144136,146592,153828,151960,147688,160324,150012,151684,155352,158596,161728,161144,161592,163476,166824,176956,168552,169816,168276,168252,171836,173264,174272,173800,180444,184940,190048,192088,192824,196680,204560,211092,211584,214400,218024,222184,231664,234044,237460,239340,252568,257664,260772,266592,276532,288848,292672,310372,309812,315316,328296,335280,329492,340848,412320,370040,329500,308816
 "21000","Kentucky",5,SQINC7S,200,"B","   Mining","Thousands of dollars",166244,146648,149388,154836,155696,152400,137516,153148,154348,156436,147332,139668,131388,133132,138000,139352,139216,136712,136884,132012,138040,142188,142856,141804,141792,142212,142408,146820,143856,144984,150428,151068,156092,150484,163216,165840,166172,171812,174200,170828,174764,175936,175952,175132,188636,189372,196760,208760,213932,231748,249360,278792,280432,285412,288532,245248,316676,300396,313812,322724,325372,338964,359208,396408,445752,490564,544580,534128,694120,703620,677040,728676,760792,728484,738912,791552,819912,880652,907660,916636,579024,1124000,1118296,1130152,1128464,1166960,1155612,1181368,1196788,1269872,1209788,1247100,1331676,1026704,1568596,1574628,1536420,1490904,1354560,1261728,1172180,1146504,1174540,1217004,1264228,1344112,1427864,1293368,1245496,1376800,1303228,1313316,1274140,1244532,1237200,1206028,1214452,1220412,1241208,1283452,1221432,1163152,1151892,1138360,1115440,1133188,1159668,1188580,1225036,1250932,1245724,1222876,1194008,1131564,1113632,1076980,1073752,1072608,1074940,1108096,993840,1043492,1017536,1053536,1029288,1097096,1088836,1088600,1050068,982884,966008,930044,945148,949732,946860,947024,955344,1002656,932144,962988,981096,963152,969144,975960,963452,889976,889876,862508,868264,841220,830876,822752,850508,913880,962204,1007208
 "21000","Kentucky",5,SQINC7S,300,"C","   Construction","Thousands of dollars",146624,140436,139176,155900,165212,177376,177580,164020,149652,176104,170788,168676,165688,162452,179372,193708,203208,218696,222720,220896,220240,239408,242492,232128,215160,220744,227836,242580,255048,250984,249200,269544,291240,309220,325256,310316,342780,330112,328184,336144,352308,378528,392684,438824,456436,457616,454984,430224,421852,422964,437772,437564,456660,468156,471092,500528,503696,514632,523320,513612,574860,536280,578908,571248,572960,571372,555160,568332,554528,546864,570992,596728,657660,646644,643984,646528,652784,727480,743984,790564,769612,953860,1004740,1018416,1042952,1062244,1049600,1022008,975084,970900,980600,979252,991752,943352,948304,959384,956860,970104,962604,957468,911884,848768,858248,892452,921100,948164,931140,920580,912888,1000980,995636,1015536,1032088,1073092,1079940,1102872,1122032,1197192,1252220,1306620,1275248,1303884,1287488,1297772,1330892,1337084,1395596,1427760,1445060,1420344,1419112,1455068,1354656,1402840,1438344,1454820,1527936,1585832,1585312,1638924,1585944,1689444,1740416,1731676,1767064,1841408,1825208,1900752,1857352,1831496,1854376,1893544,1921680,2003760,2092520,2127276,2242704,2227000,2323332,2308184,2359868,2427172,2464216,2550552,2609492,2624052,2672908,2781588,2889580,2868440,2810528,2862844,2950740,2984460,2971456,2925576
 "21000","Kentucky",5,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",726408,706908,733104,785900,776656,825512,812436,807636,841436,842296,826260,799432,802476,818752,843836,872928,889384,914652,915780,927544,942024,975432,985044,1015292,1031488,1060836,1082620,1101300,1141408,1160152,1176668,1228540,1234876,1304476,1334224,1385136,1362056,1360112,1402656,1415696,1489752,1531584,1556892,1624848,1655448,1691088,1751844,1713916,1782308,1816684,1847276,1858948,1901060,1920236,1955832,1999408,2106420,2184692,2194168,2333736,2432288,2501232,2549076,2647784,2702092,2783844,2839804,2807680,2613584,2610240,2695568,2832692,3016704,3070512,3164728,3195080,3311744,3521456,3640708,3757032,3762044,3920508,4016112,4181472,4344244,4387948,4433348,4520096,4531072,4483864,4434868,4700184,4868984,4937024,5009708,4921468,4896104,4785752,4774340,4684168,4814412,4884092,5137172,5382624,5545856,5740864,5802936,5894500,5928308,5909820,5990732,6014848,6023628,6039708,6076648,6168280,6311392,6301616,6488324,6597644,6628784,6766416,6982232,7059976,7241928,7186544,7179872,7243228,7409312,7585984,7616024,7997968,7426064,7517128,7691048,7786728,7949600,8113960,8148636,8477632,8136396,8377708,8574224,8779172,8592652,9006356,9264956,9373496,9495932,9576212,9542108,9653076,9686652,9918832,10052964,10171196,10408812,10614700,10598256,11003440,10967196,11068916,11178816,11313784,11363704,11553452,11831848,12071032,12218456,12005864,12186492,12144592,12085484,12065632,11845616,11616368
 "21000","Kentucky",5,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",378264,361880,379736,410472,416640,453816,429976,425880,460608,450116,426804,413260,412464,428168,448460,466524,474664,488548,487564,492512,499448,528608,535092,551540,563760,585732,602476,607880,645308,651524,660496,695204,698020,743300,763468,800236,770976,760720,794632,798300,848936,872520,874232,932196,951712,973952,1010692,959632,1008720,1046816,1067416,1069452,1091320,1097800,1128700,1166980,1233020,1294900,1289532,1401156,1486872,1521512,1557120,1627236,1654024,1707696,1741372,1701456,1549848,1516056,1562016,1652572,1773184,1821208,1878884,1879124,1974176,2137400,2198840,2304432,2281848,2394336,2454952,2587976,2683496,2702576,2732472,2757844,2738832,2678144,2605488,2818420,2911296,2953088,2981780,2892208,2856700,2726828,2690560,2596496,2703800,2735096,2930880,3150496,3252352,3400880,3430952,3503224,3488088,3446888,3524604,3511820,3494836,3482004,3490196,3568156,3656400,3636560,3749712,3803552,3814284,3894708,4069652,4062820,4243296,4168536,4135336,4159072,4267896,4416520,4415104,4779468,4216264,4258248,4359052,4360924,4450696,4574640,4603852,4695788,4613884,4710748,4908568,5098400,4946220,5237628,5397476,5443344,5596372,5626812,5593232,5713768,5730636,5877696,6031740,6081216,6282932,6426132,6369344,6698080,6772184,6823900,6905688,7005364,7076800,7223180,7547580,7770988,7853024,7650752,7782192,7709792,7688648,7782076,7501388,7321900
 "21000","Kentucky",5,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",348144,345028,353368,375428,360016,371696,382460,381756,380828,392180,399456,386172,390012,390584,395376,406404,414720,426104,428216,435032,442576,446824,449952,463752,467728,475104,480144,493420,496100,508628,516172,533336,536856,561176,570756,584900,591080,599392,608024,617396,640816,659064,682660,692652,703736,717136,741152,754284,773588,769868,779860,789496,809740,822436,827132,832428,873400,889792,904636,932580,945416,979720,991956,1020548,1048068,1076148,1098432,1106224,1063736,1094184,1133552,1180120,1243520,1249304,1285844,1315956,1337568,1384056,1441868,1452600,1480196,1526172,1561160,1593496,1660748,1685372,1700876,1762252,1792240,1805720,1829380,1881764,1957688,1983936,2027928,2029260,2039404,2058924,2083780,2087672,2110612,2148996,2206292,2232128,2293504,2339984,2371984,2391276,2440220,2462932,2466128,2503028,2528792,2557704,2586452,2600124,2654992,2665056,2738612,2794092,2814500,2871708,2912580,2997156,2998632,3018008,3044536,3084156,3141416,3169464,3200920,3218500,3209800,3258880,3331996,3425804,3498904,3539320,3544784,3781844,3522512,3666960,3665656,3680772,3646432,3768728,3867480,3930152,3899560,3949400,3948876,3939308,3956016,4041136,4021224,4089980,4125880,4188568,4228912,4305360,4195012,4245016,4273128,4308420,4286904,4330272,4284268,4300044,4365432,4355112,4404300,4434800,4396836,4283556,4344228,4294468
