GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "25000","Massachusetts",1,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",7817684,7787788,7986304,8150756,8286928,8472840,8631968,8808512,8802864,8940488,8982064,9010716,9124496,9270560,9349392,9547428,9668684,9825296,9887232,9911892,10019832,10097856,10186160,10269404,10411204,10604268,10766372,10968492,10990936,11229300,11584444,11704508,12022220,12234500,12538432,12798700,13012224,13262400,13504436,13724524,14128456,14397092,14617968,15028980,15306340,15735652,16156484,16497252,16758256,16938244,17151720,17260808,17489232,17713044,18142204,18249384,18875484,19172828,19451280,19857128,20567040,21039616,21308856,21667480,22056464,22360804,22680596,22824972,22630968,22797216,23178172,23797968,24152240,24669412,25262116,25575512,26136836,26836428,27587168,28200440,28917952,29839036,30830276,31366428,32668472,33305324,34091480,35011292,36200872,36962344,37682100,39024880,39634852,40671500,41590788,42366352,42970704,43609168,45041192,45062436,46298696,47673132,48420372,50657340,52310580,53900872,55422452,56932864,58026644,59217720,60257648,61891684,62813384,64026864,65468572,67604032,68440992,70001404,72138736,74501444,75813008,77716780,78605872,80544136,80787548,80855444,81059472,81485260,82024508,82775136,83002552,81612480,81439896,81511916,81448960,82018584,83988960,84814640,84752528,86449312,86464076,87789764,89405792,89684968,90199720,92712484,92584064,94527208,95514972,97364100,99469144,100747312,101503004,103766204,105378676,107612848,110146756,111349248,113086476,115820232,116831132,121457924,124098136,125458540,127992500,129966560,134250816,138476228,147196540,145854060,151778956,152649432,155025736,151974756,150504292,149503536
 "25000","Massachusetts",1,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",30540,30920,31300,32524,32240,31040,30020,32024,30832,31344,30568,30904,30004,29128,29020,28772,29648,29976,30148,30308,30400,29452,31200,28764,28108,30076,29904,30204,31340,34132,33220,33596,31836,31424,30816,31380,31852,31936,33328,32892,32696,30684,31452,31740,29640,30528,31000,31696,31472,32064,32596,32244,32512,32608,33644,33372,32740,31528,32024,33340,36320,38824,40332,41140,39780,38860,37928,38168,40508,41444,41500,42200,42256,42272,42464,43440,47500,49488,50348,49912,48960,47256,46576,47072,48588,49956,51104,51820,51012,51144,50880,50136,47696,47432,48136,49784,47100,48676,49344,49036,49804,48824,48216,47984,50008,50268,50592,51020,53340,53388,53064,52280,52428,51452,50824,50480,51812,52516,53692,55428,58440,59792,60488,60592,60716,61484,63316,66308,70744,73404,74608,74364,72444,71232,69944,68784,67800,67284,67752,69160,72252,74236,74924,74376,72940,71404,71424,73000,77292,80196,82492,83900,83636,83940,84716,85944,87312,89104,90376,91164,90196,90396,89544,88156,81908,80156,80312,82064,89036,92548,95468,97388,94508,95684,96436,96776
 "25000","Massachusetts",1,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",7787144,7756868,7955004,8118232,8254688,8441800,8601948,8776488,8772032,8909144,8951496,8979812,9094492,9241432,9320372,9518656,9639036,9795320,9857084,9881584,9989432,10068404,10154960,10240640,10383096,10574192,10736468,10938288,10959596,11195168,11551224,11670912,11990384,12203076,12507616,12767320,12980372,13230464,13471108,13691632,14095760,14366408,14586516,14997240,15276700,15705124,16125484,16465556,16726784,16906180,17119124,17228564,17456720,17680436,18108560,18216012,18842744,19141300,19419256,19823788,20530720,21000792,21268524,21626340,22016684,22321944,22642668,22786804,22590460,22755772,23136672,23755768,24109984,24627140,25219652,25532072,26089336,26786940,27536820,28150528,28868992,29791780,30783700,31319356,32619884,33255368,34040376,34959472,36149860,36911200,37631220,38974744,39587156,40624068,41542652,42316568,42923604,43560492,44991848,45013400,46248892,47624308,48372156,50609356,52260572,53850604,55371860,56881844,57973304,59164332,60204584,61839404,62760956,63975412,65417748,67553552,68389180,69948888,72085044,74446016,75754568,77656988,78545384,80483544,80726832,80793960,80996156,81418952,81953764,82701732,82927944,81538116,81367452,81440684,81379016,81949800,83921160,84747356,84684776,86380152,86391824,87715528,89330868,89610592,90126780,92641080,92512640,94454208,95437680,97283904,99386652,100663412,101419368,103682264,105293960,107526904,110059444,111260144,112996100,115729068,116740936,121367528,124008592,125370384,127910592,129886404,134170504,138394164,147107504,145761512,151683488,152552044,154931228,151879072,150407856,149406760
 "25000","Massachusetts",1,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",6602268,6550604,6734476,6886744,7016636,7186728,7350964,7506344,7501324,7603332,7639408,7613532,7704212,7845324,7877444,8082656,8185548,8317044,8344332,8366684,8437716,8500004,8557288,8649164,8724936,8898180,9044652,9211736,9225440,9447952,9775196,9863084,10147092,10343724,10617952,10804076,11016980,11142908,11317164,11486008,11812112,12074588,12239592,12598288,12842208,13203252,13540068,13806656,13988176,14071304,14271756,14281240,14412568,14585220,14973492,14985952,15524380,15737788,15887144,16244952,16814484,17226820,17417200,17743624,18132088,18397732,18647968,18722076,18474628,18524736,18836628,19380004,19666880,20120864,20662552,20880952,21408884,21911172,22374952,23008832,23656840,24537296,25252960,25975360,27020860,27655128,28329756,29032444,30165744,30812844,31425564,32743284,33254792,34138260,35101472,35909444,36424344,36932460,38293228,38325960,39408764,40602632,41356404,43284816,44924952,46381676,47725880,49102968,50005724,51035940,51840560,53383324,54159052,55274852,56504344,58330416,59179460,60467772,62412180,64563304,65618900,67272148,68051688,69611700,69903128,69838800,69703820,70157496,70475584,71012440,71289124,70061480,69758844,69899156,69808536,70402612,72190828,73032752,73129992,74541500,74355592,75438520,76747188,77074324,77278772,79636612,79863096,81257736,82429088,83970132,85694196,86999848,87543200,89859880,91360260,93479512,95848088,96960924,98610932,100979916,102007564,106385736,108867916,109960384,112260996,113960620,118300760,122189924,130708268,129099828,134891284,136123744,137604448,134478952,132691048,131753588
 "25000","Massachusetts",1,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",33424,33772,33332,32516,32096,31196,30416,28924,27560,26148,25904,26456,27544,28928,29760,30500,30696,31044,31068,31372,32316,32956,33432,33392,33572,33436,33748,34480,35704,36776,37632,37952,38504,38284,37776,37760,37384,37560,37984,38352,39144,40260,41464,42440,43004,43532,44632,45424,46816,47976,49048,50260,50772,51620,52508,53224,53836,55564,57648,59184,61420,63364,64608,64944,64980,64452,66176,68320,75168,76768,79368,82268,86124,89040,89816,90340,90204,92600,94540,97420,120412,120876,125736,129288,137280,147660,145160,147080,147532,146932,152604,153976,150244,164320,148628,145028,154360,162104,167184,178452,179684,188332,196756,198592,206860,209492,218780,227084,230228,236428,245360,261048,268852,285436,296484,318820,334644,334192,346132,351336,359336,362824,374668,366392,370720,371764,368104,365608,362668,345908,336448,334992,335540,334888,313796,334588,323044,323820,325432,313140,324228,305968,318992,318644,314028,328164,336020,346016,340900,361608,357508,361436,368916,392320,405872,421572,425368,423420,438976,448800,459084,475344,484840,499660,509312,549256,574376,594524,607064,618852,623268,651244,824852,743996,681012,639288
 "25000","Massachusetts",1,SQINC7S,200,"B","   Mining","Thousands of dollars",7324,6956,6784,7024,6788,7392,6960,7140,7028,7168,7048,6984,6848,6792,7060,7388,7332,7348,7452,7152,7308,7744,7536,7672,8580,8572,8584,8884,9144,9036,9056,9016,9296,9040,8376,8480,8264,8240,8696,8764,9096,9956,9756,9376,9460,9756,10020,10132,10424,9836,9952,10240,10324,10828,10660,10660,9768,9276,9728,9400,9544,10064,10080,10756,10500,9752,9376,8376,10792,11252,10728,11240,10992,11016,12008,12008,12920,13592,13700,13280,12764,14256,14784,15204,16960,15560,15888,16560,17880,18504,19144,19480,18648,21012,21632,21524,21408,22360,23224,23224,23864,24464,25308,26300,26952,27840,29780,32300,33056,35664,37644,41044,45968,52496,48508,48708,53208,55872,62212,65708,56732,59784,59248,69188,55304,53268,51964,49996,51228,48672,49268,42792,42248,40276,36280,36348,37488,41000,40064,43452,40952,40764,44124,42160,45148,46792,49320,51268,49340,46568,46488,48844,42044,43656,42724,41824,46800,49204,51332,51140,50596,57044,52860,53960,59052,59732,61148,70264,61340,59852,60864,60892,65940,65964,70220,71668
 "25000","Massachusetts",1,SQINC7S,300,"C","   Construction","Thousands of dollars",402788,372436,394760,401612,408952,423000,431144,438296,450188,436584,437200,425768,423432,447164,456580,473008,472704,476600,483248,489780,499900,505436,525440,538224,560960,599268,603632,613384,612528,613144,628876,628892,665224,667024,659592,676916,687620,701780,734636,748052,756156,813468,798404,849440,868612,907332,965108,982900,1029436,1014092,1046904,1082720,1106020,1160184,1170176,1198956,1225280,1206292,1229504,1244356,1284488,1278812,1253028,1262668,1282052,1227080,1191564,1168852,1122432,1070752,1040856,1005240,1002612,995616,955608,962232,956992,980864,1018044,1047228,948264,1039384,1090648,1109256,1142808,1216644,1228396,1229736,1297588,1308948,1339980,1376952,1425588,1479820,1508532,1603212,1640608,1635288,1664572,1701260,1732880,1768656,1831720,1918168,1991412,2176212,2294628,2344992,2476784,2580664,2587672,2780268,2862200,3033176,3124664,3363056,3529836,3704828,3838388,3936020,4081996,4247760,4229480,4185772,4136300,3899012,3759228,3629268,3540660,3298156,3174248,2984152,2823452,2707148,2610832,2539872,2477824,2473680,2509184,2565632,2696300,2714304,2832592,2877012,2979984,3109100,3181836,3240456,3230112,3351184,3379180,3372880,3467784,3617576,3719888,3804636,3972764,3963716,4143148,4303964,4463136,4624836,4775664,4976936,5139388,5335200,5510612,5678840,5961228,6138424,6405764,6740524,6918972,7011380,7169196,7206884
 "25000","Massachusetts",1,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",2969772,2926660,3026468,3133008,3217504,3299496,3388896,3453940,3441480,3438760,3450984,3385536,3429856,3485580,3483196,3572920,3617420,3679812,3655756,3633904,3623224,3627304,3600632,3627408,3633172,3694860,3779668,3812308,3830020,3892240,4050924,4052292,4205204,4287604,4410752,4471792,4544700,4544972,4566924,4624556,4717656,4793584,4788984,4901192,4936372,5059336,5150012,5143376,5198960,5177888,5147440,4985092,4994736,4962128,5125512,5028088,5193000,5304392,5384332,5612092,5709412,5904252,5980728,6194736,6340616,6464936,6555652,6481408,6274536,6290472,6379616,6662052,6716864,6943760,7251252,7276816,7591176,7790564,7848888,8211688,8430516,8782172,9041760,9385676,9658492,9842948,10120736,10405620,10787060,10996844,11195744,11703976,11741076,12080724,12349988,12552652,12750172,12675172,13046580,12748632,13114592,13515672,13699036,14438204,15212608,15609400,16034384,16519824,16663416,16686576,16700652,16919156,16720488,16730136,16849876,17058300,16776980,16837304,17159920,17286576,17641488,17776528,17710624,18242064,18020752,18016556,17824120,17714012,17659008,17797852,17760320,17405024,17471720,17266404,17303540,17364844,17493508,17716904,17276384,17909028,16897372,17288996,17451056,17678224,17081728,17714996,17848732,17989276,18081920,18261020,18385196,18576064,18722696,19220132,19166980,19378364,19790876,20060996,20607844,20853976,20717676,21484492,21291200,21577756,21630204,21683236,23237676,22697972,25415916,24456184,25361992,24688668,24489464,24123456,23476520,22871544
 "25000","Massachusetts",1,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",1576196,1540688,1599088,1664400,1731244,1784380,1822428,1904944,1889868,1896232,1902176,1876284,1918260,1948988,1946852,1988868,2027408,2071396,2064512,2059200,2054660,2053004,2033524,2057356,2035784,2072184,2133268,2157316,2160576,2229860,2324948,2331872,2458076,2518732,2598376,2662216,2719532,2725668,2739396,2763652,2824364,2855380,2854444,2934808,2973348,3052276,3124016,3085260,3150260,3166320,3135316,3012104,3002276,2966876,3061388,2999300,3095756,3166228,3236600,3427216,3459308,3632764,3724072,3882728,4011644,4133748,4209188,4187920,4088184,4060568,4053680,4207500,4213960,4426368,4659912,4687824,4932152,5088164,5127232,5442544,5613896,5864996,6064556,6335460,6578940,6727716,6996144,7177400,7486524,7666428,7857064,8204616,8284964,8509916,8699324,8907660,9048764,8973860,9267320,8968588,9302304,9606192,9735472,10398472,10937492,11271740,11677628,12100060,12217884,12239220,12232700,12380052,12204152,12162752,12224760,12338936,12000536,12037716,12230732,12362500,12621068,12675484,12521492,13051724,12865944,12739084,12702480,12609276,12524384,12566936,12556136,12245488,12355688,12124084,12160476,12112604,12226084,12388664,11916456,12283636,11677396,11793860,11812648,11929240,11487424,11896952,11962584,12047348,12145932,12295536,12359096,12468072,12678840,12978676,12925020,13042264,13243660,13467276,14002996,14072124,13970848,14562924,14259684,14553584,14307564,14470048,15915860,15483356,17411024,16886512,17695720,16999200,16837504,16557632,15660832,15458312
 "25000","Massachusetts",1,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",1393576,1385972,1427380,1468608,1486260,1515116,1566468,1548996,1551612,1542528,1548808,1509252,1511596,1536592,1536344,1584052,1590012,1608416,1591244,1574704,1568564,1574300,1567108,1570052,1597388,1622676,1646400,1654992,1669444,1662380,1725976,1720420,1747128,1768872,1812376,1809576,1825168,1819304,1827528,1860904,1893292,1938204,1934540,1966384,1963024,2007060,2025996,2058116,2048700,2011568,2012124,1972988,1992460,1995252,2064124,2028788,2097244,2138164,2147732,2184876,2250104,2271488,2256656,2312008,2328972,2331188,2346464,2293488,2186352,2229904,2325936,2454552,2502904,2517392,2591340,2588992,2659024,2702400,2721656,2769144,2816620,2917176,2977204,3050216,3079552,3115232,3124592,3228220,3300536,3330416,3338680,3499360,3456112,3570808,3650664,3644992,3701408,3701312,3779260,3780044,3812288,3909480,3963564,4039732,4275116,4337660,4356756,4419764,4445532,4447356,4467952,4539104,4516336,4567384,4625116,4719364,4776444,4799588,4929188,4924076,5020420,5101044,5189132,5190340,5154808,5277472,5121640,5104736,5134624,5230916,5204184,5159536,5116032,5142320,5143064,5252240,5267424,5328240,5359928,5625392,5219976,5495136,5638408,5748984,5594304,5818044,5886148,5941928,5935988,5965484,6026100,6107992,6043856,6241456,6241960,6336100,6547216,6593720,6604848,6781852,6746828,6921568,7031516,7024172,7322640,7213188,7321816,7214616,8004892,7569672,7666272,7689468,7651960,7565824,7815688,7413232
