GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "24000","Maryland",2,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",4029144,4096072,4184544,4292052,4347712,4439180,4320104,4403976,4559484,4584484,4617368,4639200,4690300,4777268,4912272,4995628,5098224,5209192,5253032,5327696,5423260,5530760,5616532,5763788,5831388,5972908,6131500,6292228,6408476,6491504,6695392,6776132,7118376,7328052,7525212,7631112,7728400,7766800,7885080,8107488,8317508,8655300,8862976,9190824,9344756,9645824,9929300,10218120,10410036,10617232,10779208,10878248,11142888,11434984,11616784,11795540,12125112,12354472,12772900,13133804,13501612,13830004,14127432,14488960,14767848,15191980,15391564,15764024,15773492,15688652,16121956,16595512,16963288,17342704,17791024,17897728,18272100,18719640,19066388,19606108,20073672,20873340,21412388,21966580,22498460,22903820,23492020,23957200,24644036,25170356,25439124,26358936,26956740,27550696,28330608,28769620,28472136,28942756,29492468,30224580,30655992,31197632,32104756,32780220,33669908,34677720,35650808,36353004,37130864,37918000,38747692,39645460,40322784,41164716,41995888,43320040,43994336,45210372,46359204,47927616,48564744,49537632,51000144,52265744,52885348,53442464,53953572,55187976,56238760,57339836,57738652,57336072,57622672,58007144,58021972,58442184,59186500,59831464,60210188,60401028,61112496,61865044,62058368,63110724,63933132,64545624,65673688,66410572,67194844,67787792,68252000,68790148,69523084,70994184,71850284,72967160,74565100,75685500,76447456,78958512,79243936,81265584,82619816,84460496,86242136,86343028,87894732,89503496,92334316,93226144,95658236,96887264,98738424,99495744,100189964,101038492
 "24000","Maryland",2,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",28464,29204,29608,31212,30232,29188,29000,31328,31680,33348,33276,33640,32340,30228,30148,30344,31704,32912,33912,34088,34144,33080,34584,32268,31952,34168,33912,33748,34452,36996,35592,35608,33432,32660,31624,31740,31360,30604,31124,30304,29736,28256,28540,28416,29896,30872,31400,32164,31920,32728,33188,32376,31716,31028,32264,31364,31120,29144,29712,31276,33880,37272,40568,44316,45376,47292,47540,48600,50352,50232,49808,52352,56720,59916,60764,60984,64408,64188,63304,61936,63128,61336,60784,61696,64672,66864,68856,70252,70680,70836,70688,70120,68668,68516,69396,71304,73400,75084,75624,75036,72980,71516,70592,70224,69656,70040,70512,71092,70960,71052,70400,68960,66480,65044,64012,63436,62380,62924,64332,66572,69272,71584,73124,73756,73160,74080,76252,79804,85104,88500,90112,89916,87508,86060,84552,83184,82088,81488,82040,83688,87408,89636,90368,89628,87900,86008,85928,87688,92808,96280,98964,100524,100304,100536,101248,102452,104248,106256,107672,108596,109272,109576,108424,106508,100716,98196,98588,101364,109900,115284,119712,122516,119784,121276,122236,122664
 "24000","Maryland",2,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",4000680,4066868,4154936,4260840,4317480,4409992,4291104,4372648,4527804,4551136,4584092,4605560,4657960,4747040,4882124,4965284,5066520,5176280,5219120,5293608,5389116,5497680,5581948,5731520,5799436,5938740,6097588,6258480,6374024,6454508,6659800,6740524,7084944,7295392,7493588,7599372,7697040,7736196,7853956,8077184,8287772,8627044,8834436,9162408,9314860,9614952,9897900,10185956,10378116,10584504,10746020,10845872,11111172,11403956,11584520,11764176,12093992,12325328,12743188,13102528,13467732,13792732,14086864,14444644,14722472,15144688,15344024,15715424,15723140,15638420,16072148,16543160,16906568,17282788,17730260,17836744,18207692,18655452,19003084,19544172,20010544,20812004,21351604,21904884,22433788,22836956,23423164,23886948,24573356,25099520,25368436,26288816,26888072,27482180,28261212,28698316,28398736,28867672,29416844,30149544,30583012,31126116,32034164,32709996,33600252,34607680,35580296,36281912,37059904,37846948,38677292,39576500,40256304,41099672,41931876,43256604,43931956,45147448,46294872,47861044,48495472,49466048,50927020,52191988,52812188,53368384,53877320,55108172,56153656,57251336,57648540,57246156,57535164,57921084,57937420,58359000,59104412,59749976,60128148,60317340,61025088,61775408,61968000,63021096,63845232,64459616,65587760,66322884,67102036,67691512,68153036,68689624,69422780,70893648,71749036,72864708,74460852,75579244,76339784,78849916,79134664,81156008,82511392,84353988,86141420,86244832,87796144,89402132,92224416,93110860,95538524,96764748,98618640,99374468,100067728,100915828
 "24000","Maryland",2,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",2962656,2986552,3069444,3151744,3201428,3289580,3191600,3240804,3378540,3390948,3401940,3386144,3407892,3480560,3562264,3643368,3725612,3778048,3827100,3857860,3923216,4004800,4054332,4135152,4199116,4284832,4412960,4485020,4583748,4646120,4778404,4872072,5038416,5192264,5307092,5425380,5500656,5579860,5673772,5773724,5969748,6107008,6266976,6420796,6565176,6761228,6946400,7138264,7261664,7383720,7506896,7562260,7741192,7909480,8002408,8144184,8381168,8540284,8845612,9080524,9337592,9596224,9813592,10092308,10317828,10580160,10725096,11000636,10971412,10835696,11171592,11539004,11747228,12004740,12353460,12397416,12730492,13113248,13379044,13779648,14149652,14790636,15222596,15762512,16008340,16472652,16924288,17370364,17802808,18009612,18268808,19055088,19523380,19909956,20362668,20580336,20397912,20694640,21178820,21652716,22020488,22581232,23320732,23977172,24654696,25412468,26221580,26824000,27501328,28115712,28759264,29497676,30148492,30791692,31463916,32534332,33218428,34129100,35110488,36451160,36843336,37815504,38901896,39901792,40264236,40610420,40994220,42027332,42810236,43350236,43581736,43198628,42967392,43227528,43215700,43605128,44542548,44897024,45038472,45127180,45959772,46226400,46623540,47273160,47943284,48591052,49404212,49974692,50576772,50885640,51370452,51762808,52283992,53642648,54512124,55464304,57171432,57813228,58624752,60437824,60943688,62333336,63472116,65341172,66986216,67035424,68311048,69435268,71634184,72728080,74851276,75737472,77191392,77748028,77924688,78457584
 "24000","Maryland",2,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",9268,9656,9672,9592,9592,9600,9692,9716,10052,10092,10092,10200,10144,10184,10184,9744,9792,9356,9372,9348,9392,9348,10232,10636,11988,12788,14012,14400,14796,15136,15604,15616,16192,16600,16984,17328,18012,18368,18672,19032,19900,20728,21176,22124,22520,23400,23996,25220,26328,27128,28360,29412,30252,30700,31388,31744,32016,32104,32984,34628,36176,37968,39192,40084,40548,40836,41140,41580,43252,43132,43700,44688,46316,47044,47420,47428,46008,46772,48836,51656,58288,66984,67976,71056,72800,74224,78100,78844,83468,87988,88404,89088,86176,82984,82432,84992,87560,91968,95296,96908,99224,109456,109624,113572,116144,127328,133396,139940,145496,149088,154640,162300,160224,173184,180988,191612,203256,205232,212112,215260,230840,228088,230240,232180,242500,247596,259408,261756,264488,267704,268724,269656,270848,266412,257200,267180,262852,262244,267092,270624,272424,281960,286664,292188,290560,306408,316268,312696,308688,318220,310276,314080,324900,333344,345916,351624,348212,351816,354404,377784,372496,383180,406516,411144,438156,444832,442472,470612,501540,508472,523044,529756,650276,591152,540288,506880
 "24000","Maryland",2,SQINC7S,200,"B","   Mining","Thousands of dollars",12176,12388,11912,11968,12392,12384,12024,12852,12704,12600,13212,13340,13296,12808,13736,14036,13584,13912,14780,14376,13992,14912,14584,15104,16072,16264,16072,16200,17864,17672,17520,18092,18996,18920,18960,18264,11860,12804,13004,13224,13168,13316,12952,13612,15320,15932,14336,15264,14748,15524,16788,16676,16212,17300,17248,17700,19212,18908,19672,20264,20844,14888,18312,16392,17496,18200,19808,18880,21112,20184,19856,21944,21968,19148,18400,18856,19016,21184,22604,19808,15412,25692,26912,29396,29728,31440,30672,32056,35128,35600,36984,41292,44532,41524,42520,45964,46464,45140,42508,39012,35952,38128,40100,42132,42704,44476,43864,44280,43940,42216,43656,38376,38772,39756,43688,44048,48836,48468,48436,51528,46016,48380,51408,52732,50968,49996,49868,52160,54072,54712,55124,52200,53872,51264,47384,48188,42868,43988,44432,42544,41784,43240,43596,43820,38556,40812,41544,42824,45020,43856,44136,44324,44552,46980,48260,49368,51040,53388,50844,52544,55836,54856,57356,61696,62244,58424,60468,62808,62952,64112,63416,61692,74500,74904,93172,80048
 "24000","Maryland",2,SQINC7S,300,"C","   Construction","Thousands of dollars",259644,261492,272712,276804,295536,299536,294816,303048,307600,302720,310024,300368,296500,306520,312296,331996,336576,358144,367472,361320,360096,377320,382160,395704,407592,419644,435352,438400,456080,463756,484704,490000,509728,516472,526724,530444,519580,533576,527832,543612,548088,558376,568064,593212,630936,665388,681832,714032,746608,762232,810852,826380,831644,914608,899900,913948,905736,929536,963036,996828,1066632,1076844,1098236,1139004,1191372,1210904,1189264,1183840,1135544,1014124,1098432,1111464,1145904,1166864,1148240,1155120,1173292,1214844,1268804,1306072,1340024,1427088,1484076,1549044,1454096,1573744,1606844,1635596,1658920,1648120,1669000,1724060,1743628,1755020,1762744,1678216,1653424,1650768,1638696,1692780,1757840,1825992,1925888,1969144,2063380,2219948,2327124,2400972,2536800,2612736,2673868,2772652,2826864,2979672,3094696,3251188,3360296,3480656,3614448,3804360,3864276,4009500,4137280,4254128,4291440,4206076,4264812,4348352,4531456,4470600,4350332,4095564,3877148,3849152,3766976,3644184,3612420,3568636,3525352,3507328,3571136,3529332,3566712,3687544,3600960,3828880,3881916,3981604,4049068,3923656,3992496,3990848,4056840,4243840,4355364,4437716,4680432,4714904,4723132,4806072,4980164,5043348,5209220,5373876,5646692,5661864,5736864,5914724,6094760,6128248,6449344,6580440,6741772,6854300,6935496,6989860
 "24000","Maryland",2,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",1207612,1219716,1270676,1318388,1322156,1374808,1263844,1281068,1381384,1364944,1347736,1334220,1331012,1377620,1410296,1441224,1451224,1451636,1456940,1464440,1481424,1507660,1507956,1533608,1521176,1555840,1593904,1586480,1648948,1646012,1676264,1679204,1761036,1815796,1832916,1876200,1891340,1887996,1913608,1941724,1984036,2018408,2030804,2063408,2082748,2124456,2180004,2227112,2208056,2194308,2189560,2117944,2166372,2178956,2100572,2141848,2220440,2245424,2304712,2368308,2407352,2483224,2558032,2654300,2684796,2743020,2770580,2796436,2714036,2660316,2735544,2761964,2830776,2936288,3048716,2977632,3125068,3221656,3283932,3396876,3454352,3581408,3674308,3808056,3873852,3977964,4075836,4157212,4198744,4146712,4149744,4327864,4397008,4535248,4564404,4715564,4452576,4405156,4427436,4395920,4536760,4580800,4656032,4836564,4934552,5046280,5151444,5185192,5276096,5299656,5334268,5424292,5311596,5356524,5352812,5513560,5414924,5474644,5528888,5623076,5697744,5798504,5916300,6009888,6042156,6039088,6068040,6120336,6227892,6365628,6354720,6301112,6189152,6138788,6177568,6249444,6193064,6160064,6149080,6255448,5916564,6170084,6183896,6302672,6232592,6435424,6470736,6523464,6456944,6501772,6559572,6614732,6543776,6722456,6799924,6776404,6972356,7002888,7138944,7307748,7442796,7497968,7490184,7612944,7767988,7707644,7857004,7854796,8254576,8297828,8636664,8613372,8557268,8691688,8632024,8619804
 "24000","Maryland",2,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",761296,778408,813548,851672,848588,894568,781140,787972,884616,858824,838424,821712,815704,854208,883680,896980,903276,892592,894264,902264,917040,944156,938096,955700,927260,951164,978788,967528,1014996,1011244,1029880,1019992,1090408,1127320,1142020,1167356,1175192,1164184,1179516,1199036,1223256,1249588,1236896,1254924,1260360,1286232,1332596,1367412,1338732,1314520,1314064,1230232,1278020,1285472,1204356,1246884,1303524,1317068,1370980,1425604,1441880,1503064,1570880,1632292,1667672,1708736,1720464,1748956,1677560,1629024,1670580,1661308,1715512,1808512,1866216,1800696,1904112,1985048,2016680,2125244,2145856,2226880,2301388,2412476,2465028,2527084,2601596,2658664,2683640,2626072,2602624,2724956,2771656,2898576,2926308,3065748,2808552,2749836,2751252,2688592,2758608,2793440,2814312,2955156,3031784,3108784,3167808,3171436,3242816,3247880,3252328,3305160,3183888,3171192,3162184,3261776,3211524,3232388,3269864,3329384,3361712,3437032,3492908,3564148,3583756,3546352,3555408,3602316,3599484,3701904,3677068,3617656,3553400,3459044,3477744,3506284,3421656,3418712,3387504,3407896,3207836,3291580,3308824,3397548,3387664,3514912,3519632,3537116,3507936,3529484,3563584,3640456,3554168,3641368,3673476,3629184,3724356,3730880,3833824,3912000,3984148,4054944,3978280,3992116,4039604,4021440,4162576,4268968,4516072,4456112,4681592,4719384,4709980,4872084,4736080,4814200
 "24000","Maryland",2,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",446316,441308,457128,466716,473568,480240,482704,493096,496768,506120,509312,512508,515308,523412,526616,544244,547948,559044,562676,562176,564384,563504,569860,577908,593916,604676,615116,618952,633952,634768,646384,659212,670628,688476,690896,708844,716148,723812,734092,742688,760780,768820,793908,808484,822388,838224,847408,859700,869324,879788,875496,887712,888352,893484,896216,894964,916916,928356,933732,942704,965472,980160,987152,1022008,1017124,1034284,1050116,1047480,1036476,1031292,1064964,1100656,1115264,1127776,1182500,1176936,1220956,1236608,1267252,1271632,1308496,1354528,1372920,1395580,1408824,1450880,1474240,1498548,1515104,1520640,1547120,1602908,1625352,1636672,1638096,1649816,1644024,1655320,1676184,1707328,1778152,1787360,1841720,1881408,1902768,1937496,1983636,2013756,2033280,2051776,2081940,2119132,2127708,2185332,2190628,2251784,2203400,2242256,2259024,2293692,2336032,2361472,2423392,2445740,2458400,2492736,2512632,2518020,2628408,2663724,2677652,2683456,2635752,2679744,2699824,2743160,2771408,2741352,2761576,2847552,2708728,2878504,2875072,2905124,2844928,2920512,2951104,2986348,2949008,2972288,2995988,2974276,2989608,3081088,3126448,3147220,3248000,3272008,3305120,3395748,3458648,3443024,3511904,3620828,3728384,3686204,3694428,3585828,3738504,3841716,3955072,3893988,3847288,3819604,3895944,3805604
