GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "92000","Mideast",2,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",61926532,61889940,63056476,64404056,65410364,66993024,66706720,67576764,69767820,70041040,70042648,69806600,70116168,71105168,72137020,73638912,74765460,75812040,76288752,76616020,77245856,78457848,79211428,80199464,81578364,83147888,84856168,85975940,87137748,88338020,90437344,92003020,94303716,96328528,98211348,99932728,101395912,102875948,104502208,106812780,109457060,112103444,114639332,117416616,119205384,122059520,124922124,127981068,129978784,131989912,133592452,133419908,137053256,138491016,140182464,141972660,144614124,148252296,151930944,156358688,160445236,162320348,163897676,167227508,169905924,174315520,177405860,179688596,179002044,180146380,183624372,187280052,190796936,193441612,197512504,198919348,202860056,207489320,211797696,216680756,220740516,228471004,233589092,239776232,244983024,249656552,256291580,262146120,268242952,273451680,276857816,286929448,292483452,298901292,305341476,309383140,313436528,316013744,321738556,325382936,329306124,334279060,341587836,351552124,359023836,368881784,376235904,384329112,389481104,396452928,404013108,412511132,419389444,425410820,433873192,443114456,451460992,461561380,470986176,484683304,500537680,502912788,509762600,520646764,526715576,533063592,539012192,542969836,555069132,565216692,570291636,564714972,562332144,568832964,571959344,574822336,588950336,592129096,599414256,612805560,597380100,612801248,618983608,629821656,618001852,635739444,638693744,647038668,653661596,658893896,665276308,669794184,681322316,691115100,697725168,711047468,720171084,728202336,742249440,761641272,771460016,790368692,799125344,807252492,830457896,831179336,844852352,852207824,891350728,899785148,914148908,937160880,945601984,938503404,931326516,932718984
 "92000","Mideast",2,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",268288,273144,273560,286988,278120,266288,259652,277244,268852,274904,273448,280064,279076,273940,278412,276920,279940,281648,281672,284476,284928,279444,296256,277348,275520,295640,292048,289632,290620,308328,295768,294404,280668,276228,272896,277124,277380,273896,285080,282176,283520,271968,280908,282872,275388,282212,286208,292220,296296,305436,311492,303736,297248,291484,305664,300596,302312,288192,295760,310336,333220,358820,383648,412852,418608,432640,435444,445476,463868,466852,463100,477028,500352,513272,513652,513804,541840,544740,541148,531876,530400,516824,512872,519960,543904,563816,581068,592784,598104,598224,595596,589304,573636,573148,583220,603992,638716,657884,665376,660892,646264,634408,627276,624564,627540,630564,634508,639888,648540,649292,644636,633792,618192,605328,596344,591192,590216,596808,610836,632756,664216,685080,698024,702436,701796,712204,734824,770960,825580,857888,873608,872492,853152,839960,826728,814736,804864,800944,808476,827084,865288,888964,896792,889748,875708,858152,859328,879404,932880,968352,996772,1014664,1014168,1018552,1028536,1043744,1064216,1086440,1102048,1111896,1104380,1107324,1096836,1079584,1006972,985024,987888,1011440,1096288,1142840,1181396,1206592,1173212,1187824,1197132,1201364
 "92000","Mideast",2,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",61658244,61616796,62782916,64117068,65132244,66726736,66447068,67299520,69498968,69766136,69769200,69526536,69837092,70831228,71858608,73361992,74485520,75530392,76007080,76331544,76960928,78178404,78915172,79922116,81302844,82852248,84564120,85686308,86847128,88029692,90141576,91708616,94023048,96052300,97938452,99655604,101118532,102602052,104217128,106530604,109173540,111831476,114358424,117133744,118929996,121777308,124635916,127688848,129682488,131684476,133280960,133116172,136756008,138199532,139876800,141672064,144311812,147964104,151635184,156048352,160112016,161961528,163514028,166814656,169487316,173882880,176970416,179243120,178538176,179679528,183161272,186803024,190296584,192928340,196998852,198405544,202318216,206944580,211256548,216148880,220210116,227954180,233076220,239256272,244439120,249092736,255710512,261553336,267644848,272853456,276262220,286340144,291909816,298328144,304758256,308779148,312797812,315355860,321073180,324722044,328659860,333644652,340960560,350927560,358396296,368251220,375601396,383689224,388832564,395803636,403368472,411877340,418771252,424805492,433276848,442523264,450870776,460964572,470375340,484050548,499873464,502227708,509064576,519944328,526013780,532351388,538277368,542198876,554243552,564358804,569418028,563842480,561478992,567993004,571132616,574007600,588145472,591328152,598605780,611978476,596514812,611912284,618086816,628931908,617126144,634881292,637834416,646159264,652728716,657925544,664279536,668779520,680308148,690096548,696696632,710003724,719106868,727115896,741147392,760529376,770355636,789261368,798028508,806172908,829450924,830194312,843864464,851196384,890254440,898642308,912967512,935954288,944428772,937315580,930129384,931517620
 "92000","Mideast",2,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",52406508,52088900,53152168,54360628,55310248,56807940,56458252,57121336,59165512,59277996,59092300,58670064,58814168,59641276,60465476,61747196,62649644,63479676,63821268,63985332,64422220,65471320,66031676,66730408,67837004,69124068,70655548,71427436,72316868,73291720,74963180,76198204,77997944,79713136,81073616,82387288,83597228,84513848,85715224,87469520,89521844,91477688,93561704,95798920,97290232,99649236,101866032,104235400,105367536,106498148,107589712,106923984,109728256,110622452,111668248,113050780,115001304,118014780,121030404,124554468,128006960,129072356,130219408,132732516,134907156,138646628,141170036,142554348,141310488,141389708,144032956,147590360,150543048,152798468,156105944,157521920,160982108,164936256,168379432,172429480,175828440,182701436,186799200,192452096,196909424,201500824,206667720,211911072,216845548,220010708,223450220,232173812,236570596,241978908,247349692,249777636,253427068,255073284,259610444,262434984,265550084,270313688,275917732,285354844,291340944,299266868,305347664,312393104,316635700,322752328,328563884,336634832,342371136,346933244,354345892,361280480,368949344,376824132,385773024,396483636,410845052,412414172,417185312,425996964,430476064,435389968,439670312,442135288,452057536,458798504,462752016,457107744,453413324,458635056,460615360,463393580,475891364,478429636,483727948,496551220,480793388,494294912,498659692,508976612,496064880,514315624,515008524,521904512,528391556,532846776,540136296,542411932,552973960,562439852,570179196,582273560,591352296,596355972,609891452,627671688,637463068,654211680,662334636,668924084,691589200,689958464,701778848,707671992,744575356,752213628,765106820,786082456,793324060,784302416,776075476,773364048
 "92000","Mideast",2,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",86716,88108,88308,87028,86680,85976,86428,86224,87192,88420,89748,92416,94112,97164,98668,99828,101936,102372,104148,105252,106384,107700,110460,112956,116880,120436,124580,128292,133688,137396,141832,145060,149288,151180,152952,156372,158752,161924,165468,169824,176156,182208,187732,194436,191808,195824,197816,201728,206020,209956,215512,222272,229944,236408,241844,245524,247712,253072,260812,270424,282148,292564,300104,305352,309996,311424,312696,313432,317148,318800,324264,333336,346604,354828,362560,368036,368648,370788,396004,438348,442500,501316,526644,553048,560848,560068,577952,585492,624268,648212,654216,649220,634648,624564,627400,628548,664428,705280,718360,736276,757040,773716,789104,808520,825784,887324,925652,959008,967444,1025272,1043560,1092400,1125820,1153436,1200940,1246560,1296980,1311340,1353840,1368244,1440192,1438236,1448904,1458636,1490852,1519280,1571016,1585756,1615600,1623504,1615184,1605208,1643568,1629200,1573436,1618672,1580332,1576432,1602564,1633056,1636644,1667960,1713484,1719160,1712060,1788240,1819252,1847968,1862036,1909376,1876592,1884760,1949624,1998188,2059252,2090044,2067672,2099884,2177124,2243660,(D),(D),(D),(D),2571260,2658612,2667444,2807860,2920416,2930876,2989876,3027288,3768936,3448976,3102968,2921860
 "92000","Mideast",2,SQINC7S,200,"B","   Mining","Thousands of dollars",465380,435624,457772,465364,460368,471104,384932,423724,441584,431740,392564,373800,357944,365188,378244,385988,390852,377096,366648,363088,370888,385388,383900,382296,384036,397304,405892,419732,410064,417428,416536,412880,430940,409292,435696,425760,420032,415740,434612,425052,412312,422388,424360,400268,449672,449268,457148,482772,490776,490364,519860,534524,513552,517552,551156,457484,586296,590280,594580,621088,628740,642304,666140,712472,742424,774796,812708,703732,921576,923084,879376,993292,1014700,975076,950992,1051648,1088320,1129156,1125308,1028208,625704,1286932,1318840,1333304,1377404,1339584,1298308,1315980,1394304,1384780,1327824,1374284,1505276,1083032,1616236,1628272,1614600,1527284,1454476,1424152,1326588,1343932,1385204,1445676,1486856,1518608,1499416,1395800,1440196,1478548,1410016,1431000,1394808,1356868,1358456,1332496,1343604,1356956,1315520,1375816,1324948,1379900,1403440,1322580,1389708,1335128,1319312,1380996,1400400,1387728,1417344,1387652,1285632,1249996,1227876,1187096,1202604,1204028,1189288,1198212,1091676,1152152,1128188,1125876,1127652,1138308,1156664,1154660,1132600,1128560,1118732,1109692,1131208,1155184,1152436,1251832,1209952,1251960,1253408,1277448,(D),(D),(D),(D),1367940,1320176,1271836,1278560,1343536,1293672,1312596,1252248,1267372,1295680,1362872,1302428
 "92000","Mideast",2,SQINC7S,300,"C","   Construction","Thousands of dollars",3191200,3217240,3398908,3453820,3517096,3606784,3631880,3671396,3765460,3753892,3687024,3659704,3628900,3756248,3763944,3995768,4018788,4149740,4235560,4188396,4150916,4255512,4320164,4377224,4475596,4541712,4613004,4676120,4737460,4699916,4846684,4978784,5124620,5225824,5229916,5288756,5330592,5449568,5586152,5674788,5838664,6082296,6195748,6307220,6485104,6760256,6783952,6958932,7117748,7296744,7682896,7726852,7797508,8110380,8307684,8528772,8486300,8398124,8448896,8846228,9276740,9184136,9325192,9500692,9687456,9670460,9433960,9209752,8962292,8345288,8310404,8382536,8441020,8253264,8200012,8188388,8199260,8687408,8934264,8994068,9020320,9841360,10108664,10479936,10498920,10992640,11377608,11450532,11740568,11534368,11730572,11990584,12094480,12493728,12677764,12674496,12988380,13225176,13217468,13511744,14016220,14018540,14426184,14789796,15666644,16233292,16747244,17304900,17969680,18540896,18988472,19760416,20090704,21090052,21860316,22444720,23130048,23955112,24355676,25136352,25686008,26613400,27283712,27640452,27845140,27644020,27740332,27750232,28138992,27775832,27207508,26450012,25403416,24813128,24180168,23611020,23460540,23147280,22993812,22836508,23140240,23074908,23256580,23631248,23197364,24694664,25066852,25569444,25430448,25316448,25285568,25006916,25270524,26318240,27183916,27787528,28498088,28724724,29069352,29842804,30724016,31384336,32331944,33260828,34544332,35117068,35619808,36813088,38565540,38824744,39456580,40773812,41761200,42648536,42535560,42774148
 "92000","Mideast",2,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",22022528,21570068,22042004,22667404,23315872,24166132,23593436,23738508,25078400,24846732,24474424,24038192,23939308,24329048,24705252,25318980,25673844,26011868,25981548,25959956,26004788,26435828,26573228,26804688,27006256,27495212,28238148,28470124,29107044,29296236,29914776,30134116,31222304,32036556,32339476,32947660,33155528,33116208,33318684,33965156,34642124,35243156,35812340,36633092,36975644,37683412,38465072,38787980,38805748,38669272,38497676,37504820,38348076,38382160,38244872,38404956,39586200,40119264,40465584,41689600,42698860,43520128,44111884,45317844,45558700,46775616,47716300,47950716,46101508,45793168,46710752,48184544,49059328,50106856,51137644,51368460,52858720,54508092,55405668,56862004,57810540,59609652,60754276,62786480,64297556,65535136,66825396,68820640,69790824,69741724,70086368,73066708,74083596,75928212,76744460,76352232,76890280,75688204,75178412,73980804,74940124,75733808,77194820,80036168,81250556,82722504,83917752,85383508,85729448,86062824,86474976,87703372,87369636,87344580,87661800,87926412,88993384,89108756,90264604,90618028,94050016,94793044,95342592,97121664,97326976,96985308,96863896,96736444,97848688,98267536,98166624,97010928,96095080,96703892,97368752,97300724,97125644,97677412,98881824,100378864,94210044,98367840,98050752,100335016,96963588,99534348,99739768,101239672,101204444,101309212,102017472,102114064,102874612,104411072,105103296,105876104,107509104,108527316,110009416,113188200,113066076,115827216,114691688,115775928,115920092,116791560,116821328,118784680,123790060,122281964,124510500,126916792,122232460,122466248,120242648,118630136
 "92000","Mideast",2,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",12361036,12023108,12240648,12707848,13128460,13820948,13070812,13198924,14419972,14133944,13738624,13502480,13295332,13606044,13884288,14261568,14534756,14647324,14683556,14648672,14708208,14992356,14967124,15131988,15227140,15536308,16117424,16163968,16653448,16817140,17245800,17216512,18043624,18641848,18844856,19168020,19304768,19117832,19248080,19584304,19967748,20310336,20625328,21193912,21386504,21684444,22222824,22340244,22297356,22246412,22001260,21007116,21709804,21609008,21408116,21479396,22334772,22655084,22951236,23783240,24578084,25147968,25673040,26493072,26601504,27530208,28129488,28490980,27154912,26731272,27038852,27885008,28334696,29071940,29774360,29746888,30615568,31880480,32356024,33374348,33909396,34980384,35833732,37318840,38438412,39265480,40065640,41402164,41997556,41651208,41412544,43753780,44250660,45432320,45761668,45490808,45379076,44140124,43519752,42202236,42652344,43055456,43771828,45663456,46564972,47330584,47974920,48779124,49092768,49051792,49245076,49816208,49737184,49234584,49124668,49364020,49849180,49325180,50017356,50264632,51284740,52034792,52622856,53511012,53831304,52961308,52520936,52743364,52567416,52663052,52059148,51377760,50619512,50712944,51136844,50772356,50263532,50566564,51247216,50606248,48434872,50114672,49765560,51152952,49584400,50825832,51014116,51715444,51808384,51781704,52207700,52398640,52561016,53918144,53977844,54161856,54982320,55226548,55773108,57579344,57744316,59034560,57764596,58712112,58128360,59197512,59810900,60237336,61786864,60332596,62378016,61875084,61571648,61593168,59975216,59539192
 "92000","Mideast",2,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",9661492,9546960,9801356,9959556,10187412,10345184,10522624,10539584,10658428,10712788,10735800,10535712,10643976,10723004,10820964,11057412,11139088,11364544,11297992,11311284,11296580,11443472,11606104,11672700,11779116,11958904,12120724,12306156,12453596,12479096,12668976,12917604,13178680,13394708,13494620,13779640,13850760,13998376,14070604,14380852,14674376,14932820,15187012,15439180,15589140,15998968,16242248,16447736,16508392,16422860,16496416,16497704,16638272,16773152,16836756,16925560,17251428,17464180,17514348,17906360,18120776,18372160,18438844,18824772,18957196,19245408,19586812,19459736,18946596,19061896,19671900,20299536,20724632,21034916,21363284,21621572,22243152,22627612,23049644,23487656,23901144,24629268,24920544,25467640,25859144,26269656,26759756,27418476,27793268,28090516,28673824,29312928,29832936,30495892,30982792,30861424,31511204,31548080,31658660,31778568,32287780,32678352,33422992,34372712,34685584,35391920,35942832,36604384,36636680,37011032,37229900,37887164,37632452,38109996,38537132,38562392,39144204,39783576,40247248,40353396,42765276,42758252,42719736,43610652,43495672,44024000,44342960,43993080,45281272,45604484,46107476,45633168,45475568,45990948,46231908,46528368,46862112,47110848,47634608,49772616,45775172,48253168,48285192,49182064,47379188,48708516,48725652,49524228,49396060,49527508,49809772,49715424,50313596,50492928,51125452,51714248,52526784,53300768,54236308,55608856,55321760,56792656,56927092,57063816,57791732,57594048,57010428,58547344,62003196,61949368,62132484,65041708,60660812,60873080,60267432,59090944
