GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "23000","Maine",1,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",1076196,1082024,1107420,1126488,1139584,1167252,1177100,1203152,1210684,1231944,1243828,1240080,1246192,1249116,1268976,1275600,1292524,1306280,1312416,1311012,1324276,1333992,1356248,1365736,1397240,1413076,1422444,1465980,1459404,1482208,1517880,1547140,1572096,1613152,1653292,1680120,1693920,1731936,1759608,1791648,1850584,1852412,1876488,1923660,1949328,2007076,2031780,2067420,2126456,2157560,2184268,2200012,2212140,2234332,2297384,2302812,2499508,2465156,2443424,2472728,2556344,2678760,2766948,2850076,2886880,2910688,2952968,2971416,2978372,3033436,3148064,3277968,3395588,3501736,3627772,3692256,3724212,3818020,3892840,3998564,4122900,4258040,4337164,4469100,4603748,4681156,4798616,4907100,5108196,5186456,5260200,5438096,5605244,5677132,5716612,5690344,5849812,5972444,6203264,6230564,6270628,6431204,6488640,6662544,6880768,7036752,7121540,7277200,7471892,7488760,7539504,7782732,7928572,8133248,8355716,8688824,8747524,9014452,9308772,9664740,9660700,10046496,10367696,10656584,10865576,10918364,10882468,11118472,11274032,11459788,11468084,11246904,11300600,11174444,11251172,11391056,11507200,11666652,11804492,11756320,11901768,11906508,12112812,12127588,12287204,12429132,12549148,12715624,12794316,13024976,12993324,13147448,13222364,13407772,13588508,13830720,14135680,14276328,14309720,14733824,14776768,15173716,15492740,15781596,15760092,16145472,16873824,16575712,17162288,17290976,17442536,17502904,18121508,18227488,18252688,18337284
 "23000","Maine",1,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",39240,41672,40172,38268,30684,23324,18540,18016,20000,22540,24064,24964,24524,23368,22852,22720,23228,23640,23912,24456,25320,25240,27120,24912,25008,26680,25364,24172,23108,23484,21824,22080,22468,23124,23628,24412,24908,24696,25456,24728,24156,22504,23000,23248,23144,23408,23628,23980,24780,25412,25716,25044,21084,20480,20988,20680,18872,18360,18792,19548,20596,21892,23228,24696,25296,26360,26536,26780,28304,27956,26988,27228,28004,28428,28460,29016,31936,32960,34104,34992,37544,38104,38636,39268,40204,40852,41288,41604,42204,42104,41508,40436,39020,38396,39092,41056,44976,47828,49296,49148,47492,45836,44756,44284,44376,44748,45168,45708,45572,45592,45168,44248,42748,41840,41192,40832,40260,40636,41556,43016,44844,46332,47316,47704,47384,48008,49460,51812,55272,57476,58560,58460,56892,56012,55080,54224,53568,53192,53528,54556,56984,58352,58760,58240,57104,55828,55756,56868,60144,62336,64032,65020,64680,64856,65384,66228,67072,68384,69328,69940,69608,69788,69128,68024,63584,62152,62320,63792,69272,72200,74632,76220,74212,75132,75724,75988
 "23000","Maine",1,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",1036956,1040352,1067248,1088220,1108900,1143928,1158560,1185136,1190684,1209404,1219764,1215116,1221668,1225748,1246124,1252880,1269296,1282640,1288504,1286556,1298956,1308752,1329128,1340824,1372232,1386396,1397080,1441808,1436296,1458724,1496056,1525060,1549628,1590028,1629664,1655708,1669012,1707240,1734152,1766920,1826428,1829908,1853488,1900412,1926184,1983668,2008152,2043440,2101676,2132148,2158552,2174968,2191056,2213852,2276396,2282132,2480636,2446796,2424632,2453180,2535748,2656868,2743720,2825380,2861584,2884328,2926432,2944636,2950068,3005480,3121076,3250740,3367584,3473308,3599312,3663240,3692276,3785060,3858736,3963572,4085356,4219936,4298528,4429832,4563544,4640304,4757328,4865496,5065992,5144352,5218692,5397660,5566224,5638736,5677520,5649288,5804836,5924616,6153968,6181416,6223136,6385368,6443884,6618260,6836392,6992004,7076372,7231492,7426320,7443168,7494336,7738484,7885824,8091408,8314524,8647992,8707264,8973816,9267216,9621724,9615856,10000164,10320380,10608880,10818192,10870356,10833008,11066660,11218760,11402312,11409524,11188444,11243708,11118432,11196092,11336832,11453632,11613460,11750964,11701764,11844784,11848156,12054052,12069348,12230100,12373304,12493392,12658756,12734172,12962640,12929292,13082428,13157684,13342916,13523124,13764492,14068608,14207944,14240392,14663884,14707160,15103928,15423612,15713572,15696508,16083320,16811504,16511920,17093016,17218776,17367904,17426684,18047296,18152356,18176964,18261296
 "23000","Maine",1,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",805000,801528,821892,844992,858056,883832,896420,900204,911484,919248,932380,911208,914672,920880,936716,946796,961040,974328,969628,967100,975808,983988,995044,1007584,1028448,1043092,1050380,1086852,1089792,1109840,1145260,1171996,1186532,1216332,1243796,1258716,1281320,1302104,1327724,1349936,1392292,1401240,1419208,1460220,1481716,1530616,1546424,1572912,1612892,1629036,1648292,1652612,1668664,1679012,1719844,1720524,1895060,1853792,1812756,1815464,1897440,1989388,2059056,2140808,2167996,2189120,2234184,2227256,2213132,2258980,2356872,2471696,2581984,2653716,2772012,2807304,2813192,2886268,2953352,3035192,3147416,3256972,3294388,3403256,3517564,3591080,3692060,3798460,3956480,4000792,4060452,4223508,4294636,4368252,4420096,4471528,4495116,4568484,4782756,4777376,4811188,4950500,5002580,5161596,5337100,5468012,5533796,5649204,5795012,5811340,5825792,6041936,6181268,6368832,6562964,6843692,6903836,7135212,7346016,7677112,7631668,7957676,8248968,8490044,8644188,8652536,8589260,8767352,8884844,8989692,8986612,8762944,8745948,8664068,8668212,8780172,8919880,9035468,9164992,9170508,9295424,9351768,9568608,9527156,9732832,9863148,9974756,10116044,10179092,10376748,10346120,10518492,10554156,10735056,10922024,11126932,11393420,11526316,11577936,11910588,11990668,12319268,12576356,12880824,12847204,13200388,13871064,13491056,14017596,14110252,14265152,14302972,14819328,14920020,14842196,14930856
 "23000","Maine",1,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",5660,5652,5652,5608,5612,5624,5216,4756,4624,4164,4172,4272,4344,4912,5004,5516,5528,5520,5540,5572,5672,5704,5772,6264,6308,6264,6240,6720,6696,6664,7172,7204,7228,7704,7776,7928,8112,8328,8380,8352,8704,8532,8404,8844,8892,8808,8888,8648,8708,8900,9016,8940,8968,9220,8744,8980,9008,9184,9208,9704,10076,10340,10900,11296,11496,11176,11696,11624,11340,12396,12388,12696,13384,13684,13832,13716,13640,14240,14692,15020,16368,17400,18980,19596,20304,20336,27764,24984,30352,30936,30512,32032,32472,33360,33392,35020,33024,31556,29588,29428,31464,31660,31472,30872,30960,33520,33456,33596,34112,36892,33112,33800,33692,42036,41596,44684,44816,46328,47064,47024,50312,52176,53896,55708,56160,58548,59156,58304,60424,60568,61368,60592,65384,66864,64928,66712,65520,63616,67312,68340,65780,65256,65700,65424,66532,67436,67884,69368,69976,71120,70288,71424,73892,74716,76556,81072,77816,80800,83904,85184,90556,95064,94068,96824,108928,110524,116812,116344,117972,120916,126932,130472,157420,138088,127080,118308
 "23000","Maine",1,SQINC7S,200,"B","   Mining","Thousands of dollars",912,832,864,960,736,840,864,916,1076,984,952,928,1064,1216,1248,1388,1136,1256,1316,1240,1244,1208,1040,896,1016,1080,1244,1420,1344,1416,1556,1548,1428,1288,1120,1200,888,1056,1056,1156,1280,1392,1472,1556,1464,1416,1532,1448,1636,1632,1552,1408,1352,1272,1216,1312,1544,1632,1708,1684,1664,1760,1824,1916,2032,2104,2152,2096,2504,2344,2224,2536,2572,2304,2288,2392,2600,2764,2496,2096,1544,1648,1864,1940,2128,2488,2656,2568,2768,2944,3320,3540,3664,3464,3200,3064,2688,2796,2672,2728,2880,2952,3244,2528,3196,2984,3008,2808,2500,2632,2348,2068,2020,1792,1936,2052,1676,2348,3032,2980,3508,3372,3428,4340,3996,4076,4228,4680,4468,4340,4656,3288,4116,3896,3184,2240,3384,3720,3760,4484,4856,5036,4368,4208,3608,3760,4360,4800,2488,2616,2592,2088,2016,2008,2040,2176,2208,2328,1944,1760,2204,1796,1912,1980,2300,2028,2400,2360,2280,2304,2336,2604,3084,3292,3496,3548
 "23000","Maine",1,SQINC7S,300,"C","   Construction","Thousands of dollars",52072,48456,54672,62624,60728,68108,68532,65416,65948,63700,61056,57720,57208,59432,63964,63624,62448,63796,61264,63032,59376,60952,63812,61596,68240,66400,67448,77860,88032,88544,94296,97948,94812,94272,85080,83656,88656,93096,98476,99332,89752,90824,95384,97924,104184,109616,114532,119756,136008,137104,138960,143276,151988,144284,144708,147236,151832,154808,155408,154624,155704,159440,158576,164284,168632,170104,179176,171936,172672,176096,189216,206972,231528,253844,271016,276164,228928,221040,200824,205768,212240,224728,224828,217216,222048,230504,251276,261172,282184,287424,302084,299508,282312,284260,258792,260088,265168,269280,277816,280252,266536,265456,275056,290300,311956,350916,354860,373072,385404,385492,426044,443324,465872,507568,518124,545860,604912,658484,670396,690200,702220,715572,729108,758164,794440,735072,708728,715280,727264,708420,682196,592148,539180,511276,498416,487400,488008,533196,503144,515368,508464,505408,517888,515792,505848,518248,528644,526272,547936,547784,546264,557888,583464,600872,643932,699820,700720,651832,655336,641552,681608,741788,770592,797480,813212,869352,982052,877444,976184,967592,943676,947256,1019780,1020440,1007212,1027452
 "23000","Maine",1,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",369996,364348,374296,387876,390232,402400,409712,410036,415272,419872,435436,415896,420108,421996,426272,434980,445288,456756,450904,444680,449344,450712,457200,468264,473256,482628,484236,498620,492040,502496,522512,534732,547184,564040,580992,589968,595968,602784,613004,619764,646400,650600,651496,664912,663272,684484,674632,683368,696236,690064,685440,673296,666636,664336,677464,677716,705176,723808,721744,733820,756452,772676,784272,820704,847012,847212,860672,839944,798496,814836,846868,899172,938084,959228,1011400,1015784,1038228,1078636,1123968,1143612,1195500,1241444,1233080,1301456,1353880,1380032,1417872,1459268,1535484,1538820,1549164,1620432,1660608,1686752,1723468,1728800,1718372,1722132,1827808,1823580,1821980,1880292,1901068,1931572,1996792,2032336,2037772,2055828,2084272,2044448,1951048,2046936,2064152,2101832,2140368,2204976,2170808,2185496,2224732,2344800,2340980,2393020,2433288,2491860,2513920,2533484,2488548,2535748,2513120,2582700,2588416,2507784,2523468,2435560,2449440,2452796,2500504,2497520,2520556,2556748,2418924,2517456,2616836,2656420,2542488,2631032,2669592,2689640,2652040,2736564,2699504,2750928,2706656,2716192,2758524,2745872,2849568,2873024,2847384,2955340,2863060,2958940,2991644,2972016,2967060,2957124,3192952,2972304,3097820,3074056,3050796,2996992,3043488,3018916,2979100,2954752
 "23000","Maine",1,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",111596,110772,109292,110680,105760,112048,114004,113016,117772,118172,122504,120364,117548,117868,120952,120836,125424,131120,127032,127280,124448,119736,125476,130316,132852,135792,135232,133088,136228,138580,141140,145084,152120,159240,163456,170436,174492,175180,178432,177860,186292,190884,191500,193944,196512,213248,211072,215196,223548,215252,213416,202192,204152,206648,218068,225316,233256,237504,236544,246800,251724,261244,267660,288660,309316,308420,308944,296776,278232,287132,294044,308152,320864,326904,338264,352156,346060,369020,388208,406764,429956,449460,454560,473268,500648,518424,548344,564300,611972,589836,596164,623544,629720,652088,664020,666948,673564,664108,706952,703812,706256,744768,728752,753204,802916,825308,850124,881004,900116,868704,777040,878928,893696,907696,940720,965692,972480,976504,1006268,1059092,1078080,1107000,1121432,1165236,1163564,1174916,1164292,1177728,1182160,1199296,1200340,1143744,1160672,1117720,1122704,1110512,1132864,1130704,1121496,1118856,1066728,1119152,1150408,1196848,1125480,1171064,1210168,1227196,1209544,1257744,1244360,1286668,1244736,1244504,1289004,1284092,1342556,1342728,1326696,1411664,1317428,1422316,1427232,1404172,1410876,1403512,1496808,1442844,1485396,1510952,1492524,1496932,1518596,1506128,1504152,1510144
 "23000","Maine",1,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",258400,253576,265004,277196,284472,290352,295708,297020,297500,301700,312932,295532,302560,304128,305320,314144,319864,325636,323872,317400,324896,330976,331724,337948,340404,346836,349004,365532,355812,363916,381372,389648,395064,404800,417536,419532,421476,427604,434572,441904,460108,459716,459996,470968,466760,471236,463560,468172,472688,474812,472024,471104,462484,457688,459396,452400,471920,486304,485200,487020,504728,511432,516612,532044,537696,538792,551728,543168,520264,527704,552824,591020,617220,632324,673136,663628,692168,709616,735760,736848,765544,791984,778520,828188,853232,861608,869528,894968,923512,948984,953000,996888,1030888,1034664,1059448,1061852,1044808,1058024,1120856,1119768,1115724,1135524,1172316,1178368,1193876,1207028,1187648,1174824,1184156,1175744,1174008,1168008,1170456,1194136,1199648,1239284,1198328,1208992,1218464,1285708,1262900,1286020,1311856,1326624,1350356,1358568,1324256,1358020,1330960,1383404,1388076,1364040,1362796,1317840,1326736,1342284,1367640,1366816,1399060,1437892,1352196,1398304,1466428,1459572,1417008,1459968,1459424,1462444,1442496,1478820,1455144,1464260,1461920,1471688,1469520,1461780,1507012,1530296,1520688,1543676,1545632,1536624,1564412,1567844,1556184,1553612,1696144,1529460,1612424,1563104,1558272,1500060,1524892,1512788,1474948,1444608
