GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "29000","Missouri",4,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",5436232,5491428,5595404,5750036,5880244,6008424,6002064,6103920,6149024,6225316,6252724,6254564,6235708,6281040,6333832,6461332,6515784,6696428,6793196,6824296,6954452,7056116,7186224,7301564,7464112,7558428,7689108,7762344,7938060,8114300,8221356,8523364,8665452,8915048,9118772,9270892,9468732,9548700,9703728,9855536,10174480,10492100,10678644,10967280,11107232,11290888,11643896,11894288,12129112,12130712,12410440,12452460,12725468,12995504,13093632,13181096,13614336,13948244,13947252,14307912,14655952,15045952,15499056,15783108,16058056,16285276,16598384,16766552,16725104,16934760,17414308,17912456,18650880,18860344,19255732,19741276,20127696,20768300,21503384,22055096,22529724,23355852,23978316,24747880,25391116,25923056,26507544,26940148,27593684,27539264,28118104,28987092,29761940,30034120,30577984,30999776,31129248,31523600,31755052,32409668,32491500,33183792,34122932,34921052,35975276,36752528,37352136,38025136,38509564,39303588,40044000,40667728,41320308,41493740,42043228,42824420,43867560,44145128,44610080,45695844,45899428,47320104,47990264,48777628,49258372,49634760,50412968,50942660,51553800,52737228,53101328,53006528,53260684,53453588,54160456,54863488,55856012,56521308,57025032,57517312,57873676,58805532,59346012,60860432,61128908,62669968,63679044,64806168,65786412,66817760,67598828,68069336,68875664,70173996,71114380,72535628,74276444,74737944,75796092,77336368,78451476,79337296,80695332,81620172,82994176,83734044,84255704,86413240,88301344,89130204,90376232,90209028,91506656,91786780,91820592,92325052
 "29000","Missouri",4,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",54884,56360,56336,58868,57192,54680,52360,54636,51844,52332,50856,51584,51268,50304,51580,52444,55224,57744,58672,58572,57752,55364,56900,51976,51576,54836,53448,52576,51772,54712,52616,53632,52704,53816,56128,60744,65260,68388,72876,71104,68848,62828,62856,62256,65248,68216,70020,72756,72936,75472,77948,77176,78216,78752,82436,80752,79812,75580,75980,78668,85880,91536,96596,101460,99328,101636,100772,99864,98860,96220,93152,94576,101212,106152,105244,102372,94252,87128,88496,95584,124576,140600,153532,161692,158016,157752,158456,160708,164248,166644,166464,163280,162584,161168,163048,168208,165600,171112,173396,172320,162192,158940,156932,156140,150576,151428,152424,153688,148852,148928,147388,144216,135412,132532,130448,129232,123500,124236,127076,131888,136844,142612,146348,147648,147536,149228,152912,159112,172584,178924,181592,180828,176704,172492,171580,173012,179768,183600,188696,194416,202780,205980,207324,206880,202104,200304,198520,197704,197736,197860,196952,195848,190000,189032,191528,196964,203712,211512,220840,230144,244976,253336,256136,253824,243072,236724,231764,229452,226096,227500,230744,235588,244636,247684,249624,250508
 "29000","Missouri",4,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",5381348,5435068,5539068,5691168,5823052,5953744,5949704,6049284,6097180,6172984,6201868,6202980,6184440,6230736,6282252,6408888,6460560,6638684,6734524,6765724,6896700,7000752,7129324,7249588,7412536,7503592,7635660,7709768,7886288,8059588,8168740,8469732,8612748,8861232,9062644,9210148,9403472,9480312,9630852,9784432,10105632,10429272,10615788,10905024,11041984,11222672,11573876,11821532,12056176,12055240,12332492,12375284,12647252,12916752,13011196,13100344,13534524,13872664,13871272,14229244,14570072,14954416,15402460,15681648,15958728,16183640,16497612,16666688,16626244,16838540,17321156,17817880,18549668,18754192,19150488,19638904,20033444,20681172,21414888,21959512,22405148,23215252,23824784,24586188,25233100,25765304,26349088,26779440,27429436,27372620,27951640,28823812,29599356,29872952,30414936,30831568,30963648,31352488,31581656,32237348,32329308,33024852,33966000,34764912,35824700,36601100,37199712,37871448,38360712,39154660,39896612,40523512,41184896,41361208,41912780,42695188,43744060,44020892,44483004,45563956,45762584,47177492,47843916,48629980,49110836,49485532,50260056,50783548,51381216,52558304,52919736,52825700,53083980,53281096,53988876,54690476,55676244,56337708,56836336,57322896,57670896,58599552,59138688,60653552,60926804,62469664,63480524,64608464,65588676,66619900,67401876,67873488,68685664,69984964,70922852,72338664,74072732,74526432,75575252,77106224,78206500,79083960,80439196,81366348,82751104,83497320,84023940,86183788,88075248,88902704,90145488,89973440,91262020,91539096,91570968,92074544
 "29000","Missouri",4,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",4628052,4639740,4733348,4866580,4995028,5128272,5140256,5197796,5245620,5300960,5327740,5308940,5285976,5323892,5339580,5444648,5474748,5659676,5733212,5769176,5867572,5961192,6075372,6172348,6312892,6371216,6484296,6555892,6713316,6832856,6901076,7166496,7267544,7466108,7630176,7730576,7906432,7975120,8075396,8164512,8433292,8698384,8880608,9140664,9211716,9338700,9628520,9822816,9987636,9899860,10144720,10148804,10356864,10598468,10645496,10721448,11097468,11363052,11291736,11601732,11944160,12290904,12685784,12942756,13138072,13301312,13549172,13682468,13525180,13689936,14100680,14509408,15216972,15351896,15712564,16136604,16447704,17045580,17716064,18182912,18599556,19392876,19913132,20591300,21205980,21602612,22139428,22480672,23042052,22836328,23292836,24033616,24747100,24952376,25427752,25632536,25862508,26162860,26387680,26874944,26946324,27500596,28386180,29004640,30047836,30673532,31204760,31732408,32162876,32809596,33391180,33964188,34591224,34738704,35191868,35778880,36740368,36845420,37341160,38241096,38326508,39615800,40264100,40908944,41322088,41600780,42294956,42713208,43141136,44061796,44369456,44123752,44177440,44354480,45016428,45632328,46566956,47122608,47520504,48006692,48273084,49148504,49545416,50989288,51137324,52519816,53438948,54425364,55310652,56201084,56901028,57241060,57828316,59006444,59802416,61063536,62653572,62933468,63964208,65366152,66464632,67150956,68385840,69206608,70416932,71002980,71265044,73084364,74786588,75555548,76483588,76378988,77416980,77629196,77313508,77832676
 "29000","Missouri",4,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",6792,6776,6784,6728,7120,7116,7196,7248,7228,7320,7340,7408,7776,7796,8216,8648,8752,9232,9284,9748,9796,10196,10672,10652,11144,11524,11952,11936,11992,11992,12028,12016,12500,12856,13260,13248,13684,13756,14196,14636,15544,16400,17316,18276,18128,19104,19216,20100,20396,20852,21100,21784,22988,23844,23996,24376,24208,24488,25380,26556,27976,29688,30708,32004,32624,33272,33484,33956,33344,33888,35208,36884,39064,41288,42588,43012,43072,43476,46072,49636,54644,61492,64988,66500,68500,69980,72900,74664,77928,80512,78656,79896,77992,74648,77084,77148,76232,80568,80320,85216,89052,87060,89076,93608,98180,100736,103112,108780,106568,115004,118256,117956,126340,131124,133364,138840,143940,147372,152072,147768,155124,154796,152608,155424,155684,157756,162596,168004,170996,168740,170628,170220,181004,185696,182536,183552,185344,191096,196004,200748,196772,201192,211028,212288,219600,225232,226820,232180,225700,232636,232964,239364,244860,248160,255744,261936,267048,273176,277444,283860,289456,306544,311292,322052,331888,340772,349916,356184,365756,370960,374868,376996,481640,428436,384292,363164
 "29000","Missouri",4,SQINC7S,200,"B","   Mining","Thousands of dollars",40152,38332,35664,38272,37588,36788,36048,39716,36020,38020,39804,39660,39808,37036,38212,38052,38148,39348,36000,34760,33880,40504,42172,42772,46000,44076,46376,47724,48976,53156,52488,57068,55652,55292,56552,55532,57288,56792,60444,58336,67592,64268,64780,66412,69848,72128,72188,76140,76092,72912,82048,82952,78728,81568,81968,81284,83672,83920,82352,84132,84836,88324,94144,98512,102220,104564,108008,102724,118836,115288,109432,117892,123772,119108,123928,125036,126104,134276,132912,132664,103824,139936,149304,153708,151640,158820,169708,170924,163020,158060,156132,165276,169560,136952,164332,171632,181632,180244,178912,172584,166896,164804,165908,163572,178076,163008,169424,175980,179128,186368,187364,184152,185896,183120,176344,163684,173752,177756,180104,179940,147240,176912,183032,183248,169652,166092,168012,175028,177992,169016,178068,182412,166924,169928,175584,164988,177028,168316,171772,144692,270528,142864,149500,168696,142924,173612,184968,165884,180668,170516,183440,187028,179792,179768,181984,184892,179504,182836,182592,184296,201896,205776,209792,232496,181436,230260,226372,251928,241000,237096,217952,213128,232816,252672,237524,217264
 "29000","Missouri",4,SQINC7S,300,"C","   Construction","Thousands of dollars",288368,304996,311336,344100,342660,363784,353792,343596,326288,329036,360720,361272,380856,363788,352120,347540,331736,398956,412292,431496,437172,453444,461448,453156,469736,467528,490012,506996,517552,553412,539600,574692,562488,559616,561048,560232,577816,579960,581548,563756,594236,641508,641468,660700,661708,652504,679776,742532,752376,673384,731968,790988,787924,839564,846576,795660,824052,855128,790448,776032,821632,851840,895224,906248,901632,847132,898064,898056,892672,930688,971524,982044,1062372,999480,1031072,1042480,1075144,1083712,1135576,1180228,1207904,1319808,1402816,1473332,1479804,1575460,1610664,1630100,1607624,1384048,1521096,1622348,1678760,1589168,1593352,1574280,1536512,1604960,1563240,1616148,1657156,1585744,1671252,1700472,1845852,1941076,1994748,2039104,2016824,2129896,2212972,2185272,2273864,2341224,2359976,2493876,2542416,2430504,2369816,2409264,2402404,2519656,2496156,2503780,2457364,2410944,2439936,2477764,2634316,2357968,2495456,2442208,2325432,2368004,2386252,2316240,2474168,2464432,2465320,2506528,2494200,2556600,2663160,2875204,3049720,3277116,3406252,3429760,3590552,3507792,3486248,3528064,3616288,3698424,3844024,3912084,4029580,4091340,4125848,4216788,4191956,4334704,4476012,4706128,4861376,4978560,5094760,5323912,5514444,5456452,5537792,5528584,5854224,5946572,5821736,5865520
 "29000","Missouri",4,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",1734316,1719052,1775152,1818152,1891016,1953488,1950828,1976104,2030556,2032480,2009204,1966392,1932356,1968548,1971016,2042064,2076960,2125992,2158528,2155784,2199232,2228312,2281348,2341020,2374712,2427724,2461856,2461132,2544100,2560620,2568820,2687748,2756264,2879436,2951368,2983400,3048768,3042680,3076960,3112092,3229624,3296976,3377956,3454824,3420120,3412072,3572724,3586116,3640304,3628976,3621092,3525700,3630172,3641440,3595112,3666892,3785380,3925564,3937796,4060472,4188868,4267268,4388116,4455360,4515344,4580412,4584288,4593196,4360944,4415040,4592580,4745136,5045064,5097816,5192428,5359048,5431696,5691144,6046960,6120600,6223064,6465552,6566624,6788176,7021736,7092840,7172780,7206168,7436636,7291680,7368392,7581116,7707024,7838808,7971384,7968820,8020848,8057004,7949644,7977272,8034880,8235880,8714496,8926872,9255888,9540904,9686168,9793856,9994720,10005320,10177920,10289892,10440568,10395976,10440136,10410716,10618232,10527540,10553120,10746120,11099192,11195604,11314388,11512712,11675604,11650064,12124108,11976604,11847952,12481628,12051192,11881368,11855928,11818928,12025544,12162684,12252136,12268240,12357392,12765868,11953952,12564136,12589768,13235280,12690948,13184956,13539256,13509832,13917352,14101364,14295456,14144364,14271920,14448048,14396800,14847168,15356144,15041280,15442984,15834000,15711500,15738056,15849048,15538428,16125748,15808280,15618100,15604944,16013156,16340012,16249412,16102908,15777908,15762896,15846236,15949128
 "29000","Missouri",4,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",914032,907816,940120,975652,1029960,1072440,1067092,1066932,1135044,1121292,1096416,1061408,1028212,1046756,1041708,1084656,1114884,1150916,1174668,1175788,1211984,1229856,1275564,1324652,1340832,1376756,1397416,1385464,1444852,1457788,1468764,1554812,1606672,1702552,1748728,1757296,1820096,1808640,1828848,1839828,1930112,1981712,2019512,2076748,2052264,2011944,2158292,2138364,2145912,2105396,2110788,2061508,2169724,2151256,2119112,2145624,2236392,2366120,2346824,2437672,2534748,2587116,2666488,2710964,2736904,2777284,2744428,2756004,2558784,2583744,2710400,2792732,2987720,3036712,3092444,3205644,3283072,3477092,3758688,3788776,3850396,4009708,4075104,4229916,4382280,4402720,4457340,4394952,4550316,4355952,4377984,4533624,4668112,4724384,4794112,4755232,4750416,4749348,4655764,4617892,4654424,4798824,5152160,5328592,5589912,5816384,5892032,5941340,6098368,6089376,6190528,6271560,6379080,6285488,6297024,6261976,6373752,6212824,6280336,6430636,6595376,6637000,6699528,6866888,7018268,6913408,6933280,6918472,6950824,7172344,7087928,6787920,6646600,6672784,6822056,6879700,6890424,6966496,6974352,7193464,6676224,7025056,7007336,7300492,7141312,7352896,7621892,7583656,7909248,7883360,8055852,8062596,8062512,8256400,8263984,8463500,8696312,8528096,8730024,9063276,9070552,9055476,9044468,8917500,9167544,9046296,8928004,8970616,9404752,9431972,9231836,9013888,8960036,9043028,9149984,9146340
 "29000","Missouri",4,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",820284,811236,835032,842500,861056,881048,883736,909172,895512,911188,912788,904984,904144,921792,929308,957408,962076,975076,983860,979996,987248,998456,1005784,1016368,1033880,1050968,1064440,1075668,1099248,1102832,1100056,1132936,1149592,1176884,1202640,1226104,1228672,1234040,1248112,1272264,1299512,1315264,1358444,1378076,1367856,1400128,1414432,1447752,1494392,1523580,1510304,1464192,1460448,1490184,1476000,1521268,1548988,1559444,1590972,1622800,1654120,1680152,1721628,1744396,1778440,1803128,1839860,1837192,1802160,1831296,1882180,1952404,2057344,2061104,2099984,2153404,2148624,2214052,2288272,2331824,2372668,2455844,2491520,2558260,2639456,2690120,2715440,2811216,2886320,2935728,2990408,3047492,3038912,3114424,3177272,3213588,3270432,3307656,3293880,3359380,3380456,3437056,3562336,3598280,3665976,3724520,3794136,3852516,3896352,3915944,3987392,4018332,4061488,4110488,4143112,4148740,4244480,4314716,4272784,4315484,4503816,4558604,4614860,4645824,4657336,4736656,5190828,5058132,4897128,5309284,4963264,5093448,5209328,5146144,5203488,5282984,5361712,5301744,5383040,5572404,5277728,5539080,5582432,5934788,5549636,5832060,5917364,5926176,6008104,6218004,6239604,6081768,6209408,6191648,6132816,6383668,6659832,6513184,6712960,6770724,6640948,6682580,6804580,6620928,6958204,6761984,6690096,6634328,6608404,6908040,7017576,7089020,6817872,6719868,6696252,6802788
