GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "31000","Nebraska",4,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",1390348,1415292,1438040,1486564,1511740,1551444,1572620,1609544,1616412,1671016,1719328,1746304,1756760,1755276,1773524,1804040,1840352,1873952,1876764,1873056,1892356,1917448,1944864,1958192,1980428,2024392,2052908,2075676,2079812,2101408,2120564,2166140,2202368,2245232,2291712,2333108,2382128,2412324,2478460,2551480,2610884,2674300,2732348,2792124,2864664,2962884,3045464,3124580,3203088,3240556,3327388,3353580,3407256,3511420,3555648,3586268,3781652,3781960,3806916,3890532,4041976,4183416,4332128,4466828,4567592,4676732,4806036,4883984,4900764,4984988,5135848,5275936,5494184,5618976,5708120,5861012,6043256,6149532,6282516,6434092,6588884,6829660,7050328,7236636,7488980,7638124,7858796,8108300,8272084,8336468,8507936,8718432,8956208,9050644,9222108,9346232,9502744,9527704,9566788,9575012,9679108,9831436,10002660,10146052,10320760,10593980,10931300,11118212,11218404,11295128,11317560,11406252,11527088,11617940,11735944,11837880,12021784,12136184,12354012,12634324,12668216,13070400,13356404,13550404,13669528,13813164,14004164,14257648,14485308,14952952,15086272,15429036,15483200,15592728,15859128,15971960,16297436,16631000,16733556,16869804,17003432,17256096,17434408,17745692,17874916,18416912,18799016,19160220,19410764,19553024,19890960,20332940,20587272,20890128,21171792,21536540,22183860,22323736,22613420,22962952,23326036,23912528,24305380,24458600,24854052,25254372,25472416,26302796,26837192,26879504,27129768,27208924,27642220,28020024,27963328,28366392
 "31000","Nebraska",4,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",36452,38476,39272,42172,41768,40268,40196,44084,43968,46648,47584,50292,51732,52032,53348,53752,54800,55192,54860,54764,54856,53800,56552,52848,52404,56120,55080,54172,52988,55176,54248,57284,59800,63764,66120,68068,66900,64512,64444,60796,58448,53568,52824,51712,58352,60824,62076,63900,62300,64644,67976,67668,69640,71272,80724,81276,86312,82128,84232,87740,95988,100964,105628,111776,119400,123544,122120,121184,124264,120552,115168,115888,118796,121116,123916,129856,151780,161184,166472,166248,168344,162176,159800,162336,170836,178584,185064,189544,192068,191344,190680,189400,187736,189816,194208,200972,210712,214160,214736,212720,208716,206600,205408,204912,205672,205872,206896,208796,210536,211820,210680,207240,202468,198484,196028,195124,196464,198736,202288,206692,205288,210608,213816,214776,200276,202536,208276,217776,215896,224248,227928,227040,205556,200676,196632,193832,187960,188948,191408,195116,193048,195416,200424,206624,221572,232252,237896,238604,237740,232192,229104,229848,237600,244632,251056,256448,261808,264728,270848,279788,299184,312328,316948,313752,301548,291320,289032,294576,308924,323760,338980,352792,370412,375028,377960,379308
 "31000","Nebraska",4,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",1353896,1376816,1398768,1444392,1469972,1511176,1532424,1565460,1572444,1624368,1671744,1696012,1705028,1703244,1720176,1750288,1785552,1818760,1821904,1818292,1837500,1863648,1888312,1905344,1928024,1968272,1997828,2021504,2026824,2046232,2066316,2108856,2142568,2181468,2225592,2265040,2315228,2347812,2414016,2490684,2552436,2620732,2679524,2740412,2806312,2902060,2983388,3060680,3140788,3175912,3259412,3285912,3337616,3440148,3474924,3504992,3695340,3699832,3722684,3802792,3945988,4082452,4226500,4355052,4448192,4553188,4683916,4762800,4776500,4864436,5020680,5160048,5375388,5497860,5584204,5731156,5891476,5988348,6116044,6267844,6420540,6667484,6890528,7074300,7318144,7459540,7673732,7918756,8080016,8145124,8317256,8529032,8768472,8860828,9027900,9145260,9292032,9313544,9352052,9362292,9470392,9624836,9797252,9941140,10115088,10388108,10724404,10909416,11007868,11083308,11106880,11199012,11324620,11419456,11539916,11642756,11825320,11937448,12151724,12427632,12462928,12859792,13142588,13335628,13469252,13610628,13795888,14039872,14269412,14728704,14858344,15201996,15277644,15392052,15662496,15778128,16109476,16442052,16542148,16674688,16810384,17060680,17233984,17539068,17653344,18184660,18561120,18921616,19173024,19320832,19661856,20103092,20349672,20645496,20920736,21280092,21922052,22059008,22342572,22683164,23026852,23600200,23988432,24144848,24552504,24963052,25183384,26008220,26528268,26555744,26790788,26856132,27271808,27644996,27585368,27987084
 "31000","Nebraska",4,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",1048732,1064536,1081756,1121492,1142496,1179060,1196464,1225292,1226860,1272560,1309160,1324996,1330796,1321056,1332524,1357500,1382220,1408644,1409400,1393732,1405832,1427204,1439944,1455892,1469940,1497848,1515356,1536364,1539432,1557320,1574560,1612304,1645028,1680372,1723228,1757048,1793288,1820556,1865732,1918304,1969412,2014640,2058256,2111764,2151504,2235636,2298152,2346764,2390532,2390920,2449956,2456976,2493360,2583216,2605064,2627568,2796320,2790428,2794792,2854052,2968320,3087816,3228504,3331264,3418016,3501484,3580012,3664804,3633468,3679264,3797128,3924064,4097156,4207112,4303904,4429900,4532560,4622336,4723676,4847916,4974508,5191960,5363436,5495340,5716168,5818960,6024832,6205332,6363688,6362880,6501888,6681424,6893688,6950308,6994324,7039696,7195384,7204508,7198572,7192416,7251072,7390368,7568584,7655768,7807392,8020240,8305132,8470612,8520924,8558640,8561404,8638468,8751600,8829704,8877920,8939400,9108616,9186672,9366104,9597260,9607968,9990264,10238152,10375620,10484652,10567664,10700568,10887252,11050080,11355000,11499576,11794972,11777112,11874072,12098052,12129464,12523016,12745300,12879444,12978412,13133404,13352384,13459268,13781592,13855564,14362484,14698092,15010736,15212896,15348428,15642392,16013952,16237956,16515020,16720964,17079044,17682816,17790592,18037784,18399836,18673180,19213552,19587196,19730956,20143092,20493160,20685600,21455824,21883488,21885212,22193296,22057840,22512768,22712392,22584828,22809508
 "31000","Nebraska",4,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",3420,3836,4260,4212,4204,4188,4228,4656,4616,4656,5068,5116,5072,5516,5512,5492,5944,5944,5952,6356,6376,6316,6356,6796,6908,7356,7780,7744,7684,8008,7980,8364,8416,8800,9224,9244,9712,10224,9756,8816,7852,6496,5620,4792,7264,7200,7664,8252,8528,8728,9260,9200,9752,10024,10312,10516,10652,11156,11572,12500,13064,13256,14172,14572,15504,15992,16148,16452,16064,15928,15920,16340,16528,17272,17076,17220,16200,16428,17764,20632,21740,24364,27400,27396,27632,28848,28840,32668,31960,32692,32924,32008,34008,32968,34200,28536,30584,31432,33316,33052,36208,36820,34976,38844,40284,41104,42784,46064,47640,50000,52180,51404,52764,56948,54996,57184,56024,57904,56996,58152,61380,60812,58212,62248,60696,63864,64496,62724,66156,67772,71092,69020,71540,73996,74720,76988,74892,72848,72192,79372,78804,76832,79824,83676,82952,85424,84504,85692,87428,88892,87772,94216,92664,95340,97984,97680,97740,101032,105700,110004,113028,117092,113856,115852,124068,122576,132120,124372,135248,137428,141756,134272,168296,151884,135048,125560
 "31000","Nebraska",4,SQINC7S,200,"B","   Mining","Thousands of dollars",10684,11348,12136,12236,13200,13272,12880,13716,13440,13648,13772,13432,14212,14116,13480,13480,12720,12768,12456,12448,11952,11548,11136,10800,10276,10908,10352,10400,10356,10592,10024,10288,10600,10984,10384,10424,9952,9648,10200,10468,10432,10144,10168,10476,11780,11596,12056,12220,12216,11852,11496,13076,12004,12260,12972,12436,13064,13508,13044,12384,12512,13224,14268,15812,17064,17108,16920,15192,15520,16856,17240,18336,18300,17588,18768,18884,20920,21944,22916,21632,20652,24404,24720,25052,24560,27144,26304,28620,29728,30032,28576,30156,31628,32972,35096,36584,37188,33808,33712,33040,32020,33452,34848,33796,35276,36748,44588,44640,43460,43316,40116,39708,42496,36188,33104,34296,36304,36896,38508,39172,37532,37972,36456,34652,33192,33384,33988,35284,34408,34632,35860,37252,37924,38940,39112,36924,36636,34724,33548,33416,34020,35464,35708,37196,34452,35856,34076,35052,35660,33040,34112,33908,34112,34616,34760,31984,35360,37392,34704,34864,35488,36388,39476,39920,38680,38008,39960,42192,42500,42444,41020,39832,42592,44292,43660,46220
 "31000","Nebraska",4,SQINC7S,300,"C","   Construction","Thousands of dollars",84308,84996,84640,99224,96112,101840,107940,119332,103976,131724,148764,150432,151512,134752,129816,133672,139532,139568,136252,128544,128144,140460,142736,137596,132024,132820,132768,142700,139296,139788,142792,153692,156460,156468,157240,151612,158740,159504,167320,172120,179804,181544,178080,189384,198508,214428,227260,231380,235208,227244,227004,222180,217908,235204,239244,253684,271468,266092,259248,259880,285964,296120,309724,318452,326900,328136,327928,336576,314708,321968,352084,362960,382164,391396,389668,406184,424700,428020,436076,445056,446056,481448,498240,501252,479540,492488,500868,483280,495156,462440,462712,479504,498948,460580,429752,411936,401520,406080,461124,426388,398312,401440,432604,418772,408756,445508,501404,510784,530680,510132,488100,480212,465832,486696,485420,486180,500764,478488,482472,496820,517724,530012,535028,540820,513128,542908,541980,552464,574356,587252,601020,621656,627632,615664,630508,612880,628256,667512,678764,677920,694956,721340,751440,782796,790416,899684,897856,955004,958048,900584,958424,987228,1021088,1031056,1053024,1226272,1060776,1138828,1127524,1109804,1192168,1258828,1290500,1279896,1361020,1355004,1395844,1502148,1496984,1481180,1476268,1437812,1463052,1490592,1496668,1506252
 "31000","Nebraska",4,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",263748,266336,271884,279532,289496,301016,307128,313600,320956,321780,329116,327904,334692,337204,343576,353228,355204,364816,364096,353680,355464,358320,360680,366124,373964,385592,388480,391932,392804,393316,396332,404644,421656,436068,454416,467336,480744,486896,500928,518656,526304,544824,555716,567496,575876,599224,612396,616676,629368,617908,623544,619084,630036,642748,647616,652152,676324,696428,723800,746044,761272,778144,800020,811536,848428,868956,883328,894912,869432,866560,872560,904740,961912,993112,1016532,1039340,1055628,1070516,1102656,1112760,1141540,1203796,1246376,1289072,1337944,1380656,1436880,1461200,1501116,1488376,1509096,1564660,1625244,1646904,1657048,1643192,1652104,1602444,1552736,1578620,1561092,1597380,1657928,1700704,1783292,1826972,1884804,1874648,1914504,1888020,1876768,1895196,1908236,1909068,1939552,1911120,1918932,1934588,1997272,2062676,2095348,2131052,2191688,2220520,2220116,2218196,2273364,2267848,2289816,2367636,2373464,2392840,2435892,2400432,2423896,2478360,2515728,2591536,2603208,2684956,2553060,2670000,2691512,2876744,2803488,2975400,3097348,3129168,3151668,3176128,3241604,3218220,3287192,3339484,3357412,3414668,3483116,3529316,3603196,3700440,3706144,3766304,3780380,3714884,3762608,3847760,3827356,4053644,4037300,4036820,4119940,4024832,4041992,4051716,3982128,3974512
 "31000","Nebraska",4,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",91912,91412,92748,98416,99584,108752,111360,114756,121292,122548,125420,129328,130624,129856,135368,141044,145832,152572,149676,142544,142012,142084,142452,146316,147964,152212,154748,154788,156388,165020,169764,176748,190112,197064,206112,218044,224892,227940,237628,246320,255624,266496,274060,283380,290128,307032,316468,323548,327732,319964,314304,301248,313988,319260,324864,323612,345368,353976,370252,388108,395256,408048,429052,428048,448560,448744,443928,453796,433096,425408,427192,442508,468864,506416,520944,535952,561080,571664,586536,593620,598176,623096,656200,680260,710836,738300,770356,785768,809916,774256,763424,801984,830476,844388,857736,835812,835172,815076,776808,779936,778296,812016,839504,891844,961276,973972,999688,995676,1006332,987568,952664,960240,950440,950256,987496,961200,974244,978196,1012124,1045408,1066264,1085088,1106128,1115312,1127076,1123132,1145840,1129516,1185944,1217560,1218412,1213504,1212480,1206856,1223976,1240692,1257280,1280264,1291576,1324688,1255800,1316352,1337712,1434956,1367072,1473072,1525176,1567436,1543720,1565604,1568476,1570072,1605528,1618752,1664764,1662504,1749120,1769240,1791132,1851380,1880544,1889664,1883272,1818516,1847072,1878384,1892596,2063612,1999020,2012856,2042552,1990012,1952644,1913084,1861784,1825288
 "31000","Nebraska",4,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",171836,174924,179136,181116,189912,192264,195768,198844,199664,199232,203696,198576,204068,207348,208208,212184,209372,212244,214420,211136,213452,216236,218228,219808,226000,233380,233732,237144,236416,228296,226568,227896,231544,239004,248304,249292,255852,258956,263300,272336,270680,278328,281656,284116,285748,292192,295928,293128,301636,297944,309240,317836,316048,323488,322752,328540,330956,342452,353548,357936,366016,370096,370968,383488,399868,420212,439400,441116,436336,441152,445368,462232,493048,486696,495588,503388,494548,498852,516120,519140,543364,580700,590176,608812,627108,642356,666524,675432,691200,714120,745672,762676,794768,802516,799312,807380,816932,787368,775928,798684,782796,785364,818424,808860,822016,853000,885116,878972,908172,900452,924104,934956,957796,958812,952056,949920,944688,956392,985148,1017268,1029084,1045964,1085560,1105208,1093040,1095064,1127524,1138332,1103872,1150076,1155052,1179336,1223412,1193576,1199920,1237668,1258448,1311272,1311632,1360268,1297260,1353648,1353800,1441788,1436416,1502328,1572172,1561732,1607948,1610524,1673128,1648148,1681664,1720732,1692648,1752164,1733996,1760076,1812064,1849060,1825600,1876640,1897108,1896368,1915536,1969376,1934760,1990032,2038280,2023964,2077388,2034820,2089348,2138632,2120344,2149224
