GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "33000","New Hampshire",1,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",704504,699936,726848,748608,758480,779456,798320,810484,819152,829640,836104,836884,844980,857632,876228,883700,907164,926284,927908,929652,940876,951352,956616,976780,994160,1013668,1032372,1045904,1051744,1082368,1120760,1139684,1172384,1205752,1237120,1271820,1305240,1327236,1355216,1386820,1437404,1459016,1494552,1539428,1563356,1601644,1637096,1672124,1708052,1720484,1719856,1728292,1754000,1804792,1862936,1870452,1990888,1983928,2024520,2051320,2179404,2254892,2322960,2396840,2438532,2467456,2492616,2502224,2453776,2515624,2606572,2695572,2789716,2865940,2997432,3020724,3114704,3229744,3342776,3520036,3631012,3778828,3911480,4041900,4201332,4354200,4444200,4521504,4701772,4786852,4867392,5130064,5156932,5281188,5475472,5673352,5667996,5775540,6032792,5981644,6146856,6366144,6568220,6836684,7067392,7109212,7262928,7537728,7789576,7975080,8200820,8494780,8769148,9015148,9145260,9466964,9618268,9929952,10276268,10783676,10859660,11120184,11266852,11547992,11643272,11626204,11600580,11640108,11657344,11803884,11781296,11485472,11497148,11516564,11459960,11684708,11931792,12137680,12236172,12540612,12332016,12525492,12844940,12829620,13186928,13427316,13491016,13772444,13962576,14601084,14556632,14843544,15081748,15356500,15599180,15823324,16148564,16627060,17058852,17480992,17574212,18014824,18623292,19182912,18981360,19312572,19669216,20276900,21576140,21355976,21619852,22141948,22533764,22279756,22113388,22317080
 "33000","New Hampshire",1,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",10096,10624,10236,9976,8588,7132,6216,6216,6368,6852,7124,7680,7640,7888,7960,7916,7964,8380,8348,8012,8032,7880,7940,7420,7344,7448,7328,6832,6772,6716,6472,6520,6752,7176,7188,7316,7272,7140,7360,7276,7304,7008,6852,6900,6856,6708,6668,6620,6880,6984,6988,6840,6040,5904,6052,5976,5436,5272,5384,5548,5608,5896,6172,6532,6108,6156,6048,6000,6632,6548,6332,6420,6592,6776,6732,6772,7364,7396,7948,8788,11204,12412,13372,14000,13620,13572,13520,13568,13836,13936,13784,13384,13280,12924,12868,13156,14004,14548,14832,14820,14576,14296,14144,14112,14344,14436,14560,14672,15052,15060,14968,14768,14540,14248,14056,13952,14088,14256,14584,15084,15868,16308,16572,16640,16676,16924,17404,18180,19600,20316,20600,20452,20248,19768,19368,19056,18648,18620,18992,19712,20692,21700,22240,22264,22084,21844,22136,23000,24648,25768,26760,27516,27916,28244,28780,29472,30696,31496,32032,32300,31364,31392,31096,30628,27944,27436,27452,27900,30096,31068,31888,32412,31076,31460,31704,31820
 "33000","New Hampshire",1,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",694408,689312,716612,738632,749892,772324,792104,804268,812784,822788,828980,829204,837340,849744,868268,875784,899200,917904,919560,921640,932844,943472,948676,969360,986816,1006220,1025044,1039072,1044972,1075652,1114288,1133164,1165632,1198576,1229932,1264504,1297968,1320096,1347856,1379544,1430100,1452008,1487700,1532528,1556500,1594936,1630428,1665504,1701172,1713500,1712868,1721452,1747960,1798888,1856884,1864476,1985452,1978656,2019136,2045772,2173796,2248996,2316788,2390308,2432424,2461300,2486568,2496224,2447144,2509076,2600240,2689152,2783124,2859164,2990700,3013952,3107340,3222348,3334828,3511248,3619808,3766416,3898108,4027900,4187712,4340628,4430680,4507936,4687936,4772916,4853608,5116680,5143652,5268264,5462604,5660196,5653992,5760992,6017960,5966824,6132280,6351848,6554076,6822572,7053048,7094776,7248368,7523056,7774524,7960020,8185852,8480012,8754608,9000900,9131204,9453012,9604180,9915696,10261684,10768592,10843792,11103876,11250280,11531352,11626596,11609280,11583176,11621928,11637744,11783568,11760696,11465020,11476900,11496796,11440592,11665652,11913144,12119060,12217180,12520900,12311324,12503792,12822700,12807356,13164844,13405472,13468880,13749444,13937928,14575316,14529872,14816028,15053832,15328256,15570400,15793852,16117868,16595564,17026820,17448692,17542848,17983432,18592196,19152284,18953416,19285136,19641764,20249000,21546044,21324908,21587964,22109536,22502688,22248296,22081684,22285260
 "33000","New Hampshire",1,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",585332,580352,600296,617504,627908,649492,667904,681072,687948,693144,697996,691848,699208,711704,727020,734768,756396,773276,774096,775636,779836,784916,786816,804076,816220,833952,849828,861812,868256,893032,930808,946768,983748,1014760,1040300,1068352,1089060,1107548,1125120,1153372,1190796,1213564,1243384,1281564,1305956,1337680,1363980,1392480,1415992,1417184,1411232,1411548,1429308,1471352,1519924,1520560,1630548,1618296,1649972,1666300,1779964,1840336,1892432,1957600,1994300,2014496,2029292,2033252,1976344,2019700,2094124,2170012,2257152,2329776,2453864,2467356,2542376,2645932,2749996,2905952,2995540,3134912,3244892,3358524,3519980,3633056,3723208,3816504,3973180,4011792,4087428,4322480,4361932,4495100,4646848,4801868,4825060,4915304,5149988,5097800,5243424,5454208,5610740,5882272,6089276,6116876,6278292,6501768,6738004,6899420,7092620,7378932,7622500,7846160,7953328,8234424,8352176,8633484,8954352,9358176,9457504,9690680,9805004,10025820,10090008,10052800,9953908,9992216,9965912,10057808,10054728,9789208,9762472,9786312,9755076,9882588,10159948,10311680,10455936,10646188,10510680,10662580,10952996,10958304,11235036,11480328,11569804,11804956,11994616,12617048,12527060,12789752,12992492,13280512,13496900,13724908,14010020,14467496,14839024,15251108,15361292,15759592,16366396,16866920,16687328,16980432,17298768,17850208,19072360,18829388,19114820,19603420,19858692,19649500,19424776,19626012
 "33000","New Hampshire",1,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1596,1588,1580,1548,1512,1476,1496,1528,1572,1640,1696,1756,1748,1772,1804,2304,1924,1984,1976,1924,2252,2108,2056,2068,2188,2280,2352,2376,2332,1844,1804,1776,2160,2100,2508,2544,2644,2740,2792,2792,2768,3188,3156,3144,3572,3504,3572,3512,3568,4056,4068,4040,4164,4084,4428,4760,4752,5072,5516,5556,6016,6216,6440,6828,6824,6864,6940,6900,5936,6064,6016,6668,6784,7192,7676,7444,7136,7612,7616,8316,9512,10056,10524,10556,12376,12460,12368,12088,12376,13128,13368,13604,13428,12968,13032,12952,13560,14224,14372,14748,15332,15540,15780,17512,16764,17664,18548,19808,21800,24672,25428,27060,28104,30936,33568,35172,36136,37264,39044,38876,42432,43864,45396,44364,46680,45676,46348,45780,44356,43748,42616,41816,40912,41268,40032,41724,41708,41884,42180,42736,43536,44072,46568,47908,48200,49232,50652,51444,51928,56924,55592,56904,58672,61328,62972,65644,66656,68932,71208,72424,80604,81056,83736,87236,95020,95648,98992,99100,102064,102576,105612,111912,136036,124644,111904,107256
 "33000","New Hampshire",1,SQINC7S,200,"B","   Mining","Thousands of dollars",1072,1048,1072,1108,1256,1388,1328,1352,1248,1304,1400,1460,1588,1524,1616,1500,1672,1464,1400,1488,1416,1520,1520,1572,1592,1640,1536,1716,1600,1768,1860,1868,1952,2024,2040,2068,2068,1992,2124,2056,2136,2304,2428,2452,2624,2824,2824,2928,2824,2800,3020,3140,3320,3304,3136,3176,3460,3240,3432,3440,3384,3672,3816,3912,4240,4312,4128,3472,4832,4624,4856,5028,5040,5000,5232,5524,5104,5172,5096,5220,5368,6032,6264,5792,6488,6980,6416,6456,6344,6424,6520,6900,6452,6256,6368,6312,6796,6176,6744,6352,6748,7148,7572,8000,8072,8096,8708,8788,9732,9420,9908,10456,11464,13120,13664,14284,15372,17012,17280,18576,18308,19800,18164,19540,14492,17120,14596,13844,13408,11812,11644,11124,11008,11440,11584,11360,11432,12016,12688,12988,12376,12320,12548,12272,13320,13576,13816,14356,14720,14984,15056,13872,15284,16360,16288,16376,15244,14684,15404,16640,14580,15376,15084,17576,18100,17760,17196,17220,16708,17260,16740,16536,18628,18448,18656,19496
 "33000","New Hampshire",1,SQINC7S,300,"C","   Construction","Thousands of dollars",38036,35172,37712,37372,36144,39576,40524,43024,44820,46384,45660,43244,41724,43136,47108,48968,51880,52472,51208,49684,46632,49160,52456,54580,51304,56280,52240,55108,55768,58148,62656,65920,73552,79740,83032,80900,86576,87008,86512,88316,87192,89224,96400,106176,110560,114344,118828,121092,130708,120000,113488,113752,111792,123472,127224,129800,138656,132616,141452,143860,154496,163604,162836,168264,174708,159232,148480,141752,134768,136732,146516,140044,139780,152584,163284,173072,171272,192864,201264,215420,231104,244664,254576,262824,277792,288968,309056,315084,332876,297240,284232,305844,310184,340120,370836,411092,433224,461768,493420,481012,475756,504436,560252,570712,596836,462352,433128,498636,538128,613848,681928,751380,786100,796936,754204,767484,791708,829404,855900,877256,903208,904460,875392,865888,848076,785828,737776,691712,647324,602200,560192,524576,487252,462304,452024,427608,429424,437640,454096,466924,446928,456912,493956,458760,478304,502160,506552,524456,530016,573592,579496,602316,615016,611112,659260,642428,671464,706696,713936,725788,775004,795528,876112,913800,915732,911564,893712,937256,953496,980256,1009368,1051160,1090600,1133100,1200100,1259628
 "33000","New Hampshire",1,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",299796,296040,309468,320680,330604,342172,353052,358308,360904,358332,359916,350368,357268,362980,368964,373944,387180,396032,393596,390940,390880,391612,387004,393480,400456,408344,418292,421724,427460,434612,457476,460476,483868,497268,503544,521440,527800,531520,543900,562320,579876,589716,593704,602692,606324,618512,618428,627068,625624,621224,610396,591784,596708,602844,630252,629984,657244,677740,693960,711164,742120,763224,772672,795376,811368,822756,828784,818936,764936,782656,806336,859940,904256,928040,1002060,982208,1033744,1065120,1116704,1187632,1209536,1270304,1309752,1362496,1433168,1498256,1527720,1566732,1644040,1662352,1685264,1793908,1783848,1829464,1880312,1940984,1921272,1911160,2026912,1938036,2023408,2087984,2129992,2259196,2347280,2418344,2510744,2542504,2626664,2608800,2606552,2679940,2706288,2751000,2734888,2826388,2771388,2830068,2924824,3026396,3057408,3077200,3066392,3129976,3177644,3156012,3131416,3115016,3116972,3175964,3158176,3086000,3027628,3030252,3016336,3025680,3164648,3161688,3162456,3327452,3048036,3147628,3253504,3306604,3287128,3394976,3397276,3453344,3454108,3551904,3544776,3621204,3680532,3805280,3878344,3891244,3930976,4122156,4212188,4413596,4237268,4368468,4600800,4470956,4358832,4402868,4505332,4511180,5121756,4841560,4873984,4998868,4976628,4758336,4534168,4514444
 "33000","New Hampshire",1,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",118568,115396,120468,126612,132872,139336,145984,150340,157220,157540,152760,154296,156160,157424,162136,162300,170600,176432,176300,175460,174688,175792,175304,179220,182436,187908,193400,193412,199884,201548,211744,215312,230736,242712,245924,262692,267888,269800,278252,285132,290688,299864,302748,306780,314264,319136,325068,330868,332944,325292,320860,301776,316852,314092,333016,329924,346536,360576,373868,387948,406208,421792,429904,450100,460088,473348,475132,476368,455976,465456,475176,499772,529088,547528,597424,590296,623728,639632,668992,722012,741008,785352,822256,859852,905312,959096,985152,1021900,1092496,1108528,1130744,1223484,1195584,1241096,1275000,1332076,1327744,1321288,1390292,1327064,1390904,1426288,1461440,1572396,1648784,1700216,1792716,1825036,1899704,1886952,1885408,1948096,1971656,2016128,2004944,2070556,2013420,2059460,2135968,2217144,2219672,2220016,2212096,2252212,2291468,2286324,2271712,2267048,2280164,2315996,2295968,2230200,2181692,2175332,2148080,2155376,2278880,2288848,2254464,2406604,2153572,2224036,2294184,2301484,2307688,2399544,2385248,2404548,2423404,2514300,2510808,2586964,2644732,2719400,2792432,2804296,2811456,2967660,3061852,3241980,3032860,3170868,3397024,3290720,3247244,3273424,3287872,3362660,3894488,3617304,3649144,3754996,3749612,3593180,3388648,3406104
 "33000","New Hampshire",1,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",181228,180644,189000,194068,197732,202836,207068,207968,203684,200792,207156,196072,201108,205556,206828,211644,216580,219600,217296,215480,216192,215820,211700,214260,218020,220436,224892,228312,227576,233064,245732,245164,253132,254556,257620,258748,259912,261720,265648,277188,289188,289852,290956,295912,292060,299376,293360,296200,292680,295932,289536,290008,279856,288752,297236,300060,310708,317164,320092,323216,335912,341432,342768,345276,351280,349408,353652,342568,308960,317200,331160,360168,375168,380512,404636,391912,410016,425488,447712,465620,468528,484952,487496,502644,527856,539160,542568,544832,551544,553824,554520,570424,588264,588368,605312,608908,593528,589872,636620,610972,632504,661696,668552,686800,698496,718128,718028,717468,726960,721848,721144,731844,734632,734872,729944,755832,757968,770608,788856,809252,837736,857184,854296,877764,886176,869688,859704,847968,836808,859968,862208,855800,845936,854920,868256,870304,885768,872840,907992,920848,894464,923592,959320,1005120,979440,995432,1012028,1048796,1030704,1037604,1033968,1034240,1035800,1085880,1085912,1086948,1119520,1154496,1150336,1171616,1204408,1197600,1203776,1180236,1111588,1129444,1217460,1148520,1227268,1224256,1224840,1243872,1227016,1165156,1145520,1108340
