GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "34000","New Jersey",2,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",9192300,9183956,9421508,9663312,9851692,10055160,10285612,10377904,10568788,10727340,10748768,10688792,10850892,11020280,11137508,11368708,11589488,11839512,11947992,12063756,12137672,12317724,12451304,12574852,12793640,13008360,13259748,13477824,13628184,13880588,14291072,14519968,14872904,15155872,15396532,15738900,15919856,16237084,16458864,16843836,17222572,17585300,17971852,18436548,18488968,19132752,19605696,20275160,20437276,20944560,21330300,21491592,21877708,22173428,22770312,22912308,23319928,23934924,24661396,25483156,26199108,26600824,26916176,27604832,28115160,28888184,29068168,29386192,29073988,29290524,29967348,30894892,31443476,32021576,32797572,33189156,33892084,34771772,35525704,36501208,37343336,38795752,39747868,40834496,41821556,42745360,43819468,45116640,46344820,47119412,47948348,49774700,50533284,51750020,52997780,53741128,54636672,55257076,56638232,57021232,58719372,59386124,60831396,62926240,64299352,66479984,67941196,69624288,70202960,72046136,73286092,75087856,76141556,77949756,79840140,81491048,83818000,85293476,87183556,90199692,92540668,94431144,95944708,98414648,99142372,99757944,100603460,101435308,103361824,105131796,106032104,105265968,104806844,105861068,106591364,106578504,109942524,110754424,112129172,114116648,113537708,115152920,116377488,118116400,117277864,119893280,121456136,122397004,123595432,125018900,126108720,126917480,128302916,131112220,132122260,134248432,136862292,137914184,140385944,143708788,146817820,149181480,152935380,154208036,156717576,157607484,159252908,162631632,169184040,173242016,175117608,179672840,174951808,177228396,176494972,179493124
 "34000","New Jersey",2,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",48136,49112,48724,50492,48264,45376,43656,46124,44712,45360,44724,45340,44388,43264,43712,43420,44032,44440,44564,45588,46032,45504,49008,46960,46964,51552,51848,52612,53420,57692,56276,56124,54404,53516,52196,51424,49940,47536,48568,47540,48724,47368,49628,50536,45548,45988,46356,46948,47728,48928,49532,48352,45608,44520,45564,45460,46376,46680,47960,49200,50384,51936,52652,53188,51092,50336,49848,50896,54384,56000,56816,58540,59660,60804,61252,62024,66012,67248,67248,66056,64128,62096,61232,61728,63824,65712,67212,68044,67512,67344,66776,65824,63736,63080,63408,64720,67744,69704,70636,70456,69700,68548,67968,67880,69000,69464,69944,70444,72456,72400,71976,71048,70160,68780,67796,67148,67888,68744,70484,73236,77892,80428,81884,82280,83104,84712,87764,92476,99992,103832,105768,105828,104632,103120,101832,100720,99592,99684,101316,104432,109652,113212,114540,113832,112956,111204,111904,115140,122912,128000,132200,135056,136224,137320,139040,141352,145992,149336,151600,153024,155244,155540,153600,150548,143848,140008,140784,145412,156988,165908,173040,177404,173904,176072,177452,178080
 "34000","New Jersey",2,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",9144164,9134844,9372784,9612820,9803428,10009784,10241956,10331780,10524076,10681980,10704044,10643452,10806504,10977016,11093796,11325288,11545456,11795072,11903428,12018168,12091640,12272220,12402296,12527892,12746676,12956808,13207900,13425212,13574764,13822896,14234796,14463844,14818500,15102356,15344336,15687476,15869916,16189548,16410296,16796296,17173848,17537932,17922224,18386012,18443420,19086764,19559340,20228212,20389548,20895632,21280768,21443240,21832100,22128908,22724748,22866848,23273552,23888244,24613436,25433956,26148724,26548888,26863524,27551644,28064068,28837848,29018320,29335296,29019604,29234524,29910532,30836352,31383816,31960772,32736320,33127132,33826072,34704524,35458456,36435152,37279208,38733656,39686636,40772768,41757732,42679648,43752256,45048596,46277308,47052068,47881572,49708876,50469548,51686940,52934372,53676408,54568928,55187372,56567596,56950776,58649672,59317576,60763428,62858360,64230352,66410520,67871252,69553844,70130504,71973736,73214116,75016808,76071396,77880976,79772344,81423900,83750112,85224732,87113072,90126456,92462776,94350716,95862824,98332368,99059268,99673232,100515696,101342832,103261832,105027964,105926336,105160140,104702212,105757948,106489532,106477784,109842932,110654740,112027856,114012216,113428056,115039708,116262948,118002568,117164908,119782076,121344232,122281864,123472520,124890900,125976520,126782424,128166692,130974900,131983220,134107080,136716300,137764848,140234344,143555764,146662576,149025940,152781780,154057488,156573728,157467476,159112124,162486220,169027052,173076108,174944568,179495436,174777904,177052324,176317520,179315044
 "34000","New Jersey",2,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",7965500,7925808,8132816,8360112,8521448,8715420,8931772,9006676,9187128,9314348,9294024,9216104,9349464,9500088,9602960,9792356,9985740,10223800,10317516,10404284,10454480,10594212,10704356,10803732,10979268,11161408,11383640,11576704,11716916,11924424,12268564,12442920,12743860,12979172,13168488,13475296,13586788,13821644,13993900,14292644,14575032,14895240,15231500,15624392,15639364,16201528,16574268,17177952,17246136,17610920,17932864,18011324,18263252,18497116,18969772,19032988,19343076,19865676,20451684,21139520,21713856,22016248,22292540,22818296,23238992,23903252,24080688,24198308,23895828,23950756,24513592,25325484,25761468,26196736,26830756,27131992,27774624,28534528,29150916,30056540,30803848,32101080,32838584,33800544,34705964,35473692,36412972,37570580,38635100,39033944,39766436,41521024,42144780,43250328,44229096,44789844,45413056,46068668,47130236,47309420,48973156,49661308,50740116,52703816,53929824,55747624,57105536,58630612,59085652,60665636,61637692,63249364,64286744,65790488,67452608,68767100,70915032,71959980,74053344,76395660,78452632,80040812,81392132,83460440,83926536,84326060,84883872,85509440,87027140,88263968,88773928,88034064,87203696,88073400,88290784,88451896,91087164,91880032,92883872,94783300,93973396,95485932,96097720,97685544,96631240,99591428,100117548,101331928,102607536,103500412,104786100,104946432,106493892,109146316,110476668,112124100,114611684,115397000,118067536,121005376,123822524,125615480,129485816,130465808,132915284,133707464,134654692,138163640,144312600,147505312,149312596,153903004,148946924,150540016,150078376,151076008
 "34000","New Jersey",2,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",18704,19068,19072,18872,18808,18756,18884,18928,18784,18888,19300,19892,20580,21468,21868,22240,22840,23268,23752,23716,23816,23700,23764,24132,24252,24544,25724,26936,28644,30248,31576,32776,33816,34484,34384,34728,34244,34344,34700,35484,37148,38328,40004,41428,39300,39796,39740,40708,41596,42332,43756,45112,46168,47488,48016,48772,49224,50664,52736,55028,58052,61012,62612,62848,63332,62772,61628,60988,58064,59096,61232,64000,68088,70976,73776,75596,77860,79088,81812,86048,93708,103028,105772,110400,111656,111000,116000,117044,131628,132500,135604,134356,131080,128060,128220,128476,135456,147168,148312,151348,157808,158888,165932,173548,177340,194676,202276,212216,218652,231836,236792,249464,252416,257648,272032,281896,300576,306376,320240,319668,330084,328148,328196,330552,339404,340860,351972,349948,353352,343176,337376,336008,337748,337408,320124,328572,325804,328524,334380,342928,350704,356612,369832,374636,389260,400740,408548,413272,415024,436916,421072,425424,437356,455688,464768,475472,466572,473512,512356,507484,522084,532000,558428,567360,593684,629648,622140,661784,676280,676124,673904,693448,881436,789768,725584,694556
 "34000","New Jersey",2,SQINC7S,200,"B","   Mining","Thousands of dollars",23996,21212,22288,22856,23004,23880,23200,22784,22036,22888,22104,22264,19752,20800,21432,21740,25016,24188,24336,24288,24596,25892,25904,26444,26828,26764,26080,26760,27356,27140,27352,27788,30896,26240,26904,25440,23008,24144,24948,25020,23304,26024,28128,28212,33016,32560,33412,34176,34052,35344,35076,33576,32860,32460,33496,34828,35988,34756,36448,38132,40512,41968,42216,44100,40400,42400,39304,35248,36416,34984,35120,37536,36440,37600,40932,39416,39048,42292,41712,40184,39680,44684,45656,47852,47644,48476,48788,49628,48676,48508,48532,52704,50388,51180,52928,49416,52024,51284,51804,50556,49248,48640,51080,51172,53800,57620,58436,59080,54380,60972,59540,64568,64104,65720,70108,70796,77408,77168,78960,82352,84740,86320,85472,87136,97892,86552,90832,92812,89316,89860,90616,85452,79176,74752,68884,68280,70568,70536,75160,76892,74224,74816,74328,82088,74376,83372,85448,87260,88820,86916,87408,81932,80044,85608,86980,89404,96576,96800,94984,101552,115996,103496,104932,103352,109836,108584,100420,91668,89704,87696,86028,86692,85784,86524,86788,86576
 "34000","New Jersey",2,SQINC7S,300,"C","   Construction","Thousands of dollars",502900,496060,525692,540672,550572,560376,586948,595380,611904,609992,593172,595964,606852,645096,664524,677832,690920,712152,708300,700844,681228,728556,752148,761892,774616,795256,830596,845300,870884,865340,876676,883952,910300,909196,906540,931404,943144,978716,1022660,1051316,1035468,1083308,1096436,1113536,1093628,1144140,1166108,1215544,1225064,1316168,1359088,1360772,1360944,1399760,1391160,1428384,1413728,1412512,1473480,1530252,1594448,1549452,1602364,1626564,1628312,1686808,1567036,1506556,1485616,1393264,1413440,1430232,1394816,1374580,1350772,1351284,1305900,1442428,1478308,1501140,1514564,1743344,1784720,1841844,1918512,2034512,2118064,2155184,2154100,2069364,2130644,2226864,2207864,2295912,2322476,2304312,2357924,2399788,2436116,2468168,2580420,2590260,2664916,2768760,3080208,3227376,3385104,3505004,3652924,3749220,3775716,3942672,3978780,4207276,4341272,4435392,4657664,4819816,5001896,5150876,5282608,5514992,5612232,5736076,5723404,5533196,5503100,5494372,5388880,5335892,5153068,4960084,4627300,4566076,4376276,4183220,4251800,4124984,4193000,4279220,4393544,4272204,4304524,4509572,4336960,4752492,4787216,4881440,4783308,4793816,4787620,4716780,4726184,4952912,5059256,5157984,5349440,5418196,5477596,5542764,5678356,5767716,6034688,6085592,6317576,6368520,6419136,6607140,7048388,7096388,7192768,7552388,7629648,8021204,8166596,8321284
 "34000","New Jersey",2,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",3950420,3869432,3980636,4110356,4210860,4323468,4408176,4404048,4535528,4540780,4504588,4426028,4485696,4556304,4600388,4715508,4786716,4910580,4944768,4948988,4972904,5003472,5018152,5074152,5099328,5191104,5281564,5335268,5474532,5546984,5716104,5731980,5939132,6045704,6098500,6286016,6260036,6332788,6365808,6461676,6584896,6706344,6804416,6984504,7081412,7217872,7357344,7515192,7448132,7503672,7522156,7419332,7518004,7486208,7576352,7590156,7862640,7989544,8044472,8310876,8536752,8669816,8741680,8977152,9034044,9310740,9454888,9490196,9091680,9125912,9282300,9616516,9775780,9938244,10149784,10209844,10522864,10753868,10917948,11314524,11463344,11841328,12070696,12429912,12707984,12939960,13130628,13496148,13868728,13917288,14106576,14637224,14782488,15081504,15307236,15249900,15465640,15391000,15431220,15327228,15772796,15950348,16130388,16820696,16883336,17230104,17488432,17924280,17834496,18040100,18049612,18221532,18342188,18465452,18765264,18734064,19317648,19140344,19378008,19311520,20553348,20466192,20377340,20672148,21053680,20646844,20607992,20378996,20329324,20503756,20577816,20404096,20065988,20303396,20365336,20360840,20487844,20412264,20642128,21138276,19790992,20598864,20516596,20913992,20224816,20808388,20790108,21069860,21025204,21080208,21127896,20931480,21050200,21193564,21534200,21633748,21841916,22295596,22703336,23272456,23159424,23499384,23924528,23812896,23704156,23889464,23753120,25010640,27287256,27525036,26752580,29833768,25370376,25616340,25253000,24534584
 "34000","New Jersey",2,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",2220220,2165236,2215056,2314164,2390684,2464348,2499712,2492820,2602212,2596032,2548368,2515560,2523532,2560636,2588384,2651856,2696752,2747944,2770796,2758640,2764620,2774308,2756940,2780104,2775252,2822988,2868828,2886796,2987032,3056188,3152260,3131436,3265164,3314660,3355440,3471696,3423292,3454364,3466008,3475608,3558432,3611576,3646208,3766044,3813036,3863476,3929604,3985076,3913188,3948584,3922308,3785988,3851852,3801772,3835784,3812272,3989004,4056772,4084340,4225000,4374028,4447108,4479844,4604464,4584988,4709408,4761268,4796372,4585752,4545640,4578232,4664052,4810388,4860428,4963876,4969016,5130512,5284064,5380776,5580216,5677848,5849416,6000772,6242028,6403060,6530220,6594028,6779588,7068292,7002548,7033660,7354552,7431756,7500932,7620276,7515484,7572028,7447116,7397580,7275372,7562560,7637792,7728096,8070708,8092588,8209268,8343592,8606000,8481336,8531428,8441368,8507152,8614556,8656012,8770988,8791096,9110960,8865364,8908556,8864796,9521876,9271000,9140864,9313196,9500056,9171244,9053772,8899428,8533992,8562316,8439296,8333768,8114576,8091600,8153864,7903936,8079188,7897776,7938528,7975208,7477052,7642644,7659016,7856964,7578816,7857512,7818376,7903060,7814664,7983040,7968920,7953320,7859064,8013544,8125096,8087428,8102476,8291916,8308800,8780960,8619460,8667424,8722132,8774248,8772460,8870760,9031176,9012612,9356776,9368728,9542580,9809332,9497228,9622296,9520912,9231016
 "34000","New Jersey",2,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",1730200,1704196,1765580,1796192,1820176,1859120,1908464,1911228,1933316,1944748,1956220,1910468,1962164,1995668,2012004,2063652,2089964,2162636,2173972,2190348,2208284,2229164,2261212,2294048,2324076,2368116,2412736,2448472,2487500,2490796,2563844,2600544,2673968,2731044,2743060,2814320,2836744,2878424,2899800,2986068,3026464,3094768,3158208,3218460,3268376,3354396,3427740,3530116,3534944,3555088,3599848,3633344,3666152,3684436,3740568,3777884,3873636,3932772,3960132,4085876,4162724,4222708,4261836,4372688,4449056,4601332,4693620,4693824,4505928,4580272,4704068,4952464,4965392,5077816,5185908,5240828,5392352,5469804,5537172,5734308,5785496,5991912,6069924,6187884,6304924,6409740,6536600,6716560,6800436,6914740,7072916,7282672,7350732,7580572,7686960,7734416,7893612,7943884,8033640,8051856,8210236,8312556,8402292,8749988,8790748,9020836,9144840,9318280,9353160,9508672,9608244,9714380,9727632,9809440,9994276,9942968,10206688,10274980,10469452,10446724,11031472,11195192,11236476,11358952,11553624,11475600,11554220,11479568,11795332,11941440,12138520,12070328,11951412,12211796,12211472,12456904,12408656,12514488,12703600,13163068,12313940,12956220,12857580,13057028,12646000,12950876,12971732,13166800,13210540,13097168,13158976,12978160,13191136,13180020,13409104,13546320,13739440,14003680,14394536,14491496,14539964,14831960,15202396,15038648,14931696,15018704,14721944,15998028,17930480,18156308,17210000,20024436,15873148,15994044,15732088,15303568
