GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "39000","Ohio",3,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",14376816,13985460,14274032,14770512,15307344,15978560,15716936,15850480,16394620,16438764,16185776,15898004,15664920,15930836,16265108,16604148,16842048,17151772,17165276,17220400,17417456,17810756,17989204,18190968,18467380,18842424,19284352,19629968,20075828,20457156,20794904,21536720,21949148,22580728,23131784,23528840,23498316,23336184,23971176,24616640,25424912,26157916,26590104,27192500,28038732,28673144,29397232,30015960,30102456,30001556,30436076,30148860,30759260,31592876,31593280,31990000,33237856,33705344,34147356,35129132,36608692,37512100,38625884,39532276,40034468,40658412,41568572,41804544,41234368,41092904,41985052,43471136,45073148,46051508,46789352,48020216,48596560,50970116,52929596,53959660,54418896,56885848,58504768,60528148,62298356,62697520,63736828,64851380,65883212,65810720,65599212,68475716,69682384,70764008,71979124,71998084,71363948,71771732,71863340,71677268,71755728,73531988,75994800,78113128,80162140,82029596,83728708,84809052,86493008,87710416,88333096,90177144,91156100,91422984,92596272,94087732,95959980,96074812,98114592,100225732,101094456,103813164,106276372,107964632,109355612,109051120,109985620,111332676,112648200,116096496,116487088,116567180,116062480,116085440,118567484,120267540,121925484,124446604,124325304,126643372,126113704,128765752,129590400,132632308,133820144,136650540,138154288,141410752,142545228,144026796,145386668,147165304,147390280,150388196,153309752,153991140,157037892,159144228,161299456,164626672,167285076,168862468,170847504,175133076,176111384,177538644,178741424,182988592,187655872,186661972,188259788,186921108,190689868,190054368,189786632,189554268
 "39000","Ohio",3,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",60576,62904,63692,67088,64948,62228,60948,66220,65644,68672,69728,73348,74324,74248,76236,76120,76492,76496,77272,79740,82680,83456,89612,83292,80604,84184,80972,78428,77280,81092,77184,77284,74356,73700,73312,74568,73684,72352,76176,76776,78948,77584,81392,82588,74168,77120,79536,83432,85068,90116,93424,90764,88728,86192,90492,89932,93488,90032,92832,96284,102592,109272,115496,124608,121448,124680,128584,138660,154336,160584,165076,176060,194252,203320,203804,201248,180780,178892,177288,175824,149068,147980,148700,151368,157200,161324,164960,167712,169276,169552,168972,167272,161696,162032,165572,172172,182724,188908,191360,189932,184972,180852,178192,177040,177224,178136,179184,180600,181808,181764,180280,177088,172020,168508,166032,164560,163392,165152,169152,175540,184752,191272,194872,195500,197552,200088,205648,214948,233000,241444,245352,244996,238800,234216,233664,235840,247616,251488,256928,263236,270164,275144,277816,278080,261380,260828,261488,263972,251948,253692,254292,254376,239824,239368,242080,247496,254096,262624,272928,283360,303896,314640,318572,316056,302872,295048,289116,286524,282580,284496,288896,295296,307248,311072,313508,314624
 "39000","Ohio",3,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",14316240,13922556,14210340,14703424,15242396,15916332,15655988,15784260,16328976,16370092,16116048,15824656,15590596,15856588,16188872,16528028,16765556,17075276,17088004,17140660,17334776,17727300,17899592,18107676,18386776,18758240,19203380,19551540,19998548,20376064,20717720,21459436,21874792,22507028,23058472,23454272,23424632,23263832,23895000,24539864,25345964,26080332,26508712,27109912,27964564,28596024,29317696,29932528,30017388,29911440,30342652,30058096,30670532,31506684,31502788,31900068,33144368,33615312,34054524,35032848,36506100,37402828,38510388,39407668,39913020,40533732,41439988,41665884,41080032,40932320,41819976,43295076,44878896,45848188,46585548,47818968,48415780,50791224,52752308,53783836,54269828,56737868,58356068,60376780,62141156,62536196,63571868,64683668,65713936,65641168,65430240,68308444,69520688,70601976,71813552,71825912,71181224,71582824,71671980,71487336,71570756,73351136,75816608,77936088,79984916,81851460,83549524,84628452,86311200,87528652,88152816,90000056,90984080,91254476,92430240,93923172,95796588,95909660,97945440,100050192,100909704,103621892,106081500,107769132,109158060,108851032,109779972,111117728,112415200,115855052,116241736,116322184,115823680,115851224,118333820,120031700,121677868,124195116,124068376,126380136,125843540,128490608,129312584,132354228,133558764,136389712,137892800,141146780,142293280,143773104,145132376,146910928,147150456,150148828,153067672,153743644,156783796,158881604,161026528,164343312,166981180,168547828,170528932,174817020,175808512,177243596,178452308,182702068,187373292,186377476,187970892,186625812,190382620,189743296,189473124,189239644
 "39000","Ohio",3,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",12662992,12248188,12477960,12990708,13490136,14163108,13876504,13984716,14498552,14499164,14200556,13873940,13608568,13829356,14138684,14451500,14658880,14921996,14924296,14946332,15104064,15477876,15637128,15785304,16024208,16364752,16747524,17092220,17496968,17825900,18148524,18762960,19146684,19680712,20219952,20526580,20444756,20263524,20813176,21365784,22073440,22712168,23037584,23639464,24377408,24938024,25515128,26008684,25982444,25754932,26145356,25726088,26249256,26985396,26885068,27256044,28436656,28787860,29069544,29958776,31271736,32038872,33056996,33842612,34272432,34836612,35666068,35784444,35039776,34753552,35566192,36872556,38322588,39165564,39895872,40980104,41495740,43733736,45430940,46370536,46744256,49029420,50399332,52289580,54017808,54302840,55131592,56098664,56983904,56454500,56196232,58841844,59941208,60917012,61965108,61725336,60931096,61219184,61114732,60638048,60929288,62327692,64715904,66524224,68507768,70134048,71611116,72586404,74044412,74989144,75524528,77246576,78095924,78180588,78917212,80388240,81851308,81973200,83795448,85662088,85983196,88628984,90586896,92158516,93498640,93075772,93336808,94814600,95799220,98574768,98986820,98891356,98037580,97946056,100182788,101604052,102838392,105133068,104943748,107006660,106287024,108800084,109531192,112096960,113500372,115760728,117216620,119908532,121275392,122233700,123372068,124994616,125067736,128132580,130357568,131051316,133729616,136053508,137624344,140816576,143000708,144553208,146495608,150375924,150860848,152229044,153639776,157422908,160812568,160133884,161026208,159529908,163217300,161988104,160949112,160643216
 "39000","Ohio",3,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",22540,22912,22896,23052,23748,24060,24680,25228,25152,25392,25484,25764,25532,26016,25980,26344,26976,27400,27472,27852,27976,28268,28780,28696,28800,28648,29836,31084,33740,36264,37200,36680,35072,33092,32092,31996,32816,34184,35400,36576,37376,38112,39352,39912,40524,41380,42568,43512,44360,45072,46136,47792,50068,51732,52612,52936,51612,51052,51932,53420,56196,58484,60528,62368,64752,66432,67252,66584,63172,65036,67528,70816,75312,78656,81848,84468,88444,90532,95604,103068,112828,125068,133680,138408,139876,143148,148400,157528,168104,174620,173752,172416,168156,163992,166168,166392,171688,179956,176528,179688,195832,186536,193968,205676,204860,225076,230372,238956,239748,249820,251028,254980,259840,273624,279928,289748,301892,304116,306612,307460,318068,334696,317268,327200,338640,345536,361776,361660,373680,381172,383884,383488,391844,384604,383328,398804,398080,418080,424164,421880,407616,427452,434344,448484,468032,459084,461764,471192,465844,497924,501612,511616,510704,521164,541064,540112,555664,561076,573748,587576,595380,624412,630960,663668,672112,657500,711448,742040,766628,758664,759444,754532,950524,858008,760772,703476
 "39000","Ohio",3,SQINC7S,200,"B","   Mining","Thousands of dollars",107380,98008,99468,102564,107684,111248,107504,111512,110900,112956,110600,108680,105272,104712,109636,108712,113912,114368,114504,113800,113912,117240,117836,119784,119876,123484,125428,127284,125704,128856,125692,130720,127776,129224,136312,137884,143028,144588,149412,152508,150228,155340,162384,160184,174304,172792,176968,188064,192636,194352,204676,213672,211508,214480,232232,194484,236508,243788,246868,252880,248988,262752,269176,297128,303684,319784,323720,289612,363916,380372,376892,419704,446388,429416,406432,449696,472440,467896,516172,489404,300656,629216,625788,615508,629636,658260,618576,640784,681852,689492,663700,709200,731744,574044,812616,805940,851592,795728,754588,724024,684856,697064,727576,746724,774272,799548,816456,783992,750840,775796,739836,742752,736156,677048,647476,649700,730724,659188,639312,647708,607088,599920,595692,593284,580772,576428,570536,593736,590504,595380,587464,576544,563636,533160,528224,487612,499944,507620,493044,503592,457740,496608,484736,508488,515152,521972,522300,520780,509912,485900,505556,505624,515880,538016,532312,524356,533464,567472,534832,554752,562900,559368,553080,580376,593280,576688,562772,555844,571148,557376,574260,566504,630388,588500,634696,625572
 "39000","Ohio",3,SQINC7S,300,"C","   Construction","Thousands of dollars",919516,853804,814508,840360,839960,888624,889188,877824,848244,879072,869704,829076,835852,802556,835764,857296,832984,894440,887964,860792,826260,935888,951904,962596,932484,943724,1018240,1071276,1091572,1119500,1125340,1217364,1326096,1368480,1378008,1358640,1392972,1270224,1474088,1536076,1635000,1693740,1703824,1816360,1954956,2030604,2055052,2014212,2012900,1903356,1857820,1884884,1758172,1893320,1882128,1929476,1820664,1864200,1881852,1896436,2010788,1988812,2148188,2182624,2238156,2197684,2184016,2170040,2295384,2132452,2114732,2209212,2321276,2298164,2301824,2343656,2341644,2490612,2656780,2671032,2698940,2958812,3062900,3164828,3249936,3317968,3352980,3470880,3617536,3494940,3389036,3434508,3353280,3274120,3300736,3161408,3162512,3120920,3010836,2987652,2907624,2903360,3074760,3120324,3268892,3367332,3443868,3459840,3489200,3571016,3574136,3657356,3557252,3697484,3737176,3921296,4091652,4134636,4256172,4387792,4369604,4691664,4767880,4818900,4864500,4879316,5125656,5147512,5334892,5399544,5310572,5262604,5125936,4869420,5012516,4908044,4997568,5084880,5044352,5124732,5274504,5407704,5521236,5734648,5783444,6121008,6116036,6225372,6258780,6360908,6389556,6491784,6557956,6771400,7072700,7128716,7302900,7458180,7530868,7665104,7777312,7993492,8153008,8461676,8660220,8614844,8795380,9170376,9427476,9431272,9252084,9076748,9339756,9283912,9259792,9240588
 "39000","Ohio",3,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",6528952,6278156,6472184,6853140,7231524,7702172,7411772,7421796,7871940,7721196,7435252,7161788,6922224,7173136,7337244,7545656,7713132,7807164,7782704,7818344,7914844,8098488,8185788,8245696,8375716,8584992,8762568,8882628,9184572,9338656,9491964,9775136,10002676,10319904,10610096,10775020,10559560,10414788,10617804,10906596,11315460,11592360,11699196,11998112,12328464,12556292,12770060,13013452,12772072,12609676,12721328,12124492,12550884,12788232,12514664,12769684,13196884,13633748,13908332,14456976,15232936,15477660,15780216,16146328,16203048,16455348,16942420,16920388,15864780,15672860,16082004,16791752,17540856,17990116,18374684,18783908,19132112,20448820,21296140,21560156,21703152,22557580,23177752,24156008,24916492,24860240,24987976,25164892,25255840,24582848,24203576,26086184,26215648,27129364,27297104,27003120,25877324,25889856,25411616,24664928,25061748,25783260,27053588,28113988,28987408,29769668,30384028,30753936,31474712,31457600,31467728,32315136,32451436,31804852,31907740,32235592,32342676,31889428,32379792,32649844,33388940,33610860,34364748,35084224,35836436,35208004,34663228,34706420,34783564,36080204,35881076,35616632,34633860,34586760,35642628,36139556,35991564,36861336,36574744,38377004,35847856,37745244,37995048,39175316,39263040,39572376,40125096,41175656,41821536,41701392,41726244,42067676,41348044,42745428,43441576,43155188,43951208,44268748,44518608,45632908,46186748,45854168,45698020,46465668,46999864,47125252,47469752,47926752,49321456,48010280,48125524,47036604,46590648,46111764,45642868,44853696
 "39000","Ohio",3,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",4643856,4416676,4556460,4906276,5187656,5636032,5306256,5291112,5743500,5565728,5315988,5080876,4869712,5094296,5227216,5390684,5546704,5593172,5554684,5587000,5669236,5834660,5898000,5939972,6033888,6196868,6351988,6442928,6681592,6806180,6935940,7152944,7316548,7554980,7788956,7936580,7712948,7576536,7715908,7908572,8272212,8460720,8501340,8752428,9038416,9190312,9354728,9555644,9292024,9166700,9216888,8668848,9033900,9186648,8921336,9128812,9480512,9836040,10072492,10516864,11184900,11361040,11598832,11889312,11897796,12077044,12456144,12467120,11538200,11329832,11576280,12132764,12728140,13114128,13401472,13534968,13884700,14907696,15635560,15817848,15856140,16524416,17037868,17854252,18477484,18331232,18360848,18404120,18439116,17758668,17319276,18937432,18929500,19716128,19757512,19430976,18405416,18314840,17857228,17118340,17423544,17961880,19009928,19876704,20524932,21130784,21529820,21759256,22412644,22287636,22295816,22918624,22917148,22229208,22295104,22432872,22534292,22023104,22363604,22651492,23126684,23221768,23873008,24413236,25095800,24453320,23887904,23800788,23834144,24809864,24583944,24259824,23286088,23286020,24046796,24557364,24268852,24803904,24614896,25732628,24017896,25381972,25533488,26403584,26676344,26862768,27331672,28164288,28898876,28697652,28727376,28906816,28346276,29475956,30018256,29654156,30301692,30326900,30505444,31459852,31471916,31323104,31056056,31743380,32094820,32130848,32532356,32728636,33777288,32914656,32872044,31997652,31553452,31199456,30727148,29916368
 "39000","Ohio",3,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",1885096,1861480,1915724,1946864,2043868,2066140,2105516,2130684,2128440,2155468,2119264,2080912,2052512,2078840,2110028,2154972,2166428,2213992,2228020,2231344,2245608,2263828,2287788,2305724,2341828,2388124,2410580,2439700,2502980,2532476,2556024,2622192,2686128,2764924,2821140,2838440,2846612,2838252,2901896,2998024,3043248,3131640,3197856,3245684,3290048,3365980,3415332,3457808,3480048,3442976,3504440,3455644,3516984,3601584,3593328,3640872,3716372,3797708,3835840,3940112,4048036,4116620,4181384,4257016,4305252,4378304,4486276,4453268,4326580,4343028,4505724,4658988,4812716,4875988,4973212,5248940,5247412,5541124,5660580,5742308,5847012,6033164,6139884,6301756,6439008,6529008,6627128,6760772,6816724,6824180,6884300,7148752,7286148,7413236,7539592,7572144,7471908,7575016,7554388,7546588,7638204,7821380,8043660,8237284,8462476,8638884,8854208,8994680,9062068,9169964,9171912,9396512,9534288,9575644,9612636,9802720,9808384,9866324,10016188,9998352,10262256,10389092,10491740,10670988,10740636,10754684,10775324,10905632,10949420,11270340,11297132,11356808,11347772,11300740,11595832,11582192,11722712,12057432,11959848,12644376,11829960,12363272,12461560,12771732,12586696,12709608,12793424,13011368,12922660,13003740,12998868,13160860,13001768,13269472,13423320,13501032,13649516,13941848,14013164,14173056,14714832,14531064,14641964,14722288,14905044,14994404,14937396,15198116,15544168,15095624,15253480,15038952,15037196,14912308,14915720,14937328
