GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "42000","Pennsylvania",2,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",16083824,15879824,16174852,16555140,16840200,17480728,16851364,17071084,17923060,17874764,17663184,17414224,17354932,17551172,17885940,18223256,18487304,18601092,18596896,18685420,18793632,19224240,19383908,19532156,19776832,20335892,20787320,21256004,21454468,21809136,22278312,22737652,23248652,23890180,24449012,24971336,25152940,25311416,25687080,26159744,27059824,27516844,28044372,28540180,29325148,30053320,30740064,31309600,31738376,32050608,32405088,32383320,32834768,33354852,33728172,34095712,35594352,36008272,36604472,37380412,38806592,39639288,40327380,41308104,42101480,43099156,44098852,44668940,44632856,44680228,45805072,47014588,48090044,48869056,49939496,50460764,51540556,53109652,54254448,55291756,56201836,58579352,60021588,61438504,63223376,64151860,65688352,67077688,68778620,69205796,69378972,71750064,73205628,74407512,75745184,76230312,76400568,76382360,76704548,76459808,77126100,77364548,79649304,81123280,82737116,84509248,85787472,86689516,87890996,89081280,90187296,91505656,92514644,93807944,95177992,96944040,98525788,100918500,102967568,106033996,106879408,109084324,111486264,113520712,115429320,115664296,117095152,119028432,120366980,123411964,124551088,124462700,124551732,125603452,126181496,128119916,130484500,132411128,133064448,134483340,134452680,136567460,137636852,138710136,138549068,141425420,143543692,145258576,146101028,147765340,149000820,150385640,151338320,154484716,156675904,158675108,160767668,163284928,165516060,170077168,171719476,175246904,176164352,179890268,182046464,183911448,185423472,188065540,193600204,194119872,197196216,198659224,201325112,201662120,201558108,200944088
 "42000","Pennsylvania",2,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",75064,75976,76768,81704,80948,79252,78016,83596,79968,81208,80068,81876,82340,81296,82532,81604,81676,81360,80940,82224,83120,82676,87908,82036,81232,86480,84824,83452,82724,87300,83996,84976,82640,83244,84476,87964,89776,90416,94820,93596,92700,87736,89928,90412,87024,89368,91320,94476,99580,105196,108328,104452,99780,95284,100288,97836,99316,94028,97804,104428,115168,126616,138396,152676,156448,164480,165512,168148,168944,166360,164624,172884,190724,201832,204660,203616,206724,202860,197600,192192,187316,182944,181760,184172,193548,199600,204932,208532,211124,211288,210400,208272,202436,202132,205108,211592,225004,231244,233864,232724,229484,226416,224888,224608,228280,229372,230768,232624,239880,240172,238964,235832,232880,228272,225200,223512,226684,229708,235156,243348,256604,263628,267600,268600,269296,273280,281980,295908,316764,328916,334728,334172,326676,321648,316520,311856,308000,306352,309112,316136,330684,339772,342768,340076,334548,327732,328200,335960,356236,369612,380440,387360,386584,388336,392472,398732,405480,414120,420308,424252,414888,416288,413332,408180,374000,367524,368196,374852,406912,420412,431948,440052,425332,430632,434004,435544
 "42000","Pennsylvania",2,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",16008760,15803848,16098084,16473436,16759252,17401476,16773348,16987488,17843092,17793556,17583116,17332348,17272592,17469876,17803408,18141652,18405628,18519732,18515956,18603196,18710512,19141564,19296000,19450120,19695600,20249412,20702496,21172552,21371744,21721836,22194316,22652676,23166012,23806936,24364536,24883372,25063164,25221000,25592260,26066148,26967124,27429108,27954444,28449768,29238124,29963952,30648744,31215124,31638796,31945412,32296760,32278868,32734988,33259568,33627884,33997876,35495036,35914244,36506668,37275984,38691424,39512672,40188984,41155428,41945032,42934676,43933340,44500792,44463912,44513868,45640448,46841704,47899320,48667224,49734836,50257148,51333832,52906792,54056848,55099564,56014520,58396408,59839828,61254332,63029828,63952260,65483420,66869156,68567496,68994508,69168572,71541792,73003192,74205380,75540076,76018720,76175564,76151116,76470684,76227084,76896616,77138132,79424416,80898672,82508836,84279876,85556704,86456892,87651116,88841108,89948332,91269824,92281764,93579672,94952792,96720528,98299104,100688792,102732412,105790648,106622804,108820696,111218664,113252112,115160024,115391016,116813172,118732524,120050216,123083048,124216360,124128528,124225056,125281804,125864976,127808060,130176500,132104776,132755336,134167204,134121996,136227688,137294084,138370060,138214520,141097688,143215492,144922616,145744792,147395728,148620380,149998280,150951736,154096380,156283432,158276376,160362188,162870808,165095752,169652916,171304588,174830616,175751020,179482088,181672464,183543924,185055276,187690688,193193292,193699460,196764268,198219172,200899780,201231488,201124104,200508544
 "42000","Pennsylvania",2,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",14147680,13892860,14166484,14529968,14783736,15434780,14758252,14964452,15789068,15716196,15453296,15166144,15072816,15241104,15552776,15853344,16087120,16152576,16140640,16183992,16270280,16677244,16812424,16946460,17126688,17575356,18057336,18456144,18594620,18896216,19283452,19610480,20061248,20651912,21100132,21542308,21594108,21696796,21928164,22357228,23158340,23541236,23992988,24368356,25030856,25679308,26247384,26712852,26941160,27086020,27412188,27303428,27630388,28108836,28385828,28641064,29960996,30238520,30672796,31270772,32597640,33184900,33830436,34685380,35432468,36354312,37189404,37667532,37372580,37182532,38038136,39175716,40169916,40891828,41738404,42286808,43153112,44658556,45725812,46513404,47190268,49432284,50711248,52077692,53572120,54528808,55758040,57188720,58534144,58744904,58822264,60937604,62203560,63120688,64409892,64738428,64832352,64476492,64660948,64168080,64703692,65120040,66714980,68638048,69838376,71313940,72265800,73179008,74079960,75196208,76042336,77320196,78269488,79313236,80713508,82075992,83468588,85498840,87207060,89967912,90512176,92983088,95052692,96749752,98369792,98452800,99554260,101259960,102378256,104758240,105660008,105557192,105355816,106087736,106459480,108222376,110141976,111997096,112489444,113639476,113751184,115162056,116049104,116975732,116754400,119823664,121136780,122909068,123662632,125116116,126286076,127310620,127951108,131074296,133086028,134981704,137139548,139092620,141305332,145588956,147115884,150372896,151329280,154672248,157033168,158482260,159634904,161619084,166978920,167183420,170104404,171272520,173625652,173825776,173085504,172278288
 "42000","Pennsylvania",2,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",21112,21472,21464,20820,20752,20280,20032,19708,20020,20188,20236,20456,20756,21252,21236,21604,22180,22156,22636,23028,23152,23500,23980,24336,24832,25508,25812,26596,27900,28664,29564,29924,30476,30300,30584,31328,32064,32948,34140,34936,35804,37032,37912,39368,39520,40392,41160,42104,43360,44440,45896,47524,50016,51640,53312,54396,55372,57068,59156,61120,63708,65908,68268,69808,71972,72796,74416,75792,79396,80308,81388,84236,87536,89624,92048,94052,97772,99780,104068,111460,119068,132108,139156,142216,153336,153216,159064,163476,171144,178100,178104,176008,170892,169268,170084,172460,182472,188716,192900,197492,202736,206112,207684,204320,211600,226380,237916,241168,235756,254596,259784,271488,296004,293916,299884,316352,329036,325604,336156,337352,354236,362652,365036,369752,369868,385464,404100,413908,428588,427124,430804,417384,441648,435764,426648,437776,434436,434340,441260,454352,446536,457136,467468,472020,453648,490352,494368,516268,523232,518856,511816,504168,529012,540936,563380,559088,557868,564432,582156,611212,625780,644352,655624,660836,700868,715412,725580,753096,792276,801304,830688,817404,1021912,948192,842496,788020
 "42000","Pennsylvania",2,SQINC7S,200,"B","   Mining","Thousands of dollars",365412,340856,360844,364560,358756,365156,289388,319980,338728,328312,292156,275680,263800,270856,278996,284900,285484,271740,260024,259936,264056,274428,274900,272860,270272,280024,288192,297524,286208,292160,289344,286720,296592,277344,304356,295944,296912,292128,306796,296336,287568,296068,295560,273432,312060,312360,320040,338572,347764,345120,372328,390316,375088,375728,405032,316204,418676,422668,422332,445800,442440,454896,467340,504976,538532,564380,602852,510448,705212,711744,672728,777568,804884,769580,736396,837744,866420,891968,885432,808868,405924,1036212,1066668,1069220,1127504,1083768,1026868,1034500,1127776,1097264,1041604,1069456,1182476,759240,1272704,1286812,1263008,1185416,1113908,1073088,974108,983596,1022980,1090732,1119380,1152228,1126392,1026936,1054904,1084472,1025572,1059024,1040632,1000776,986992,961820,959172,965108,920404,988820,905356,961640,937248,913468,957172,913340,900636,934972,980016,963092,991852,968420,920448,899996,897920,862264,867184,869160,859708,867668,758328,810932,789192,778096,791868,786660,796848,783716,767728,769768,764320,773472,793144,808712,801444,862948,836096,887332,853652,895784,885280,913376,934004,938296,986592,927692,878700,892096,914972,904148,908384,869880,866912,883560,947640,889804
 "42000","Pennsylvania",2,SQINC7S,300,"C","   Construction","Thousands of dollars",843640,836260,853808,869808,891388,914664,879928,864428,883232,882604,890736,854636,814880,835408,845584,859460,859316,878372,902980,903964,880188,930760,950416,957804,948472,997420,1031460,1071656,1106148,1114908,1148700,1216448,1285308,1326852,1355456,1365312,1392532,1407420,1425748,1488952,1562600,1658644,1686572,1717524,1815312,1919788,1888228,1894720,1926192,1916124,2042960,2027056,2024628,2030568,2091012,2206616,2189640,2224300,2333684,2351136,2434156,2410932,2421948,2497048,2627616,2617740,2590516,2594284,2613008,2370816,2449712,2498980,2567956,2516704,2537484,2547512,2574604,2738100,2816132,2823040,2797740,3031612,3122364,3197936,3207568,3317864,3396800,3439168,3556308,3390992,3395384,3420568,3475924,3585664,3549464,3563336,3588064,3618020,3572704,3561448,3672208,3584856,3661488,3661032,3789336,3800696,3876744,4034000,4054708,4160588,4260824,4340640,4338536,4706728,4947832,5046572,5260572,5415856,5323324,5555040,5719508,5919004,6144096,6271120,6312008,6292460,6367056,6257436,6447892,6412920,6308976,6257516,6141976,5946488,5773988,5759676,5848432,5957204,5975572,5859864,5916676,5855256,5914336,5970084,5918224,6295024,6346312,6552760,6435936,6353828,6382488,6272892,6293552,6589568,6801404,7005152,7268468,7301704,7369884,7557440,7608728,7854820,8057892,8340848,8706204,8790660,8874536,9118596,9585776,9644068,9653996,9804444,10092492,10274448,10347076,10302880
 "42000","Pennsylvania",2,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",6762028,6544920,6710128,6935720,7150164,7631908,7084056,7163720,7898012,7730984,7494388,7281412,7179856,7303008,7492120,7718308,7872524,7904188,7816724,7845692,7842924,8055744,8126272,8208004,8256848,8478940,8838716,9033480,9057860,9212192,9372948,9452740,9735712,10117212,10267728,10544116,10398740,10343140,10369820,10546232,11010916,11045604,11161888,11357472,11564956,11831220,12133008,12231128,12219492,12184384,12074532,11801972,11947716,12093392,12088196,12116432,12568504,12797272,12970128,13399608,13827020,14161932,14411112,14836596,15009900,15463844,15869620,16141440,15446416,15289516,15585552,16088368,16360920,16711272,17031752,17118452,17548956,18302652,18619716,18982500,19295832,19952648,20426576,21111488,21744716,22165772,22638312,23304220,23489212,23426108,23091856,24198372,24673012,25304736,25464584,25135256,25014436,23977028,23370404,22718492,22625196,22638084,23324640,24154796,24558680,24964612,25107256,25154604,25374032,25375256,25340344,25534996,25346724,25298488,25398912,25410940,25566084,25936348,26477940,27057252,27284972,27926828,28263024,28615888,28957680,28661280,28559100,28960464,28839568,29282816,29477756,29174728,28992148,29042404,29031864,29398484,29481608,29894496,29934208,30645816,29223296,30361500,30602868,31419108,30621704,31441616,31970668,32324724,32388700,32729296,32929104,33080448,33026056,33752940,34273984,34608728,34972456,35587916,35765224,37301284,37092752,37655748,37530812,37423408,38021868,38305780,38351624,38599948,39249312,39126748,39616808,39660388,38939616,38844908,38321812,37417320
 "42000","Pennsylvania",2,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",4375884,4182748,4292860,4468336,4599984,5040744,4446436,4506824,5217668,5016000,4767064,4648472,4523028,4632284,4779136,4964368,5074996,5053448,4997864,4978296,4984252,5184408,5212016,5284572,5307436,5472368,5791044,5927112,5947108,6070084,6177860,6196776,6423060,6739980,6836132,7048024,6926084,6831844,6870508,6960108,7296792,7259208,7303992,7436044,7602196,7763932,8012344,8035380,8014728,8014024,7891860,7579092,7736316,7793476,7718924,7727956,8095012,8254900,8414552,8745512,9067780,9345332,9585100,9913572,10060088,10456512,10786356,11099328,10522384,10329692,10442108,10762452,10875644,11184880,11413716,11418184,11681812,12294740,12418168,12774356,12887548,13349956,13747028,14308340,14791676,15126372,15489504,16027032,16131044,15978876,15577228,16474716,16792852,17289016,17292296,16943540,16756316,15761960,15060968,14418408,14250052,14212024,14620836,15323504,15641416,15879972,16004112,15913368,16077132,15982684,15916972,16010892,15839516,15680108,15656832,15528900,15759204,15887552,16317884,16639712,16703180,17071220,17369552,17660592,17931192,17554508,17389236,17497328,17253456,17607308,17560324,17364636,17121720,17071336,17025340,17102252,17164184,17437256,17468048,17723652,17035652,17568236,17708644,18310244,17949552,18388056,18782256,19056064,19114704,19335588,19454164,19456920,19494796,19850292,20227364,20364888,20544116,20967768,20994192,21646644,21853360,22071156,21894388,21784276,22117980,22380964,22554308,22795692,22854088,22498988,22807104,22845896,22477096,22325668,21688748,21324640
 "42000","Pennsylvania",2,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",2386144,2362172,2417268,2467384,2550180,2591164,2637620,2656896,2680344,2714984,2727324,2632940,2656828,2670724,2712984,2753940,2797528,2850740,2818860,2867396,2858672,2871336,2914256,2923432,2949412,3006572,3047672,3106368,3110752,3142108,3195088,3255964,3312652,3377232,3431596,3496092,3472656,3511296,3499312,3586124,3714124,3786396,3857896,3921428,3962760,4067288,4120664,4195748,4204764,4170360,4182672,4222880,4211400,4299916,4369272,4388476,4473492,4542372,4555576,4654096,4759240,4816600,4826012,4923024,4949812,5007332,5083264,5042112,4924032,4959824,5143444,5325916,5485276,5526392,5618036,5700268,5867144,6007912,6201548,6208144,6408284,6602692,6679548,6803148,6953040,7039400,7148808,7277188,7358168,7447232,7514628,7723656,7880160,8015720,8172288,8191716,8258120,8215068,8309436,8300084,8375144,8426060,8703804,8831292,8917264,9084640,9103144,9241236,9296900,9392572,9423372,9524104,9507208,9618380,9742080,9882040,9806880,10048796,10160056,10417540,10581792,10855608,10893472,10955296,11026488,11106772,11169864,11463136,11586112,11675508,11917432,11810092,11870428,11971068,12006524,12296232,12317424,12457240,12466160,12922164,12187644,12793264,12894224,13108864,12672152,13053560,13188412,13268660,13273996,13393708,13474940,13623528,13531260,13902648,14046620,14243840,14428340,14620148,14771032,15654640,15239392,15584592,15636424,15639132,15903888,15924816,15797316,15804256,16395224,16627760,16809704,16814492,16462520,16519240,16633064,16092680
