GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "53000","Washington",8,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",3935732,3931108,4030484,4249900,4240152,4271836,4322592,4372448,4383820,4484580,4430888,4489856,4514832,4617264,4726488,4856336,5002136,5100988,5125540,5105052,5144344,5155272,5180292,5274632,5280500,5371232,5430172,5492948,5619708,5726568,5888316,5999664,6354436,6559672,6908364,7074240,7106076,7267216,7453064,7712976,8004288,8155560,8383696,8558476,8698812,8970608,9114788,9277492,9220520,9171516,9178868,9139932,9240424,9290772,9422500,9629416,9637276,9972576,10103340,10484384,10833472,11145888,11401688,11724732,11993996,12367172,12843340,13253500,13399372,13844016,14227256,14620776,15065488,15543736,16015600,16469868,16963184,17423680,18087356,18762740,19751476,20456884,21189668,22163444,22935780,23869280,24946576,25543784,25999296,26524148,27121476,28149640,28854048,29553928,30120544,30308704,30608660,30692864,30791316,30786120,30896636,31541592,31589228,32730620,33106584,33267204,33747556,33826948,34658552,35281584,35867564,36469884,36994400,37386212,38152724,39886228,39634144,40285144,40976060,42520484,42773476,44084816,44749712,45897304,46818716,47835584,49031876,50443296,52037924,53476760,54337300,55275356,56031500,56689732,57750336,58883772,60807872,61293448,62176556,64383980,63057072,64358028,64126128,64698704,65948576,67127800,67178840,68578972,69766368,70788448,71782700,72161232,74505036,75872624,77634112,78895120,82548272,84405772,85079448,86980768,91316168,92840488,94747740,95984828,100730972,99613720,103702572,108275668,112196376,108692560,107564160,108663052,109794484,112121220,108111552,108730560
 "53000","Washington",8,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",64832,67212,68392,73272,73092,71652,70952,76068,73148,74308,73704,76588,78308,78528,80180,79676,78576,77472,77456,79856,82688,84120,92308,88492,89596,97980,95756,92244,86296,86488,82800,85792,90516,97236,99776,99884,92352,84716,84448,83712,87864,88052,94620,97544,100608,104824,108184,113604,116012,123168,126048,119988,114280,107220,108232,104564,108224,103636,106148,110168,116168,125392,135296,149108,149156,157252,161664,170512,184116,188228,191632,207644,237032,258252,258884,249324,239932,221504,210376,206860,229944,236484,242836,248824,259304,263840,268752,273620,280396,283284,283428,279408,271988,272132,279832,295200,322152,336840,343352,341288,332132,326188,322568,321000,324652,325616,327004,329456,335988,335540,333652,329272,322312,315476,310324,306724,306948,310980,319704,333856,356908,370612,378904,381796,386352,395748,413188,439460,476584,497104,508080,509444,510772,502712,495408,488544,482384,483228,489388,501740,518044,533376,542320,545248,555980,562388,576948,600132,636004,659224,683868,707924,744912,773876,798132,817188,830428,839868,850756,866972,872364,883352,901832,924668,966984,996456,1016384,1025028,1022704,1021404,1015748,1012644,994508,1006888,1014764,1018372
 "53000","Washington",8,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",3870900,3863896,3962092,4176628,4167060,4200184,4251640,4296380,4310672,4410272,4357184,4413268,4436524,4538736,4646308,4776660,4923560,5023516,5048084,5025196,5061656,5071152,5087984,5186140,5190904,5273252,5334416,5400704,5533412,5640080,5805516,5913872,6263920,6462436,6808588,6974356,7013724,7182500,7368616,7629264,7916424,8067508,8289076,8460932,8598204,8865784,9006604,9163888,9104508,9048348,9052820,9019944,9126144,9183552,9314268,9524852,9529052,9868940,9997192,10374216,10717304,11020496,11266392,11575624,11844840,12209920,12681676,13082988,13215256,13655788,14035624,14413132,14828456,15285484,15756716,16220544,16723252,17202176,17876980,18555880,19521532,20220400,20946832,21914620,22676476,23605440,24677824,25270164,25718900,26240864,26838048,27870232,28582060,29281796,29840712,30013504,30286508,30356024,30447964,30444832,30564504,31215404,31266660,32409620,32781932,32941588,33420552,33497492,34322564,34946044,35533912,36140612,36672088,37070736,37842400,39579504,39327196,39974164,40656356,42186628,42416568,43714204,44370808,45515508,46432364,47439836,48618688,50003836,51561340,52979656,53829220,54765912,55520728,56187020,57254928,58395228,60325488,60810220,61687168,63882240,62539028,63824652,63583808,64153456,65392596,66565412,66601892,67978840,69130364,70129224,71098832,71453308,73760124,75098748,76835980,78077932,81717844,83565904,84228692,86113796,90443804,91957136,93845908,95060160,99763988,98617264,102686188,107250640,111173672,107671156,106548412,107650408,108799976,111114332,107096788,107712188
 "53000","Washington",8,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",2946676,2933768,3031524,3226168,3222416,3251328,3286216,3310220,3315488,3402404,3342720,3378312,3400952,3481040,3561888,3654184,3762368,3855124,3888604,3869436,3880236,3869928,3874308,3963140,3946536,4007688,4038060,4094348,4202296,4302536,4438648,4558752,4853288,5021896,5293784,5397796,5427280,5549724,5665152,5845724,6062948,6150212,6335368,6457876,6519668,6713280,6783576,6880084,6756256,6634008,6594232,6523040,6586984,6655684,6734324,6924132,6913020,7227188,7350376,7666216,7919864,8157816,8300940,8539260,8751468,9003076,9395500,9716368,9721620,10072460,10416556,10734888,11073800,11452192,11844944,12223068,12659644,13080536,13669604,14214884,15098892,15738452,16271108,17087376,17720760,18545996,19448572,19898652,20206704,20435024,20979360,21850424,22476384,23057604,23439560,23342444,23668648,23549704,23806784,23695044,23718420,24181540,24075924,25032604,25306736,25445232,25719680,25787624,26368344,26801476,27290492,27905712,28390404,28699448,29276996,30814360,30542152,31031392,31557944,32907616,32968100,34034424,34637276,35610028,36373856,37234456,38299112,39408488,40766432,41826764,42446704,43039848,43453692,43959280,44801620,45763100,47368816,47543640,48115524,50360428,48675568,49901592,49608844,50113804,51310184,52204648,52174388,53217268,54338984,55134892,55924556,55913648,58136624,59267164,60835740,62053564,65403256,67138908,67614104,69391144,73455456,74856136,76693428,77594176,82165516,80913712,84569044,88836576,92495168,88472940,87428232,88144176,89163460,91041168,86478660,86677380
 "53000","Washington",8,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",20600,20956,20540,19904,19512,19084,18260,17672,16468,15484,15308,16176,17312,19020,20228,20984,21508,21464,21480,21440,21556,21060,21124,21468,21544,21824,22140,23320,24152,25292,26180,26968,27884,28136,28492,28532,28984,29568,29244,29300,29360,28952,29008,29152,33204,35124,36276,36416,36504,36336,36496,37520,38932,40364,41356,43004,43676,44860,47692,51136,56124,60492,63732,65184,65308,64380,64492,65444,64988,71244,77040,82632,87020,90316,93568,98280,109284,112620,118484,128236,156748,155916,163852,190600,163124,191416,199340,187288,203112,204200,202432,232748,228380,215936,215848,202652,210776,229400,221384,195608,221184,228536,216424,221652,234312,224688,236948,250772,247868,267404,280280,277456,290508,311980,334116,354448,356680,386596,370900,362704,422668,421796,423804,440144,423276,460728,461640,487516,495844,556800,578096,586588,611544,595856,648112,548916,669752,600684,616640,573060,567948,578952,555840,609812,622860,569604,588144,608220,657464,642584,631980,598400,579592,609612,621504,636588,626664,655136,663284,674892,661596,662488,684604,708896,759328,808376,787060,813268,800720,864112,837208,834680,1040576,890988,823840,775020
 "53000","Washington",8,SQINC7S,200,"B","   Mining","Thousands of dollars",10744,9780,9360,10232,10332,10396,10120,10872,11096,11324,11116,10804,11576,11904,11640,11600,11628,12420,12476,12396,12664,12640,13044,12796,11148,11820,12564,12692,13492,13704,13148,13372,14188,14164,13904,13944,15020,14760,13728,13920,13060,13220,13668,13916,13388,14816,15212,15736,15992,15956,16792,16652,16588,18460,18800,18852,19572,20056,20040,20676,20776,21496,22260,24108,23320,26872,27624,25176,26584,27792,30416,31500,32188,31092,33040,34684,35976,39248,41068,40964,43848,52440,54424,58148,57164,62724,66272,66128,67360,65360,69672,80016,63808,71384,79540,82540,84240,81880,74448,68696,67164,70524,73292,76148,74584,72284,73012,71644,72012,74596,80328,75164,83360,87128,91220,84728,87756,89076,92068,100728,103528,114924,114644,117008,115560,124568,121228,126860,130708,133584,136788,136000,136012,136068,139684,134936,139380,130416,128728,136672,112504,129008,126740,129732,134012,140420,134580,143208,146432,141728,140704,139460,136104,143028,148108,143964,154492,158564,159216,158832,133412,149144,146984,153536,152032,143268,139272,152796,166804,169708,171328,165492,163456,166952,161104,163340
 "53000","Washington",8,SQINC7S,300,"C","   Construction","Thousands of dollars",253124,255652,260080,278128,279052,278096,289464,286356,287948,292732,290140,294456,302376,316152,320032,319960,324260,311064,304048,317748,321996,310776,315308,304568,296392,303088,303040,319088,341792,361488,382424,408964,447480,480948,494188,495424,498008,501688,508600,525496,554072,557648,563000,566668,537244,608768,579808,573632,586424,567880,580532,579580,578384,610416,640772,639468,560316,608960,613992,627584,667776,682264,686592,696364,706412,707512,705840,791456,771264,881068,920180,942048,989520,1020664,1058564,1151492,1178800,1240448,1324560,1400012,1513516,1608028,1719012,1839820,1923760,2061496,2139432,2158304,2090932,1999916,1987756,2098924,2207944,2329972,2253536,2138152,2083824,1966268,1876548,1848348,1780424,1747424,1726992,1794112,1809388,1785600,1775272,1711896,1727816,1739416,1807220,1778692,1821416,1882864,1905824,1995248,1964504,2010344,2026440,2158080,2179464,2277016,2407988,2489220,2486196,2623028,2749348,2887876,2966592,3138056,3165904,3130112,3266644,3260692,3349388,3439704,3536776,3605464,3582936,3616680,3542544,3500348,3575368,3698604,3743192,3786436,3807072,3857632,3847624,3941952,3944544,3951604,4049448,4171608,4337380,4416900,4646756,4757228,4817656,5016116,5028160,5151120,5294800,5455200,5607500,5889096,5960020,6232612,6377924,6389996,6386736,6656364,6659616,6374996,6242896,6210636
 "53000","Washington",8,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",1137328,1129416,1190764,1316844,1284328,1288060,1289964,1293236,1269920,1329936,1270712,1286396,1292640,1336136,1386544,1434524,1501916,1515772,1526508,1509328,1527328,1514432,1490704,1549516,1526016,1549324,1553312,1562252,1567844,1615892,1677324,1687288,1891148,1934676,2107268,2107168,2092496,2150752,2192684,2264244,2357084,2354540,2443092,2488620,2511636,2536808,2557640,2595536,2433832,2330148,2240584,2158640,2118628,2108640,2103096,2141988,2200756,2307692,2345764,2464764,2607864,2671392,2709080,2805172,2885820,2952996,3115012,3219600,3170716,3253272,3305808,3405400,3475712,3564040,3693324,3730356,3904276,3976748,4175392,4235172,4604364,4786436,4864120,5080772,5379344,5674672,5983832,6104776,6238944,6301832,6527544,6802764,6846368,7051688,7168796,7097836,7192144,7117656,7254268,7011028,6951112,7042432,6870152,7201664,7348664,7472960,7610208,7707936,7843628,7833020,7982164,8250084,8365228,8458564,8537652,9444492,8918700,8895636,9080532,9542312,9709064,9943784,9989152,10341356,10641736,10889800,11203528,11313196,11767868,11765244,11845772,11992328,11551948,11541340,11736164,11957920,12107052,11999724,11938332,13252480,11573428,12285220,12247324,12081208,12157972,12451464,12107904,12458844,12558984,12813484,12847908,12266976,13234160,13347884,13757320,14181280,14688304,15098568,15407012,15849552,15782772,16223356,16458412,16197532,16163312,16454156,16435380,16403276,16785340,16412976,16733944,16880200,16973380,16390664,16162576,16149212
 "53000","Washington",8,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",781736,774160,831476,943652,908524,906744,906016,898304,879180,925396,864644,878212,880032,920176,971920,1011668,1074412,1080996,1086656,1068724,1082464,1069704,1038176,1088412,1062408,1072560,1084088,1084384,1096604,1146916,1206716,1207632,1402680,1437072,1607524,1593416,1577192,1632256,1665576,1731144,1816160,1801288,1868400,1911300,1934248,1939712,1949368,1986348,1812900,1700832,1622752,1540752,1485268,1480824,1477480,1484932,1526432,1615024,1654016,1771204,1900328,1944280,1958432,2038300,2103688,2148544,2266472,2353748,2307204,2409968,2393052,2452844,2478480,2575704,2654964,2632776,2794356,2827988,2995168,3022140,3355308,3514052,3633560,3835596,4061320,4246288,4494188,4557876,4689792,4753672,4946120,5137924,5148072,5340200,5406028,5329224,5392504,5309560,5441948,5183312,5107352,5123504,4944504,5223476,5302976,5461808,5555288,5645284,5701748,5700180,5798220,6021680,6135872,6220256,6260344,7130188,6573860,6552284,6684448,7106740,7225228,7364316,7382708,7717848,7915312,8141368,8442864,8482428,8825492,8762660,8798216,8882180,8734588,8767276,8880496,9134176,9190388,9068468,8970908,10245224,8587560,9135980,9156604,8856768,9008668,9176176,8745360,9068916,9119404,9386632,9349424,8767400,9725264,9779912,10186416,10590500,11015308,11389644,11675732,12093324,12046940,12528836,12647004,12298384,12278480,12374472,12380512,12200072,11849220,12224240,12349808,12636476,12820224,12149024,12068728,11946868
 "53000","Washington",8,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",355592,355256,359288,373192,375804,381316,383948,394932,390740,404540,406068,408184,412608,415960,414624,422856,427504,434776,439852,440604,444864,444728,452528,461104,463608,476764,469224,477868,471240,468976,470608,479656,488468,497604,499744,513752,515304,518496,527108,533100,540924,553252,574692,577320,577388,597096,608272,609188,620932,629316,617832,617888,633360,627816,625616,657056,674324,692668,691748,693560,707536,727112,750648,766872,782132,804452,848540,865852,863512,843304,912756,952556,997232,988336,1038360,1097580,1109920,1148760,1180224,1213032,1249056,1272384,1230560,1245176,1318024,1428384,1489644,1546900,1549152,1548160,1581424,1664840,1698296,1711488,1762768,1768612,1799640,1808096,1812320,1827716,1843760,1918928,1925648,1978188,2045688,2011152,2054920,2062652,2141880,2132840,2183944,2228404,2229356,2238308,2277308,2314304,2344840,2343352,2396084,2435572,2483836,2579468,2606444,2623508,2726424,2748432,2760664,2830768,2942376,3002584,3047556,3110148,2817360,2774064,2855668,2823744,2916664,2931256,2967424,3007256,2985868,3149240,3090720,3224440,3149304,3275288,3362544,3389928,3439580,3426852,3498484,3499576,3508896,3567972,3570904,3590780,3672996,3708924,3731280,3756228,3735832,3694520,3811408,3899148,3884832,4079684,4054868,4203204,4936120,4188736,4384136,4243724,4153156,4241640,4093848,4202344
