GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "56000","Wyoming",7,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",406184,406132,408164,422172,425556,445792,448732,474076,491456,500244,489408,493100,499232,496772,501732,498004,507260,502604,499836,500548,501328,514960,531956,538380,543252,550824,552992,560952,557808,555444,553516,557148,552808,567772,569152,565784,581624,590528,610432,621984,643312,654584,672256,683176,697444,721020,732000,745516,761956,778184,793664,807156,819512,840764,867048,892720,906836,933768,966652,998176,1031372,1087804,1133756,1193468,1258488,1301516,1345804,1421520,1460708,1490572,1552808,1617588,1694804,1722184,1808976,1869512,1929796,2050048,2140920,2228692,2329680,2478504,2568472,2684172,2793852,2928640,3057156,3173456,3299572,3465896,3588880,3756340,3868676,3969680,4131616,4258516,4269140,4229008,4115700,3946572,3859092,3750720,3809796,3918976,3869552,3923788,4002716,4036804,4007368,4121952,4188568,4249380,4265908,4032344,3820492,3729292,3658104,3704220,3705744,3756248,3709432,3867268,3879148,3852276,3880044,3892388,3951512,4040792,4096040,4249188,4258412,4339020,4396672,4421568,4502156,4555968,4616592,4653652,4650776,4686284,4838584,4842948,4892976,4967872,5058456,5128552,5155816,5248896,5252704,5316296,5301756,5317708,5328580,5409456,5490544,5522232,5662084,5696476,5772252,5809612,5916980,6013652,6106384,6124772,6262648,6312608,6406528,6567512,6728268,6736888,6765156,7110480,7084636,7272204,7396808,7568120
 "56000","Wyoming",7,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",19540,20176,20164,21616,21116,20312,19888,21652,21312,22132,22276,22772,22196,21760,21548,21428,21220,21296,21620,22536,23336,23612,25800,25260,25832,28924,28800,28292,27816,28716,27592,27952,27560,28408,28604,28688,27912,26808,27568,27184,27760,27108,28548,29216,28916,29932,30396,31040,30416,31140,31824,31140,31344,31304,33140,32964,33556,32288,32984,34340,36752,38840,40804,43044,43880,44876,44804,45096,46540,46360,45416,45584,46424,46428,46144,46368,49376,50300,50632,50308,50804,49600,49480,50520,52236,53888,55424,56544,56684,56832,56560,55784,55360,55096,55984,57980,53184,53588,53500,53008,50424,49396,48740,48484,46448,46692,47000,47400,45384,45412,44996,44072,40980,40128,39536,39192,37112,37384,38180,39468,40072,41456,42424,42864,41928,42168,42944,44276,47096,48860,49116,48048,47852,45820,44400,43672,42808,43384,44568,46252,47296,48160,49744,51624,57920,60672,62576,63516,64196,63704,62544,61320,58688,57896,58072,59172,63840,66224,67840,68564,67424,66768,65984,65440,64728,64536,65632,67640,71936,74864,77160,78556,76532,77484,78084,78368
 "56000","Wyoming",7,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",386644,385956,388000,400556,404440,425480,428844,452424,470144,478112,467132,470328,477036,475012,480184,476576,486040,481308,478216,478012,477992,491348,506156,513120,517420,521900,524192,532660,529992,526728,525924,529196,525248,539364,540548,537096,553712,563720,582864,594800,615552,627476,643708,653960,668528,691088,701604,714476,731540,747044,761840,776016,788168,809460,833908,859756,873280,901480,933668,963836,994620,1048964,1092952,1150424,1214608,1256640,1301000,1376424,1414168,1444212,1507392,1572004,1648380,1675756,1762832,1823144,1880420,1999748,2090288,2178384,2278876,2428904,2518992,2633652,2741616,2874752,3001732,3116912,3242888,3409064,3532320,3700556,3813316,3914584,4075632,4200536,4215956,4175420,4062200,3893564,3808668,3701324,3761056,3870492,3823104,3877096,3955716,3989404,3961984,4076540,4143572,4205308,4224928,3992216,3780956,3690100,3620992,3666836,3667564,3716780,3669360,3825812,3836724,3809412,3838116,3850220,3908568,3996516,4048944,4200328,4209296,4290972,4348820,4375748,4457756,4512296,4573784,4610268,4606208,4640032,4791288,4794788,4843232,4916248,5000536,5067880,5093240,5185380,5188508,5252592,5239212,5256388,5269892,5351560,5432472,5463060,5598244,5630252,5704412,5741048,5849556,5946884,6040400,6059332,6197920,6248072,6340896,6499872,6656332,6662024,6687996,7031924,7008104,7194720,7318724,7489752
 "56000","Wyoming",7,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",288704,286720,292504,305328,314376,330100,334044,351924,366104,373132,361340,362432,363672,361524,363444,361424,367216,360696,355400,351248,351052,361800,372368,375628,374304,375120,375816,382664,381012,376352,370468,375232,372168,382248,381036,372580,384888,388764,400672,408440,423648,436348,448624,454188,468196,481488,494032,500868,510592,519024,528616,538060,542604,556808,575332,594136,600272,624868,649084,674880,696524,740044,776196,828188,886332,923768,962592,1030220,1058136,1077188,1131040,1167780,1235076,1254968,1331392,1387448,1439752,1538864,1609144,1689148,1763032,1915188,1989032,2087168,2201900,2316188,2423700,2514852,2615804,2738396,2841504,2979592,3093128,3173224,3292688,3381380,3384016,3355664,3197052,3005772,2883848,2778432,2816364,2885244,2839624,2875132,2948232,2967048,2921936,3021764,3070552,3120496,3119084,2880420,2688200,2569360,2514960,2542596,2587212,2628788,2554944,2694756,2711792,2678636,2704864,2712492,2756264,2820244,2862268,2987572,2990308,3056012,3090832,3106092,3167716,3211512,3252540,3268832,3271692,3293052,3427164,3430292,3464716,3541340,3600804,3657112,3687972,3733084,3731696,3782412,3773488,3786544,3791124,3871712,3940968,3964808,4093992,4114748,4181672,4208664,4291664,4374184,4440756,4464736,4557168,4617308,4708124,4801016,4938824,4920272,4943692,5260204,5223144,5358640,5402540,5553412
 "56000","Wyoming",7,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",276,264,272,300,332,356,388,428,460,488,492,484,464,436,840,808,836,848,856,864,860,860,852,832,824,816,1196,1164,1124,1084,1104,1144,1228,1284,1316,1284,1596,1520,1464,1468,1524,1596,1648,1688,2308,2260,2320,2292,2280,2744,2780,2768,2800,3152,3104,3432,3656,3972,3972,4016,4472,4528,5204,5196,5212,5636,5704,5260,4644,4348,4724,4952,5920,6744,7244,7024,6392,5756,7112,8744,6740,7852,8100,8864,9008,8892,8940,8972,9284,9812,10092,10168,10248,10676,9720,10364,11012,11016,10160,9904,9784,10808,12000,13044,12160,12308,12956,12996,13728,15196,15068,15888,16900,17124,16584,16328,17148,17148,17492,17272,17060,16432,17364,16576,16992,17564,16804,17444,17228,17768,17760,17640,18580,19172,19488,19520,20200,20268,20564,20024,21244,21952,21460,23652,21248,22976,24096,31604,23340,24176,23980,24020,25220,26364,26652,25956,26764,25992,27436,28124,28812,31012,30780,31496,35912,35356,35516,36204,37760,39276,40348,40948,50244,45792,42000,40496
 "56000","Wyoming",7,SQINC7S,200,"B","   Mining","Thousands of dollars",51904,50676,50800,53560,55964,58984,57232,62308,56832,58988,57524,57996,59148,56520,57232,57788,59340,57172,58640,54904,58712,63320,63456,61864,59760,59804,60384,63048,62992,62460,62432,62488,64192,64680,64208,65632,66512,66528,70716,74500,79296,85864,90120,91892,100412,103824,105532,107008,106416,106932,107316,105584,105324,104960,111608,109088,115848,119684,126104,130496,129388,133628,143324,159608,177448,194088,210124,207224,246424,256640,263080,286908,303756,305300,348864,371504,400448,443072,467408,479308,498016,583480,615132,653128,663376,705084,752292,782108,813932,880308,918832,981184,973204,1022248,1082208,1100364,1093672,1028248,979192,908008,873104,820164,849364,880756,854924,853080,872416,851988,832168,852520,835292,808516,780804,702312,640276,602288,579144,605880,629248,644080,629752,682728,662064,635512,631568,627588,647520,654780,670908,677648,703536,722440,728764,730716,738060,724064,716268,725712,708436,745544,749396,742992,743092,746744,752256,752288,770256,752332,761524,754344,743064,736128,711892,719916,726904,726884,795756,811556,788968,799928,804924,804212,803136,777608,783504,792784,766316,807124,851428,879024,875448,1172568,971940,1062952,1050192,1057380
 "56000","Wyoming",7,SQINC7S,300,"C","   Construction","Thousands of dollars",39372,37236,40424,47028,46876,51496,55672,62280,78948,77320,70176,69464,57712,60040,64328,60864,62764,56152,50416,45604,47700,53324,60996,64816,62340,60824,56296,58476,53968,48388,45840,47444,47016,48436,47016,41408,45380,43584,48352,47652,50692,56828,55292,54172,51708,53116,55376,56956,56524,59548,65980,69088,71192,73256,78344,81168,85836,92148,92184,98880,114596,135720,141628,157624,180872,176448,175376,217448,194440,192104,202524,197848,205608,199944,208016,219360,218748,237500,251244,265568,270488,287264,293344,300196,350796,378084,380388,373016,393460,405268,411028,433408,464916,458388,474608,501212,457412,521716,450248,381880,308176,276484,287412,270788,279228,276244,297044,311616,319748,376444,443644,496760,532708,401200,314856,259920,239488,238936,238032,242288,215060,230788,234852,219788,223516,220796,226452,234272,240324,263792,251268,251892,265352,277304,294600,301820,292532,269904,276144,290440,283532,289500,303016,313292,328720,347156,340344,358540,358828,351184,355476,353168,351080,354088,372460,391436,370220,396772,419920,417416,432108,454960,455188,450984,500220,515332,507508,554220,565996,556820,538644,539664,565004,577476,623796,644372
 "56000","Wyoming",7,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",34260,33848,35028,35516,37264,38912,40188,43544,41044,41256,40436,40156,51652,48156,41572,39160,38440,39024,42300,44752,44604,42544,42072,42076,41092,41240,43204,40144,43312,42156,41264,42176,40780,44204,42092,43840,45028,46452,46392,44892,42924,43640,45196,45924,46744,47896,51172,48912,54400,51804,51312,52580,53064,54416,54448,57016,58056,59408,61396,63792,67736,70396,70964,73192,74592,73024,79648,81660,83712,86864,93148,91864,98960,103168,101304,105424,110328,112608,114500,121316,127552,131704,135952,140368,140832,146848,152840,156920,151428,156328,163012,163012,181828,178564,178000,178828,185100,182736,169900,167132,161328,156960,161676,163460,157948,165976,156912,162436,158532,159216,163932,163236,164176,162544,160196,162420,164132,164084,167168,179344,176568,186156,192016,191372,187736,189288,197204,203028,217672,223984,229976,231272,231368,229240,231368,234620,237004,236720,236900,237824,242200,247992,248824,259908,253232,262136,272520,272008,258400,256944,262724,266256,311448,320296,325524,325728,325360,334232,337032,337376,344316,350572,358320,368292,352968,365204,359304,368852,394336,395604,392876,397460,412356,403956,404760,406436
 "56000","Wyoming",7,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",8520,8584,9396,9788,10768,12256,14076,16228,12788,12284,11860,11252,22836,19124,12104,10272,10392,11176,13952,16436,16908,14160,13672,12816,12272,13264,14508,13368,14060,12872,12432,12608,12340,13092,12404,13200,15400,17888,18068,16360,14900,14620,15500,16720,16352,18088,19492,19136,20040,19780,19160,19916,20744,20568,20904,21948,22408,22912,24612,25644,28560,28200,28240,29688,30752,30112,30360,30272,30056,31800,35700,33544,34832,36408,37496,39136,42504,42600,44256,48576,53088,56856,56064,58568,58744,63256,67056,68252,67548,64392,66024,67284,76160,80172,81872,81692,81920,79268,72796,71012,67568,66856,71476,71932,73864,75896,78396,77992,77068,74232,76780,74304,74436,74292,72408,72424,72256,73008,76620,80892,75688,82348,82552,81068,78280,78184,82208,85848,93536,94752,97556,99708,98176,95632,95216,95856,100944,104488,104892,102344,100752,102864,104200,110404,109688,114720,119348,121708,117200,115424,114312,119136,122416,126888,132708,127496,130688,135168,135680,137428,138580,141660,143584,141720,142940,146496,145536,148300,153436,147548,147608,155504,158388,157952,158632,157456
 "56000","Wyoming",7,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",25740,25264,25632,25728,26496,26656,26112,27316,28256,28972,28576,28904,28816,29032,29468,28888,28048,27848,28348,28316,27696,28384,28400,29260,28820,27976,28696,26776,29252,29284,28832,29568,28440,31112,29688,30640,29628,28564,28324,28532,28024,29020,29696,29204,30392,29808,31680,29776,34360,32024,32152,32664,32320,33848,33544,35068,35648,36496,36784,38148,39176,42196,42724,43504,43840,42912,49288,51388,53656,55064,57448,58320,64128,66760,63808,66288,67824,70008,70244,72740,74464,74848,79888,81800,82088,83592,85784,88668,83880,91936,96988,95728,105668,98392,96128,97136,103180,103468,97104,96120,93760,90104,90200,91528,84084,90080,78516,84444,81464,84984,87152,88932,89740,88252,87788,89996,91876,91076,90548,98452,100880,103808,109464,110304,109456,111104,114996,117180,124136,129232,132420,131564,133192,133608,136152,138764,136060,132232,132008,135480,141448,145128,144624,149504,143544,147416,153172,150300,141200,141520,148412,147120,189032,193408,192816,198232,194672,199064,201352,199948,205736,208912,214736,226572,210028,218708,213768,220552,240900,248056,245268,241956,253968,246004,246128,248980
