GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "00000","United States", ,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",235853548,235194228,240372988,246384940,252205804,258773112,259246152,262570504,268224000,270892000,271048000,270460000,271160000,275056000,279584000,285308000,290108000,295744000,298420000,301200000,304844000,309292000,313980000,318856000,324944000,331660000,337688000,342884000,349232000,355472000,362544000,372440000,381444000,391624000,400912000,408048000,413324000,418272000,426832000,435320000,448468000,460056000,471160000,483000000,493428000,506164000,519060000,530092000,537636000,543060000,549796000,551272000,564276000,574972000,583848000,594040000,612472000,625452000,638036000,657976000,678292000,695760000,711492000,729428000,743112000,760940000,779040000,786468000,786700000,795816000,817328000,840456000,866404000,884868000,904440000,924060000,944800000,976116000,1003148000,1031816000,1058964000,1101228000,1133416000,1169932000,1203916000,1229580000,1264236000,1295356000,1327888000,1347484000,1370692000,1421896000,1460512000,1489444000,1523084000,1542580000,1559432000,1573200000,1587768000,1595632000,1613636000,1646004000,1682664000,1732652000,1775268000,1819004000,1857500000,1890664000,1922300000,1953772000,1987668000,2027268000,2055376000,2073140000,2102652000,2143716000,2183484000,2220736000,2260904000,2321084000,2355276000,2410672000,2452016000,2497928000,2530244000,2552764000,2581288000,2624820000,2673568000,2727592000,2757812000,2760456000,2758436000,2787148000,2815592000,2846692000,2902848000,2942996000,2968444000,3013340000,3008740000,3059408000,3086828000,3134964000,3146844000,3218088000,3253844000,3307200000,3353512000,3390952000,3434908000,3475660000,3520312000,3586040000,3642992000,3699852000,3771332000,3831320000,3899072000,3989132000,4070132000,4141016000,4213416000,4285320000,4363620000,4408260000,4472112000,4583084000,4752344000,4779100000,4869836000,4893780000,4975720000,4957672000,4932664000,4934448000
 "00000","United States", ,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",2702540,2783040,2816076,2985488,2943112,2852784,2802336,2995552,2900000,2964000,2948000,3044000,3072000,3056000,3116000,3116000,3148000,3168000,3164000,3200000,3228000,3188000,3388000,3172000,3148000,3376000,3324000,3288000,3276000,3472000,3360000,3412000,3356000,3404000,3420000,3476000,3424000,3336000,3452000,3436000,3504000,3416000,3584000,3644000,3592000,3732000,3808000,3920000,3848000,3960000,4032000,3928000,3884000,3816000,3992000,3956000,4052000,3916000,4000000,4132000,4328000,4552000,4792000,5120000,5252000,5472000,5528000,5640000,5848000,5828000,5752000,5948000,6312000,6584000,6620000,6612000,6912000,6864000,6852000,6852000,7092000,7148000,7256000,7420000,7644000,7832000,8000000,8136000,8248000,8276000,8236000,8112000,7908000,7884000,8032000,8352000,8852000,9164000,9296000,9240000,9000000,8828000,8724000,8684000,8712000,8756000,8812000,8888000,8984000,8992000,8928000,8780000,8548000,8372000,8248000,8176000,8152000,8240000,8432000,8732000,9140000,9432000,9612000,9672000,9620000,9756000,10064000,10560000,11236000,11680000,11888000,11860000,11596000,11376000,11188000,11044000,10936000,10940000,11064000,11304000,11656000,11904000,12060000,12112000,12064000,12108000,12232000,12448000,12752000,13004000,13204000,13356000,13460000,13616000,13832000,14100000,14428000,14744000,15052000,15352000,15636000,15852000,15988000,16056000,16036000,16080000,16196000,16364000,16592000,16836000,17092000,17360000,17668000,17888000,18028000,18092000
 "00000","United States", ,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",233151008,232411188,237556912,243399452,249262692,255920328,256443816,259574952,265324000,267928000,268100000,267416000,268088000,272000000,276468000,282192000,286960000,292576000,295256000,298000000,301616000,306104000,310592000,315684000,321796000,328284000,334364000,339596000,345956000,352000000,359184000,369028000,378088000,388220000,397492000,404572000,409900000,414936000,423380000,431884000,444964000,456640000,467576000,479356000,489836000,502432000,515252000,526172000,533788000,539100000,545764000,547344000,560392000,571156000,579856000,590084000,608420000,621536000,634036000,653844000,673964000,691208000,706700000,724308000,737860000,755468000,773512000,780828000,780852000,789988000,811576000,834508000,860092000,878284000,897820000,917448000,937888000,969252000,996296000,1024964000,1051872000,1094080000,1126160000,1162512000,1196272000,1221748000,1256236000,1287220000,1319640000,1339208000,1362456000,1413784000,1452604000,1481560000,1515052000,1534228000,1550580000,1564036000,1578472000,1586392000,1604636000,1637176000,1673940000,1723968000,1766556000,1810248000,1848688000,1881776000,1913316000,1944780000,1978740000,2018488000,2046828000,2064768000,2094404000,2135540000,2175332000,2212496000,2252472000,2312352000,2346136000,2401240000,2442404000,2488256000,2520624000,2543008000,2571224000,2614260000,2662332000,2715912000,2745924000,2748596000,2746840000,2775772000,2804404000,2835648000,2891912000,2932056000,2957380000,3002036000,2997084000,3047504000,3074768000,3122852000,3134780000,3205980000,3241612000,3294752000,3340760000,3377948000,3421704000,3462304000,3506852000,3572424000,3629160000,3685752000,3756904000,3816576000,3884020000,3973780000,4054496000,4125164000,4197428000,4269264000,4347584000,4392180000,4455916000,4566720000,4735752000,4762264000,4852744000,4876420000,4958052000,4939784000,4914636000,4916356000
 "00000","United States", ,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",192736784,191146216,195701656,201013844,206470704,212736000,212731172,215138656,220288000,221972000,221288000,219908000,219776000,222936000,226460000,231236000,234944000,239692000,241612000,243496000,246180000,249836000,253336000,257224000,262032000,267356000,272472000,276672000,282064000,286848000,292376000,300560000,307460000,315600000,322884000,328032000,331940000,335248000,341452000,347696000,357956000,367264000,375984000,385732000,394176000,404484000,414448000,422656000,426852000,428592000,433408000,432760000,442852000,451084000,456836000,464888000,480300000,490804000,499888000,516540000,533812000,548456000,561712000,576728000,587096000,601504000,616240000,619900000,615528000,620028000,637672000,657624000,680084000,695484000,712352000,729144000,746428000,774304000,796964000,821056000,843568000,882096000,909140000,941112000,970416000,993860000,1022736000,1049196000,1076292000,1085936000,1105780000,1150632000,1182956000,1206676000,1234356000,1247704000,1258512000,1267668000,1278160000,1281260000,1295276000,1323956000,1356648000,1402428000,1438588000,1475572000,1507088000,1534140000,1560024000,1585164000,1611552000,1646532000,1670016000,1682500000,1706368000,1739140000,1773492000,1804372000,1839372000,1890564000,1916536000,1964856000,2000032000,2037044000,2063296000,2078396000,2098656000,2134212000,2172240000,2211272000,2236588000,2233708000,2223496000,2246068000,2268660000,2292840000,2341208000,2374580000,2393768000,2434428000,2425372000,2471840000,2493732000,2538416000,2543720000,2608520000,2638560000,2686736000,2727464000,2759504000,2799736000,2835852000,2875724000,2935680000,2987372000,3038672000,3103576000,3157588000,3218912000,3299624000,3373808000,3436912000,3501024000,3566148000,3638616000,3674388000,3726696000,3824796000,3979760000,3993092000,4078360000,4094656000,4166320000,4135924000,4095924000,4083544000
 "00000","United States", ,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",535024,543184,547128,542928,542648,538348,542112,546004,548000,556000,568000,584000,596000,616000,632000,648000,668000,680000,696000,708000,720000,728000,744000,760000,784000,804000,824000,848000,876000,900000,924000,944000,968000,980000,996000,1012000,1028000,1048000,1072000,1100000,1136000,1168000,1204000,1240000,1284000,1324000,1360000,1396000,1436000,1476000,1516000,1560000,1608000,1648000,1684000,1716000,1740000,1784000,1848000,1924000,2020000,2100000,2176000,2244000,2308000,2356000,2396000,2424000,2440000,2488000,2568000,2684000,2836000,2952000,3032000,3080000,3092000,3172000,3336000,3584000,3924000,4228000,4484000,4688000,4824000,4980000,5160000,5364000,5600000,5768000,5860000,5864000,5768000,5716000,5712000,5768000,5888000,6012000,6132000,6252000,6372000,6524000,6708000,6920000,7164000,7404000,7648000,7888000,8132000,8364000,8576000,8776000,8956000,9180000,9444000,9744000,10076000,10292000,10380000,10352000,11112000,11048000,11080000,11208000,11432000,11664000,11924000,12192000,12472000,12692000,12864000,12976000,13032000,13096000,13176000,13264000,13360000,13472000,13604000,13752000,13920000,14124000,14372000,14648000,14960000,15240000,15500000,15736000,15952000,16208000,16508000,16840000,17208000,17564000,17916000,18260000,18592000,18960000,19376000,19828000,20306524,20797344,21365792,21974340,22667080,23315580,23957836,24539504,25114060,25541192,25792676,25900072,32275928,29127264,26219912,24352896
 "00000","United States", ,SQINC7S,200,"B","   Mining","Thousands of dollars",4081764,3793404,3801400,3949764,4045716,4147672,3774804,3903176,3988000,4072000,3924000,3864000,3816000,3800000,3928000,3960000,3968000,3924000,3880000,3832000,3852000,3956000,3956000,3996000,3988000,4068000,4092000,4252000,4252000,4292000,4312000,4376000,4464000,4440000,4552000,4560000,4612000,4652000,4680000,4592000,4632000,4860000,5000000,4956000,5200000,5260000,5420000,5624000,5648000,5716000,5816000,6084000,6052000,6104000,6168000,5820000,6636000,6504000,6664000,6812000,6812000,7064000,7464000,7960000,8408000,8948000,9396000,8732000,10564000,10644000,10684000,11644000,12080000,11732000,12196000,12964000,13392000,14272000,14476000,14164000,12348000,17348000,18056000,18672000,18684000,19412000,19992000,21184000,22156000,23508000,24104000,26408000,27904000,26452000,31940000,33560000,33704000,32396000,30692000,28812000,27732000,27188000,27780000,28624000,29000000,29684000,30168000,29532000,29264000,29952000,29428000,29036000,28296000,25732000,24664000,23788000,23780000,23712000,24212000,24872000,25008000,25356000,25208000,25016000,24824000,24884000,25236000,25848000,26048000,26664000,27308000,27492000,27592000,27520000,27196000,26656000,26780000,26592000,26432000,27156000,25680000,26460000,26096000,26528000,26452000,26332000,26644000,26808000,26484000,26572000,26836000,26712000,27244000,27696000,27804000,28288000,29340000,29832000,30052000,30460000,31290644,30704440,30504220,30540696,29846312,29576972,28463528,29133188,30717808,30567608,31477372,32025212,33993308,33911720,34178868,33896104
 "00000","United States", ,SQINC7S,300,"C","   Construction","Thousands of dollars",14002112,13964288,14307824,14823952,15065312,15545228,15597084,15683480,15636000,15920000,16032000,15880000,15876000,16080000,16272000,16648000,16676000,17292000,17600000,17752000,17744000,18196000,18680000,18896000,19408000,19932000,20264000,20852000,21360000,21628000,21912000,22908000,23568000,24264000,24456000,24348000,24624000,24728000,25488000,26016000,26832000,27720000,28384000,29440000,30348000,31736000,32196000,32832000,33332000,33180000,33952000,34296000,34640000,36284000,37056000,38020000,38748000,39136000,39520000,40648000,42532000,43696000,45176000,46256000,47448000,47168000,47024000,47124000,46312000,45156000,46228000,47444000,48924000,49536000,50248000,51244000,51784000,54804000,56368000,57920000,59256000,64144000,66628000,68536000,70412000,73720000,76096000,77424000,78532000,76884000,77240000,79596000,81248000,82260000,82732000,82972000,82660000,82376000,81380000,80868000,81396000,81444000,84284000,86952000,90736000,94148000,95352000,96276000,100084000,102068000,103920000,106276000,107476000,109372000,110852000,114120000,115184000,117332000,118148000,120536000,122876000,127524000,130292000,131412000,131688000,132472000,133904000,136888000,140076000,138720000,137604000,134740000,131300000,129024000,128376000,126824000,126880000,128000000,127560000,128864000,129044000,131556000,133868000,137152000,139804000,145128000,147992000,151040000,152640000,154496000,157324000,159872000,163892000,168408000,172904000,175992000,181116000,184828000,188580000,193576000,198992036,204452760,210725284,217229920,224903424,227534560,230585584,239324432,248988904,251662376,254495508,258205212,265952444,266904484,267195452,265047620
 "00000","United States", ,SQINC7S,400,"D","   Manufacturing","Thousands of dollars",77966404,76438524,79161992,81771340,84971796,88271940,87330184,87696996,91448000,90772000,89280000,87604000,86972000,88948000,90556000,93172000,94908000,96932000,97424000,97908000,98800000,100008000,101248000,102904000,104312000,106520000,108732000,109628000,112804000,114228000,116292000,119388000,123212000,127176000,130088000,132348000,132620000,132644000,134752000,137236000,141544000,144736000,147048000,150860000,153268000,156388000,160052000,161164000,160760000,159548000,158748000,154512000,158788000,160340000,160636000,162960000,169184000,173552000,176212000,182896000,189508000,194468000,198260000,203820000,205884000,210604000,215868000,214812000,205736000,206540000,213140000,220788000,230016000,235380000,240712000,245804000,253004000,263600000,271476000,278420000,285384000,295652000,303652000,315292000,325268000,331608000,338612000,344596000,351432000,349308000,352972000,370232000,377564000,387648000,392724000,391572000,389920000,387816000,384752000,379524000,383924000,393240000,404980000,419132000,431756000,441468000,449876000,456528000,463456000,464172000,468512000,476068000,478724000,477920000,480496000,485116000,490312000,491840000,499500000,507080000,518732000,526116000,532700000,543376000,548688000,545788000,547120000,551408000,555424000,564644000,565808000,562136000,556356000,559368000,567304000,570708000,572728000,580888000,584232000,600964000,567604000,593776000,598136000,616048000,602152000,620052000,628680000,638992000,642748000,646880000,653052000,656444000,658912000,673284000,681964000,689224000,703068000,712408000,723216000,742000000,751545852,756902188,759212812,765167148,774195528,776673148,786391972,800383352,838590584,824039584,840132932,827944900,814967116,805435140,789501020,781740724
 "00000","United States", ,SQINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",46544800,45332388,47166412,49215676,51520556,54205848,52670732,52833636,56272000,55304000,53812000,52596000,51772000,53216000,54368000,56156000,57588000,58836000,59312000,59752000,60416000,61260000,61980000,63096000,64068000,65504000,67168000,67356000,69912000,71084000,72512000,74620000,77556000,80328000,82512000,84104000,83908000,83568000,85080000,86252000,89420000,91348000,92436000,95200000,97052000,98712000,101212000,101580000,100548000,99532000,98340000,93896000,97424000,98068000,97860000,99660000,103916000,107040000,109108000,114316000,119288000,122844000,125796000,129372000,130220000,133528000,136996000,136600000,129820000,129172000,132488000,136852000,142948000,147348000,150840000,153660000,158936000,166444000,172256000,177004000,181496000,188784000,194788000,203800000,211048000,215120000,219824000,222692000,227560000,223720000,225064000,238376000,242740000,250120000,252788000,251088000,248116000,245336000,241428000,235036000,237680000,243864000,252684000,263292000,272852000,279888000,286384000,291212000,296828000,296428000,298792000,304120000,305328000,302964000,303736000,306376000,308712000,307972000,312648000,317764000,324828000,329060000,333108000,340988000,344740000,340720000,340644000,343304000,344144000,349816000,349544000,345336000,339780000,340980000,345584000,345900000,345752000,350656000,351872000,360608000,340900000,356408000,359212000,370804000,365128000,375280000,380824000,388292000,392376000,395172000,399936000,402596000,404420000,415244000,421828000,426024000,435160000,441756000,449624000,463724000,470728068,473529988,473664976,479792968,485081544,487901468,496890012,507822976,535599740,522799260,536010052,523302948,514069640,507071456,492151608,486883296
 "00000","United States", ,SQINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",31421604,31106136,31995580,32555664,33451240,34066092,34659452,34863360,35176000,35468000,35468000,35008000,35200000,35732000,36188000,37016000,37320000,38096000,38112000,38156000,38384000,38748000,39268000,39808000,40244000,41016000,41564000,42272000,42892000,43144000,43780000,44768000,45656000,46848000,47576000,48244000,48712000,49076000,49672000,50984000,52124000,53388000,54612000,55660000,56216000,57676000,58840000,59584000,60212000,60016000,60408000,60616000,61364000,62272000,62776000,63300000,65268000,66512000,67104000,68580000,70220000,71624000,72464000,74448000,75664000,77076000,78872000,78212000,75916000,77368000,80652000,83936000,87068000,88032000,89872000,92144000,94068000,97156000,99220000,101416000,103888000,106868000,108864000,111492000,114220000,116488000,118788000,121904000,123872000,125588000,127908000,131856000,134824000,137528000,139936000,140484000,141804000,142480000,143324000,144488000,146244000,149376000,152296000,155840000,158904000,161580000,163492000,165316000,166628000,167744000,169720000,171948000,173396000,174956000,176760000,178740000,181600000,183868000,186852000,189316000,193904000,197056000,199592000,202388000,203948000,205068000,206476000,208104000,211280000,214828000,216264000,216800000,216576000,218388000,221720000,224808000,226976000,230232000,232360000,240356000,226704000,237368000,238924000,245244000,237024000,244772000,247856000,250700000,250372000,251708000,253116000,253848000,254492000,258040000,260136000,263200000,267908000,270652000,273592000,278276000,280817784,283372200,285547836,285374180,289113984,288771680,289501960,292560376,302990844,301240324,304122880,304641952,300897476,298363684,297349412,294857428
