"","state","Region","yearq","year","quarter","Income","Population","Per_cap_Inc","index_nsa","index_sa","PCEPILFE","TOTRESNS","BPCCRO1Q156NBEA","FEDFUNDS","GDPC1","GDPDEF","MORTGAGE30US","inflation","rPer_cap_Inc","rTOTRESNS","rGDPC1","rindex_nsa","index_nsag","subregion","region"
"1","AL",5,2001 Q1,2001,1,111152.5,4452173,24965.8986746472,144.54,144.22,81.698,39.61,1.8,5.59,13222.69,79.204,7.01,1.0187291136715,24506.9060455826,38.8817787461137,12979.593713922,141.882663467894,0.390536306951997,"East South","Southeast"
"2","AL",5,2001 Q2,2001,2,112370.8,4452173,25239.5403323276,146.4,145.48,82.044,38.569,1.9,4.33,13299.984,79.683,7.13,1.02304354331887,24671.0323301076,37.7002525961679,13000.4085230364,143.102413339184,0.859689155444927,"East South","Southeast"
"3","AL",5,2001 Q3,2001,3,112338.3,4452173,25232.2405261431,147.08,146.25,82.465,39.33,1.7,3.5,13244.784,80.004,6.96,1.02829318170482,24537.982916808,38.2478467228521,12880.3576991936,143.033137452252,-0.0484100060333675,"East South","Southeast"
"4","AL",5,2001 Q4,2001,4,112758.1,4452173,25326.5315611051,147.55,147.33,82.637,44.632,1.7,2.13,13280.859,80.268,6.77,1.03043792707866,24578.4155411545,43.313623098612,12888.5580111088,143.191546159711,0.110749655834795,"East South","Southeast"
"5","AL",5,2002 Q1,2002,1,113357.3,4467634,25373.0050402517,148.81,148.55,82.862,43.722,1.5,1.73,13397.002,80.533,6.97,1.03324355329443,24556.6545848281,42.315289420965,12965.9671790688,144.022190630204,0.580093233693715,"East South","Southeast"
"6","AL",5,2002 Q2,2002,2,114937.8,4467634,25726.7717095895,150.59,149.69,83.366,40.935,1.6,1.75,13478.152,80.821,6.81,1.03952815601776,24748.5087928201,39.378442770434,12965.6440010556,144.863801069981,0.584361643225575,"East South","Southeast"
"7","AL",5,2002 Q3,2002,3,115665.8,4467634,25889.7214946435,151.7,150.7,83.745,39.416,1.9,1.74,13538.072,81.194,6.29,1.0442540775101,24792.5500625044,37.745603152427,12964.3467921906,145.271158875157,0.281200549873289,"East South","Southeast"
"8","AL",5,2002 Q4,2002,4,116806.3,4467634,26145.0020301573,153.57,153.37,84.109,38.67,1.7,1.44,13559.032,81.654,6.08,1.04879295725473,24928.6590354243,36.8709569725,12928.225639016,146.425468380316,0.794589589631677,"East South","Southeast"
"9","AL",5,2003 Q1,2003,1,118377.4,4480089,26423.0018644719,154.46,154.29,84.293,42.867,1.7,1.25,13634.253,82.025,5.84,1.05108733602673,25138.7310633527,40.7834806211666,12971.5700424472,146.952583963081,0.359989002320325,"East South","Southeast"
"10","AL",5,2003 Q2,2003,2,119079.3,4480089,26579.6728591776,156.73,155.81,84.558,41.174,1.4,1.25,13751.543,82.266,5.51,1.05439174023642,25208.5366803213,39.0500024125452,13042.1573645072,148.644942879444,1.15163603845692,"East South","Southeast"
